292973  , -126965     , array([ 0.496999   ,  0.0383108  ,  2.66889e-36,  2.04388e-39,  0.148008   ])
292974  , -126953     , array([ 0.497496   ,  0.0383108  ,  2.66889e-36,  2.04388e-39,  0.148008   ])
292975  , -126828     , array([ 0.496999   ,  0.0383491  ,  2.66889e-36,  2.04388e-39,  0.148008   ])
292976  , -126965     , array([ 0.496999   ,  0.0383108  ,  2.67156e-36,  2.04388e-39,  0.148008   ])
292977  , -126965     , array([ 0.496999   ,  0.0383108  ,  2.66889e-36,  2.04593e-39,  0.148008   ])
292978  , -127111     , array([ 0.496999   ,  0.0383108  ,  2.66889e-36,  2.04388e-39,  0.148156   ])
292979  , -126965     , array([ 0.496999   ,  0.0383108  ,  2.66889e-36,  2.04388e-39,  0.148008   ])
292980  , -19640      , array([ 0.525864   ,  0.0761198  ,  2.66889e-36,  2.04388e-39,  0.0707159  ])
292981  , -19640      , array([ 0.525864   ,  0.0761198  ,  2.66889e-36,  2.04388e-39,  0.0707159  ])
292982  , -19633.3    , array([ 0.52639    ,  0.0761198  ,  2.66889e-36,  2.04388e-39,  0.0707159  ])
292983  , -19610.7    , array([ 0.525864   ,  0.076196   ,  2.66889e-36,  2.04388e-39,  0.0707159  ])
292984  , -19640      , array([ 0.525864   ,  0.0761198  ,  2.67156e-36,  2.04388e-39,  0.0707159  ])
292985  , -19640      , array([ 0.525864   ,  0.0761198  ,  2.66889e-36,  2.04593e-39,  0.0707159  ])
292986  , -19675.5    , array([ 0.525864   ,  0.0761198  ,  2.66889e-36,  2.04388e-39,  0.0707867  ])
292994  , -19562.9    , array([ 0.53126    ,  0.0757381  ,  2.66889e-36,  2.04388e-39,  0.0704036  ])
292995  , -19562.9    , array([ 0.53126    ,  0.0757381  ,  2.66889e-36,  2.04388e-39,  0.0704036  ])
292996  , -19556.4    , array([ 0.531791   ,  0.0757381  ,  2.66889e-36,  2.04388e-39,  0.0704036  ])
292997  , -19533.5    , array([ 0.53126    ,  0.0758139  ,  2.66889e-36,  2.04388e-39,  0.0704036  ])
292998  , -19562.9    , array([ 0.53126    ,  0.0757381  ,  2.67156e-36,  2.04388e-39,  0.0704036  ])
292999  , -19562.9    , array([ 0.53126    ,  0.0757381  ,  2.66889e-36,  2.04593e-39,  0.0704036  ])
293000  , -19598.4    , array([ 0.53126    ,  0.0757381  ,  2.66889e-36,  2.04388e-39,  0.070474   ])
293001  , -17995.3    , array([ 0.760737   ,  0.0634626  ,  2.66889e-36,  2.04388e-39,  0.0602512  ])
293002  , -17995.3    , array([ 0.760737   ,  0.0634626  ,  2.66889e-36,  2.04388e-39,  0.0602512  ])
293003  , -17992.6    , array([ 0.761498   ,  0.0634626  ,  2.66889e-36,  2.04388e-39,  0.0602512  ])
293004  , -17963.5    , array([ 0.760737   ,  0.0635261  ,  2.66889e-36,  2.04388e-39,  0.0602512  ])
293005  , -17995.3    , array([ 0.760737   ,  0.0634626  ,  2.67156e-36,  2.04388e-39,  0.0602512  ])
293006  , -17995.3    , array([ 0.760737   ,  0.0634626  ,  2.66889e-36,  2.04593e-39,  0.0602512  ])
293007  , -18029.4    , array([ 0.760737   ,  0.0634626  ,  2.66889e-36,  2.04388e-39,  0.0603115  ])
293008  , -20773.5    , array([ 2.83723    ,  0.259488   ,  2.66889e-36,  2.04388e-39,  0.223968   ])
293009  , -20773.5    , array([ 2.83723    ,  0.259488   ,  2.66889e-36,  2.04388e-39,  0.223968   ])
293010  , -20773.8    , array([ 2.84007    ,  0.259488   ,  2.66889e-36,  2.04388e-39,  0.223968   ])
293011  , -20747.8    , array([ 2.83723    ,  0.259747   ,  2.66889e-36,  2.04388e-39,  0.223968   ])
293012  , -20773.5    , array([ 2.83723    ,  0.259488   ,  2.67156e-36,  2.04388e-39,  0.223968   ])
293013  , -20773.5    , array([ 2.83723    ,  0.259488   ,  2.66889e-36,  2.04593e-39,  0.223968   ])
293014  , -20809.7    , array([ 2.83723    ,  0.259488   ,  2.66889e-36,  2.04388e-39,  0.224192   ])
293015  , -17368.1    , array([ 1.14192    ,  0.0980036  ,  2.66889e-36,  2.04388e-39,  0.0903487  ])
293016  , -17368.1    , array([ 1.14192    ,  0.0980036  ,  2.66889e-36,  2.04388e-39,  0.0903487  ])
293017  , -17366      , array([ 1.14306    ,  0.0980036  ,  2.66889e-36,  2.04388e-39,  0.0903487  ])
293018  , -17338.2    , array([ 1.14192    ,  0.0981017  ,  2.66889e-36,  2.04388e-39,  0.0903487  ])
293019  , -17368.1    , array([ 1.14192    ,  0.0980036  ,  2.67156e-36,  2.04388e-39,  0.0903487  ])
293020  , -17368.1    , array([ 1.14192    ,  0.0980036  ,  2.66889e-36,  2.04593e-39,  0.0903487  ])
293021  , -17401.8    , array([ 1.14192    ,  0.0980036  ,  2.66889e-36,  2.04388e-39,  0.0904391  ])
293022  , -16131.1    , array([ 1.13703    ,  0.0972683  ,  2.66889e-36,  2.04388e-39,  0.0864231  ])
293023  , -16131.1    , array([ 1.13703    ,  0.0972683  ,  2.66889e-36,  2.04388e-39,  0.0864231  ])
293024  , -16129.1    , array([ 1.13816    ,  0.0972683  ,  2.66889e-36,  2.04388e-39,  0.0864231  ])
293025  , -16102.5    , array([ 1.13703    ,  0.0973656  ,  2.66889e-36,  2.04388e-39,  0.0864231  ])
293026  , -16131.1    , array([ 1.13703    ,  0.0972683  ,  2.67156e-36,  2.04388e-39,  0.0864231  ])
293027  , -16131.1    , array([ 1.13703    ,  0.0972683  ,  2.66889e-36,  2.04593e-39,  0.0864231  ])
293028  , -16163.3    , array([ 1.13703    ,  0.0972683  ,  2.66889e-36,  2.04388e-39,  0.0865095  ])
293029  , -11743      , array([ 1.11767    ,  0.0943816  ,  2.66889e-36,  2.04388e-39,  0.0723536  ])
293030  , -11743      , array([ 1.11767    ,  0.0943816  ,  2.66889e-36,  2.04388e-39,  0.0723536  ])
293031  , -11741.3    , array([ 1.11879    ,  0.0943816  ,  2.66889e-36,  2.04388e-39,  0.0723536  ])
293032  , -11719.5    , array([ 1.11767    ,  0.0944761  ,  2.66889e-36,  2.04388e-39,  0.0723536  ])
293033  , -11743      , array([ 1.11767    ,  0.0943816  ,  2.67156e-36,  2.04388e-39,  0.0723536  ])
293034  , -11743      , array([ 1.11767    ,  0.0943816  ,  2.66889e-36,  2.04593e-39,  0.0723536  ])
293035  , -11769.4    , array([ 1.11767    ,  0.0943816  ,  2.66889e-36,  2.04388e-39,  0.072426   ])
293036  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293037  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293038  , -3716.74    , array([ 1.22379    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293039  , -3707.92    , array([ 1.22257    ,  0.0989241  ,  2.66889e-36,  2.04388e-39,  0.0493077  ])
293040  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.67156e-36,  2.04388e-39,  0.0493077  ])
293041  , -3717.56    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04593e-39,  0.0493077  ])
293042  , -3728.81    , array([ 1.22257    ,  0.0988253  ,  2.66889e-36,  2.04388e-39,  0.049357   ])
293043  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293044  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293045  , -1741.07    , array([ 1.24019    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293046  , -1740.93    , array([ 1.23895    ,  0.0920645  ,  2.66889e-36,  2.04388e-39,  0.0336166  ])
293047  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.67156e-36,  2.04388e-39,  0.0336166  ])
293048  , -1741.38    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04593e-39,  0.0336166  ])
293049  , -1742.49    , array([ 1.23895    ,  0.0919725  ,  2.66889e-36,  2.04388e-39,  0.0336502  ])
293050  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293051  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293052  , -1685.1     , array([ 1.20963    ,  0.0840617  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293053  , -1685.74    , array([ 1.20842    ,  0.0841458  ,  2.66889e-36,  2.04388e-39,  0.029756   ])
293054  , -1685.34    , array([ 1.20842    ,  0.0840617  ,  2.67156e-36,  2.04388e-39,  0.029756   ])
