304212  , -79070.2    , array([ 1.71846    ,  0.351575   ,  1.58934e-32,  9.49345e-34,  5.0345e-06 ])
304213  , -79070.2    , array([ 1.72018    ,  0.351575   ,  1.58934e-32,  9.49345e-34,  5.0345e-06 ])
304214  , -79070.2    , array([ 1.71846    ,  0.351927   ,  1.58934e-32,  9.49345e-34,  5.0345e-06 ])
304215  , -79070.2    , array([ 1.71846    ,  0.351575   ,  1.59093e-32,  9.49345e-34,  5.0345e-06 ])
304216  , -79070.2    , array([ 1.71846    ,  0.351575   ,  1.58934e-32,  9.50295e-34,  5.0345e-06 ])
304217  , -79070.2    , array([ 1.71846    ,  0.351575   ,  1.58934e-32,  9.49345e-34,  5.03953e-06])
304218  , -79070.2    , array([ 1.71846    ,  0.351575   ,  1.58934e-32,  9.49345e-34,  5.0345e-06 ])
304219  , -79014.3    , array([ 1.56743    ,  0.181427   ,  1.58934e-32,  9.49345e-34,  1.07394e-05])
304220  , -79014.3    , array([ 1.56743    ,  0.181427   ,  1.58934e-32,  9.49345e-34,  1.07394e-05])
304221  , -79014.3    , array([ 1.569      ,  0.181427   ,  1.58934e-32,  9.49345e-34,  1.07394e-05])
304222  , -79014.4    , array([ 1.56743    ,  0.181608   ,  1.58934e-32,  9.49345e-34,  1.07394e-05])
304223  , -79014.3    , array([ 1.56743    ,  0.181427   ,  1.59093e-32,  9.49345e-34,  1.07394e-05])
304224  , -79014.3    , array([ 1.56743    ,  0.181427   ,  1.58934e-32,  9.50295e-34,  1.07394e-05])
304225  , -79014.2    , array([ 1.56743    ,  0.181427   ,  1.58934e-32,  9.49345e-34,  1.07501e-05])
304226  , -61690.5    , array([ 1.08488    ,  0.0128657  ,  1.58934e-32,  9.49345e-34,  0.000222366])
304227  , -61690.5    , array([ 1.08488    ,  0.0128657  ,  1.58934e-32,  9.49345e-34,  0.000222366])
304228  , -61690.6    , array([ 1.08596    ,  0.0128657  ,  1.58934e-32,  9.49345e-34,  0.000222366])
304229  , -61705.1    , array([ 1.08488    ,  0.0128786  ,  1.58934e-32,  9.49345e-34,  0.000222366])
304230  , -61690.5    , array([ 1.08488    ,  0.0128657  ,  1.59093e-32,  9.49345e-34,  0.000222366])
304231  , -61690.5    , array([ 1.08488    ,  0.0128657  ,  1.58934e-32,  9.50295e-34,  0.000222366])
304232  , -61675.7    , array([ 1.08488    ,  0.0128657  ,  1.58934e-32,  9.49345e-34,  0.000222588])
304240  , -61503.5    , array([ 1.08399    ,  0.0127902  ,  1.58934e-32,  9.49345e-34,  0.000223871])
304241  , -61503.5    , array([ 1.08399    ,  0.0127902  ,  1.58934e-32,  9.49345e-34,  0.000223871])
304242  , -61503.6    , array([ 1.08507    ,  0.0127902  ,  1.58934e-32,  9.49345e-34,  0.000223871])
304243  , -61518.3    , array([ 1.08399    ,  0.0128029  ,  1.58934e-32,  9.49345e-34,  0.000223871])
304244  , -61503.5    , array([ 1.08399    ,  0.0127902  ,  1.59093e-32,  9.49345e-34,  0.000223871])
304245  , -61503.5    , array([ 1.08399    ,  0.0127902  ,  1.58934e-32,  9.50295e-34,  0.000223871])
304246  , -61488.6    , array([ 1.08399    ,  0.0127902  ,  1.58934e-32,  9.49345e-34,  0.000224095])
304247  , -61313.5    , array([ 1.08309    ,  0.0127144  ,  1.58934e-32,  9.49345e-34,  0.000225399])
304248  , -61313.5    , array([ 1.08309    ,  0.0127144  ,  1.58934e-32,  9.49345e-34,  0.000225399])
304249  , -61313.6    , array([ 1.08418    ,  0.0127144  ,  1.58934e-32,  9.49345e-34,  0.000225399])
304250  , -61328.4    , array([ 1.08309    ,  0.0127272  ,  1.58934e-32,  9.49345e-34,  0.000225399])
304251  , -61313.5    , array([ 1.08309    ,  0.0127144  ,  1.59093e-32,  9.49345e-34,  0.000225399])
304252  , -61313.5    , array([ 1.08309    ,  0.0127144  ,  1.58934e-32,  9.50295e-34,  0.000225399])
304253  , -61298.5    , array([ 1.08309    ,  0.0127144  ,  1.58934e-32,  9.49345e-34,  0.000225624])
304261  , -61265.3    , array([ 1.08287    ,  0.0126954  ,  1.58934e-32,  9.49345e-34,  0.000225785])
304262  , -61265.3    , array([ 1.08287    ,  0.0126954  ,  1.58934e-32,  9.49345e-34,  0.000225785])
304263  , -61265.4    , array([ 1.08395    ,  0.0126954  ,  1.58934e-32,  9.49345e-34,  0.000225785])
304264  , -61280.3    , array([ 1.08287    ,  0.0127081  ,  1.58934e-32,  9.49345e-34,  0.000225785])
304265  , -61265.3    , array([ 1.08287    ,  0.0126954  ,  1.59093e-32,  9.49345e-34,  0.000225785])
304266  , -61265.3    , array([ 1.08287    ,  0.0126954  ,  1.58934e-32,  9.50295e-34,  0.000225785])
304267  , -61250.2    , array([ 1.08287    ,  0.0126954  ,  1.58934e-32,  9.49345e-34,  0.000226011])
304268  , -61216.9    , array([ 1.08264    ,  0.0126764  ,  1.58934e-32,  9.49345e-34,  0.000226174])
304269  , -61216.9    , array([ 1.08264    ,  0.0126764  ,  1.58934e-32,  9.49345e-34,  0.000226174])
304270  , -61217.1    , array([ 1.08373    ,  0.0126764  ,  1.58934e-32,  9.49345e-34,  0.000226174])
304271  , -61231.9    , array([ 1.08264    ,  0.0126891  ,  1.58934e-32,  9.49345e-34,  0.000226174])
304272  , -61216.9    , array([ 1.08264    ,  0.0126764  ,  1.59093e-32,  9.49345e-34,  0.000226174])
304273  , -61216.9    , array([ 1.08264    ,  0.0126764  ,  1.58934e-32,  9.50295e-34,  0.000226174])
304274  , -61201.8    , array([ 1.08264    ,  0.0126764  ,  1.58934e-32,  9.49345e-34,  0.0002264  ])
304282  , -61204.8    , array([ 1.08259    ,  0.0126716  ,  1.58934e-32,  9.49345e-34,  0.000226271])
304283  , -61204.8    , array([ 1.08259    ,  0.0126716  ,  1.58934e-32,  9.49345e-34,  0.000226271])
304284  , -61204.9    , array([ 1.08367    ,  0.0126716  ,  1.58934e-32,  9.49345e-34,  0.000226271])
304285  , -61219.8    , array([ 1.08259    ,  0.0126843  ,  1.58934e-32,  9.49345e-34,  0.000226271])
304286  , -61204.8    , array([ 1.08259    ,  0.0126716  ,  1.59093e-32,  9.49345e-34,  0.000226271])
304287  , -61204.8    , array([ 1.08259    ,  0.0126716  ,  1.58934e-32,  9.50295e-34,  0.000226271])
304288  , -61189.7    , array([ 1.08259    ,  0.0126716  ,  1.58934e-32,  9.49345e-34,  0.000226497])
304289  , -61192.7    , array([ 1.08253    ,  0.0126669  ,  1.58934e-32,  9.49345e-34,  0.000226368])
304290  , -61192.7    , array([ 1.08253    ,  0.0126669  ,  1.58934e-32,  9.49345e-34,  0.000226368])
304291  , -61192.8    , array([ 1.08361    ,  0.0126669  ,  1.58934e-32,  9.49345e-34,  0.000226368])
304292  , -61207.7    , array([ 1.08253    ,  0.0126795  ,  1.58934e-32,  9.49345e-34,  0.000226368])
304293  , -61192.7    , array([ 1.08253    ,  0.0126669  ,  1.59093e-32,  9.49345e-34,  0.000226368])
304294  , -61192.7    , array([ 1.08253    ,  0.0126669  ,  1.58934e-32,  9.50295e-34,  0.000226368])
304295  , -61177.6    , array([ 1.08253    ,  0.0126669  ,  1.58934e-32,  9.49345e-34,  0.000226595])
304296  , -2844.2     , array([ 0.900935   ,  0.00338194 ,  1.58934e-32,  9.49345e-34,  0.00102699 ])
304297  , -2844.2     , array([ 0.900935   ,  0.00338194 ,  1.58934e-32,  9.49345e-34,  0.00102699 ])
304298  , -2844.23    , array([ 0.901836   ,  0.00338194 ,  1.58934e-32,  9.49345e-34,  0.00102699 ])
304299  , -2848.16    , array([ 0.900935   ,  0.00338533 ,  1.58934e-32,  9.49345e-34,  0.00102699 ])
304300  , -2844.2     , array([ 0.900935   ,  0.00338194 ,  1.59093e-32,  9.49345e-34,  0.00102699 ])
304301  , -2844.2     , array([ 0.900935   ,  0.00338194 ,  1.58934e-32,  9.50295e-34,  0.00102699 ])
304302  , -2840.16    , array([ 0.900935   ,  0.00338194 ,  1.58934e-32,  9.49345e-34,  0.00102802 ])
304303  , -2588.7     , array([ 0.892767   ,  0.00316753 ,  1.58934e-32,  9.49345e-34,  0.00110698 ])
304304  , -2588.7     , array([ 0.892767   ,  0.00316753 ,  1.58934e-32,  9.49345e-34,  0.00110698 ])
304305  , -2588.73    , array([ 0.89366    ,  0.00316753 ,  1.58934e-32,  9.49345e-34,  0.00110698 ])
304306  , -2588.24    , array([ 0.892767   ,  0.0031707  ,  1.58934e-32,  9.49345e-34,  0.00110698 ])
304307  , -2588.7     , array([ 0.892767   ,  0.00316753 ,  1.59093e-32,  9.49345e-34,  0.00110698 ])
304308  , -2588.7     , array([ 0.892767   ,  0.00316753 ,  1.58934e-32,  9.50295e-34,  0.00110698 ])
304309  , -2589.07    , array([ 0.892767   ,  0.00316753 ,  1.58934e-32,  9.49345e-34,  0.00110809 ])
304310  , -2586.1     , array([ 0.893523   ,  0.00318688 ,  1.58934e-32,  9.49345e-34,  0.00109929 ])
304311  , -2586.1     , array([ 0.893523   ,  0.00318688 ,  1.58934e-32,  9.49345e-34,  0.00109929 ])
304312  , -2586.13    , array([ 0.894417   ,  0.00318688 ,  1.58934e-32,  9.49345e-34,  0.00109929 ])
304313  , -2586.06    , array([ 0.893523   ,  0.00319007 ,  1.58934e-32,  9.49345e-34,  0.00109929 ])
304314  , -2586.1     , array([ 0.893523   ,  0.00318688 ,  1.59093e-32,  9.49345e-34,  0.00109929 ])
304315  , -2586.1     , array([ 0.893523   ,  0.00318688 ,  1.58934e-32,  9.50295e-34,  0.00109929 ])
304316  , -2586.05    , array([ 0.893523   ,  0.00318688 ,  1.58934e-32,  9.49345e-34,  0.00110039 ])
304324  , -2642.9     , array([ 0.887928   ,  0.00311327 ,  1.58934e-32,  9.49345e-34,  0.00114026 ])
304325  , -2642.9     , array([ 0.887928   ,  0.00311327 ,  1.58934e-32,  9.49345e-34,  0.00114026 ])
304326  , -2642.92    , array([ 0.888816   ,  0.00311327 ,  1.58934e-32,  9.49345e-34,  0.00114026 ])
304327  , -2640.9     , array([ 0.887928   ,  0.00311638 ,  1.58934e-32,  9.49345e-34,  0.00114026 ])
304328  , -2642.9     , array([ 0.887928   ,  0.00311327 ,  1.59093e-32,  9.49345e-34,  0.00114026 ])
304329  , -2642.9     , array([ 0.887928   ,  0.00311327 ,  1.58934e-32,  9.50295e-34,  0.00114026 ])
304330  , -2644.78    , array([ 0.887928   ,  0.00311327 ,  1.58934e-32,  9.49345e-34,  0.0011414  ])
304331  , -2586.09    , array([ 0.893469   ,  0.00318616 ,  1.58934e-32,  9.49345e-34,  0.00109968 ])
304332  , -2586.09    , array([ 0.893469   ,  0.00318616 ,  1.58934e-32,  9.49345e-34,  0.00109968 ])
304333  , -2586.12    , array([ 0.894363   ,  0.00318616 ,  1.58934e-32,  9.49345e-34,  0.00109968 ])
304334  , -2586.03    , array([ 0.893469   ,  0.00318935 ,  1.58934e-32,  9.49345e-34,  0.00109968 ])
304335  , -2586.09    , array([ 0.893469   ,  0.00318616 ,  1.59093e-32,  9.49345e-34,  0.00109968 ])
304336  , -2586.09    , array([ 0.893469   ,  0.00318616 ,  1.58934e-32,  9.50295e-34,  0.00109968 ])
304337  , -2586.06    , array([ 0.893469   ,  0.00318616 ,  1.58934e-32,  9.49345e-34,  0.00110078 ])
304338  , -2586.08    , array([ 0.893182   ,  0.00318638 ,  1.58934e-32,  9.49345e-34,  0.00109975 ])
304339  , -2586.08    , array([ 0.893182   ,  0.00318638 ,  1.58934e-32,  9.49345e-34,  0.00109975 ])
304340  , -2586.1     , array([ 0.894076   ,  0.00318638 ,  1.58934e-32,  9.49345e-34,  0.00109975 ])
