266840  , -235840     , array([ 0.00673741 ,  0.243306   ,  4.22722e-39,  4.053e-47  ,  0.0199232  ])
266841  , -235679     , array([ 0.00674415 ,  0.243306   ,  4.22722e-39,  4.053e-47  ,  0.0199232  ])
266842  , -235853     , array([ 0.00673741 ,  0.24355    ,  4.22722e-39,  4.053e-47  ,  0.0199232  ])
266843  , -235840     , array([ 0.00673741 ,  0.243306   ,  4.23145e-39,  4.053e-47  ,  0.0199232  ])
266844  , -235840     , array([ 0.00673741 ,  0.243306   ,  4.22722e-39,  4.05706e-47,  0.0199232  ])
266845  , -235966     , array([ 0.00673741 ,  0.243306   ,  4.22722e-39,  4.053e-47  ,  0.0199432  ])
266846  , -235840     , array([ 0.00673741 ,  0.243306   ,  4.22722e-39,  4.053e-47  ,  0.0199232  ])
266847  , -100513     , array([ 0.0148792  ,  0.227845   ,  4.22722e-39,  4.053e-47  ,  0.010686   ])
266848  , -100513     , array([ 0.0148792  ,  0.227845   ,  4.22722e-39,  4.053e-47  ,  0.010686   ])
266849  , -100442     , array([ 0.0148941  ,  0.227845   ,  4.22722e-39,  4.053e-47  ,  0.010686   ])
266850  , -100525     , array([ 0.0148792  ,  0.228073   ,  4.22722e-39,  4.053e-47  ,  0.010686   ])
266851  , -100513     , array([ 0.0148792  ,  0.227845   ,  4.23145e-39,  4.053e-47  ,  0.010686   ])
266852  , -100513     , array([ 0.0148792  ,  0.227845   ,  4.22722e-39,  4.05706e-47,  0.010686   ])
266853  , -100564     , array([ 0.0148792  ,  0.227845   ,  4.22722e-39,  4.053e-47  ,  0.0106967  ])
266861  , -100388     , array([ 0.0149246  ,  0.225991   ,  4.22722e-39,  4.053e-47  ,  0.0107262  ])
266862  , -100388     , array([ 0.0149246  ,  0.225991   ,  4.22722e-39,  4.053e-47  ,  0.0107262  ])
266863  , -100317     , array([ 0.0149395  ,  0.225991   ,  4.22722e-39,  4.053e-47  ,  0.0107262  ])
266864  , -100400     , array([ 0.0149246  ,  0.226217   ,  4.22722e-39,  4.053e-47  ,  0.0107262  ])
266865  , -100388     , array([ 0.0149246  ,  0.225991   ,  4.23145e-39,  4.053e-47  ,  0.0107262  ])
