83145   , -79089.4    , array([ 0.173      ,  1.06461    ,  1.76711e-11,  2.43468e-69,  2.51972e-10])
83146   , -79089.4    , array([ 0.173173   ,  1.06461    ,  1.76711e-11,  2.43468e-69,  2.51972e-10])
83147   , -79089.4    , array([ 0.173      ,  1.06567    ,  1.76711e-11,  2.43468e-69,  2.51972e-10])
83148   , -79089.4    , array([ 0.173      ,  1.06461    ,  1.76887e-11,  2.43468e-69,  2.51972e-10])
83149   , -79089.4    , array([ 0.173      ,  1.06461    ,  1.76711e-11,  2.43712e-69,  2.51972e-10])
83150   , -79089.4    , array([ 0.173      ,  1.06461    ,  1.76711e-11,  2.43468e-69,  2.52224e-10])
83151   , -79089.4    , array([ 0.173      ,  1.06461    ,  1.76711e-11,  2.43468e-69,  2.51972e-10])
83152   , -79089.4    , array([ 0.172799   ,  1.06431    ,  1.76711e-11,  2.43468e-69,  2.52336e-10])
83153   , -79089.4    , array([ 0.172799   ,  1.06431    ,  1.76711e-11,  2.43468e-69,  2.52336e-10])
83154   , -79089.4    , array([ 0.172972   ,  1.06431    ,  1.76711e-11,  2.43468e-69,  2.52336e-10])
83155   , -79089.4    , array([ 0.172799   ,  1.06537    ,  1.76711e-11,  2.43468e-69,  2.52336e-10])
83156   , -79089.4    , array([ 0.172799   ,  1.06431    ,  1.76887e-11,  2.43468e-69,  2.52336e-10])
83157   , -79089.4    , array([ 0.172799   ,  1.06431    ,  1.76711e-11,  2.43712e-69,  2.52336e-10])
83158   , -79089.4    , array([ 0.172799   ,  1.06431    ,  1.76711e-11,  2.43468e-69,  2.52589e-10])
83159   , -79089.4    , array([ 0.171997   ,  1.06313    ,  1.76711e-11,  2.43468e-69,  2.538e-10  ])
83160   , -79089.4    , array([ 0.171997   ,  1.06313    ,  1.76711e-11,  2.43468e-69,  2.538e-10  ])
83161   , -79089.4    , array([ 0.172169   ,  1.06313    ,  1.76711e-11,  2.43468e-69,  2.538e-10  ])
83162   , -79089.4    , array([ 0.171997   ,  1.06419    ,  1.76711e-11,  2.43468e-69,  2.538e-10  ])
83163   , -79089.4    , array([ 0.171997   ,  1.06313    ,  1.76887e-11,  2.43468e-69,  2.538e-10  ])
83164   , -79089.4    , array([ 0.171997   ,  1.06313    ,  1.76711e-11,  2.43712e-69,  2.538e-10  ])
83165   , -79089.4    , array([ 0.171997   ,  1.06313    ,  1.76711e-11,  2.43468e-69,  2.54054e-10])
83166   , -79089.4    , array([ 0.168827   ,  1.05841    ,  1.76711e-11,  2.43468e-69,  2.59742e-10])
83167   , -79089.4    , array([ 0.168827   ,  1.05841    ,  1.76711e-11,  2.43468e-69,  2.59742e-10])
83168   , -79089.4    , array([ 0.168996   ,  1.05841    ,  1.76711e-11,  2.43468e-69,  2.59742e-10])
83169   , -79089.4    , array([ 0.168827   ,  1.05947    ,  1.76711e-11,  2.43468e-69,  2.59742e-10])
83170   , -79089.4    , array([ 0.168827   ,  1.05841    ,  1.76887e-11,  2.43468e-69,  2.59742e-10])
