101983  , -79089.4    , array([ 0.0223028  ,  1.7318     ,  6.16696e-40,  9.56293e-67,  2.00504e-10])
101984  , -79089.4    , array([ 0.0223251  ,  1.7318     ,  6.16696e-40,  9.56293e-67,  2.00504e-10])
101985  , -79089.4    , array([ 0.0223028  ,  1.73353    ,  6.16696e-40,  9.56293e-67,  2.00504e-10])
101986  , -79089.4    , array([ 0.0223028  ,  1.7318     ,  6.17313e-40,  9.56293e-67,  2.00504e-10])
101987  , -79089.4    , array([ 0.0223028  ,  1.7318     ,  6.16696e-40,  9.5725e-67 ,  2.00504e-10])
101988  , -79089.4    , array([ 0.0223028  ,  1.7318     ,  6.16696e-40,  9.56293e-67,  2.00705e-10])
101989  , -79089.4    , array([ 0.0223028  ,  1.7318     ,  6.16696e-40,  9.56293e-67,  2.00504e-10])
101990  , -79089.4    , array([ 0.0221434  ,  1.73156    ,  6.16696e-40,  9.56293e-67,  2.01978e-10])
101991  , -79089.4    , array([ 0.0221434  ,  1.73156    ,  6.16696e-40,  9.56293e-67,  2.01978e-10])
101992  , -79089.4    , array([ 0.0221655  ,  1.73156    ,  6.16696e-40,  9.56293e-67,  2.01978e-10])
101993  , -79089.4    , array([ 0.0221434  ,  1.73329    ,  6.16696e-40,  9.56293e-67,  2.01978e-10])
101994  , -79089.4    , array([ 0.0221434  ,  1.73156    ,  6.17313e-40,  9.56293e-67,  2.01978e-10])
101995  , -79089.4    , array([ 0.0221434  ,  1.73156    ,  6.16696e-40,  9.5725e-67 ,  2.01978e-10])
101996  , -79089.4    , array([ 0.0221434  ,  1.73156    ,  6.16696e-40,  9.56293e-67,  2.0218e-10 ])
101997  , -79089.4    , array([ 0.0215168  ,  1.73062    ,  6.16696e-40,  9.56293e-67,  2.07981e-10])
101998  , -79089.4    , array([ 0.0215168  ,  1.73062    ,  6.16696e-40,  9.56293e-67,  2.07981e-10])
101999  , -79089.4    , array([ 0.0215383  ,  1.73062    ,  6.16696e-40,  9.56293e-67,  2.07981e-10])
102000  , -79089.4    , array([ 0.0215168  ,  1.73235    ,  6.16696e-40,  9.56293e-67,  2.07981e-10])
102001  , -79089.4    , array([ 0.0215168  ,  1.73062    ,  6.17313e-40,  9.56293e-67,  2.07981e-10])
102002  , -79089.4    , array([ 0.0215168  ,  1.73062    ,  6.16696e-40,  9.5725e-67 ,  2.07981e-10])
102003  , -79089.4    , array([ 0.0215168  ,  1.73062    ,  6.16696e-40,  9.56293e-67,  2.08189e-10])
102004  , -79089.4    , array([ 0.0191828  ,  1.72686    ,  6.16696e-40,  9.56293e-67,  2.33834e-10])
102005  , -79089.4    , array([ 0.0191828  ,  1.72686    ,  6.16696e-40,  9.56293e-67,  2.33834e-10])
102006  , -79089.4    , array([ 0.019202   ,  1.72686    ,  6.16696e-40,  9.56293e-67,  2.33834e-10])
102007  , -79089.4    , array([ 0.0191828  ,  1.72859    ,  6.16696e-40,  9.56293e-67,  2.33834e-10])
102008  , -79089.4    , array([ 0.0191828  ,  1.72686    ,  6.17313e-40,  9.56293e-67,  2.33834e-10])
102009  , -79089.4    , array([ 0.0191828  ,  1.72686    ,  6.16696e-40,  9.5725e-67 ,  2.33834e-10])
102010  , -79089.4    , array([ 0.0191828  ,  1.72686    ,  6.16696e-40,  9.56293e-67,  2.34068e-10])
102011  , -79089.4    , array([ 0.0121186  ,  1.71191    ,  6.16696e-40,  9.56293e-67,  3.73628e-10])
102012  , -79089.4    , array([ 0.0121186  ,  1.71191    ,  6.16696e-40,  9.56293e-67,  3.73628e-10])
102013  , -79089.4    , array([ 0.0121307  ,  1.71191    ,  6.16696e-40,  9.56293e-67,  3.73628e-10])
102014  , -79089.4    , array([ 0.0121186  ,  1.71362    ,  6.16696e-40,  9.56293e-67,  3.73628e-10])
102015  , -79089.4    , array([ 0.0121186  ,  1.71191    ,  6.17313e-40,  9.56293e-67,  3.73628e-10])
102016  , -79089.4    , array([ 0.0121186  ,  1.71191    ,  6.16696e-40,  9.5725e-67 ,  3.73628e-10])
102017  , -79089.4    , array([ 0.0121186  ,  1.71191    ,  6.16696e-40,  9.56293e-67,  3.74002e-10])
102018  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102019  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102020  , -79088.4    , array([ 0.00193215 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102021  , -79088.4    , array([ 0.00193022 ,  1.65503    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102022  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.17313e-40,  9.56293e-67,  2.43538e-09])
102023  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.5725e-67 ,  2.43538e-09])
102024  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43782e-09])
102032  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102033  , -79088.4    , array([ 0.00193022 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
102034  , -79088.4    , array([ 0.00193215 ,  1.65338    ,  6.16696e-40,  9.56293e-67,  2.43538e-09])
