126348  , -78825.3    , array([ 10.4435    ,  0.773725   ,  1.22771e-35,  3.06773    ,  0.000164901])
126349  , -78825.3    , array([ 10.454     ,  0.773725   ,  1.22771e-35,  3.06773    ,  0.000164901])
126350  , -78825.6    , array([ 10.4435    ,  0.7745     ,  1.22771e-35,  3.06773    ,  0.000164901])
126351  , -78825.3    , array([ 10.4435    ,  0.773725   ,  1.22894e-35,  3.06773    ,  0.000164901])
126352  , -78825.3    , array([ 10.4435    ,  0.773725   ,  1.22771e-35,  3.0708     ,  0.000164901])
126353  , -78825      , array([ 10.4435    ,  0.773725   ,  1.22771e-35,  3.06773    ,  0.000165065])
126354  , -78825.3    , array([ 10.4435    ,  0.773725   ,  1.22771e-35,  3.06773    ,  0.000164901])
126355  , -78026.3    , array([ 10.0851    ,  0.386777   ,  1.22771e-35,  3.05971    ,  0.000343403])
126356  , -78026.3    , array([ 10.0851    ,  0.386777   ,  1.22771e-35,  3.05971    ,  0.000343403])
126357  , -78026.3    , array([ 10.0952    ,  0.386777   ,  1.22771e-35,  3.05971    ,  0.000343403])
126358  , -78027.3    , array([ 10.0851    ,  0.387164   ,  1.22771e-35,  3.05971    ,  0.000343403])
126359  , -78026.3    , array([ 10.0851    ,  0.386777   ,  1.22894e-35,  3.05971    ,  0.000343403])
126360  , -78026.3    , array([ 10.0851    ,  0.386777   ,  1.22771e-35,  3.06278    ,  0.000343403])
126361  , -78025.3    , array([ 10.0851    ,  0.386777   ,  1.22771e-35,  3.05971    ,  0.000343747])
126362  , -3537.13    , array([ 8.77027    ,  0.0241522  ,  1.22771e-35,  3.02787    ,  0.00645851 ])
126363  , -3537.13    , array([ 8.77027    ,  0.0241522  ,  1.22771e-35,  3.02787    ,  0.00645851 ])
126364  , -3537.15    , array([ 8.77905    ,  0.0241522  ,  1.22771e-35,  3.02787    ,  0.00645851 ])
126365  , -3546.05    , array([ 8.77027    ,  0.0241763  ,  1.22771e-35,  3.02787    ,  0.00645851 ])
126366  , -3537.13    , array([ 8.77027    ,  0.0241522  ,  1.22894e-35,  3.02787    ,  0.00645851 ])
126367  , -3537.34    , array([ 8.77027    ,  0.0241522  ,  1.22771e-35,  3.0309     ,  0.00645851 ])
126368  , -3528.22    , array([ 8.77027    ,  0.0241522  ,  1.22771e-35,  3.02787    ,  0.00646497 ])
126376  , -3468.87    , array([ 8.76861    ,  0.0240615  ,  1.22771e-35,  3.02783    ,  0.00648426 ])
126377  , -3468.87    , array([ 8.76861    ,  0.0240615  ,  1.22771e-35,  3.02783    ,  0.00648426 ])
126378  , -3468.89    , array([ 8.77738    ,  0.0240615  ,  1.22771e-35,  3.02783    ,  0.00648426 ])
126379  , -3477.59    , array([ 8.76861    ,  0.0240856  ,  1.22771e-35,  3.02783    ,  0.00648426 ])
126380  , -3468.87    , array([ 8.76861    ,  0.0240615  ,  1.22894e-35,  3.02783    ,  0.00648426 ])
126381  , -3469.07    , array([ 8.76861    ,  0.0240615  ,  1.22771e-35,  3.03086    ,  0.00648426 ])
126382  , -3460.16    , array([ 8.76861    ,  0.0240615  ,  1.22771e-35,  3.02783    ,  0.00649075 ])
126383  , -2103.29    , array([ 8.69815    ,  0.0205002  ,  1.22771e-35,  3.026      ,  0.00768169 ])
126384  , -2103.29    , array([ 8.69815    ,  0.0205002  ,  1.22771e-35,  3.026      ,  0.00768169 ])
126385  , -2103.31    , array([ 8.70686    ,  0.0205002  ,  1.22771e-35,  3.026      ,  0.00768169 ])
126386  , -2102.46    , array([ 8.69815    ,  0.0205208  ,  1.22771e-35,  3.026      ,  0.00768169 ])
126387  , -2103.29    , array([ 8.69815    ,  0.0205002  ,  1.22894e-35,  3.026      ,  0.00768169 ])
126388  , -2103.21    , array([ 8.69815    ,  0.0205002  ,  1.22771e-35,  3.02903    ,  0.00768169 ])
126389  , -2103.68    , array([ 8.69815    ,  0.0205002  ,  1.22771e-35,  3.026      ,  0.00768937 ])
126390  , -2097.11    , array([ 8.70271    ,  0.0207146  ,  1.22771e-35,  3.02612    ,  0.00759761 ])
126391  , -2097.11    , array([ 8.70271    ,  0.0207146  ,  1.22771e-35,  3.02612    ,  0.00759761 ])
126392  , -2097.13    , array([ 8.71142    ,  0.0207146  ,  1.22771e-35,  3.02612    ,  0.00759761 ])
126393  , -2096.94    , array([ 8.70271    ,  0.0207353  ,  1.22771e-35,  3.02612    ,  0.00759761 ])
126394  , -2097.11    , array([ 8.70271    ,  0.0207146  ,  1.22894e-35,  3.02612    ,  0.00759761 ])
126395  , -2097.06    , array([ 8.70271    ,  0.0207146  ,  1.22771e-35,  3.02914    ,  0.00759761 ])
126396  , -2096.89    , array([ 8.70271    ,  0.0207146  ,  1.22771e-35,  3.02612    ,  0.00760521 ])
126404  , -2136.69    , array([ 8.65685    ,  0.0208355  ,  1.22771e-35,  3.05729    ,  0.0081569  ])
126405  , -2136.69    , array([ 8.65685    ,  0.0208355  ,  1.22771e-35,  3.05729    ,  0.0081569  ])
126406  , -2136.71    , array([ 8.66552    ,  0.0208355  ,  1.22771e-35,  3.05729    ,  0.0081569  ])
126407  , -2134.6     , array([ 8.65685    ,  0.0208564  ,  1.22771e-35,  3.05729    ,  0.0081569  ])
126408  , -2136.69    , array([ 8.65685    ,  0.0208355  ,  1.22894e-35,  3.05729    ,  0.0081569  ])
126409  , -2136.56    , array([ 8.65685    ,  0.0208355  ,  1.22771e-35,  3.06035    ,  0.0081569  ])
126410  , -2138.27    , array([ 8.65685    ,  0.0208355  ,  1.22771e-35,  3.05729    ,  0.00816507 ])
126411  , -2095.66    , array([ 8.69562    ,  0.0207332  ,  1.22771e-35,  3.0309     ,  0.0076813  ])
126412  , -2095.66    , array([ 8.69562    ,  0.0207332  ,  1.22771e-35,  3.0309     ,  0.0076813  ])
126413  , -2095.68    , array([ 8.70432    ,  0.0207332  ,  1.22771e-35,  3.0309     ,  0.0076813  ])
126414  , -2095.19    , array([ 8.69562    ,  0.020754   ,  1.22771e-35,  3.0309     ,  0.0076813  ])
126415  , -2095.66    , array([ 8.69562    ,  0.0207332  ,  1.22894e-35,  3.0309     ,  0.0076813  ])
126416  , -2095.59    , array([ 8.69562    ,  0.0207332  ,  1.22771e-35,  3.03394    ,  0.0076813  ])
126417  , -2095.72    , array([ 8.69562    ,  0.0207332  ,  1.22771e-35,  3.0309     ,  0.00768898 ])
126418  , -2092.55    , array([ 8.55086    ,  0.0208377  ,  1.22771e-35,  3.05736    ,  0.00772512 ])
126419  , -2092.55    , array([ 8.55086    ,  0.0208377  ,  1.22771e-35,  3.05736    ,  0.00772512 ])
126420  , -2092.58    , array([ 8.55942    ,  0.0208377  ,  1.22771e-35,  3.05736    ,  0.00772512 ])
126421  , -2092.09    , array([ 8.55086    ,  0.0208586  ,  1.22771e-35,  3.05736    ,  0.00772512 ])
126422  , -2092.55    , array([ 8.55086    ,  0.0208377  ,  1.22894e-35,  3.05736    ,  0.00772512 ])
126423  , -2092.49    , array([ 8.55086    ,  0.0208377  ,  1.22771e-35,  3.06042    ,  0.00772512 ])
126424  , -2092.61    , array([ 8.55086    ,  0.0208377  ,  1.22771e-35,  3.05736    ,  0.00773285 ])
126425  , -2079.94    , array([ 7.9955     ,  0.021261   ,  1.22771e-35,  3.16552    ,  0.00790292 ])
126426  , -2079.94    , array([ 7.9955     ,  0.021261   ,  1.22771e-35,  3.16552    ,  0.00790292 ])
126427  , -2079.96    , array([ 8.0035     ,  0.021261   ,  1.22771e-35,  3.16552    ,  0.00790292 ])
126428  , -2079.47    , array([ 7.9955     ,  0.0212823  ,  1.22771e-35,  3.16552    ,  0.00790292 ])
126429  , -2079.94    , array([ 7.9955     ,  0.021261   ,  1.22894e-35,  3.16552    ,  0.00790292 ])
126430  , -2079.87    , array([ 7.9955     ,  0.021261   ,  1.22771e-35,  3.16869    ,  0.00790292 ])
126431  , -2079.99    , array([ 7.9955     ,  0.021261   ,  1.22771e-35,  3.16552    ,  0.00791083 ])
126432  , -2026.19    , array([ 6.11209    ,  0.0230419  ,  1.22771e-35,  3.63781    ,  0.00865599 ])
126433  , -2026.19    , array([ 6.11209    ,  0.0230419  ,  1.22771e-35,  3.63781    ,  0.00865599 ])
126434  , -2026.22    , array([ 6.11821    ,  0.0230419  ,  1.22771e-35,  3.63781    ,  0.00865599 ])
126435  , -2025.75    , array([ 6.11209    ,  0.023065   ,  1.22771e-35,  3.63781    ,  0.00865599 ])
126436  , -2026.19    , array([ 6.11209    ,  0.0230419  ,  1.22894e-35,  3.63781    ,  0.00865599 ])
126437  , -2026.11    , array([ 6.11209    ,  0.0230419  ,  1.22771e-35,  3.64145    ,  0.00865599 ])
126438  , -2026.2     , array([ 6.11209    ,  0.0230419  ,  1.22771e-35,  3.63781    ,  0.00866466 ])
126439  , -1775.46    , array([ 2.08721    ,  0.0317878  ,  1.22771e-35,  6.34479    ,  0.0124576  ])
126440  , -1775.46    , array([ 2.08721    ,  0.0317878  ,  1.22771e-35,  6.34479    ,  0.0124576  ])
126441  , -1775.54    , array([ 2.0893     ,  0.0317878  ,  1.22771e-35,  6.34479    ,  0.0124576  ])
126442  , -1776.02    , array([ 2.08721    ,  0.0318196  ,  1.22771e-35,  6.34479    ,  0.0124576  ])
126443  , -1775.46    , array([ 2.08721    ,  0.0317878  ,  1.22894e-35,  6.34479    ,  0.0124576  ])
126444  , -1775.48    , array([ 2.08721    ,  0.0317878  ,  1.22771e-35,  6.35114    ,  0.0124576  ])
126445  , -1774.57    , array([ 2.08721    ,  0.0317878  ,  1.22771e-35,  6.34479    ,  0.0124701  ])
126453  , -1775.46    , array([ 2.0872     ,  0.0317878  ,  1.22771e-35,  6.34481    ,  0.0124576  ])
126454  , -1775.46    , array([ 2.0872     ,  0.0317878  ,  1.22771e-35,  6.34481    ,  0.0124576  ])
126455  , -1775.54    , array([ 2.08929    ,  0.0317878  ,  1.22771e-35,  6.34481    ,  0.0124576  ])
126456  , -1776.02    , array([ 2.0872     ,  0.0318196  ,  1.22771e-35,  6.34481    ,  0.0124576  ])
126457  , -1775.46    , array([ 2.0872     ,  0.0317878  ,  1.22894e-35,  6.34481    ,  0.0124576  ])
126458  , -1775.48    , array([ 2.0872     ,  0.0317878  ,  1.22771e-35,  6.35116    ,  0.0124576  ])
126459  , -1774.57    , array([ 2.0872     ,  0.0317878  ,  1.22771e-35,  6.34481    ,  0.0124701  ])
126460  , -1775.46    , array([ 2.08718    ,  0.0317879  ,  1.22771e-35,  6.34484    ,  0.0124577  ])
126461  , -1775.46    , array([ 2.08718    ,  0.0317879  ,  1.22771e-35,  6.34484    ,  0.0124577  ])
