145851  , -79089.3    , array([ 3.9837     ,  25.484     ,  1.80672e-32,  6.29864e-52,  3.85322e-07])
145852  , -79089.3    , array([ 3.98769    ,  25.484     ,  1.80672e-32,  6.29864e-52,  3.85322e-07])
145853  , -79089.3    , array([ 3.9837     ,  25.5095    ,  1.80672e-32,  6.29864e-52,  3.85322e-07])
145854  , -79089.3    , array([ 3.9837     ,  25.484     ,  1.80853e-32,  6.29864e-52,  3.85322e-07])
145855  , -79089.3    , array([ 3.9837     ,  25.484     ,  1.80672e-32,  6.30494e-52,  3.85322e-07])
145856  , -79089.3    , array([ 3.9837     ,  25.484     ,  1.80672e-32,  6.29864e-52,  3.85708e-07])
145857  , -79089.3    , array([ 3.9837     ,  25.484     ,  1.80672e-32,  6.29864e-52,  3.85322e-07])
145858  , -79089.3    , array([ 3.6877     ,  25.0355    ,  1.80672e-32,  6.29864e-52,  4.26468e-07])
145859  , -79089.3    , array([ 3.6877     ,  25.0355    ,  1.80672e-32,  6.29864e-52,  4.26468e-07])
145860  , -79089.3    , array([ 3.69139    ,  25.0355    ,  1.80672e-32,  6.29864e-52,  4.26468e-07])
145861  , -79089.3    , array([ 3.6877     ,  25.0605    ,  1.80672e-32,  6.29864e-52,  4.26468e-07])
145862  , -79089.3    , array([ 3.6877     ,  25.0355    ,  1.80853e-32,  6.29864e-52,  4.26468e-07])
145863  , -79089.3    , array([ 3.6877     ,  25.0355    ,  1.80672e-32,  6.30494e-52,  4.26468e-07])
145864  , -79089.3    , array([ 3.6877     ,  25.0355    ,  1.80672e-32,  6.29864e-52,  4.26894e-07])
145865  , -79089.2    , array([ 2.7079     ,  23.319     ,  1.80672e-32,  6.29864e-52,  6.39931e-07])
145866  , -79089.2    , array([ 2.7079     ,  23.319     ,  1.80672e-32,  6.29864e-52,  6.39931e-07])
145867  , -79089.2    , array([ 2.71061    ,  23.319     ,  1.80672e-32,  6.29864e-52,  6.39931e-07])
145868  , -79089.2    , array([ 2.7079     ,  23.3423    ,  1.80672e-32,  6.29864e-52,  6.39931e-07])
145869  , -79089.2    , array([ 2.7079     ,  23.319     ,  1.80853e-32,  6.29864e-52,  6.39931e-07])
145870  , -79089.2    , array([ 2.7079     ,  23.319     ,  1.80672e-32,  6.30494e-52,  6.39931e-07])
145871  , -79089.2    , array([ 2.7079     ,  23.319     ,  1.80672e-32,  6.29864e-52,  6.40571e-07])
145872  , -79085.9    , array([ 0.787297   ,  17.5519    ,  1.80672e-32,  6.29864e-52,  3.24431e-06])
145873  , -79085.9    , array([ 0.787297   ,  17.5519    ,  1.80672e-32,  6.29864e-52,  3.24431e-06])
145874  , -79085.9    , array([ 0.788085   ,  17.5519    ,  1.80672e-32,  6.29864e-52,  3.24431e-06])
145875  , -79085.9    , array([ 0.787297   ,  17.5694    ,  1.80672e-32,  6.29864e-52,  3.24431e-06])
145876  , -79085.9    , array([ 0.787297   ,  17.5519    ,  1.80853e-32,  6.29864e-52,  3.24431e-06])
145877  , -79085.9    , array([ 0.787297   ,  17.5519    ,  1.80672e-32,  6.30494e-52,  3.24431e-06])
145878  , -79085.9    , array([ 0.787297   ,  17.5519    ,  1.80672e-32,  6.29864e-52,  3.24755e-06])
