165643  , -42190.7    , array([ 0.201116   ,  0.931719   ,  4.7572e-23 ,  5.29396e-80,  0.0174909  ])
165644  , -42192.1    , array([ 0.201317   ,  0.931719   ,  4.7572e-23 ,  5.29396e-80,  0.0174909  ])
165645  , -42198.8    , array([ 0.201116   ,  0.932651   ,  4.7572e-23 ,  5.29396e-80,  0.0174909  ])
165646  , -42190.7    , array([ 0.201116   ,  0.931719   ,  4.76196e-23,  5.29396e-80,  0.0174909  ])
165647  , -42190.7    , array([ 0.201116   ,  0.931719   ,  4.7572e-23 ,  5.29925e-80,  0.0174909  ])
165648  , -42179      , array([ 0.201116   ,  0.931719   ,  4.7572e-23 ,  5.29396e-80,  0.0175084  ])
165649  , -42190.7    , array([ 0.201116   ,  0.931719   ,  4.7572e-23 ,  5.29396e-80,  0.0174909  ])
165650  , -32738.9    , array([ 0.18133    ,  0.523332   ,  4.7572e-23 ,  5.29396e-80,  0.0398161  ])
165651  , -32738.9    , array([ 0.18133    ,  0.523332   ,  4.7572e-23 ,  5.29396e-80,  0.0398161  ])
165652  , -32717.5    , array([ 0.181511   ,  0.523332   ,  4.7572e-23 ,  5.29396e-80,  0.0398161  ])
165653  , -32752.3    , array([ 0.18133    ,  0.523856   ,  4.7572e-23 ,  5.29396e-80,  0.0398161  ])
165654  , -32738.9    , array([ 0.18133    ,  0.523332   ,  4.76196e-23,  5.29396e-80,  0.0398161  ])
165655  , -32738.9    , array([ 0.18133    ,  0.523332   ,  4.7572e-23 ,  5.29925e-80,  0.0398161  ])
165656  , -32742.7    , array([ 0.18133    ,  0.523332   ,  4.7572e-23 ,  5.29396e-80,  0.0398559  ])
165657  , -26879.7    , array([ 0.269542   ,  0.18088    ,  4.7572e-23 ,  5.29396e-80,  0.102546   ])
165658  , -26879.7    , array([ 0.269542   ,  0.18088    ,  4.7572e-23 ,  5.29396e-80,  0.102546   ])
165659  , -26851.9    , array([ 0.269812   ,  0.18088    ,  4.7572e-23 ,  5.29396e-80,  0.102546   ])
