179847  , -79088.2    , array([ 0.336629   ,  0.753537   ,  1.156e-31  ,  8.00385e-48,  3.26818e-07])
179848  , -79088.2    , array([ 0.336966   ,  0.753537   ,  1.156e-31  ,  8.00385e-48,  3.26818e-07])
179849  , -79088.2    , array([ 0.336629   ,  0.754291   ,  1.156e-31  ,  8.00385e-48,  3.26818e-07])
179850  , -79088.2    , array([ 0.336629   ,  0.753537   ,  1.15716e-31,  8.00385e-48,  3.26818e-07])
179851  , -79088.2    , array([ 0.336629   ,  0.753537   ,  1.156e-31  ,  8.01185e-48,  3.26818e-07])
179852  , -79088.2    , array([ 0.336629   ,  0.753537   ,  1.156e-31  ,  8.00385e-48,  3.27145e-07])
179853  , -79088.2    , array([ 0.336629   ,  0.753537   ,  1.156e-31  ,  8.00385e-48,  3.26818e-07])
179854  , -79085      , array([ 0.205733   ,  0.545193   ,  1.156e-31  ,  8.00385e-48,  7.42267e-07])
179855  , -79085      , array([ 0.205733   ,  0.545193   ,  1.156e-31  ,  8.00385e-48,  7.42267e-07])
179856  , -79085      , array([ 0.205939   ,  0.545193   ,  1.156e-31  ,  8.00385e-48,  7.42267e-07])
179857  , -79085      , array([ 0.205733   ,  0.545739   ,  1.156e-31  ,  8.00385e-48,  7.42267e-07])
179858  , -79085      , array([ 0.205733   ,  0.545193   ,  1.15716e-31,  8.00385e-48,  7.42267e-07])
179859  , -79085      , array([ 0.205733   ,  0.545193   ,  1.156e-31  ,  8.01185e-48,  7.42267e-07])
179860  , -79084.9    , array([ 0.205733   ,  0.545193   ,  1.156e-31  ,  8.00385e-48,  7.4301e-07 ])
179861  , -78391.7    , array([ 0.028702   ,  0.149395   ,  1.156e-31  ,  8.00385e-48,  1.97503e-05])
179862  , -78391.7    , array([ 0.028702   ,  0.149395   ,  1.156e-31  ,  8.00385e-48,  1.97503e-05])
179863  , -78392.2    , array([ 0.0287308  ,  0.149395   ,  1.156e-31  ,  8.00385e-48,  1.97503e-05])
179864  , -78391.8    , array([ 0.028702   ,  0.149544   ,  1.156e-31  ,  8.00385e-48,  1.97503e-05])
179865  , -78391.7    , array([ 0.028702   ,  0.149395   ,  1.15716e-31,  8.00385e-48,  1.97503e-05])
179866  , -78391.7    , array([ 0.028702   ,  0.149395   ,  1.156e-31  ,  8.01185e-48,  1.97503e-05])
179867  , -78391      , array([ 0.028702   ,  0.149395   ,  1.156e-31  ,  8.00385e-48,  1.97701e-05])
179875  , -78391.3    , array([ 0.0286967  ,  0.149377   ,  1.156e-31  ,  8.00385e-48,  1.97564e-05])
179876  , -78391.3    , array([ 0.0286967  ,  0.149377   ,  1.156e-31  ,  8.00385e-48,  1.97564e-05])
179877  , -78391.9    , array([ 0.0287254  ,  0.149377   ,  1.156e-31  ,  8.00385e-48,  1.97564e-05])
179878  , -78391.5    , array([ 0.0286967  ,  0.149526   ,  1.156e-31  ,  8.00385e-48,  1.97564e-05])
179879  , -78391.3    , array([ 0.0286967  ,  0.149377   ,  1.15716e-31,  8.00385e-48,  1.97564e-05])
179880  , -78391.3    , array([ 0.0286967  ,  0.149377   ,  1.156e-31  ,  8.01185e-48,  1.97564e-05])
179881  , -78390.6    , array([ 0.0286967  ,  0.149377   ,  1.156e-31  ,  8.00385e-48,  1.97762e-05])
179882  , -78391      , array([ 0.0286914  ,  0.149358   ,  1.156e-31  ,  8.00385e-48,  1.97625e-05])
179883  , -78391      , array([ 0.0286914  ,  0.149358   ,  1.156e-31  ,  8.00385e-48,  1.97625e-05])
179884  , -78391.5    , array([ 0.0287201  ,  0.149358   ,  1.156e-31  ,  8.00385e-48,  1.97625e-05])
179885  , -78391.1    , array([ 0.0286914  ,  0.149508   ,  1.156e-31  ,  8.00385e-48,  1.97625e-05])
179886  , -78391      , array([ 0.0286914  ,  0.149358   ,  1.15716e-31,  8.00385e-48,  1.97625e-05])
179887  , -78391      , array([ 0.0286914  ,  0.149358   ,  1.156e-31  ,  8.01185e-48,  1.97625e-05])
179888  , -78390.3    , array([ 0.0286914  ,  0.149358   ,  1.156e-31  ,  8.00385e-48,  1.97823e-05])
179896  , -78390.9    , array([ 0.0286901  ,  0.149354   ,  1.156e-31  ,  8.00385e-48,  1.9764e-05 ])
179897  , -78390.9    , array([ 0.0286901  ,  0.149354   ,  1.156e-31  ,  8.00385e-48,  1.9764e-05 ])
179898  , -78391.5    , array([ 0.0287188  ,  0.149354   ,  1.156e-31  ,  8.00385e-48,  1.9764e-05 ])
179899  , -78391.1    , array([ 0.0286901  ,  0.149503   ,  1.156e-31  ,  8.00385e-48,  1.9764e-05 ])
179900  , -78390.9    , array([ 0.0286901  ,  0.149354   ,  1.15716e-31,  8.00385e-48,  1.9764e-05 ])
179901  , -78390.9    , array([ 0.0286901  ,  0.149354   ,  1.156e-31  ,  8.01185e-48,  1.9764e-05 ])
179902  , -78390.2    , array([ 0.0286901  ,  0.149354   ,  1.156e-31  ,  8.00385e-48,  1.97838e-05])
179903  , -78390.8    , array([ 0.0286888  ,  0.149349   ,  1.156e-31  ,  8.00385e-48,  1.97656e-05])
179904  , -78390.8    , array([ 0.0286888  ,  0.149349   ,  1.156e-31  ,  8.00385e-48,  1.97656e-05])
179905  , -78391.4    , array([ 0.0287175  ,  0.149349   ,  1.156e-31  ,  8.00385e-48,  1.97656e-05])
179906  , -78391      , array([ 0.0286888  ,  0.149499   ,  1.156e-31  ,  8.00385e-48,  1.97656e-05])
179907  , -78390.8    , array([ 0.0286888  ,  0.149349   ,  1.15716e-31,  8.00385e-48,  1.97656e-05])
179908  , -78390.8    , array([ 0.0286888  ,  0.149349   ,  1.156e-31  ,  8.01185e-48,  1.97656e-05])
179909  , -78390.1    , array([ 0.0286888  ,  0.149349   ,  1.156e-31  ,  8.00385e-48,  1.97853e-05])
179910  , -50006.2    , array([ 0.00400296 ,  0.0409287  ,  1.156e-31  ,  8.00385e-48,  0.000525803])
179911  , -50006.2    , array([ 0.00400296 ,  0.0409287  ,  1.156e-31  ,  8.00385e-48,  0.000525803])
179912  , -49996      , array([ 0.00400697 ,  0.0409287  ,  1.156e-31  ,  8.00385e-48,  0.000525803])
179913  , -50012      , array([ 0.00400296 ,  0.0409697  ,  1.156e-31  ,  8.00385e-48,  0.000525803])
179914  , -50006.2    , array([ 0.00400296 ,  0.0409287  ,  1.15716e-31,  8.00385e-48,  0.000525803])
179915  , -50006.2    , array([ 0.00400296 ,  0.0409287  ,  1.156e-31  ,  8.01185e-48,  0.000525803])
179916  , -50010.6    , array([ 0.00400296 ,  0.0409287  ,  1.156e-31  ,  8.00385e-48,  0.000526329])
179917  , -77838.2    , array([ 0.0228351  ,  0.128547   ,  1.156e-31  ,  8.00385e-48,  2.8908e-05 ])
179918  , -77838.2    , array([ 0.0228351  ,  0.128547   ,  1.156e-31  ,  8.00385e-48,  2.8908e-05 ])
179919  , -77839.1    , array([ 0.0228579  ,  0.128547   ,  1.156e-31  ,  8.00385e-48,  2.8908e-05 ])
179920  , -77838.4    , array([ 0.0228351  ,  0.128676   ,  1.156e-31  ,  8.00385e-48,  2.8908e-05 ])
179921  , -77838.2    , array([ 0.0228351  ,  0.128547   ,  1.15716e-31,  8.00385e-48,  2.8908e-05 ])
179922  , -77838.2    , array([ 0.0228351  ,  0.128547   ,  1.156e-31  ,  8.01185e-48,  2.8908e-05 ])
179923  , -77837      , array([ 0.0228351  ,  0.128547   ,  1.156e-31  ,  8.00385e-48,  2.89369e-05])
179924  , -50309.1    , array([ 0.00480063 ,  0.0461208  ,  1.156e-31  ,  8.00385e-48,  0.000388467])
179925  , -50309.1    , array([ 0.00480063 ,  0.0461208  ,  1.156e-31  ,  8.00385e-48,  0.000388467])
179926  , -50310.6    , array([ 0.00480543 ,  0.0461208  ,  1.156e-31  ,  8.00385e-48,  0.000388467])
179927  , -50313.7    , array([ 0.00480063 ,  0.0461669  ,  1.156e-31  ,  8.00385e-48,  0.000388467])
179928  , -50309.1    , array([ 0.00480063 ,  0.0461208  ,  1.15716e-31,  8.00385e-48,  0.000388467])
