190202  , -79074.3    , array([ 0.247549   ,  0.635067   ,  1.33876e-56,  6.47975e-17,  2.9695e-06 ])
190203  , -79074.3    , array([ 0.247797   ,  0.635067   ,  1.33876e-56,  6.47975e-17,  2.9695e-06 ])
190204  , -79074.3    , array([ 0.247549   ,  0.635703   ,  1.33876e-56,  6.47975e-17,  2.9695e-06 ])
190205  , -79074.3    , array([ 0.247549   ,  0.635067   ,  1.3401e-56 ,  6.47975e-17,  2.9695e-06 ])
190206  , -79074.3    , array([ 0.247549   ,  0.635067   ,  1.33876e-56,  6.48623e-17,  2.9695e-06 ])
190207  , -79074.3    , array([ 0.247549   ,  0.635067   ,  1.33876e-56,  6.47975e-17,  2.97247e-06])
190208  , -79074.3    , array([ 0.247549   ,  0.635067   ,  1.33876e-56,  6.47975e-17,  2.9695e-06 ])
190209  , -79036.4    , array([ 0.147715   ,  0.472279   ,  1.33876e-56,  6.47975e-17,  6.7151e-06 ])
190210  , -79036.4    , array([ 0.147715   ,  0.472279   ,  1.33876e-56,  6.47975e-17,  6.7151e-06 ])
190211  , -79036.4    , array([ 0.147863   ,  0.472279   ,  1.33876e-56,  6.47975e-17,  6.7151e-06 ])
190212  , -79036.4    , array([ 0.147715   ,  0.472752   ,  1.33876e-56,  6.47975e-17,  6.7151e-06 ])
190213  , -79036.4    , array([ 0.147715   ,  0.472279   ,  1.3401e-56 ,  6.47975e-17,  6.7151e-06 ])
190214  , -79036.4    , array([ 0.147715   ,  0.472279   ,  1.33876e-56,  6.48623e-17,  6.7151e-06 ])
190215  , -79036.3    , array([ 0.147715   ,  0.472279   ,  1.33876e-56,  6.47975e-17,  6.72181e-06])
190216  , -71307      , array([ 0.0187273  ,  0.14445    ,  1.33876e-56,  6.47975e-17,  0.000175601])
190217  , -71307      , array([ 0.0187273  ,  0.14445    ,  1.33876e-56,  6.47975e-17,  0.000175601])
190218  , -71312.5    , array([ 0.018746   ,  0.14445    ,  1.33876e-56,  6.47975e-17,  0.000175601])
190219  , -71308.2    , array([ 0.0187273  ,  0.144594   ,  1.33876e-56,  6.47975e-17,  0.000175601])
190220  , -71307      , array([ 0.0187273  ,  0.14445    ,  1.3401e-56 ,  6.47975e-17,  0.000175601])
190221  , -71307      , array([ 0.0187273  ,  0.14445    ,  1.33876e-56,  6.48623e-17,  0.000175601])
190222  , -71300.2    , array([ 0.0187273  ,  0.14445    ,  1.33876e-56,  6.47975e-17,  0.000175776])
190230  , -71274.3    , array([ 0.0186912  ,  0.14429    ,  1.33876e-56,  6.47975e-17,  0.000176136])
190231  , -71274.3    , array([ 0.0186912  ,  0.14429    ,  1.33876e-56,  6.47975e-17,  0.000176136])
190232  , -71279.9    , array([ 0.0187099  ,  0.14429    ,  1.33876e-56,  6.47975e-17,  0.000176136])
190233  , -71275.6    , array([ 0.0186912  ,  0.144434   ,  1.33876e-56,  6.47975e-17,  0.000176136])
190234  , -71274.3    , array([ 0.0186912  ,  0.14429    ,  1.3401e-56 ,  6.47975e-17,  0.000176136])
190235  , -71274.3    , array([ 0.0186912  ,  0.14429    ,  1.33876e-56,  6.48623e-17,  0.000176136])
190236  , -71267.5    , array([ 0.0186912  ,  0.14429    ,  1.33876e-56,  6.47975e-17,  0.000176312])
190237  , -71241.5    , array([ 0.0186552  ,  0.14413    ,  1.33876e-56,  6.47975e-17,  0.000176675])
190238  , -71241.5    , array([ 0.0186552  ,  0.14413    ,  1.33876e-56,  6.47975e-17,  0.000176675])
190239  , -71247      , array([ 0.0186738  ,  0.14413    ,  1.33876e-56,  6.47975e-17,  0.000176675])
190240  , -71242.7    , array([ 0.0186552  ,  0.144275   ,  1.33876e-56,  6.47975e-17,  0.000176675])
190241  , -71241.5    , array([ 0.0186552  ,  0.14413    ,  1.3401e-56 ,  6.47975e-17,  0.000176675])
190242  , -71241.5    , array([ 0.0186552  ,  0.14413    ,  1.33876e-56,  6.48623e-17,  0.000176675])
190243  , -71234.6    , array([ 0.0186552  ,  0.14413    ,  1.33876e-56,  6.47975e-17,  0.000176851])
190251  , -71233.2    , array([ 0.0186461  ,  0.14409    ,  1.33876e-56,  6.47975e-17,  0.00017681 ])
190252  , -71233.2    , array([ 0.0186461  ,  0.14409    ,  1.33876e-56,  6.47975e-17,  0.00017681 ])
190253  , -71238.8    , array([ 0.0186648  ,  0.14409    ,  1.33876e-56,  6.47975e-17,  0.00017681 ])
190254  , -71234.4    , array([ 0.0186461  ,  0.144234   ,  1.33876e-56,  6.47975e-17,  0.00017681 ])
190255  , -71233.2    , array([ 0.0186461  ,  0.14409    ,  1.3401e-56 ,  6.47975e-17,  0.00017681 ])
190256  , -71233.2    , array([ 0.0186461  ,  0.14409    ,  1.33876e-56,  6.48623e-17,  0.00017681 ])
190257  , -71226.4    , array([ 0.0186461  ,  0.14409    ,  1.33876e-56,  6.47975e-17,  0.000176987])
190258  , -71224.9    , array([ 0.0186371  ,  0.14405    ,  1.33876e-56,  6.47975e-17,  0.000176945])
190259  , -71224.9    , array([ 0.0186371  ,  0.14405    ,  1.33876e-56,  6.47975e-17,  0.000176945])
190260  , -71230.5    , array([ 0.0186557  ,  0.14405    ,  1.33876e-56,  6.47975e-17,  0.000176945])
190261  , -71226.2    , array([ 0.0186371  ,  0.144194   ,  1.33876e-56,  6.47975e-17,  0.000176945])
190262  , -71224.9    , array([ 0.0186371  ,  0.14405    ,  1.3401e-56 ,  6.47975e-17,  0.000176945])
190263  , -71224.9    , array([ 0.0186371  ,  0.14405    ,  1.33876e-56,  6.48623e-17,  0.000176945])
190264  , -71218.1    , array([ 0.0186371  ,  0.14405    ,  1.33876e-56,  6.47975e-17,  0.000177122])
190265  , -192296     , array([ 0.00236623 ,  0.0440953  ,  1.33876e-56,  6.47975e-17,  0.00461657 ])
190266  , -192296     , array([ 0.00236623 ,  0.0440953  ,  1.33876e-56,  6.47975e-17,  0.00461657 ])
190267  , -192162     , array([ 0.0023686  ,  0.0440953  ,  1.33876e-56,  6.47975e-17,  0.00461657 ])
190268  , -192317     , array([ 0.00236623 ,  0.0441394  ,  1.33876e-56,  6.47975e-17,  0.00461657 ])
190269  , -192296     , array([ 0.00236623 ,  0.0440953  ,  1.3401e-56 ,  6.47975e-17,  0.00461657 ])
190270  , -192296     , array([ 0.00236623 ,  0.0440953  ,  1.33876e-56,  6.48623e-17,  0.00461657 ])
190271  , -192402     , array([ 0.00236623 ,  0.0440953  ,  1.33876e-56,  6.47975e-17,  0.00462118 ])
190272  , -57257.1    , array([ 0.0106778  ,  0.104656   ,  1.33876e-56,  6.47975e-17,  0.000426695])
190273  , -57257.1    , array([ 0.0106778  ,  0.104656   ,  1.33876e-56,  6.47975e-17,  0.000426695])
190274  , -57266      , array([ 0.0106884  ,  0.104656   ,  1.33876e-56,  6.47975e-17,  0.000426695])
190275  , -57260.1    , array([ 0.0106778  ,  0.104761   ,  1.33876e-56,  6.47975e-17,  0.000426695])
190276  , -57257.1    , array([ 0.0106778  ,  0.104656   ,  1.3401e-56 ,  6.47975e-17,  0.000426695])
190277  , -57257.1    , array([ 0.0106778  ,  0.104656   ,  1.33876e-56,  6.48623e-17,  0.000426695])
190278  , -57245.3    , array([ 0.0106778  ,  0.104656   ,  1.33876e-56,  6.47975e-17,  0.000427122])
190279  , -50209.8    , array([ 0.00761243 ,  0.0861926  ,  1.33876e-56,  6.47975e-17,  0.000728379])
190280  , -50209.8    , array([ 0.00761243 ,  0.0861926  ,  1.33876e-56,  6.47975e-17,  0.000728379])
190281  , -50208.1    , array([ 0.00762005 ,  0.0861926  ,  1.33876e-56,  6.47975e-17,  0.000728379])
190282  , -50214.1    , array([ 0.00761243 ,  0.0862789  ,  1.33876e-56,  6.47975e-17,  0.000728379])
190283  , -50209.8    , array([ 0.00761243 ,  0.0861926  ,  1.3401e-56 ,  6.47975e-17,  0.000728379])
190284  , -50209.8    , array([ 0.00761243 ,  0.0861926  ,  1.33876e-56,  6.48623e-17,  0.000728379])
190285  , -50206.9    , array([ 0.00761243 ,  0.0861926  ,  1.33876e-56,  6.47975e-17,  0.000729107])
190286  , -50109.7    , array([ 0.00732928 ,  0.0843388  ,  1.33876e-56,  6.47975e-17,  0.000773345])
