215746  , -28087.6    , array([ 0.255176   ,  0.066846   ,  2.24704e-34,  5.72021e-13,  0.00468843 ])
215747  , -28090      , array([ 0.255431   ,  0.066846   ,  2.24704e-34,  5.72021e-13,  0.00468843 ])
215748  , -28110.8    , array([ 0.255176   ,  0.0669129  ,  2.24704e-34,  5.72021e-13,  0.00468843 ])
215749  , -28087.6    , array([ 0.255176   ,  0.066846   ,  2.24929e-34,  5.72021e-13,  0.00468843 ])
215750  , -28087.6    , array([ 0.255176   ,  0.066846   ,  2.24704e-34,  5.72594e-13,  0.00468843 ])
215751  , -28062      , array([ 0.255176   ,  0.066846   ,  2.24704e-34,  5.72021e-13,  0.00469312 ])
215752  , -28087.6    , array([ 0.255176   ,  0.066846   ,  2.24704e-34,  5.72021e-13,  0.00468843 ])
215753  , -3121.08    , array([ 0.238279   ,  0.0340265  ,  2.24704e-34,  5.72021e-13,  0.00990517 ])
215754  , -3121.08    , array([ 0.238279   ,  0.0340265  ,  2.24704e-34,  5.72021e-13,  0.00990517 ])
215755  , -3119.21    , array([ 0.238518   ,  0.0340265  ,  2.24704e-34,  5.72021e-13,  0.00990517 ])
215756  , -3125.93    , array([ 0.238279   ,  0.0340606  ,  2.24704e-34,  5.72021e-13,  0.00990517 ])
215757  , -3121.08    , array([ 0.238279   ,  0.0340265  ,  2.24929e-34,  5.72021e-13,  0.00990517 ])
215758  , -3121.08    , array([ 0.238279   ,  0.0340265  ,  2.24704e-34,  5.72594e-13,  0.00990517 ])
215759  , -3117.57    , array([ 0.238279   ,  0.0340265  ,  2.24704e-34,  5.72021e-13,  0.00991508 ])
215767  , -3116.85    , array([ 0.238562   ,  0.0340052  ,  2.24704e-34,  5.72021e-13,  0.00990227 ])
215768  , -3116.85    , array([ 0.238562   ,  0.0340052  ,  2.24704e-34,  5.72021e-13,  0.00990227 ])
215769  , -3114.99    , array([ 0.238801   ,  0.0340052  ,  2.24704e-34,  5.72021e-13,  0.00990227 ])
215770  , -3121.7     , array([ 0.238562   ,  0.0340392  ,  2.24704e-34,  5.72021e-13,  0.00990227 ])
215771  , -3116.85    , array([ 0.238562   ,  0.0340052  ,  2.24929e-34,  5.72021e-13,  0.00990227 ])
215772  , -3116.85    , array([ 0.238562   ,  0.0340052  ,  2.24704e-34,  5.72594e-13,  0.00990227 ])
215773  , -3113.35    , array([ 0.238562   ,  0.0340052  ,  2.24704e-34,  5.72021e-13,  0.00991218 ])
215774  , -2140.28    , array([ 0.379582   ,  0.0265861  ,  2.24704e-34,  5.72021e-13,  0.00882792 ])
215775  , -2140.28    , array([ 0.379582   ,  0.0265861  ,  2.24704e-34,  5.72021e-13,  0.00882792 ])
215776  , -2139.77    , array([ 0.379962   ,  0.0265861  ,  2.24704e-34,  5.72021e-13,  0.00882792 ])
