221068  , -79089.4    , array([ 0.368893   ,  50.7537    ,  4.03666e-07,  0.017966   ,  4.5206e-11 ])
221069  , -79089.4    , array([ 0.369262   ,  50.7537    ,  4.03666e-07,  0.017966   ,  4.5206e-11 ])
221070  , -79089.4    , array([ 0.368893   ,  50.8045    ,  4.03666e-07,  0.017966   ,  4.5206e-11 ])
221071  , -79089.4    , array([ 0.368893   ,  50.7537    ,  4.04069e-07,  0.017966   ,  4.5206e-11 ])
221072  , -79089.4    , array([ 0.368893   ,  50.7537    ,  4.03666e-07,  0.017984   ,  4.5206e-11 ])
221073  , -79089.4    , array([ 0.368893   ,  50.7537    ,  4.03666e-07,  0.017966   ,  4.52513e-11])
221074  , -79089.4    , array([ 0.368893   ,  50.7537    ,  4.03666e-07,  0.017966   ,  4.5206e-11 ])
221075  , -79089.4    , array([ 0.368857   ,  50.7536    ,  4.03666e-07,  0.017966   ,  4.52106e-11])
221076  , -79089.4    , array([ 0.368857   ,  50.7536    ,  4.03666e-07,  0.017966   ,  4.52106e-11])
221077  , -79089.4    , array([ 0.369226   ,  50.7536    ,  4.03666e-07,  0.017966   ,  4.52106e-11])
221078  , -79089.4    , array([ 0.368857   ,  50.8044    ,  4.03666e-07,  0.017966   ,  4.52106e-11])
221079  , -79089.4    , array([ 0.368857   ,  50.7536    ,  4.04069e-07,  0.017966   ,  4.52106e-11])
221080  , -79089.4    , array([ 0.368857   ,  50.7536    ,  4.03666e-07,  0.017984   ,  4.52106e-11])
221081  , -79089.4    , array([ 0.368857   ,  50.7536    ,  4.03666e-07,  0.017966   ,  4.52558e-11])
221082  , -79089.4    , array([ 0.368713   ,  50.7535    ,  4.03666e-07,  0.017966   ,  4.52286e-11])
221083  , -79089.4    , array([ 0.368713   ,  50.7535    ,  4.03666e-07,  0.017966   ,  4.52286e-11])
221084  , -79089.4    , array([ 0.369082   ,  50.7535    ,  4.03666e-07,  0.017966   ,  4.52286e-11])
221085  , -79089.4    , array([ 0.368713   ,  50.8042    ,  4.03666e-07,  0.017966   ,  4.52286e-11])
221086  , -79089.4    , array([ 0.368713   ,  50.7535    ,  4.04069e-07,  0.017966   ,  4.52286e-11])
221087  , -79089.4    , array([ 0.368713   ,  50.7535    ,  4.03666e-07,  0.017984   ,  4.52286e-11])
221088  , -79089.4    , array([ 0.368713   ,  50.7535    ,  4.03666e-07,  0.017966   ,  4.52739e-11])
221089  , -79089.4    , array([ 0.368136   ,  50.7527    ,  4.03666e-07,  0.017966   ,  4.5301e-11 ])
221090  , -79089.4    , array([ 0.368136   ,  50.7527    ,  4.03666e-07,  0.017966   ,  4.5301e-11 ])
221091  , -79089.4    , array([ 0.368504   ,  50.7527    ,  4.03666e-07,  0.017966   ,  4.5301e-11 ])
221092  , -79089.4    , array([ 0.368136   ,  50.8035    ,  4.03666e-07,  0.017966   ,  4.5301e-11 ])
221093  , -79089.4    , array([ 0.368136   ,  50.7527    ,  4.04069e-07,  0.017966   ,  4.5301e-11 ])
221094  , -79089.4    , array([ 0.368136   ,  50.7527    ,  4.03666e-07,  0.017984   ,  4.5301e-11 ])
221095  , -79089.4    , array([ 0.368136   ,  50.7527    ,  4.03666e-07,  0.017966   ,  4.53463e-11])
221096  , -79089.4    , array([ 0.365838   ,  50.7498    ,  4.03666e-07,  0.017966   ,  4.55916e-11])
221097  , -79089.4    , array([ 0.365838   ,  50.7498    ,  4.03666e-07,  0.017966   ,  4.55916e-11])
221098  , -79089.4    , array([ 0.366204   ,  50.7498    ,  4.03666e-07,  0.017966   ,  4.55916e-11])
221099  , -79089.4    , array([ 0.365838   ,  50.8006    ,  4.03666e-07,  0.017966   ,  4.55916e-11])
221100  , -79089.4    , array([ 0.365838   ,  50.7498    ,  4.04069e-07,  0.017966   ,  4.55916e-11])
221101  , -79089.4    , array([ 0.365838   ,  50.7498    ,  4.03666e-07,  0.0179839  ,  4.55916e-11])
221102  , -79089.4    , array([ 0.365838   ,  50.7498    ,  4.03666e-07,  0.017966   ,  4.56372e-11])
221103  , -79089.4    , array([ 0.35679    ,  50.7381    ,  4.03666e-07,  0.0179659  ,  4.67728e-11])
221104  , -79089.4    , array([ 0.35679    ,  50.7381    ,  4.03666e-07,  0.0179659  ,  4.67728e-11])
221105  , -79089.4    , array([ 0.357147   ,  50.7381    ,  4.03666e-07,  0.0179659  ,  4.67728e-11])
221106  , -79089.4    , array([ 0.35679    ,  50.7888    ,  4.03666e-07,  0.0179659  ,  4.67728e-11])
221107  , -79089.4    , array([ 0.35679    ,  50.7381    ,  4.04069e-07,  0.0179659  ,  4.67728e-11])
221108  , -79089.4    , array([ 0.35679    ,  50.7381    ,  4.03666e-07,  0.0179839  ,  4.67728e-11])
221109  , -79089.4    , array([ 0.35679    ,  50.7381    ,  4.03666e-07,  0.0179659  ,  4.68196e-11])
221110  , -79089.4    , array([ 0.322778   ,  50.6912    ,  4.03666e-07,  0.0179656  ,  5.18115e-11])
221111  , -79089.4    , array([ 0.322778   ,  50.6912    ,  4.03666e-07,  0.0179656  ,  5.18115e-11])
221112  , -79089.4    , array([ 0.323101   ,  50.6912    ,  4.03666e-07,  0.0179656  ,  5.18115e-11])
221113  , -79089.4    , array([ 0.322778   ,  50.7419    ,  4.03666e-07,  0.0179656  ,  5.18115e-11])
221114  , -79089.4    , array([ 0.322778   ,  50.6912    ,  4.04069e-07,  0.0179656  ,  5.18115e-11])
221115  , -79089.4    , array([ 0.322778   ,  50.6912    ,  4.03666e-07,  0.0179836  ,  5.18115e-11])
221116  , -79089.4    , array([ 0.322778   ,  50.6912    ,  4.03666e-07,  0.0179656  ,  5.18634e-11])
221117  , -79089.4    , array([ 0.216209   ,  50.5042    ,  4.03666e-07,  0.0179646  ,  7.80116e-11])
221118  , -79089.4    , array([ 0.216209   ,  50.5042    ,  4.03666e-07,  0.0179646  ,  7.80116e-11])
221119  , -79089.4    , array([ 0.216425   ,  50.5042    ,  4.03666e-07,  0.0179646  ,  7.80116e-11])
221120  , -79089.4    , array([ 0.216209   ,  50.5548    ,  4.03666e-07,  0.0179646  ,  7.80116e-11])
221121  , -79089.4    , array([ 0.216209   ,  50.5042    ,  4.04069e-07,  0.0179646  ,  7.80116e-11])
221122  , -79089.4    , array([ 0.216209   ,  50.5042    ,  4.03666e-07,  0.0179825  ,  7.80116e-11])
221123  , -79089.4    , array([ 0.216209   ,  50.5042    ,  4.03666e-07,  0.0179646  ,  7.80897e-11])
221124  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221125  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221126  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221127  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221128  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221129  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221130  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221138  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221139  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221140  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221141  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221142  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221143  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221144  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221145  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221146  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221147  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221148  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221149  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221150  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221151  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221152  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221153  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221154  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221155  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221156  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221157  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221158  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221159  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221160  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221161  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221162  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221163  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221164  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221165  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221166  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221167  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221168  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221169  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221170  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221171  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221172  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221173  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221174  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221175  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221176  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221177  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221178  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221179  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221180  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221181  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221182  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221183  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221184  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221185  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221186  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221187  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221188  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221189  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221190  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221191  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221192  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221193  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221194  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221195  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221196  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221197  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221198  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221199  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221200  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221201  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221202  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221203  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221204  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221205  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221206  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221207  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221208  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221209  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221210  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221211  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221212  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221213  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221214  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221215  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221216  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221217  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221218  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221219  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221220  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221221  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221222  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221223  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221224  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221225  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221226  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221227  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221228  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221229  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221230  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221231  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221232  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221233  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221234  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221235  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221236  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221237  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221238  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221239  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221240  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221241  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221242  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221243  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221244  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221245  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221246  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221247  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221248  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221249  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221250  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221251  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221252  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221253  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221254  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221255  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221256  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221257  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221258  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221259  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221260  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221261  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
221262  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179782  ,  4.00951e-10])
221263  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.01352e-10])
221264  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221265  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221266  , -79089.4    , array([ 0.0435694  ,  49.7632    ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221267  , -79089.4    , array([ 0.0435259  ,  49.813     ,  4.03666e-07,  0.0179603  ,  4.00951e-10])
221268  , -79089.4    , array([ 0.0435259  ,  49.7632    ,  4.04069e-07,  0.0179603  ,  4.00951e-10])
