232845  , -79069.3    , array([ 0.142621   ,  26.2219    ,  2.4486e-05 ,  3.76067e-63,  3.56557e-06])
232846  , -79069.3    , array([ 0.142764   ,  26.2219    ,  2.4486e-05 ,  3.76067e-63,  3.56557e-06])
232847  , -79069.3    , array([ 0.142621   ,  26.2481    ,  2.4486e-05 ,  3.76067e-63,  3.56557e-06])
232848  , -79069.3    , array([ 0.142621   ,  26.2219    ,  2.45105e-05,  3.76067e-63,  3.56557e-06])
232849  , -79069.3    , array([ 0.142621   ,  26.2219    ,  2.4486e-05 ,  3.76443e-63,  3.56557e-06])
232850  , -79069.2    , array([ 0.142621   ,  26.2219    ,  2.4486e-05 ,  3.76067e-63,  3.56914e-06])
232851  , -79069.3    , array([ 0.142621   ,  26.2219    ,  2.4486e-05 ,  3.76067e-63,  3.56557e-06])
232852  , -79005.8    , array([ 0.0701264  ,  26.0733    ,  2.4486e-05 ,  3.76067e-63,  7.31361e-06])
232853  , -79005.8    , array([ 0.0701264  ,  26.0733    ,  2.4486e-05 ,  3.76067e-63,  7.31361e-06])
232854  , -79005.9    , array([ 0.0701965  ,  26.0733    ,  2.4486e-05 ,  3.76067e-63,  7.31361e-06])
232855  , -79005.8    , array([ 0.0701264  ,  26.0994    ,  2.4486e-05 ,  3.76067e-63,  7.31361e-06])
232856  , -79005.8    , array([ 0.0701264  ,  26.0733    ,  2.45105e-05,  3.76067e-63,  7.31361e-06])
232857  , -79005.8    , array([ 0.0701264  ,  26.0733    ,  2.4486e-05 ,  3.76443e-63,  7.31361e-06])
232858  , -79005.7    , array([ 0.0701264  ,  26.0733    ,  2.4486e-05 ,  3.76067e-63,  7.32093e-06])
232859  , -62644.1    , array([ 0.0040989  ,  25.4873    ,  2.4486e-05 ,  3.76067e-63,  0.000129462])
232860  , -62644.1    , array([ 0.0040989  ,  25.4873    ,  2.4486e-05 ,  3.76067e-63,  0.000129462])
232861  , -62654      , array([ 0.004103   ,  25.4873    ,  2.4486e-05 ,  3.76067e-63,  0.000129462])
232862  , -62644.1    , array([ 0.0040989  ,  25.5128    ,  2.4486e-05 ,  3.76067e-63,  0.000129462])
232863  , -62644.1    , array([ 0.0040989  ,  25.4873    ,  2.45105e-05,  3.76067e-63,  0.000129462])
232864  , -62644.1    , array([ 0.0040989  ,  25.4873    ,  2.4486e-05 ,  3.76443e-63,  0.000129462])
232865  , -62634.1    , array([ 0.0040989  ,  25.4873    ,  2.4486e-05 ,  3.76067e-63,  0.000129592])
232873  , -62557.3    , array([ 0.00408123 ,  25.4864    ,  2.4486e-05 ,  3.76067e-63,  0.000130029])
232874  , -62557.3    , array([ 0.00408123 ,  25.4864    ,  2.4486e-05 ,  3.76067e-63,  0.000130029])
232875  , -62567.2    , array([ 0.00408532 ,  25.4864    ,  2.4486e-05 ,  3.76067e-63,  0.000130029])
232876  , -62557.3    , array([ 0.00408123 ,  25.5119    ,  2.4486e-05 ,  3.76067e-63,  0.000130029])
232877  , -62557.3    , array([ 0.00408123 ,  25.4864    ,  2.45105e-05,  3.76067e-63,  0.000130029])
232878  , -62557.3    , array([ 0.00408123 ,  25.4864    ,  2.4486e-05 ,  3.76443e-63,  0.000130029])
