267778  , -109105     , array([ 3.90683    ,  0.00201543 ,  1.81776e-07,  6.03363e-39,  0.00665295 ])
267779  , -109105     , array([ 3.91074    ,  0.00201543 ,  1.81776e-07,  6.03363e-39,  0.00665295 ])
267780  , -108981     , array([ 3.90683    ,  0.00201745 ,  1.81776e-07,  6.03363e-39,  0.00665295 ])
267781  , -109105     , array([ 3.90683    ,  0.00201543 ,  1.81958e-07,  6.03363e-39,  0.00665295 ])
267782  , -109105     , array([ 3.90683    ,  0.00201543 ,  1.81776e-07,  6.03966e-39,  0.00665295 ])
267783  , -109225     , array([ 3.90683    ,  0.00201543 ,  1.81776e-07,  6.03363e-39,  0.00665961 ])
267784  , -109105     , array([ 3.90683    ,  0.00201543 ,  1.81776e-07,  6.03363e-39,  0.00665295 ])
267785  , -14212.8    , array([ 3.90581    ,  0.00415778 ,  1.81776e-07,  6.03363e-39,  0.00329036 ])
267786  , -14212.8    , array([ 3.90581    ,  0.00415778 ,  1.81776e-07,  6.03363e-39,  0.00329036 ])
267787  , -14212.8    , array([ 3.90971    ,  0.00415778 ,  1.81776e-07,  6.03363e-39,  0.00329036 ])
267788  , -14183.3    , array([ 3.90581    ,  0.00416194 ,  1.81776e-07,  6.03363e-39,  0.00329036 ])
267789  , -14212.8    , array([ 3.90581    ,  0.00415778 ,  1.81958e-07,  6.03363e-39,  0.00329036 ])
267790  , -14212.8    , array([ 3.90581    ,  0.00415778 ,  1.81776e-07,  6.03966e-39,  0.00329036 ])
267791  , -14241.7    , array([ 3.90581    ,  0.00415778 ,  1.81776e-07,  6.03363e-39,  0.00329365 ])
267799  , -14210.3    , array([ 3.90216    ,  0.0041253  ,  1.81776e-07,  6.03363e-39,  0.00326377 ])
267800  , -14210.3    , array([ 3.90216    ,  0.0041253  ,  1.81776e-07,  6.03363e-39,  0.00326377 ])
267801  , -14210.3    , array([ 3.90607    ,  0.0041253  ,  1.81776e-07,  6.03363e-39,  0.00326377 ])
267802  , -14180.8    , array([ 3.90216    ,  0.00412943 ,  1.81776e-07,  6.03363e-39,  0.00326377 ])
267803  , -14210.3    , array([ 3.90216    ,  0.0041253  ,  1.81958e-07,  6.03363e-39,  0.00326377 ])
267804  , -14210.3    , array([ 3.90216    ,  0.0041253  ,  1.81776e-07,  6.03966e-39,  0.00326377 ])
267805  , -14239.2    , array([ 3.90216    ,  0.0041253  ,  1.81776e-07,  6.03363e-39,  0.00326703 ])
267806  , -14207.8    , array([ 3.89848    ,  0.00409272 ,  1.81776e-07,  6.03363e-39,  0.0032371  ])
267807  , -14207.8    , array([ 3.89848    ,  0.00409272 ,  1.81776e-07,  6.03363e-39,  0.0032371  ])
267808  , -14207.8    , array([ 3.90238    ,  0.00409272 ,  1.81776e-07,  6.03363e-39,  0.0032371  ])
267809  , -14178.2    , array([ 3.89848    ,  0.00409681 ,  1.81776e-07,  6.03363e-39,  0.0032371  ])
267810  , -14207.8    , array([ 3.89848    ,  0.00409272 ,  1.81958e-07,  6.03363e-39,  0.0032371  ])
267811  , -14207.8    , array([ 3.89848    ,  0.00409272 ,  1.81776e-07,  6.03966e-39,  0.0032371  ])
267812  , -14236.7    , array([ 3.89848    ,  0.00409272 ,  1.81776e-07,  6.03363e-39,  0.00324034 ])
267820  , -14207.1    , array([ 3.89755    ,  0.00408452 ,  1.81776e-07,  6.03363e-39,  0.0032304  ])
267821  , -14207.1    , array([ 3.89755    ,  0.00408452 ,  1.81776e-07,  6.03363e-39,  0.0032304  ])
267822  , -14207.1    , array([ 3.90145    ,  0.00408452 ,  1.81776e-07,  6.03363e-39,  0.0032304  ])
267823  , -14177.6    , array([ 3.89755    ,  0.00408861 ,  1.81776e-07,  6.03363e-39,  0.0032304  ])
267824  , -14207.1    , array([ 3.89755    ,  0.00408452 ,  1.81958e-07,  6.03363e-39,  0.0032304  ])
267825  , -14207.1    , array([ 3.89755    ,  0.00408452 ,  1.81776e-07,  6.03966e-39,  0.0032304  ])
267826  , -14236      , array([ 3.89755    ,  0.00408452 ,  1.81776e-07,  6.03363e-39,  0.00323363 ])
267827  , -14206.5    , array([ 3.89662    ,  0.00407632 ,  1.81776e-07,  6.03363e-39,  0.00322369 ])
267828  , -14206.5    , array([ 3.89662    ,  0.00407632 ,  1.81776e-07,  6.03363e-39,  0.00322369 ])
267829  , -14206.5    , array([ 3.90052    ,  0.00407632 ,  1.81776e-07,  6.03363e-39,  0.00322369 ])
267830  , -14176.9    , array([ 3.89662    ,  0.00408039 ,  1.81776e-07,  6.03363e-39,  0.00322369 ])
267831  , -14206.5    , array([ 3.89662    ,  0.00407632 ,  1.81958e-07,  6.03363e-39,  0.00322369 ])
267832  , -14206.5    , array([ 3.89662    ,  0.00407632 ,  1.81776e-07,  6.03966e-39,  0.00322369 ])
267833  , -14235.4    , array([ 3.89662    ,  0.00407632 ,  1.81776e-07,  6.03363e-39,  0.00322691 ])
267841  , -14206.3    , array([ 3.89638    ,  0.00407426 ,  1.81776e-07,  6.03363e-39,  0.00322201 ])
267842  , -14206.3    , array([ 3.89638    ,  0.00407426 ,  1.81776e-07,  6.03363e-39,  0.00322201 ])
267843  , -14206.3    , array([ 3.90028    ,  0.00407426 ,  1.81776e-07,  6.03363e-39,  0.00322201 ])
267844  , -14176.8    , array([ 3.89638    ,  0.00407834 ,  1.81776e-07,  6.03363e-39,  0.00322201 ])
267845  , -14206.3    , array([ 3.89638    ,  0.00407426 ,  1.81958e-07,  6.03363e-39,  0.00322201 ])
267846  , -14206.3    , array([ 3.89638    ,  0.00407426 ,  1.81776e-07,  6.03966e-39,  0.00322201 ])
267847  , -14235.2    , array([ 3.89638    ,  0.00407426 ,  1.81776e-07,  6.03363e-39,  0.00322523 ])
267848  , -14206.1    , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03363e-39,  0.00322033 ])
267849  , -14206.1    , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03363e-39,  0.00322033 ])
267850  , -14206.2    , array([ 3.90005    ,  0.00407221 ,  1.81776e-07,  6.03363e-39,  0.00322033 ])
267851  , -14176.6    , array([ 3.89615    ,  0.00407628 ,  1.81776e-07,  6.03363e-39,  0.00322033 ])
267852  , -14206.1    , array([ 3.89615    ,  0.00407221 ,  1.81958e-07,  6.03363e-39,  0.00322033 ])
267853  , -14206.1    , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03966e-39,  0.00322033 ])
267854  , -14235      , array([ 3.89615    ,  0.00407221 ,  1.81776e-07,  6.03363e-39,  0.00322355 ])
267862  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267863  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267864  , -14206.1    , array([ 3.89999    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267865  , -14176.6    , array([ 3.89609    ,  0.00407577 ,  1.81776e-07,  6.03363e-39,  0.00321991 ])
267866  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81958e-07,  6.03363e-39,  0.00321991 ])
267867  , -14206.1    , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03966e-39,  0.00321991 ])
267868  , -14235      , array([ 3.89609    ,  0.0040717  ,  1.81776e-07,  6.03363e-39,  0.00322313 ])
267869  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267870  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267871  , -14206.1    , array([ 3.89993    ,  0.00407118 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267872  , -14176.5    , array([ 3.89603    ,  0.00407525 ,  1.81776e-07,  6.03363e-39,  0.00321949 ])
267873  , -14206.1    , array([ 3.89603    ,  0.00407118 ,  1.81958e-07,  6.03363e-39,  0.00321949 ])
