277660  , -78315.1    , array([ 30.4615    ,  2.17404    ,  3.07588e-41,  1.46503e-17,  0.00134545 ])
277661  , -78315.1    , array([ 30.492     ,  2.17404    ,  3.07588e-41,  1.46503e-17,  0.00134545 ])
277662  , -78315.8    , array([ 30.4615    ,  2.17621    ,  3.07588e-41,  1.46503e-17,  0.00134545 ])
277663  , -78315.1    , array([ 30.4615    ,  2.17404    ,  3.07896e-41,  1.46503e-17,  0.00134545 ])
277664  , -78315.1    , array([ 30.4615    ,  2.17404    ,  3.07588e-41,  1.46649e-17,  0.00134545 ])
277665  , -78314.3    , array([ 30.4615    ,  2.17404    ,  3.07588e-41,  1.46503e-17,  0.0013468  ])
277666  , -78315.1    , array([ 30.4615    ,  2.17404    ,  3.07588e-41,  1.46503e-17,  0.00134545 ])
277667  , -76042.9    , array([ 29.4519    ,  1.0899     ,  3.07588e-41,  1.46503e-17,  0.00280963 ])
277668  , -76042.9    , array([ 29.4519    ,  1.0899     ,  3.07588e-41,  1.46503e-17,  0.00280963 ])
277669  , -76043      , array([ 29.4814    ,  1.0899     ,  3.07588e-41,  1.46503e-17,  0.00280963 ])
277670  , -76045.8    , array([ 29.4519    ,  1.09099    ,  3.07588e-41,  1.46503e-17,  0.00280963 ])
277671  , -76042.9    , array([ 29.4519    ,  1.0899     ,  3.07896e-41,  1.46503e-17,  0.00280963 ])
277672  , -76042.9    , array([ 29.4519    ,  1.0899     ,  3.07588e-41,  1.46649e-17,  0.00280963 ])
277673  , -76040      , array([ 29.4519    ,  1.0899     ,  3.07588e-41,  1.46503e-17,  0.00281244 ])
277674  , -11886.6    , array([ 25.7372    ,  0.0688426  ,  3.07588e-41,  1.46503e-17,  0.0534281  ])
277675  , -11886.6    , array([ 25.7372    ,  0.0688426  ,  3.07588e-41,  1.46503e-17,  0.0534281  ])
277676  , -11886.7    , array([ 25.763     ,  0.0688426  ,  3.07588e-41,  1.46503e-17,  0.0534281  ])
277677  , -11861.3    , array([ 25.7372    ,  0.0689115  ,  3.07588e-41,  1.46503e-17,  0.0534281  ])
277678  , -11886.6    , array([ 25.7372    ,  0.0688426  ,  3.07896e-41,  1.46503e-17,  0.0534281  ])
277679  , -11886.6    , array([ 25.7372    ,  0.0688426  ,  3.07588e-41,  1.46649e-17,  0.0534281  ])
277680  , -11913.5    , array([ 25.7372    ,  0.0688426  ,  3.07588e-41,  1.46503e-17,  0.0534815  ])
277681  , -73846.6    , array([ 29.0566    ,  0.826314   ,  3.07588e-41,  1.46503e-17,  0.00377456 ])
277682  , -73846.6    , array([ 29.0566    ,  0.826314   ,  3.07588e-41,  1.46503e-17,  0.00377456 ])
277683  , -73846.7    , array([ 29.0856    ,  0.826314   ,  3.07588e-41,  1.46503e-17,  0.00377456 ])
277684  , -73851.5    , array([ 29.0566    ,  0.827141   ,  3.07588e-41,  1.46503e-17,  0.00377456 ])
277685  , -73846.6    , array([ 29.0566    ,  0.826314   ,  3.07896e-41,  1.46503e-17,  0.00377456 ])
277686  , -73846.6    , array([ 29.0566    ,  0.826314   ,  3.07588e-41,  1.46649e-17,  0.00377456 ])
277687  , -73841.6    , array([ 29.0566    ,  0.826314   ,  3.07588e-41,  1.46503e-17,  0.00377834 ])
277688  , -2692.99    , array([ 26.318     ,  0.108743   ,  3.07588e-41,  1.46503e-17,  0.0328134  ])
277689  , -2692.99    , array([ 26.318     ,  0.108743   ,  3.07588e-41,  1.46503e-17,  0.0328134  ])
277690  , -2693.06    , array([ 26.3443    ,  0.108743   ,  3.07588e-41,  1.46503e-17,  0.0328134  ])
277691  , -2698.97    , array([ 26.318     ,  0.108852   ,  3.07588e-41,  1.46503e-17,  0.0328134  ])
277692  , -2692.99    , array([ 26.318     ,  0.108743   ,  3.07896e-41,  1.46503e-17,  0.0328134  ])
277693  , -2692.99    , array([ 26.318     ,  0.108743   ,  3.07588e-41,  1.46649e-17,  0.0328134  ])
277694  , -2688.2     , array([ 26.318     ,  0.108743   ,  3.07588e-41,  1.46503e-17,  0.0328462  ])
277695  , -2204.49    , array([ 26.207     ,  0.0997266  ,  3.07588e-41,  1.46503e-17,  0.0359862  ])
277696  , -2204.49    , array([ 26.207     ,  0.0997266  ,  3.07588e-41,  1.46503e-17,  0.0359862  ])
277697  , -2204.56    , array([ 26.2333    ,  0.0997266  ,  3.07588e-41,  1.46503e-17,  0.0359862  ])
277698  , -2205.16    , array([ 26.207     ,  0.0998264  ,  3.07588e-41,  1.46503e-17,  0.0359862  ])
277699  , -2204.49    , array([ 26.207     ,  0.0997266  ,  3.07896e-41,  1.46503e-17,  0.0359862  ])
277700  , -2204.49    , array([ 26.207     ,  0.0997266  ,  3.07588e-41,  1.46649e-17,  0.0359862  ])
277701  , -2205.06    , array([ 26.207     ,  0.0997266  ,  3.07588e-41,  1.46503e-17,  0.0360222  ])
277709  , -2213.48    , array([ 26.088     ,  0.0942672  ,  3.07588e-41,  1.46503e-17,  0.0359322  ])
277710  , -2213.48    , array([ 26.088     ,  0.0942672  ,  3.07588e-41,  1.46503e-17,  0.0359322  ])
277711  , -2213.54    , array([ 26.1141    ,  0.0942672  ,  3.07588e-41,  1.46503e-17,  0.0359322  ])
277712  , -2212.42    , array([ 26.088     ,  0.0943615  ,  3.07588e-41,  1.46503e-17,  0.0359322  ])
277713  , -2213.48    , array([ 26.088     ,  0.0942672  ,  3.07896e-41,  1.46503e-17,  0.0359322  ])
277714  , -2213.48    , array([ 26.088     ,  0.0942672  ,  3.07588e-41,  1.46649e-17,  0.0359322  ])
277715  , -2215.71    , array([ 26.088     ,  0.0942672  ,  3.07588e-41,  1.46503e-17,  0.0359681  ])
277716  , -2196.66    , array([ 26.1591    ,  0.0974949  ,  3.07588e-41,  1.46503e-17,  0.0359645  ])
277717  , -2196.66    , array([ 26.1591    ,  0.0974949  ,  3.07588e-41,  1.46503e-17,  0.0359645  ])
277718  , -2196.73    , array([ 26.1853    ,  0.0974949  ,  3.07588e-41,  1.46503e-17,  0.0359645  ])
277719  , -2196.65    , array([ 26.1591    ,  0.0975924  ,  3.07588e-41,  1.46503e-17,  0.0359645  ])
277720  , -2196.66    , array([ 26.1591    ,  0.0974949  ,  3.07896e-41,  1.46503e-17,  0.0359645  ])
277721  , -2196.66    , array([ 26.1591    ,  0.0974949  ,  3.07588e-41,  1.46649e-17,  0.0359645  ])
277722  , -2197.9     , array([ 26.1591    ,  0.0974949  ,  3.07588e-41,  1.46503e-17,  0.0360004  ])
277723  , -2180.84    , array([ 23.4733    ,  0.0968885  ,  3.07588e-41,  1.46503e-17,  0.0357239  ])
277724  , -2180.84    , array([ 23.4733    ,  0.0968885  ,  3.07588e-41,  1.46503e-17,  0.0357239  ])
277725  , -2180.92    , array([ 23.4968    ,  0.0968885  ,  3.07588e-41,  1.46503e-17,  0.0357239  ])
277726  , -2180.82    , array([ 23.4733    ,  0.0969855  ,  3.07588e-41,  1.46503e-17,  0.0357239  ])
277727  , -2180.84    , array([ 23.4733    ,  0.0968885  ,  3.07896e-41,  1.46503e-17,  0.0357239  ])
277728  , -2180.84    , array([ 23.4733    ,  0.0968885  ,  3.07588e-41,  1.46649e-17,  0.0357239  ])
277729  , -2182.04    , array([ 23.4733    ,  0.0968885  ,  3.07588e-41,  1.46503e-17,  0.0357596  ])
277730  , -2112.27    , array([ 15.2188    ,  0.0945006  ,  3.07588e-41,  1.46503e-17,  0.0347777  ])
277731  , -2112.27    , array([ 15.2188    ,  0.0945006  ,  3.07588e-41,  1.46503e-17,  0.0347777  ])
277732  , -2112.37    , array([ 15.234     ,  0.0945006  ,  3.07588e-41,  1.46503e-17,  0.0347777  ])
277733  , -2112.25    , array([ 15.2188    ,  0.0945951  ,  3.07588e-41,  1.46503e-17,  0.0347777  ])
277734  , -2112.27    , array([ 15.2188    ,  0.0945006  ,  3.07896e-41,  1.46503e-17,  0.0347777  ])
277735  , -2112.27    , array([ 15.2188    ,  0.0945006  ,  3.07588e-41,  1.46649e-17,  0.0347777  ])
277736  , -2113.33    , array([ 15.2188    ,  0.0945006  ,  3.07588e-41,  1.46503e-17,  0.0348124  ])
277737  , -1735.91    , array([ 2.68908    ,  0.085523   ,  3.07588e-41,  1.46503e-17,  0.0312367  ])
277738  , -1735.91    , array([ 2.68908    ,  0.085523   ,  3.07588e-41,  1.46503e-17,  0.0312367  ])
277739  , -1736.1     , array([ 2.69177    ,  0.085523   ,  3.07588e-41,  1.46503e-17,  0.0312367  ])
277740  , -1735.7     , array([ 2.68908    ,  0.0856086  ,  3.07588e-41,  1.46503e-17,  0.0312367  ])
277741  , -1735.91    , array([ 2.68908    ,  0.085523   ,  3.07896e-41,  1.46503e-17,  0.0312367  ])
277742  , -1735.91    , array([ 2.68908    ,  0.085523   ,  3.07588e-41,  1.46649e-17,  0.0312367  ])
277743  , -1736.49    , array([ 2.68908    ,  0.085523   ,  3.07588e-41,  1.46503e-17,  0.031268   ])
277744  , -442175     , array([ 0.00262116 ,  0.0573689  ,  3.07588e-41,  1.46503e-17,  0.0203295  ])
277745  , -442175     , array([ 0.00262116 ,  0.0573689  ,  3.07588e-41,  1.46503e-17,  0.0203295  ])
277746  , -441840     , array([ 0.00262378 ,  0.0573689  ,  3.07588e-41,  1.46503e-17,  0.0203295  ])
277747  , -442186     , array([ 0.00262116 ,  0.0574263  ,  3.07588e-41,  1.46503e-17,  0.0203295  ])
277748  , -442175     , array([ 0.00262116 ,  0.0573689  ,  3.07896e-41,  1.46503e-17,  0.0203295  ])
277749  , -442175     , array([ 0.00262116 ,  0.0573689  ,  3.07588e-41,  1.46649e-17,  0.0203295  ])
277750  , -442468     , array([ 0.00262116 ,  0.0573689  ,  3.07588e-41,  1.46503e-17,  0.0203498  ])
277751  , -2366.82    , array([ 0.578102   ,  0.0782775  ,  3.07588e-41,  1.46503e-17,  0.0283993  ])
277752  , -2366.82    , array([ 0.578102   ,  0.0782775  ,  3.07588e-41,  1.46503e-17,  0.0283993  ])
277753  , -2364.75    , array([ 0.57868    ,  0.0782775  ,  3.07588e-41,  1.46503e-17,  0.0283993  ])
277754  , -2366.28    , array([ 0.578102   ,  0.0783558  ,  3.07588e-41,  1.46503e-17,  0.0283993  ])
277755  , -2366.82    , array([ 0.578102   ,  0.0782775  ,  3.07896e-41,  1.46503e-17,  0.0283993  ])
277756  , -2366.82    , array([ 0.578102   ,  0.0782775  ,  3.07588e-41,  1.46649e-17,  0.0283993  ])
277757  , -2369.05    , array([ 0.578102   ,  0.0782775  ,  3.07588e-41,  1.46503e-17,  0.0284277  ])
277758  , -1664.84    , array([ 1.72089    ,  0.0833526  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277759  , -1664.84    , array([ 1.72089    ,  0.0833526  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277760  , -1664.9     , array([ 1.72261    ,  0.0833526  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277761  , -1664.52    , array([ 1.72089    ,  0.083436   ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277762  , -1664.84    , array([ 1.72089    ,  0.0833526  ,  3.07896e-41,  1.46503e-17,  0.0303848  ])
277763  , -1664.84    , array([ 1.72089    ,  0.0833526  ,  3.07588e-41,  1.46649e-17,  0.0303848  ])
277764  , -1665.46    , array([ 1.72089    ,  0.0833526  ,  3.07588e-41,  1.46503e-17,  0.0304152  ])
277772  , -1664.84    , array([ 1.72082    ,  0.0833527  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277773  , -1664.84    , array([ 1.72082    ,  0.0833527  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277774  , -1664.89    , array([ 1.72254    ,  0.0833527  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277775  , -1664.52    , array([ 1.72082    ,  0.0834361  ,  3.07588e-41,  1.46503e-17,  0.0303848  ])
277776  , -1664.84    , array([ 1.72082    ,  0.0833527  ,  3.07896e-41,  1.46503e-17,  0.0303848  ])
277777  , -1664.84    , array([ 1.72082    ,  0.0833527  ,  3.07588e-41,  1.46649e-17,  0.0303848  ])
277778  , -1665.46    , array([ 1.72082    ,  0.0833527  ,  3.07588e-41,  1.46503e-17,  0.0304152  ])
277779  , -1664.83    , array([ 1.72042    ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277780  , -1664.83    , array([ 1.72042    ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277781  , -1664.88    , array([ 1.72214    ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277782  , -1664.51    , array([ 1.72042    ,  0.0834364  ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277783  , -1664.83    , array([ 1.72042    ,  0.083353   ,  3.07896e-41,  1.46503e-17,  0.0303849  ])
277784  , -1664.83    , array([ 1.72042    ,  0.083353   ,  3.07588e-41,  1.46649e-17,  0.0303849  ])
277785  , -1665.45    , array([ 1.72042    ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0304153  ])
277793  , -1664.83    , array([ 1.7204     ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277794  , -1664.83    , array([ 1.7204     ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277795  , -1664.88    , array([ 1.72212    ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277796  , -1664.51    , array([ 1.7204     ,  0.0834364  ,  3.07588e-41,  1.46503e-17,  0.0303849  ])
277797  , -1664.83    , array([ 1.7204     ,  0.083353   ,  3.07896e-41,  1.46503e-17,  0.0303849  ])
277798  , -1664.83    , array([ 1.7204     ,  0.083353   ,  3.07588e-41,  1.46649e-17,  0.0303849  ])
277799  , -1665.45    , array([ 1.7204     ,  0.083353   ,  3.07588e-41,  1.46503e-17,  0.0304153  ])
277800  , -1664.83    , array([ 1.7203     ,  0.0833531  ,  3.07588e-41,  1.46503e-17,  0.030385   ])
277801  , -1664.83    , array([ 1.7203     ,  0.0833531  ,  3.07588e-41,  1.46503e-17,  0.030385   ])
