288697  , -52521      , array([ 0.714273   ,  2.0527     ,  3.79262e-22,  8.18164e-27,  0.0234466  ])
288698  , -52530.5    , array([ 0.714987   ,  2.0527     ,  3.79262e-22,  8.18164e-27,  0.0234466  ])
288699  , -52528.4    , array([ 0.714273   ,  2.05475    ,  3.79262e-22,  8.18164e-27,  0.0234466  ])
288700  , -52521      , array([ 0.714273   ,  2.0527     ,  3.79642e-22,  8.18164e-27,  0.0234466  ])
288701  , -52521      , array([ 0.714273   ,  2.0527     ,  3.79262e-22,  8.18983e-27,  0.0234466  ])
288702  , -52503.7    , array([ 0.714273   ,  2.0527     ,  3.79262e-22,  8.18164e-27,  0.0234701  ])
288703  , -52521      , array([ 0.714273   ,  2.0527     ,  3.79262e-22,  8.18164e-27,  0.0234466  ])
288704  , -33454.8    , array([ 0.45256    ,  1.4336     ,  3.79262e-22,  8.18164e-27,  0.0535792  ])
288705  , -33454.8    , array([ 0.45256    ,  1.4336     ,  3.79262e-22,  8.18164e-27,  0.0535792  ])
288706  , -33452.1    , array([ 0.453012   ,  1.4336     ,  3.79262e-22,  8.18164e-27,  0.0535792  ])
288707  , -33466      , array([ 0.45256    ,  1.43504    ,  3.79262e-22,  8.18164e-27,  0.0535792  ])
288708  , -33454.8    , array([ 0.45256    ,  1.4336     ,  3.79642e-22,  8.18164e-27,  0.0535792  ])
288709  , -33454.8    , array([ 0.45256    ,  1.4336     ,  3.79262e-22,  8.18983e-27,  0.0535792  ])
288710  , -33445.1    , array([ 0.45256    ,  1.4336     ,  3.79262e-22,  8.18164e-27,  0.0536328  ])
288711  , -47194.4    , array([ 0.715449   ,  0.215193   ,  3.79262e-22,  8.18164e-27,  0.28309    ])
288712  , -47194.4    , array([ 0.715449   ,  0.215193   ,  3.79262e-22,  8.18164e-27,  0.28309    ])
288713  , -47176.1    , array([ 0.716164   ,  0.215193   ,  3.79262e-22,  8.18164e-27,  0.28309    ])
288714  , -47156.7    , array([ 0.715449   ,  0.215409   ,  3.79262e-22,  8.18164e-27,  0.28309    ])
288715  , -47194.4    , array([ 0.715449   ,  0.215193   ,  3.79642e-22,  8.18164e-27,  0.28309    ])
288716  , -47194.4    , array([ 0.715449   ,  0.215193   ,  3.79262e-22,  8.18983e-27,  0.28309    ])
288717  , -47257.5    , array([ 0.715449   ,  0.215193   ,  3.79262e-22,  8.18164e-27,  0.283373   ])
288718  , -17402.4    , array([ 0.558879   ,  0.598365   ,  3.79262e-22,  8.18164e-27,  0.115366   ])
288719  , -17402.4    , array([ 0.558879   ,  0.598365   ,  3.79262e-22,  8.18164e-27,  0.115366   ])
288720  , -17386.5    , array([ 0.559438   ,  0.598365   ,  3.79262e-22,  8.18164e-27,  0.115366   ])
288721  , -17413.5    , array([ 0.558879   ,  0.598963   ,  3.79262e-22,  8.18164e-27,  0.115366   ])
288722  , -17402.4    , array([ 0.558879   ,  0.598365   ,  3.79642e-22,  8.18164e-27,  0.115366   ])
288723  , -17402.4    , array([ 0.558879   ,  0.598365   ,  3.79262e-22,  8.18983e-27,  0.115366   ])
288724  , -17408.8    , array([ 0.558879   ,  0.598365   ,  3.79262e-22,  8.18164e-27,  0.115481   ])
288732  , -17400.6    , array([ 0.558759   ,  0.598148   ,  3.79262e-22,  8.18164e-27,  0.115345   ])
288733  , -17400.6    , array([ 0.558759   ,  0.598148   ,  3.79262e-22,  8.18164e-27,  0.115345   ])
288734  , -17384.7    , array([ 0.559318   ,  0.598148   ,  3.79262e-22,  8.18164e-27,  0.115345   ])
288735  , -17411.8    , array([ 0.558759   ,  0.598746   ,  3.79262e-22,  8.18164e-27,  0.115345   ])
288736  , -17400.6    , array([ 0.558759   ,  0.598148   ,  3.79642e-22,  8.18164e-27,  0.115345   ])
288737  , -17400.6    , array([ 0.558759   ,  0.598148   ,  3.79262e-22,  8.18983e-27,  0.115345   ])
288738  , -17407      , array([ 0.558759   ,  0.598148   ,  3.79262e-22,  8.18164e-27,  0.115461   ])
288739  , -15197.6    , array([ 0.307928   ,  0.218297   ,  3.79262e-22,  8.18164e-27,  0.0710606  ])
288740  , -15197.6    , array([ 0.307928   ,  0.218297   ,  3.79262e-22,  8.18164e-27,  0.0710606  ])
288741  , -15177.9    , array([ 0.308236   ,  0.218297   ,  3.79262e-22,  8.18164e-27,  0.0710606  ])
288742  , -15201.8    , array([ 0.307928   ,  0.218515   ,  3.79262e-22,  8.18164e-27,  0.0710606  ])
288743  , -15197.6    , array([ 0.307928   ,  0.218297   ,  3.79642e-22,  8.18164e-27,  0.0710606  ])
288744  , -15197.6    , array([ 0.307928   ,  0.218297   ,  3.79262e-22,  8.18983e-27,  0.0710606  ])
288745  , -15211.5    , array([ 0.307928   ,  0.218297   ,  3.79262e-22,  8.18164e-27,  0.0711317  ])
288746  , -12628.8    , array([ 0.567167   ,  0.268965   ,  3.79262e-22,  8.18164e-27,  0.114659   ])
288747  , -12628.8    , array([ 0.567167   ,  0.268965   ,  3.79262e-22,  8.18164e-27,  0.114659   ])
288748  , -12614.7    , array([ 0.567734   ,  0.268965   ,  3.79262e-22,  8.18164e-27,  0.114659   ])
288749  , -12626.8    , array([ 0.567167   ,  0.269234   ,  3.79262e-22,  8.18164e-27,  0.114659   ])
288750  , -12628.8    , array([ 0.567167   ,  0.268965   ,  3.79642e-22,  8.18164e-27,  0.114659   ])
288751  , -12628.8    , array([ 0.567167   ,  0.268965   ,  3.79262e-22,  8.18983e-27,  0.114659   ])
288752  , -12646.8    , array([ 0.567167   ,  0.268965   ,  3.79262e-22,  8.18164e-27,  0.114774   ])
288753  , -8309.78    , array([ 0.594995   ,  0.228257   ,  3.79262e-22,  8.18164e-27,  0.0874875  ])
288754  , -8309.78    , array([ 0.594995   ,  0.228257   ,  3.79262e-22,  8.18164e-27,  0.0874875  ])
288755  , -8299.84    , array([ 0.59559    ,  0.228257   ,  3.79262e-22,  8.18164e-27,  0.0874875  ])
288756  , -8309.33    , array([ 0.594995   ,  0.228485   ,  3.79262e-22,  8.18164e-27,  0.0874875  ])
288757  , -8309.78    , array([ 0.594995   ,  0.228257   ,  3.79642e-22,  8.18164e-27,  0.0874875  ])
288758  , -8309.78    , array([ 0.594995   ,  0.228257   ,  3.79262e-22,  8.18983e-27,  0.0874875  ])
288759  , -8321.28    , array([ 0.594995   ,  0.228257   ,  3.79262e-22,  8.18164e-27,  0.087575   ])
288760  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288761  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288762  , -3351.63    , array([ 0.664299   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288763  , -3355.84    , array([ 0.663636   ,  0.135201   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288764  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79642e-22,  8.18164e-27,  0.0476873  ])
288765  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18983e-27,  0.0476873  ])
288766  , -3358.55    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.047735   ])
288767  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288768  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288769  , -2294.46    , array([ 0.722162   ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288770  , -2296.42    , array([ 0.72144    ,  0.0987691  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288771  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79642e-22,  8.18164e-27,  0.035167   ])
288772  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18983e-27,  0.035167   ])
288773  , -2298.01    , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.0352021  ])
288774  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288775  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288776  , -1846.62    , array([ 0.825879   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288777  , -1847.79    , array([ 0.825053   ,  0.0791835  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288778  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79642e-22,  8.18164e-27,  0.0278895  ])
288779  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18983e-27,  0.0278895  ])
288780  , -1847.85    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0279174  ])
288781  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288782  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288783  , -1707.08    , array([ 0.936045   ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288784  , -1707.4     , array([ 0.93511    ,  0.0678257  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288785  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79642e-22,  8.18164e-27,  0.0242188  ])
288786  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18983e-27,  0.0242188  ])
288787  , -1707.83    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.024243   ])
288788  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288789  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288790  , -1659.74    , array([ 1.07899    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288791  , -1660.19    , array([ 1.07792    ,  0.0644215  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288792  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79642e-22,  8.18164e-27,  0.0227343  ])
288793  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18983e-27,  0.0227343  ])
288794  , -1659.7     , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227571  ])
288795  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288796  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288797  , -1644.2     , array([ 1.21108    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288798  , -1644.21    , array([ 1.20987    ,  0.0623537  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288799  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79642e-22,  8.18164e-27,  0.022275   ])
288800  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18983e-27,  0.022275   ])
288801  , -1644.3     , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.0222973  ])
288802  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288803  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288804  , -1637.38    , array([ 1.33794    ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
