293509  , -79089.4    , array([ 1.33804    ,  3.32272    ,  5.52132e-30,  2.98093e-20,  3.63486e-08])
293510  , -79089.4    , array([ 1.33937    ,  3.32272    ,  5.52132e-30,  2.98093e-20,  3.63486e-08])
293511  , -79089.4    , array([ 1.33804    ,  3.32605    ,  5.52132e-30,  2.98093e-20,  3.63486e-08])
293512  , -79089.4    , array([ 1.33804    ,  3.32272    ,  5.52685e-30,  2.98093e-20,  3.63486e-08])
293513  , -79089.4    , array([ 1.33804    ,  3.32272    ,  5.52132e-30,  2.98391e-20,  3.63486e-08])
293514  , -79089.4    , array([ 1.33804    ,  3.32272    ,  5.52132e-30,  2.98093e-20,  3.6385e-08 ])
293515  , -79089.4    , array([ 1.33804    ,  3.32272    ,  5.52132e-30,  2.98093e-20,  3.63486e-08])
293516  , -79089.4    , array([ 1.30933    ,  3.28031    ,  5.52132e-30,  2.98093e-20,  3.76497e-08])
293517  , -79089.4    , array([ 1.30933    ,  3.28031    ,  5.52132e-30,  2.98093e-20,  3.76497e-08])
293518  , -79089.4    , array([ 1.31064    ,  3.28031    ,  5.52132e-30,  2.98093e-20,  3.76497e-08])
293519  , -79089.4    , array([ 1.30933    ,  3.28359    ,  5.52132e-30,  2.98093e-20,  3.76497e-08])
293520  , -79089.4    , array([ 1.30933    ,  3.28031    ,  5.52685e-30,  2.98093e-20,  3.76497e-08])
293521  , -79089.4    , array([ 1.30933    ,  3.28031    ,  5.52132e-30,  2.98391e-20,  3.76497e-08])
293522  , -79089.4    , array([ 1.30933    ,  3.28031    ,  5.52132e-30,  2.98093e-20,  3.76874e-08])
293523  , -79089.4    , array([ 1.20055    ,  3.116      ,  5.52132e-30,  2.98093e-20,  4.33368e-08])
293524  , -79089.4    , array([ 1.20055    ,  3.116      ,  5.52132e-30,  2.98093e-20,  4.33368e-08])
293525  , -79089.4    , array([ 1.20175    ,  3.116      ,  5.52132e-30,  2.98093e-20,  4.33368e-08])
293526  , -79089.4    , array([ 1.20055    ,  3.11912    ,  5.52132e-30,  2.98093e-20,  4.33368e-08])
293527  , -79089.4    , array([ 1.20055    ,  3.116      ,  5.52685e-30,  2.98093e-20,  4.33368e-08])
293528  , -79089.4    , array([ 1.20055    ,  3.116      ,  5.52132e-30,  2.98391e-20,  4.33368e-08])
293529  , -79089.4    , array([ 1.20055    ,  3.116      ,  5.52132e-30,  2.98093e-20,  4.33802e-08])
293530  , -79089.3    , array([ 0.848602   ,  2.53704    ,  5.52132e-30,  2.98093e-20,  7.60742e-08])
293531  , -79089.3    , array([ 0.848602   ,  2.53704    ,  5.52132e-30,  2.98093e-20,  7.60742e-08])
293532  , -79089.3    , array([ 0.849451   ,  2.53704    ,  5.52132e-30,  2.98093e-20,  7.60742e-08])
293533  , -79089.3    , array([ 0.848602   ,  2.53958    ,  5.52132e-30,  2.98093e-20,  7.60742e-08])
293534  , -79089.3    , array([ 0.848602   ,  2.53704    ,  5.52685e-30,  2.98093e-20,  7.60742e-08])
