303175  , -416585     , array([ 0.0271848  ,  0.0354847  ,  1.71845e-62,  6.50006e-52,  0.165848   ])
303176  , -416318     , array([ 0.027212   ,  0.0354847  ,  1.71845e-62,  6.50006e-52,  0.165848   ])
303177  , -416423     , array([ 0.0271848  ,  0.0355202  ,  1.71845e-62,  6.50006e-52,  0.165848   ])
303178  , -416585     , array([ 0.0271848  ,  0.0354847  ,  1.72017e-62,  6.50006e-52,  0.165848   ])
303179  , -416585     , array([ 0.0271848  ,  0.0354847  ,  1.71845e-62,  6.50657e-52,  0.165848   ])
303180  , -416993     , array([ 0.0271848  ,  0.0354847  ,  1.71845e-62,  6.50006e-52,  0.166014   ])
303181  , -416585     , array([ 0.0271848  ,  0.0354847  ,  1.71845e-62,  6.50006e-52,  0.165848   ])
303182  , -119456     , array([ 0.0458754  ,  0.0487595  ,  1.71845e-62,  6.50006e-52,  0.0742746  ])
303183  , -119456     , array([ 0.0458754  ,  0.0487595  ,  1.71845e-62,  6.50006e-52,  0.0742746  ])
303184  , -119371     , array([ 0.0459213  ,  0.0487595  ,  1.71845e-62,  6.50006e-52,  0.0742746  ])
303185  , -119422     , array([ 0.0458754  ,  0.0488083  ,  1.71845e-62,  6.50006e-52,  0.0742746  ])
303186  , -119456     , array([ 0.0458754  ,  0.0487595  ,  1.72017e-62,  6.50006e-52,  0.0742746  ])
303187  , -119456     , array([ 0.0458754  ,  0.0487595  ,  1.71845e-62,  6.50657e-52,  0.0742746  ])
303188  , -119567     , array([ 0.0458754  ,  0.0487595  ,  1.71845e-62,  6.50006e-52,  0.0743489  ])
303196  , -118887     , array([ 0.0468111  ,  0.0479142  ,  1.71845e-62,  6.50006e-52,  0.0746295  ])
303197  , -118887     , array([ 0.0468111  ,  0.0479142  ,  1.71845e-62,  6.50006e-52,  0.0746295  ])
303198  , -118803     , array([ 0.046858   ,  0.0479142  ,  1.71845e-62,  6.50006e-52,  0.0746295  ])
303199  , -118851     , array([ 0.0468111  ,  0.0479622  ,  1.71845e-62,  6.50006e-52,  0.0746295  ])
303200  , -118887     , array([ 0.0468111  ,  0.0479142  ,  1.72017e-62,  6.50006e-52,  0.0746295  ])
303201  , -118887     , array([ 0.0468111  ,  0.0479142  ,  1.71845e-62,  6.50657e-52,  0.0746295  ])
303202  , -118998     , array([ 0.0468111  ,  0.0479142  ,  1.71845e-62,  6.50006e-52,  0.0747042  ])
303203  , -117767     , array([ 0.0584815  ,  0.0610088  ,  1.71845e-62,  6.50006e-52,  0.0946561  ])
303204  , -117767     , array([ 0.0584815  ,  0.0610088  ,  1.71845e-62,  6.50006e-52,  0.0946561  ])
303205  , -117683     , array([ 0.05854    ,  0.0610088  ,  1.71845e-62,  6.50006e-52,  0.0946561  ])
303206  , -117731     , array([ 0.0584815  ,  0.0610698  ,  1.71845e-62,  6.50006e-52,  0.0946561  ])
303207  , -117767     , array([ 0.0584815  ,  0.0610088  ,  1.72017e-62,  6.50006e-52,  0.0946561  ])
303208  , -117767     , array([ 0.0584815  ,  0.0610088  ,  1.71845e-62,  6.50657e-52,  0.0946561  ])
303209  , -117877     , array([ 0.0584815  ,  0.0610088  ,  1.71845e-62,  6.50006e-52,  0.0947508  ])
303210  , -115521     , array([ 0.061964   ,  0.0639733  ,  1.71845e-62,  6.50006e-52,  0.0983873  ])
303211  , -115521     , array([ 0.061964   ,  0.0639733  ,  1.71845e-62,  6.50006e-52,  0.0983873  ])
303212  , -115439     , array([ 0.062026   ,  0.0639733  ,  1.71845e-62,  6.50006e-52,  0.0983873  ])
303213  , -115485     , array([ 0.061964   ,  0.0640374  ,  1.71845e-62,  6.50006e-52,  0.0983873  ])
303214  , -115521     , array([ 0.061964   ,  0.0639733  ,  1.72017e-62,  6.50006e-52,  0.0983873  ])
