308408  , -104725     , array([ 0.0907109  ,  4.302      ,  1.13362e-15,  0.234768   ,  0.0890022  ])
308409  , -104655     , array([ 0.0908017  ,  4.302      ,  1.13362e-15,  0.234768   ,  0.0890022  ])
308410  , -104730     , array([ 0.0907109  ,  4.3063     ,  1.13362e-15,  0.234768   ,  0.0890022  ])
308411  , -104725     , array([ 0.0907109  ,  4.302      ,  1.13476e-15,  0.234768   ,  0.0890022  ])
308412  , -104725     , array([ 0.0907109  ,  4.302      ,  1.13362e-15,  0.235003   ,  0.0890022  ])
308413  , -104779     , array([ 0.0907109  ,  4.302      ,  1.13362e-15,  0.234768   ,  0.0890912  ])
308414  , -104725     , array([ 0.0907109  ,  4.302      ,  1.13362e-15,  0.234768   ,  0.0890022  ])
308415  , -49474.8    , array([ 0.201426   ,  4.05453    ,  1.13362e-15,  0.234022   ,  0.0480418  ])
308416  , -49474.8    , array([ 0.201426   ,  4.05453    ,  1.13362e-15,  0.234022   ,  0.0480418  ])
308417  , -49454.6    , array([ 0.201628   ,  4.05453    ,  1.13362e-15,  0.234022   ,  0.0480418  ])
308418  , -49478.7    , array([ 0.201426   ,  4.05859    ,  1.13362e-15,  0.234022   ,  0.0480418  ])
308419  , -49474.8    , array([ 0.201426   ,  4.05453    ,  1.13476e-15,  0.234022   ,  0.0480418  ])
308420  , -49475.1    , array([ 0.201426   ,  4.05453    ,  1.13362e-15,  0.234256   ,  0.0480418  ])
308421  , -49485.8    , array([ 0.201426   ,  4.05453    ,  1.13362e-15,  0.234022   ,  0.0480899  ])
308429  , -49454      , array([ 0.201792   ,  4.04657    ,  1.13362e-15,  0.233979   ,  0.0481453  ])
308430  , -49454      , array([ 0.201792   ,  4.04657    ,  1.13362e-15,  0.233979   ,  0.0481453  ])
308431  , -49433.8    , array([ 0.201994   ,  4.04657    ,  1.13362e-15,  0.233979   ,  0.0481453  ])
308432  , -49457.9    , array([ 0.201792   ,  4.05062    ,  1.13362e-15,  0.233979   ,  0.0481453  ])
308433  , -49454      , array([ 0.201792   ,  4.04657    ,  1.13476e-15,  0.233979   ,  0.0481453  ])
308434  , -49454.3    , array([ 0.201792   ,  4.04657    ,  1.13362e-15,  0.234213   ,  0.0481453  ])
308435  , -49464.9    , array([ 0.201792   ,  4.04657    ,  1.13362e-15,  0.233979   ,  0.0481934  ])
308436  , -49433.1    , array([ 0.202158   ,  4.03862    ,  1.13362e-15,  0.233935   ,  0.0482491  ])
308437  , -49433.1    , array([ 0.202158   ,  4.03862    ,  1.13362e-15,  0.233935   ,  0.0482491  ])
308438  , -49412.9    , array([ 0.202361   ,  4.03862    ,  1.13362e-15,  0.233935   ,  0.0482491  ])
