30585   , -79066.8    , array([ 0.0118408  ,  0.547128   ,  5.27923e-48,  3.90284e-28,  3.24775e-07])
30586   , -79066.9    , array([ 0.0118526  ,  0.547128   ,  5.27923e-48,  3.90284e-28,  3.24775e-07])
30587   , -79066.8    , array([ 0.0118408  ,  0.547675   ,  5.27923e-48,  3.90284e-28,  3.24775e-07])
30588   , -79066.8    , array([ 0.0118408  ,  0.547128   ,  5.28451e-48,  3.90284e-28,  3.24775e-07])
30589   , -79066.8    , array([ 0.0118408  ,  0.547128   ,  5.27923e-48,  3.90675e-28,  3.24775e-07])
30590   , -79066.8    , array([ 0.0118408  ,  0.547128   ,  5.27923e-48,  3.90284e-28,  3.251e-07  ])
30591   , -79066.8    , array([ 0.0118408  ,  0.547128   ,  5.27923e-48,  3.90284e-28,  3.24775e-07])
30592   , -78996.8    , array([ 0.00586661 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70936e-07])
30593   , -78996.8    , array([ 0.00586661 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70936e-07])
30594   , -78996.9    , array([ 0.00587248 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70936e-07])
30595   , -78996.8    , array([ 0.00586661 ,  0.53556    ,  5.27923e-48,  3.90284e-28,  6.70936e-07])
30596   , -78996.8    , array([ 0.00586661 ,  0.535025   ,  5.28451e-48,  3.90284e-28,  6.70936e-07])
30597   , -78996.8    , array([ 0.00586661 ,  0.535025   ,  5.27923e-48,  3.90675e-28,  6.70936e-07])
30598   , -78996.7    , array([ 0.00586661 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.71607e-07])
30606   , -78996.8    , array([ 0.0058666  ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70938e-07])
30607   , -78996.8    , array([ 0.0058666  ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70938e-07])
30608   , -78996.9    , array([ 0.00587247 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70938e-07])
30609   , -78996.8    , array([ 0.0058666  ,  0.53556    ,  5.27923e-48,  3.90284e-28,  6.70938e-07])
30610   , -78996.8    , array([ 0.0058666  ,  0.535025   ,  5.28451e-48,  3.90284e-28,  6.70938e-07])
30611   , -78996.8    , array([ 0.0058666  ,  0.535025   ,  5.27923e-48,  3.90675e-28,  6.70938e-07])
30612   , -78996.7    , array([ 0.0058666  ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.71609e-07])
30613   , -78996.8    , array([ 0.00586658 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70939e-07])
30614   , -78996.8    , array([ 0.00586658 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70939e-07])
30615   , -78996.9    , array([ 0.00587245 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.70939e-07])
30616   , -78996.8    , array([ 0.00586658 ,  0.53556    ,  5.27923e-48,  3.90284e-28,  6.70939e-07])
30617   , -78996.8    , array([ 0.00586658 ,  0.535025   ,  5.28451e-48,  3.90284e-28,  6.70939e-07])
30618   , -78996.8    , array([ 0.00586658 ,  0.535025   ,  5.27923e-48,  3.90675e-28,  6.70939e-07])
30619   , -78996.7    , array([ 0.00586658 ,  0.535025   ,  5.27923e-48,  3.90284e-28,  6.71611e-07])
30620   , -77541.8    , array([ 0.00144012 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86339e-06])
30621   , -77541.8    , array([ 0.00144012 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86339e-06])
30622   , -77543.3    , array([ 0.00144156 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86339e-06])
30623   , -77541.8    , array([ 0.00144012 ,  0.512127   ,  5.27923e-48,  3.90284e-28,  2.86339e-06])
30624   , -77541.8    , array([ 0.00144012 ,  0.511615   ,  5.28451e-48,  3.90284e-28,  2.86339e-06])
30625   , -77541.8    , array([ 0.00144012 ,  0.511615   ,  5.27923e-48,  3.90675e-28,  2.86339e-06])
30626   , -77540.3    , array([ 0.00144012 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86625e-06])
30627   , -77541.8    , array([ 0.00144011 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86342e-06])
30628   , -77541.8    , array([ 0.00144011 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86342e-06])
30629   , -77543.2    , array([ 0.00144155 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86342e-06])
30630   , -77541.8    , array([ 0.00144011 ,  0.512127   ,  5.27923e-48,  3.90284e-28,  2.86342e-06])
30631   , -77541.8    , array([ 0.00144011 ,  0.511615   ,  5.28451e-48,  3.90284e-28,  2.86342e-06])
30632   , -77541.8    , array([ 0.00144011 ,  0.511615   ,  5.27923e-48,  3.90675e-28,  2.86342e-06])
30633   , -77540.2    , array([ 0.00144011 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86628e-06])
30634   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30635   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30636   , -77543.2    , array([ 0.00144153 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30637   , -77541.7    , array([ 0.00144009 ,  0.512127   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30638   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.28451e-48,  3.90284e-28,  2.86345e-06])
30639   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90675e-28,  2.86345e-06])
30640   , -77540.2    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86631e-06])
30648   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30649   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30650   , -77543.2    , array([ 0.00144153 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30651   , -77541.7    , array([ 0.00144009 ,  0.512127   ,  5.27923e-48,  3.90284e-28,  2.86345e-06])
30652   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.28451e-48,  3.90284e-28,  2.86345e-06])
30653   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90675e-28,  2.86345e-06])
30654   , -77540.2    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86632e-06])
30655   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86346e-06])
30656   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86346e-06])
30657   , -77543.2    , array([ 0.00144153 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86346e-06])
30658   , -77541.7    , array([ 0.00144009 ,  0.512127   ,  5.27923e-48,  3.90284e-28,  2.86346e-06])
30659   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.28451e-48,  3.90284e-28,  2.86346e-06])
30660   , -77541.7    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90675e-28,  2.86346e-06])
30661   , -77540.2    , array([ 0.00144009 ,  0.511615   ,  5.27923e-48,  3.90284e-28,  2.86633e-06])
30662   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30663   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30664   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30665   , -76027.8    , array([ 0.00101367 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30666   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11564e-06])
30667   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11564e-06])
30668   , -76024.9    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11976e-06])
30669   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30670   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30671   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30672   , -76027.8    , array([ 0.00101367 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11564e-06])
30673   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11564e-06])
30674   , -76027.8    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11564e-06])
30675   , -76024.9    , array([ 0.00101367 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11976e-06])
30676   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30677   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30678   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30679   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30680   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30681   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30682   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30690   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30691   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30692   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30693   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30694   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30695   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30696   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30697   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30698   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30699   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30700   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30701   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30702   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30703   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30711   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30712   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30713   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30714   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30715   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30716   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30717   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30718   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30719   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30720   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30721   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30722   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30723   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30724   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30732   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30733   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30734   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30735   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30736   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30737   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30738   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30739   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30740   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30741   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30742   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30743   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30744   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30745   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30753   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30754   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30755   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30756   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30757   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30758   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30759   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30760   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30761   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30762   , -76030.7    , array([ 0.00101468 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30763   , -76027.8    , array([ 0.00101366 ,  0.506431   ,  5.27923e-48,  3.90284e-28,  4.11565e-06])
30764   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.28451e-48,  3.90284e-28,  4.11565e-06])
30765   , -76027.8    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90675e-28,  4.11565e-06])
30766   , -76024.9    , array([ 0.00101366 ,  0.505924   ,  5.27923e-48,  3.90284e-28,  4.11977e-06])
30767   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30768   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30769   , -75965.9    , array([ 0.0010036  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30770   , -75963      , array([ 0.0010026  ,  0.506254   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30771   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.28451e-48,  3.90284e-28,  4.16257e-06])
30772   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90675e-28,  4.16257e-06])
30773   , -75960.1    , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16674e-06])
30774   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30775   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30776   , -75965.9    , array([ 0.0010036  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30777   , -75963      , array([ 0.0010026  ,  0.506254   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30778   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.28451e-48,  3.90284e-28,  4.16257e-06])
30779   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90675e-28,  4.16257e-06])
30780   , -75960.1    , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16674e-06])
30781   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30782   , -75963      , array([ 0.0010026  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30783   , -75965.9    , array([ 0.0010036  ,  0.505748   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
30784   , -75963      , array([ 0.0010026  ,  0.506254   ,  5.27923e-48,  3.90284e-28,  4.16257e-06])
