46049   , -79085.8    , array([ 3.02472    ,  0.0367784  ,  1.60462    ,  2.80831e-26,  1.13438e-07])
46050   , -79085.8    , array([ 3.02775    ,  0.0367784  ,  1.60462    ,  2.80831e-26,  1.13438e-07])
46051   , -79085.8    , array([ 3.02472    ,  0.0368152  ,  1.60462    ,  2.80831e-26,  1.13438e-07])
46052   , -79085.8    , array([ 3.02472    ,  0.0367784  ,  1.60623    ,  2.80831e-26,  1.13438e-07])
46053   , -79085.8    , array([ 3.02472    ,  0.0367784  ,  1.60462    ,  2.81112e-26,  1.13438e-07])
46054   , -79085.8    , array([ 3.02472    ,  0.0367784  ,  1.60462    ,  2.80831e-26,  1.13552e-07])
46055   , -79085.8    , array([ 3.02472    ,  0.0367784  ,  1.60462    ,  2.80831e-26,  1.13438e-07])
46056   , -79074.3    , array([ 3.00701    ,  0.0180706  ,  1.6048     ,  2.80831e-26,  2.32514e-07])
46057   , -79074.3    , array([ 3.00701    ,  0.0180706  ,  1.6048     ,  2.80831e-26,  2.32514e-07])
46058   , -79074.3    , array([ 3.01002    ,  0.0180706  ,  1.6048     ,  2.80831e-26,  2.32514e-07])
46059   , -79074.3    , array([ 3.00701    ,  0.0180887  ,  1.6048     ,  2.80831e-26,  2.32514e-07])
46060   , -79074.3    , array([ 3.00701    ,  0.0180706  ,  1.6064     ,  2.80831e-26,  2.32514e-07])
46061   , -79074.3    , array([ 3.00701    ,  0.0180706  ,  1.6048     ,  2.81112e-26,  2.32514e-07])
46062   , -79074.2    , array([ 3.00701    ,  0.0180706  ,  1.6048     ,  2.80831e-26,  2.32747e-07])
46063   , -74683.1    , array([ 2.93719    ,  0.00105316 ,  1.60548    ,  2.80831e-26,  4.10398e-06])
46064   , -74683.1    , array([ 2.93719    ,  0.00105316 ,  1.60548    ,  2.80831e-26,  4.10398e-06])
46065   , -74683.1    , array([ 2.94013    ,  0.00105316 ,  1.60548    ,  2.80831e-26,  4.10398e-06])
46066   , -74687.3    , array([ 2.93719    ,  0.00105421 ,  1.60548    ,  2.80831e-26,  4.10398e-06])
46067   , -74683.1    , array([ 2.93719    ,  0.00105316 ,  1.60709    ,  2.80831e-26,  4.10398e-06])
46068   , -74683.1    , array([ 2.93719    ,  0.00105316 ,  1.60548    ,  2.81112e-26,  4.10398e-06])
46069   , -74678.9    , array([ 2.93719    ,  0.00105316 ,  1.60548    ,  2.80831e-26,  4.10808e-06])
