302661  , -79061.3    , array([ 1.83875    ,  2.64609    ,  1.15734e-49,  1.14272e-11,  3.151e-05  ])
302662  , -79061.3    , array([ 1.84059    ,  2.64609    ,  1.15734e-49,  1.14272e-11,  3.151e-05  ])
302663  , -79061.3    , array([ 1.83875    ,  2.64873    ,  1.15734e-49,  1.14272e-11,  3.151e-05  ])
302664  , -79061.3    , array([ 1.83875    ,  2.64609    ,  1.1585e-49 ,  1.14272e-11,  3.151e-05  ])
302665  , -79061.3    , array([ 1.83875    ,  2.64609    ,  1.15734e-49,  1.14387e-11,  3.151e-05  ])
302666  , -79061.2    , array([ 1.83875    ,  2.64609    ,  1.15734e-49,  1.14272e-11,  3.15416e-05])
302667  , -79061.3    , array([ 1.83875    ,  2.64609    ,  1.15734e-49,  1.14272e-11,  3.151e-05  ])
302668  , -78993      , array([ 1.22957    ,  1.75352    ,  1.15734e-49,  1.14272e-11,  7.2261e-05 ])
302669  , -78993      , array([ 1.22957    ,  1.75352    ,  1.15734e-49,  1.14272e-11,  7.2261e-05 ])
302670  , -78993      , array([ 1.2308     ,  1.75352    ,  1.15734e-49,  1.14272e-11,  7.2261e-05 ])
302671  , -78993      , array([ 1.22957    ,  1.75528    ,  1.15734e-49,  1.14272e-11,  7.2261e-05 ])
302672  , -78993      , array([ 1.22957    ,  1.75352    ,  1.1585e-49 ,  1.14272e-11,  7.2261e-05 ])
302673  , -78993      , array([ 1.22957    ,  1.75352    ,  1.15734e-49,  1.14387e-11,  7.2261e-05 ])
302674  , -78992.9    , array([ 1.22957    ,  1.75352    ,  1.15734e-49,  1.14272e-11,  7.23333e-05])
302675  , -67376.5    , array([ 0.245857   ,  0.338176   ,  1.15734e-49,  1.14272e-11,  0.0019986  ])
302676  , -67376.5    , array([ 0.245857   ,  0.338176   ,  1.15734e-49,  1.14272e-11,  0.0019986  ])
302677  , -67381      , array([ 0.246103   ,  0.338176   ,  1.15734e-49,  1.14272e-11,  0.0019986  ])
302678  , -67382      , array([ 0.245857   ,  0.338515   ,  1.15734e-49,  1.14272e-11,  0.0019986  ])
302679  , -67376.5    , array([ 0.245857   ,  0.338176   ,  1.1585e-49 ,  1.14272e-11,  0.0019986  ])
