131646  , -79089.4    , array([ 0.00904626 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.4101e-11 ])
131647  , -79089.4    , array([ 0.00905531 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.4101e-11 ])
131648  , -79089.4    , array([ 0.00904626 ,  15.4964    ,  3.28033e-34,  1.59941e-16,  1.4101e-11 ])
131649  , -79089.4    , array([ 0.00904626 ,  15.4809    ,  3.28361e-34,  1.59941e-16,  1.4101e-11 ])
131650  , -79089.4    , array([ 0.00904626 ,  15.4809    ,  3.28033e-34,  1.60101e-16,  1.4101e-11 ])
131651  , -79089.4    , array([ 0.00904626 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41152e-11])
131652  , -79089.4    , array([ 0.00904626 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.4101e-11 ])
131653  , -79089.4    , array([ 0.00903501 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41186e-11])
131654  , -79089.4    , array([ 0.00903501 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41186e-11])
131655  , -79089.4    , array([ 0.00904405 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41186e-11])
131656  , -79089.4    , array([ 0.00903501 ,  15.4964    ,  3.28033e-34,  1.59941e-16,  1.41186e-11])
131657  , -79089.4    , array([ 0.00903501 ,  15.4809    ,  3.28361e-34,  1.59941e-16,  1.41186e-11])
131658  , -79089.4    , array([ 0.00903501 ,  15.4809    ,  3.28033e-34,  1.60101e-16,  1.41186e-11])
131659  , -79089.4    , array([ 0.00903501 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41328e-11])
131660  , -79089.4    , array([ 0.00899016 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41892e-11])
131661  , -79089.4    , array([ 0.00899016 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41892e-11])
131662  , -79089.4    , array([ 0.00899916 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.41892e-11])
131663  , -79089.4    , array([ 0.00899016 ,  15.4963    ,  3.28033e-34,  1.59941e-16,  1.41892e-11])
131664  , -79089.4    , array([ 0.00899016 ,  15.4809    ,  3.28361e-34,  1.59941e-16,  1.41892e-11])
131665  , -79089.4    , array([ 0.00899016 ,  15.4809    ,  3.28033e-34,  1.60101e-16,  1.41892e-11])
131666  , -79089.4    , array([ 0.00899016 ,  15.4809    ,  3.28033e-34,  1.59941e-16,  1.42034e-11])
131667  , -79089.4    , array([ 0.00881299 ,  15.4806    ,  3.28033e-34,  1.59941e-16,  1.44752e-11])
131668  , -79089.4    , array([ 0.00881299 ,  15.4806    ,  3.28033e-34,  1.59941e-16,  1.44752e-11])
131669  , -79089.4    , array([ 0.00882181 ,  15.4806    ,  3.28033e-34,  1.59941e-16,  1.44752e-11])
131670  , -79089.4    , array([ 0.00881299 ,  15.4961    ,  3.28033e-34,  1.59941e-16,  1.44752e-11])
131671  , -79089.4    , array([ 0.00881299 ,  15.4806    ,  3.28361e-34,  1.59941e-16,  1.44752e-11])
131672  , -79089.4    , array([ 0.00881299 ,  15.4806    ,  3.28033e-34,  1.60101e-16,  1.44752e-11])
131673  , -79089.4    , array([ 0.00881299 ,  15.4806    ,  3.28033e-34,  1.59941e-16,  1.44897e-11])
131674  , -79089.4    , array([ 0.00813853 ,  15.4796    ,  3.28033e-34,  1.59941e-16,  1.56778e-11])
131675  , -79089.4    , array([ 0.00813853 ,  15.4796    ,  3.28033e-34,  1.59941e-16,  1.56778e-11])
131676  , -79089.4    , array([ 0.00814668 ,  15.4796    ,  3.28033e-34,  1.59941e-16,  1.56778e-11])
131677  , -79089.4    , array([ 0.00813853 ,  15.495     ,  3.28033e-34,  1.59941e-16,  1.56778e-11])
131678  , -79089.4    , array([ 0.00813853 ,  15.4796    ,  3.28361e-34,  1.59941e-16,  1.56778e-11])
131679  , -79089.4    , array([ 0.00813853 ,  15.4796    ,  3.28033e-34,  1.60101e-16,  1.56778e-11])
131680  , -79089.4    , array([ 0.00813853 ,  15.4796    ,  3.28033e-34,  1.59941e-16,  1.56935e-11])
131681  , -79089.4    , array([ 0.00591885 ,  15.4754    ,  3.28033e-34,  1.59941e-16,  2.15741e-11])
131682  , -79089.4    , array([ 0.00591885 ,  15.4754    ,  3.28033e-34,  1.59941e-16,  2.15741e-11])
131683  , -79089.4    , array([ 0.00592477 ,  15.4754    ,  3.28033e-34,  1.59941e-16,  2.15741e-11])
131684  , -79089.4    , array([ 0.00591885 ,  15.4909    ,  3.28033e-34,  1.59941e-16,  2.15741e-11])
131685  , -79089.4    , array([ 0.00591885 ,  15.4754    ,  3.28361e-34,  1.59941e-16,  2.15741e-11])
131686  , -79089.4    , array([ 0.00591885 ,  15.4754    ,  3.28033e-34,  1.60101e-16,  2.15741e-11])
131687  , -79089.4    , array([ 0.00591885 ,  15.4754    ,  3.28033e-34,  1.59941e-16,  2.15957e-11])
131688  , -79089.4    , array([ 0.00165578 ,  15.4588    ,  3.28033e-34,  1.59941e-16,  7.73608e-11])
131689  , -79089.4    , array([ 0.00165578 ,  15.4588    ,  3.28033e-34,  1.59941e-16,  7.73608e-11])
131690  , -79089.4    , array([ 0.00165744 ,  15.4588    ,  3.28033e-34,  1.59941e-16,  7.73608e-11])
131691  , -79089.4    , array([ 0.00165578 ,  15.4743    ,  3.28033e-34,  1.59941e-16,  7.73608e-11])
131692  , -79089.4    , array([ 0.00165578 ,  15.4588    ,  3.28361e-34,  1.59941e-16,  7.73608e-11])
131693  , -79089.4    , array([ 0.00165578 ,  15.4588    ,  3.28033e-34,  1.60101e-16,  7.73608e-11])
131694  , -79089.4    , array([ 0.00165578 ,  15.4588    ,  3.28033e-34,  1.59941e-16,  7.74382e-11])
