169672  , -79088.7    , array([ 0.223146   ,  0.139253   ,  2.36156e-30,  0.000539883,  6.2804e-08 ])
169673  , -79088.7    , array([ 0.223369   ,  0.139253   ,  2.36156e-30,  0.000539883,  6.2804e-08 ])
169674  , -79088.7    , array([ 0.223146   ,  0.139393   ,  2.36156e-30,  0.000539883,  6.2804e-08 ])
169675  , -79088.7    , array([ 0.223146   ,  0.139253   ,  2.36393e-30,  0.000539883,  6.2804e-08 ])
169676  , -79088.7    , array([ 0.223146   ,  0.139253   ,  2.36156e-30,  0.000540423,  6.2804e-08 ])
169677  , -79088.7    , array([ 0.223146   ,  0.139253   ,  2.36156e-30,  0.000539883,  6.28669e-08])
169678  , -79088.7    , array([ 0.223146   ,  0.139253   ,  2.36156e-30,  0.000539883,  6.2804e-08 ])
169679  , -79086.9    , array([ 0.178247   ,  0.0819944  ,  2.36156e-30,  0.000539883,  1.33769e-07])
169680  , -79086.9    , array([ 0.178247   ,  0.0819944  ,  2.36156e-30,  0.000539883,  1.33769e-07])
169681  , -79086.9    , array([ 0.178425   ,  0.0819944  ,  2.36156e-30,  0.000539883,  1.33769e-07])
169682  , -79086.9    , array([ 0.178247   ,  0.0820765  ,  2.36156e-30,  0.000539883,  1.33769e-07])
169683  , -79086.9    , array([ 0.178247   ,  0.0819944  ,  2.36393e-30,  0.000539883,  1.33769e-07])
169684  , -79086.9    , array([ 0.178247   ,  0.0819944  ,  2.36156e-30,  0.000540423,  1.33769e-07])
169685  , -79086.9    , array([ 0.178247   ,  0.0819944  ,  2.36156e-30,  0.000539883,  1.33903e-07])
169686  , -78732      , array([ 0.0725701  ,  0.00985594 ,  2.36156e-30,  0.000539883,  2.75314e-06])
169687  , -78732      , array([ 0.0725701  ,  0.00985594 ,  2.36156e-30,  0.000539883,  2.75314e-06])
169688  , -78732      , array([ 0.0726428  ,  0.00985594 ,  2.36156e-30,  0.000539883,  2.75314e-06])
169689  , -78732.3    , array([ 0.0725701  ,  0.0098658  ,  2.36156e-30,  0.000539883,  2.75314e-06])
169690  , -78732      , array([ 0.0725701  ,  0.00985594 ,  2.36393e-30,  0.000539883,  2.75314e-06])
169691  , -78732      , array([ 0.0725701  ,  0.00985594 ,  2.36156e-30,  0.000540423,  2.75314e-06])
169692  , -78731.7    , array([ 0.0725701  ,  0.00985594 ,  2.36156e-30,  0.000539883,  2.7559e-06 ])
169700  , -78731.9    , array([ 0.072567   ,  0.00985494 ,  2.36156e-30,  0.000539883,  2.75354e-06])
169701  , -78731.9    , array([ 0.072567   ,  0.00985494 ,  2.36156e-30,  0.000539883,  2.75354e-06])
169702  , -78732      , array([ 0.0726396  ,  0.00985494 ,  2.36156e-30,  0.000539883,  2.75354e-06])
169703  , -78732.3    , array([ 0.072567   ,  0.0098648  ,  2.36156e-30,  0.000539883,  2.75354e-06])
169704  , -78731.9    , array([ 0.072567   ,  0.00985494 ,  2.36393e-30,  0.000539883,  2.75354e-06])
169705  , -78731.9    , array([ 0.072567   ,  0.00985494 ,  2.36156e-30,  0.000540423,  2.75354e-06])
169706  , -78731.6    , array([ 0.072567   ,  0.00985494 ,  2.36156e-30,  0.000539883,  2.7563e-06 ])
169707  , -78731.8    , array([ 0.0725639  ,  0.00985394 ,  2.36156e-30,  0.000539883,  2.75394e-06])
