185464  , -79089.1    , array([ 0.331593   ,  0.647749   ,  6.81507e-14,  2.2051e-06 ,  7.22684e-08])
185465  , -79089.1    , array([ 0.331925   ,  0.647749   ,  6.81507e-14,  2.2051e-06 ,  7.22684e-08])
185466  , -79089.1    , array([ 0.331593   ,  0.648397   ,  6.81507e-14,  2.2051e-06 ,  7.22684e-08])
185467  , -79089.1    , array([ 0.331593   ,  0.647749   ,  6.82189e-14,  2.2051e-06 ,  7.22684e-08])
185468  , -79089.1    , array([ 0.331593   ,  0.647749   ,  6.81507e-14,  2.2073e-06 ,  7.22684e-08])
185469  , -79089.1    , array([ 0.331593   ,  0.647749   ,  6.81507e-14,  2.2051e-06 ,  7.23407e-08])
185470  , -79089.1    , array([ 0.331593   ,  0.647749   ,  6.81507e-14,  2.2051e-06 ,  7.22684e-08])
185471  , -79089      , array([ 0.278647   ,  0.568204   ,  6.81507e-14,  2.2051e-06 ,  9.81875e-08])
185472  , -79089      , array([ 0.278647   ,  0.568204   ,  6.81507e-14,  2.2051e-06 ,  9.81875e-08])
185473  , -79089      , array([ 0.278926   ,  0.568204   ,  6.81507e-14,  2.2051e-06 ,  9.81875e-08])
185474  , -79089      , array([ 0.278647   ,  0.568773   ,  6.81507e-14,  2.2051e-06 ,  9.81875e-08])
185475  , -79089      , array([ 0.278647   ,  0.568204   ,  6.82189e-14,  2.2051e-06 ,  9.81875e-08])
185476  , -79089      , array([ 0.278647   ,  0.568204   ,  6.81507e-14,  2.2073e-06 ,  9.81875e-08])
185477  , -79089      , array([ 0.278647   ,  0.568204   ,  6.81507e-14,  2.2051e-06 ,  9.82858e-08])
185478  , -79086.3    , array([ 0.138946   ,  0.33643    ,  6.81507e-14,  2.2051e-06 ,  3.34572e-07])
185479  , -79086.3    , array([ 0.138946   ,  0.33643    ,  6.81507e-14,  2.2051e-06 ,  3.34572e-07])
185480  , -79086.3    , array([ 0.139085   ,  0.33643    ,  6.81507e-14,  2.2051e-06 ,  3.34572e-07])
185481  , -79086.3    , array([ 0.138946   ,  0.336766   ,  6.81507e-14,  2.2051e-06 ,  3.34572e-07])
185482  , -79086.3    , array([ 0.138946   ,  0.33643    ,  6.82189e-14,  2.2051e-06 ,  3.34572e-07])
185483  , -79086.3    , array([ 0.138946   ,  0.33643    ,  6.81507e-14,  2.2073e-06 ,  3.34572e-07])
185484  , -79086.3    , array([ 0.138946   ,  0.33643    ,  6.81507e-14,  2.2051e-06 ,  3.34906e-07])
185485  , -74031.9    , array([ 0.00859041 ,  0.041348   ,  6.81507e-14,  2.2051e-06 ,  4.51046e-05])
185486  , -74031.9    , array([ 0.00859041 ,  0.041348   ,  6.81507e-14,  2.2051e-06 ,  4.51046e-05])
185487  , -74035.4    , array([ 0.008599   ,  0.041348   ,  6.81507e-14,  2.2051e-06 ,  4.51046e-05])
185488  , -74033      , array([ 0.00859041 ,  0.0413894  ,  6.81507e-14,  2.2051e-06 ,  4.51046e-05])
185489  , -74031.9    , array([ 0.00859041 ,  0.041348   ,  6.82189e-14,  2.2051e-06 ,  4.51046e-05])
185490  , -74031.9    , array([ 0.00859041 ,  0.041348   ,  6.81507e-14,  2.2073e-06 ,  4.51046e-05])
185491  , -74027.2    , array([ 0.00859041 ,  0.041348   ,  6.81507e-14,  2.2051e-06 ,  4.51497e-05])
185499  , -73999      , array([ 0.00856807 ,  0.041267   ,  6.81507e-14,  2.2051e-06 ,  4.5312e-05 ])
185500  , -73999      , array([ 0.00856807 ,  0.041267   ,  6.81507e-14,  2.2051e-06 ,  4.5312e-05 ])
185501  , -74002.5    , array([ 0.00857664 ,  0.041267   ,  6.81507e-14,  2.2051e-06 ,  4.5312e-05 ])
185502  , -74000.1    , array([ 0.00856807 ,  0.0413083  ,  6.81507e-14,  2.2051e-06 ,  4.5312e-05 ])
185503  , -73999      , array([ 0.00856807 ,  0.041267   ,  6.82189e-14,  2.2051e-06 ,  4.5312e-05 ])
185504  , -73999      , array([ 0.00856807 ,  0.041267   ,  6.81507e-14,  2.2073e-06 ,  4.5312e-05 ])
185505  , -73994.3    , array([ 0.00856807 ,  0.041267   ,  6.81507e-14,  2.2051e-06 ,  4.53573e-05])
185506  , -73965.7    , array([ 0.00854567 ,  0.0411857  ,  6.81507e-14,  2.2051e-06 ,  4.55214e-05])
185507  , -73965.7    , array([ 0.00854567 ,  0.0411857  ,  6.81507e-14,  2.2051e-06 ,  4.55214e-05])
185508  , -73969.2    , array([ 0.00855422 ,  0.0411857  ,  6.81507e-14,  2.2051e-06 ,  4.55214e-05])
185509  , -73966.9    , array([ 0.00854567 ,  0.0412269  ,  6.81507e-14,  2.2051e-06 ,  4.55214e-05])
185510  , -73965.7    , array([ 0.00854567 ,  0.0411857  ,  6.82189e-14,  2.2051e-06 ,  4.55214e-05])
185511  , -73965.7    , array([ 0.00854567 ,  0.0411857  ,  6.81507e-14,  2.2073e-06 ,  4.55214e-05])
185512  , -73961      , array([ 0.00854567 ,  0.0411857  ,  6.81507e-14,  2.2051e-06 ,  4.5567e-05 ])
185520  , -73957.3    , array([ 0.00854004 ,  0.0411653  ,  6.81507e-14,  2.2051e-06 ,  4.55743e-05])
185521  , -73957.3    , array([ 0.00854004 ,  0.0411653  ,  6.81507e-14,  2.2051e-06 ,  4.55743e-05])
185522  , -73960.8    , array([ 0.00854859 ,  0.0411653  ,  6.81507e-14,  2.2051e-06 ,  4.55743e-05])
185523  , -73958.5    , array([ 0.00854004 ,  0.0412065  ,  6.81507e-14,  2.2051e-06 ,  4.55743e-05])
185524  , -73957.3    , array([ 0.00854004 ,  0.0411653  ,  6.82189e-14,  2.2051e-06 ,  4.55743e-05])
185525  , -73957.3    , array([ 0.00854004 ,  0.0411653  ,  6.81507e-14,  2.2073e-06 ,  4.55743e-05])
185526  , -73952.5    , array([ 0.00854004 ,  0.0411653  ,  6.81507e-14,  2.2051e-06 ,  4.56199e-05])
185527  , -73948.9    , array([ 0.00853442 ,  0.0411449  ,  6.81507e-14,  2.2051e-06 ,  4.56272e-05])
185528  , -73948.9    , array([ 0.00853442 ,  0.0411449  ,  6.81507e-14,  2.2051e-06 ,  4.56272e-05])
185529  , -73952.4    , array([ 0.00854295 ,  0.0411449  ,  6.81507e-14,  2.2051e-06 ,  4.56272e-05])
185530  , -73950      , array([ 0.00853442 ,  0.041186   ,  6.81507e-14,  2.2051e-06 ,  4.56272e-05])
185531  , -73948.9    , array([ 0.00853442 ,  0.0411449  ,  6.82189e-14,  2.2051e-06 ,  4.56272e-05])
185532  , -73948.9    , array([ 0.00853442 ,  0.0411449  ,  6.81507e-14,  2.2073e-06 ,  4.56272e-05])
185533  , -73944.1    , array([ 0.00853442 ,  0.0411449  ,  6.81507e-14,  2.2051e-06 ,  4.56729e-05])
185541  , -73946.7    , array([ 0.00853301 ,  0.0411397  ,  6.81507e-14,  2.2051e-06 ,  4.56405e-05])
185542  , -73946.7    , array([ 0.00853301 ,  0.0411397  ,  6.81507e-14,  2.2051e-06 ,  4.56405e-05])
185543  , -73950.3    , array([ 0.00854154 ,  0.0411397  ,  6.81507e-14,  2.2051e-06 ,  4.56405e-05])
185544  , -73947.9    , array([ 0.00853301 ,  0.0411809  ,  6.81507e-14,  2.2051e-06 ,  4.56405e-05])
185545  , -73946.7    , array([ 0.00853301 ,  0.0411397  ,  6.82189e-14,  2.2051e-06 ,  4.56405e-05])
185546  , -73946.7    , array([ 0.00853301 ,  0.0411397  ,  6.81507e-14,  2.2073e-06 ,  4.56405e-05])
185547  , -73942      , array([ 0.00853301 ,  0.0411397  ,  6.81507e-14,  2.2051e-06 ,  4.56862e-05])
185548  , -73944.6    , array([ 0.0085316  ,  0.0411346  ,  6.81507e-14,  2.2051e-06 ,  4.56538e-05])
185549  , -73944.6    , array([ 0.0085316  ,  0.0411346  ,  6.81507e-14,  2.2051e-06 ,  4.56538e-05])
185550  , -73948.2    , array([ 0.00854014 ,  0.0411346  ,  6.81507e-14,  2.2051e-06 ,  4.56538e-05])
185551  , -73945.8    , array([ 0.0085316  ,  0.0411758  ,  6.81507e-14,  2.2051e-06 ,  4.56538e-05])
185552  , -73944.6    , array([ 0.0085316  ,  0.0411346  ,  6.82189e-14,  2.2051e-06 ,  4.56538e-05])
185553  , -73944.6    , array([ 0.0085316  ,  0.0411346  ,  6.81507e-14,  2.2073e-06 ,  4.56538e-05])
185554  , -73939.9    , array([ 0.0085316  ,  0.0411346  ,  6.81507e-14,  2.2051e-06 ,  4.56994e-05])
185555  , -54858.5    , array([ 0.00212379 ,  0.0144332  ,  6.81507e-14,  2.2051e-06 ,  0.000529011])
185556  , -54858.5    , array([ 0.00212379 ,  0.0144332  ,  6.81507e-14,  2.2051e-06 ,  0.000529011])
185557  , -54825.3    , array([ 0.00212592 ,  0.0144332  ,  6.81507e-14,  2.2051e-06 ,  0.000529011])
185558  , -54869.9    , array([ 0.00212379 ,  0.0144477  ,  6.81507e-14,  2.2051e-06 ,  0.000529011])
185559  , -54858.5    , array([ 0.00212379 ,  0.0144332  ,  6.82189e-14,  2.2051e-06 ,  0.000529011])
185560  , -54858.5    , array([ 0.00212379 ,  0.0144332  ,  6.81507e-14,  2.2073e-06 ,  0.000529011])
185561  , -54879.9    , array([ 0.00212379 ,  0.0144332  ,  6.81507e-14,  2.2051e-06 ,  0.00052954 ])
185562  , -69985.5    , array([ 0.00673094 ,  0.0344086  ,  6.81507e-14,  2.2051e-06 ,  6.93208e-05])
185563  , -69985.5    , array([ 0.00673094 ,  0.0344086  ,  6.81507e-14,  2.2051e-06 ,  6.93208e-05])
185564  , -69991.3    , array([ 0.00673767 ,  0.0344086  ,  6.81507e-14,  2.2051e-06 ,  6.93208e-05])
185565  , -69987.5    , array([ 0.00673094 ,  0.034443   ,  6.81507e-14,  2.2051e-06 ,  6.93208e-05])
185566  , -69985.5    , array([ 0.00673094 ,  0.0344086  ,  6.82189e-14,  2.2051e-06 ,  6.93208e-05])
185567  , -69985.5    , array([ 0.00673094 ,  0.0344086  ,  6.81507e-14,  2.2073e-06 ,  6.93208e-05])
185568  , -69977.7    , array([ 0.00673094 ,  0.0344086  ,  6.81507e-14,  2.2051e-06 ,  6.93902e-05])
185569  , -46675.8    , array([ 0.00289773 ,  0.0182389  ,  6.81507e-14,  2.2051e-06 ,  0.000305997])
185570  , -46675.8    , array([ 0.00289773 ,  0.0182389  ,  6.81507e-14,  2.2051e-06 ,  0.000305997])
185571  , -46670.7    , array([ 0.00290063 ,  0.0182389  ,  6.81507e-14,  2.2051e-06 ,  0.000305997])
185572  , -46683.3    , array([ 0.00289773 ,  0.0182571  ,  6.81507e-14,  2.2051e-06 ,  0.000305997])
185573  , -46675.8    , array([ 0.00289773 ,  0.0182389  ,  6.82189e-14,  2.2051e-06 ,  0.000305997])
185574  , -46675.8    , array([ 0.00289773 ,  0.0182389  ,  6.81507e-14,  2.2073e-06 ,  0.000305997])
185575  , -46673.2    , array([ 0.00289773 ,  0.0182389  ,  6.81507e-14,  2.2051e-06 ,  0.000306303])
185576  , -46598.2    , array([ 0.00281545 ,  0.0178474  ,  6.81507e-14,  2.2051e-06 ,  0.000321926])
185577  , -46598.2    , array([ 0.00281545 ,  0.0178474  ,  6.81507e-14,  2.2051e-06 ,  0.000321926])
185578  , -46591.1    , array([ 0.00281827 ,  0.0178474  ,  6.81507e-14,  2.2051e-06 ,  0.000321926])
185579  , -46606      , array([ 0.00281545 ,  0.0178653  ,  6.81507e-14,  2.2051e-06 ,  0.000321926])
185580  , -46598.2    , array([ 0.00281545 ,  0.0178474  ,  6.82189e-14,  2.2051e-06 ,  0.000321926])
185581  , -46598.2    , array([ 0.00281545 ,  0.0178474  ,  6.81507e-14,  2.2073e-06 ,  0.000321926])
185582  , -46597.4    , array([ 0.00281545 ,  0.0178474  ,  6.81507e-14,  2.2051e-06 ,  0.000322248])
185583  , -46598.1    , array([ 0.00281236 ,  0.0178327  ,  6.81507e-14,  2.2051e-06 ,  0.000322551])
185584  , -46598.1    , array([ 0.00281236 ,  0.0178327  ,  6.81507e-14,  2.2051e-06 ,  0.000322551])
185585  , -46590.9    , array([ 0.00281517 ,  0.0178327  ,  6.81507e-14,  2.2051e-06 ,  0.000322551])
185586  , -46605.9    , array([ 0.00281236 ,  0.0178505  ,  6.81507e-14,  2.2051e-06 ,  0.000322551])
185587  , -46598.1    , array([ 0.00281236 ,  0.0178327  ,  6.82189e-14,  2.2051e-06 ,  0.000322551])
185588  , -46598.1    , array([ 0.00281236 ,  0.0178327  ,  6.81507e-14,  2.2073e-06 ,  0.000322551])
185589  , -46597.3    , array([ 0.00281236 ,  0.0178327  ,  6.81507e-14,  2.2051e-06 ,  0.000322874])
185590  , -48521.5    , array([ 0.00244394 ,  0.0160431  ,  6.81507e-14,  2.2051e-06 ,  0.000413077])
185591  , -48521.5    , array([ 0.00244394 ,  0.0160431  ,  6.81507e-14,  2.2051e-06 ,  0.000413077])
185592  , -48502.5    , array([ 0.00244639 ,  0.0160431  ,  6.81507e-14,  2.2051e-06 ,  0.000413077])
185593  , -48530.9    , array([ 0.00244394 ,  0.0160592  ,  6.81507e-14,  2.2051e-06 ,  0.000413077])
185594  , -48521.5    , array([ 0.00244394 ,  0.0160431  ,  6.82189e-14,  2.2051e-06 ,  0.000413077])
