207260  , -79089.4    , array([ 0.0754958  ,  0.487892   ,  7.4674e-12 ,  5.43971e-05,  1.96526e-10])
207261  , -79089.4    , array([ 0.0755713  ,  0.487892   ,  7.4674e-12 ,  5.43971e-05,  1.96526e-10])
207262  , -79089.4    , array([ 0.0754958  ,  0.48838    ,  7.4674e-12 ,  5.43971e-05,  1.96526e-10])
207263  , -79089.4    , array([ 0.0754958  ,  0.487892   ,  7.47487e-12,  5.43971e-05,  1.96526e-10])
207264  , -79089.4    , array([ 0.0754958  ,  0.487892   ,  7.4674e-12 ,  5.44515e-05,  1.96526e-10])
207265  , -79089.4    , array([ 0.0754958  ,  0.487892   ,  7.4674e-12 ,  5.43971e-05,  1.96722e-10])
207266  , -79089.4    , array([ 0.0754958  ,  0.487892   ,  7.4674e-12 ,  5.43971e-05,  1.96526e-10])
207267  , -79089.4    , array([ 0.0753391  ,  0.487661   ,  7.4674e-12 ,  5.43971e-05,  1.97029e-10])
207268  , -79089.4    , array([ 0.0753391  ,  0.487661   ,  7.4674e-12 ,  5.43971e-05,  1.97029e-10])
207269  , -79089.4    , array([ 0.0754145  ,  0.487661   ,  7.4674e-12 ,  5.43971e-05,  1.97029e-10])
207270  , -79089.4    , array([ 0.0753391  ,  0.488149   ,  7.4674e-12 ,  5.43971e-05,  1.97029e-10])
207271  , -79089.4    , array([ 0.0753391  ,  0.487661   ,  7.47487e-12,  5.43971e-05,  1.97029e-10])
207272  , -79089.4    , array([ 0.0753391  ,  0.487661   ,  7.4674e-12 ,  5.44515e-05,  1.97029e-10])
207273  , -79089.4    , array([ 0.0753391  ,  0.487661   ,  7.4674e-12 ,  5.43971e-05,  1.97226e-10])
207274  , -79089.4    , array([ 0.0747156  ,  0.48674    ,  7.4674e-12 ,  5.43971e-05,  1.99055e-10])
207275  , -79089.4    , array([ 0.0747156  ,  0.48674    ,  7.4674e-12 ,  5.43971e-05,  1.99055e-10])
207276  , -79089.4    , array([ 0.0747903  ,  0.48674    ,  7.4674e-12 ,  5.43971e-05,  1.99055e-10])
207277  , -79089.4    , array([ 0.0747156  ,  0.487227   ,  7.4674e-12 ,  5.43971e-05,  1.99055e-10])
207278  , -79089.4    , array([ 0.0747156  ,  0.48674    ,  7.47487e-12,  5.43971e-05,  1.99055e-10])
207279  , -79089.4    , array([ 0.0747156  ,  0.48674    ,  7.4674e-12 ,  5.44515e-05,  1.99055e-10])
207280  , -79089.4    , array([ 0.0747156  ,  0.48674    ,  7.4674e-12 ,  5.43971e-05,  1.99254e-10])
207281  , -79089.4    , array([ 0.0722726  ,  0.483071   ,  7.4674e-12 ,  5.43971e-05,  2.07367e-10])
207282  , -79089.4    , array([ 0.0722726  ,  0.483071   ,  7.4674e-12 ,  5.43971e-05,  2.07367e-10])
207283  , -79089.4    , array([ 0.072345   ,  0.483071   ,  7.4674e-12 ,  5.43971e-05,  2.07367e-10])
207284  , -79089.4    , array([ 0.0722726  ,  0.483555   ,  7.4674e-12 ,  5.43971e-05,  2.07367e-10])
207285  , -79089.4    , array([ 0.0722726  ,  0.483071   ,  7.47487e-12,  5.43971e-05,  2.07367e-10])
207286  , -79089.4    , array([ 0.0722726  ,  0.483071   ,  7.4674e-12 ,  5.44515e-05,  2.07367e-10])
207287  , -79089.4    , array([ 0.0722726  ,  0.483071   ,  7.4674e-12 ,  5.43971e-05,  2.07575e-10])
207288  , -79089.4    , array([ 0.0632739  ,  0.468671   ,  7.4674e-12 ,  5.43971e-05,  2.44238e-10])
207289  , -79089.4    , array([ 0.0632739  ,  0.468671   ,  7.4674e-12 ,  5.43971e-05,  2.44238e-10])
207290  , -79089.4    , array([ 0.0633372  ,  0.468671   ,  7.4674e-12 ,  5.43971e-05,  2.44238e-10])
207291  , -79089.4    , array([ 0.0632739  ,  0.46914    ,  7.4674e-12 ,  5.43971e-05,  2.44238e-10])
207292  , -79089.4    , array([ 0.0632739  ,  0.468671   ,  7.47487e-12,  5.43971e-05,  2.44238e-10])
207293  , -79089.4    , array([ 0.0632739  ,  0.468671   ,  7.4674e-12 ,  5.44516e-05,  2.44238e-10])
207294  , -79089.4    , array([ 0.0632739  ,  0.468671   ,  7.4674e-12 ,  5.43971e-05,  2.44482e-10])
207295  , -79089.4    , array([ 0.037173   ,  0.415238   ,  7.4674e-12 ,  5.43973e-05,  4.70007e-10])
207296  , -79089.4    , array([ 0.037173   ,  0.415238   ,  7.4674e-12 ,  5.43973e-05,  4.70007e-10])
207297  , -79089.4    , array([ 0.0372102  ,  0.415238   ,  7.4674e-12 ,  5.43973e-05,  4.70007e-10])
207298  , -79089.4    , array([ 0.037173   ,  0.415654   ,  7.4674e-12 ,  5.43973e-05,  4.70007e-10])
207299  , -79089.4    , array([ 0.037173   ,  0.415238   ,  7.47487e-12,  5.43973e-05,  4.70007e-10])
207300  , -79089.4    , array([ 0.037173   ,  0.415238   ,  7.4674e-12 ,  5.44518e-05,  4.70007e-10])
207301  , -79089.4    , array([ 0.037173   ,  0.415238   ,  7.4674e-12 ,  5.43973e-05,  4.70477e-10])
207302  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207303  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207304  , -79088.3    , array([ 0.00443278 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207305  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207306  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44567e-09])
207307  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.44526e-05,  6.44567e-09])
207308  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.45212e-09])
207316  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207317  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207318  , -79088.3    , array([ 0.00443277 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207319  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44567e-09])
207320  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44567e-09])
207321  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.44526e-05,  6.44567e-09])
207322  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.45212e-09])
207323  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207324  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207325  , -79088.3    , array([ 0.00443277 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207326  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207327  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44568e-09])
207328  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.44526e-05,  6.44568e-09])
207329  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.45213e-09])
207337  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207338  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207339  , -79088.3    , array([ 0.00443277 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207340  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207341  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44568e-09])
207342  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.44526e-05,  6.44568e-09])
207343  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.45213e-09])
207344  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207345  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207346  , -79088.3    , array([ 0.00443277 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207347  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207348  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44568e-09])
207349  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.44526e-05,  6.44568e-09])
207350  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.45213e-09])
207358  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207359  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207360  , -79088.3    , array([ 0.00443277 ,  0.255866   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207361  , -79088.3    , array([ 0.00442834 ,  0.256122   ,  7.4674e-12 ,  5.43981e-05,  6.44568e-09])
207362  , -79088.3    , array([ 0.00442834 ,  0.255866   ,  7.47487e-12,  5.43981e-05,  6.44568e-09])
