208781  , -44790.1    , array([ 3.26308    ,  0.381724   ,  2.01236e-16,  6.13166e-21,  0.014917   ])
208782  , -44791.8    , array([ 3.26635    ,  0.381724   ,  2.01236e-16,  6.13166e-21,  0.014917   ])
208783  , -44812.3    , array([ 3.26308    ,  0.382106   ,  2.01236e-16,  6.13166e-21,  0.014917   ])
208784  , -44790.1    , array([ 3.26308    ,  0.381724   ,  2.01437e-16,  6.13166e-21,  0.014917   ])
208785  , -44790.1    , array([ 3.26308    ,  0.381724   ,  2.01236e-16,  6.1378e-21 ,  0.014917   ])
208786  , -44766.8    , array([ 3.26308    ,  0.381724   ,  2.01236e-16,  6.13166e-21,  0.0149319  ])
208787  , -44790.1    , array([ 3.26308    ,  0.381724   ,  2.01236e-16,  6.13166e-21,  0.014917   ])
208788  , -10330.9    , array([ 3.09494    ,  0.190678   ,  2.01236e-16,  6.13166e-21,  0.0310093  ])
208789  , -10330.9    , array([ 3.09494    ,  0.190678   ,  2.01236e-16,  6.13166e-21,  0.0310093  ])
208790  , -10331.7    , array([ 3.09804    ,  0.190678   ,  2.01236e-16,  6.13166e-21,  0.0310093  ])
208791  , -10350.3    , array([ 3.09494    ,  0.190869   ,  2.01236e-16,  6.13166e-21,  0.0310093  ])
208792  , -10330.9    , array([ 3.09494    ,  0.190678   ,  2.01437e-16,  6.13166e-21,  0.0310093  ])
208793  , -10330.9    , array([ 3.09494    ,  0.190678   ,  2.01236e-16,  6.1378e-21 ,  0.0310093  ])
208794  , -10312.1    , array([ 3.09494    ,  0.190678   ,  2.01236e-16,  6.13166e-21,  0.0310403  ])
208802  , -10322.9    , array([ 3.09652    ,  0.190517   ,  2.01236e-16,  6.13166e-21,  0.0309963  ])
208803  , -10322.9    , array([ 3.09652    ,  0.190517   ,  2.01236e-16,  6.13166e-21,  0.0309963  ])
208804  , -10323.7    , array([ 3.09962    ,  0.190517   ,  2.01236e-16,  6.13166e-21,  0.0309963  ])
208805  , -10342.2    , array([ 3.09652    ,  0.190708   ,  2.01236e-16,  6.13166e-21,  0.0309963  ])
208806  , -10322.9    , array([ 3.09652    ,  0.190517   ,  2.01437e-16,  6.13166e-21,  0.0309963  ])
208807  , -10322.9    , array([ 3.09652    ,  0.190517   ,  2.01236e-16,  6.1378e-21 ,  0.0309963  ])
208808  , -10304      , array([ 3.09652    ,  0.190517   ,  2.01236e-16,  6.13166e-21,  0.0310273  ])
208809  , -18724.8    , array([ 24.6646    ,  0.00610733 ,  2.01236e-16,  6.13166e-21,  0.00563173 ])
208810  , -18724.8    , array([ 24.6646    ,  0.00610733 ,  2.01236e-16,  6.13166e-21,  0.00563173 ])
208811  , -18724.8    , array([ 24.6893    ,  0.00610733 ,  2.01236e-16,  6.13166e-21,  0.00563173 ])
208812  , -18689.5    , array([ 24.6646    ,  0.00611344 ,  2.01236e-16,  6.13166e-21,  0.00563173 ])
208813  , -18724.8    , array([ 24.6646    ,  0.00610733 ,  2.01437e-16,  6.13166e-21,  0.00563173 ])
208814  , -18724.8    , array([ 24.6646    ,  0.00610733 ,  2.01236e-16,  6.1378e-21 ,  0.00563173 ])
208815  , -18759      , array([ 24.6646    ,  0.00610733 ,  2.01236e-16,  6.13166e-21,  0.00563737 ])
