251832  , -79089.4    , array([ 38.015     ,  1.72473    ,  1.24286e-35,  3.59045e-86,  5.87956e-08])
251833  , -79089.4    , array([ 38.0531    ,  1.72473    ,  1.24286e-35,  3.59045e-86,  5.87956e-08])
251834  , -79089.4    , array([ 38.015     ,  1.72645    ,  1.24286e-35,  3.59045e-86,  5.87956e-08])
251835  , -79089.4    , array([ 38.015     ,  1.72473    ,  1.2441e-35 ,  3.59045e-86,  5.87956e-08])
251836  , -79089.4    , array([ 38.015     ,  1.72473    ,  1.24286e-35,  3.59405e-86,  5.87956e-08])
251837  , -79089.4    , array([ 38.015     ,  1.72473    ,  1.24286e-35,  3.59045e-86,  5.88545e-08])
251838  , -79089.4    , array([ 38.015     ,  1.72473    ,  1.24286e-35,  3.59045e-86,  5.87956e-08])
251839  , -79089.4    , array([ 37.9681    ,  1.65704    ,  1.24286e-35,  3.59045e-86,  6.13352e-08])
251840  , -79089.4    , array([ 37.9681    ,  1.65704    ,  1.24286e-35,  3.59045e-86,  6.13352e-08])
251841  , -79089.4    , array([ 38.0061    ,  1.65704    ,  1.24286e-35,  3.59045e-86,  6.13352e-08])
251842  , -79089.4    , array([ 37.9681    ,  1.6587     ,  1.24286e-35,  3.59045e-86,  6.13352e-08])
251843  , -79089.4    , array([ 37.9681    ,  1.65704    ,  1.2441e-35 ,  3.59045e-86,  6.13352e-08])
251844  , -79089.4    , array([ 37.9681    ,  1.65704    ,  1.24286e-35,  3.59405e-86,  6.13352e-08])
251845  , -79089.4    , array([ 37.9681    ,  1.65704    ,  1.24286e-35,  3.59045e-86,  6.13966e-08])
251846  , -79089.4    , array([ 37.781     ,  1.41185    ,  1.24286e-35,  3.59045e-86,  7.26388e-08])
251847  , -79089.4    , array([ 37.781     ,  1.41185    ,  1.24286e-35,  3.59045e-86,  7.26388e-08])
251848  , -79089.4    , array([ 37.8188    ,  1.41185    ,  1.24286e-35,  3.59045e-86,  7.26388e-08])
251849  , -79089.4    , array([ 37.781     ,  1.41326    ,  1.24286e-35,  3.59045e-86,  7.26388e-08])
251850  , -79089.4    , array([ 37.781     ,  1.41185    ,  1.2441e-35 ,  3.59045e-86,  7.26388e-08])
251851  , -79089.4    , array([ 37.781     ,  1.41185    ,  1.24286e-35,  3.59405e-86,  7.26388e-08])
251852  , -79089.4    , array([ 37.781     ,  1.41185    ,  1.24286e-35,  3.59045e-86,  7.27115e-08])
251853  , -79089.2    , array([ 37.0419    ,  0.744046   ,  1.24286e-35,  3.59045e-86,  1.42891e-07])
251854  , -79089.2    , array([ 37.0419    ,  0.744046   ,  1.24286e-35,  3.59045e-86,  1.42891e-07])
251855  , -79089.2    , array([ 37.079     ,  0.744046   ,  1.24286e-35,  3.59045e-86,  1.42891e-07])
251856  , -79089.2    , array([ 37.0419    ,  0.74479    ,  1.24286e-35,  3.59045e-86,  1.42891e-07])
251857  , -79089.2    , array([ 37.0419    ,  0.744046   ,  1.2441e-35 ,  3.59045e-86,  1.42891e-07])
251858  , -79089.2    , array([ 37.0419    ,  0.744046   ,  1.24286e-35,  3.59405e-86,  1.42891e-07])
251859  , -79089.2    , array([ 37.0419    ,  0.744046   ,  1.24286e-35,  3.59045e-86,  1.43034e-07])
251860  , -79045.6    , array([ 34.2272    ,  0.0573918  ,  1.24286e-35,  3.59045e-86,  2.13966e-06])
