271875  , -76809      , array([ 0.91082    ,  1.29909    ,  9.74778e-24,  1.16177e-13,  0.00130052 ])
271876  , -76810      , array([ 0.911731   ,  1.29909    ,  9.74778e-24,  1.16177e-13,  0.00130052 ])
271877  , -76810.1    , array([ 0.91082    ,  1.30039    ,  9.74778e-24,  1.16177e-13,  0.00130052 ])
271878  , -76809      , array([ 0.91082    ,  1.29909    ,  9.75754e-24,  1.16177e-13,  0.00130052 ])
271879  , -76809      , array([ 0.91082    ,  1.29909    ,  9.74778e-24,  1.16293e-13,  0.00130052 ])
271880  , -76806.7    , array([ 0.91082    ,  1.29909    ,  9.74778e-24,  1.16177e-13,  0.00130182 ])
271881  , -76809      , array([ 0.91082    ,  1.29909    ,  9.74778e-24,  1.16177e-13,  0.00130052 ])
271882  , -71701.2    , array([ 0.610529   ,  0.854229   ,  9.74778e-24,  1.16177e-13,  0.00297432 ])
271883  , -71701.2    , array([ 0.610529   ,  0.854229   ,  9.74778e-24,  1.16177e-13,  0.00297432 ])
271884  , -71704.4    , array([ 0.61114    ,  0.854229   ,  9.74778e-24,  1.16177e-13,  0.00297432 ])
271885  , -71704.8    , array([ 0.610529   ,  0.855084   ,  9.74778e-24,  1.16177e-13,  0.00297432 ])
271886  , -71701.2    , array([ 0.610529   ,  0.854229   ,  9.75754e-24,  1.16177e-13,  0.00297432 ])
271887  , -71701.2    , array([ 0.610529   ,  0.854229   ,  9.74778e-24,  1.16293e-13,  0.00297432 ])
271888  , -71694.4    , array([ 0.610529   ,  0.854229   ,  9.74778e-24,  1.16177e-13,  0.00297729 ])
271889  , -47980.7    , array([ 0.123254   ,  0.159703   ,  9.74778e-24,  1.16177e-13,  0.0813697  ])
271890  , -47980.7    , array([ 0.123254   ,  0.159703   ,  9.74778e-24,  1.16177e-13,  0.0813697  ])
271891  , -47933      , array([ 0.123377   ,  0.159703   ,  9.74778e-24,  1.16177e-13,  0.0813697  ])
271892  , -47982.1    , array([ 0.123254   ,  0.159863   ,  9.74778e-24,  1.16177e-13,  0.0813697  ])
271893  , -47980.7    , array([ 0.123254   ,  0.159703   ,  9.75754e-24,  1.16177e-13,  0.0813697  ])
271894  , -47980.7    , array([ 0.123254   ,  0.159703   ,  9.74778e-24,  1.16293e-13,  0.0813697  ])
271895  , -48021.6    , array([ 0.123254   ,  0.159703   ,  9.74778e-24,  1.16177e-13,  0.0814511  ])
271896  , -65554.2    , array([ 0.489529   ,  0.677708   ,  9.74778e-24,  1.16177e-13,  0.00469641 ])
271897  , -65554.2    , array([ 0.489529   ,  0.677708   ,  9.74778e-24,  1.16177e-13,  0.00469641 ])
271898  , -65559.3    , array([ 0.490019   ,  0.677708   ,  9.74778e-24,  1.16177e-13,  0.00469641 ])
271899  , -65560.5    , array([ 0.489529   ,  0.678386   ,  9.74778e-24,  1.16177e-13,  0.00469641 ])
271900  , -65554.2    , array([ 0.489529   ,  0.677708   ,  9.75754e-24,  1.16177e-13,  0.00469641 ])
271901  , -65554.2    , array([ 0.489529   ,  0.677708   ,  9.74778e-24,  1.16293e-13,  0.00469641 ])
271902  , -65542.7    , array([ 0.489529   ,  0.677708   ,  9.74778e-24,  1.16177e-13,  0.00470111 ])
271903  , -21110.4    , array([ 0.190531   ,  0.252091   ,  9.74778e-24,  1.16177e-13,  0.0330573  ])
271904  , -21110.4    , array([ 0.190531   ,  0.252091   ,  9.74778e-24,  1.16177e-13,  0.0330573  ])
271905  , -21093.7    , array([ 0.190721   ,  0.252091   ,  9.74778e-24,  1.16177e-13,  0.0330573  ])
271906  , -21124.8    , array([ 0.190531   ,  0.252344   ,  9.74778e-24,  1.16177e-13,  0.0330573  ])
271907  , -21110.4    , array([ 0.190531   ,  0.252091   ,  9.75754e-24,  1.16177e-13,  0.0330573  ])
271908  , -21110.4    , array([ 0.190531   ,  0.252091   ,  9.74778e-24,  1.16293e-13,  0.0330573  ])
271909  , -21109.9    , array([ 0.190531   ,  0.252091   ,  9.74778e-24,  1.16177e-13,  0.0330904  ])
271917  , -21090.3    , array([ 0.190093   ,  0.251109   ,  9.74778e-24,  1.16177e-13,  0.0332691  ])
271918  , -21090.3    , array([ 0.190093   ,  0.251109   ,  9.74778e-24,  1.16177e-13,  0.0332691  ])
271919  , -21073.4    , array([ 0.190284   ,  0.251109   ,  9.74778e-24,  1.16177e-13,  0.0332691  ])
271920  , -21104.7    , array([ 0.190093   ,  0.25136    ,  9.74778e-24,  1.16177e-13,  0.0332691  ])
271921  , -21090.3    , array([ 0.190093   ,  0.251109   ,  9.75754e-24,  1.16177e-13,  0.0332691  ])
271922  , -21090.3    , array([ 0.190093   ,  0.251109   ,  9.74778e-24,  1.16293e-13,  0.0332691  ])
271923  , -21090.1    , array([ 0.190093   ,  0.251109   ,  9.74778e-24,  1.16177e-13,  0.0333024  ])
271924  , -21048.6    , array([ 0.198261   ,  0.263216   ,  9.74778e-24,  1.16177e-13,  0.0348417  ])
271925  , -21048.6    , array([ 0.198261   ,  0.263216   ,  9.74778e-24,  1.16177e-13,  0.0348417  ])
271926  , -21031.8    , array([ 0.198459   ,  0.263216   ,  9.74778e-24,  1.16177e-13,  0.0348417  ])
271927  , -21063      , array([ 0.198261   ,  0.26348    ,  9.74778e-24,  1.16177e-13,  0.0348417  ])
271928  , -21048.6    , array([ 0.198261   ,  0.263216   ,  9.75754e-24,  1.16177e-13,  0.0348417  ])
271929  , -21048.6    , array([ 0.198261   ,  0.263216   ,  9.74778e-24,  1.16293e-13,  0.0348417  ])
271930  , -21048.4    , array([ 0.198261   ,  0.263216   ,  9.74778e-24,  1.16177e-13,  0.0348766  ])
271931  , -20889.7    , array([ 0.234593   ,  0.317773   ,  9.74778e-24,  1.16177e-13,  0.0419111  ])
271932  , -20889.7    , array([ 0.234593   ,  0.317773   ,  9.74778e-24,  1.16177e-13,  0.0419111  ])
271933  , -20873.1    , array([ 0.234828   ,  0.317773   ,  9.74778e-24,  1.16177e-13,  0.0419111  ])
271934  , -20903.9    , array([ 0.234593   ,  0.318091   ,  9.74778e-24,  1.16177e-13,  0.0419111  ])
271935  , -20889.7    , array([ 0.234593   ,  0.317773   ,  9.75754e-24,  1.16177e-13,  0.0419111  ])
271936  , -20889.7    , array([ 0.234593   ,  0.317773   ,  9.74778e-24,  1.16293e-13,  0.0419111  ])
271937  , -20889.5    , array([ 0.234593   ,  0.317773   ,  9.74778e-24,  1.16177e-13,  0.0419531  ])
271938  , -20487.2    , array([ 0.220581   ,  0.287182   ,  9.74778e-24,  1.16177e-13,  0.039018   ])
271939  , -20487.2    , array([ 0.220581   ,  0.287182   ,  9.74778e-24,  1.16177e-13,  0.039018   ])
271940  , -20470.6    , array([ 0.220802   ,  0.287182   ,  9.74778e-24,  1.16177e-13,  0.039018   ])
271941  , -20501.4    , array([ 0.220581   ,  0.287469   ,  9.74778e-24,  1.16177e-13,  0.039018   ])
271942  , -20487.2    , array([ 0.220581   ,  0.287182   ,  9.75754e-24,  1.16177e-13,  0.039018   ])
271943  , -20487.2    , array([ 0.220581   ,  0.287182   ,  9.74778e-24,  1.16293e-13,  0.039018   ])
271944  , -20487.1    , array([ 0.220581   ,  0.287182   ,  9.74778e-24,  1.16177e-13,  0.039057   ])
271945  , -18885.4    , array([ 0.172417   ,  0.191567   ,  9.74778e-24,  1.16177e-13,  0.0293094  ])
271946  , -18885.4    , array([ 0.172417   ,  0.191567   ,  9.74778e-24,  1.16177e-13,  0.0293094  ])
271947  , -18868.7    , array([ 0.172589   ,  0.191567   ,  9.74778e-24,  1.16177e-13,  0.0293094  ])
271948  , -18899.3    , array([ 0.172417   ,  0.191759   ,  9.74778e-24,  1.16177e-13,  0.0293094  ])
271949  , -18885.4    , array([ 0.172417   ,  0.191567   ,  9.75754e-24,  1.16177e-13,  0.0293094  ])
271950  , -18885.4    , array([ 0.172417   ,  0.191567   ,  9.74778e-24,  1.16293e-13,  0.0293094  ])
271951  , -18885.7    , array([ 0.172417   ,  0.191567   ,  9.74778e-24,  1.16177e-13,  0.0293388  ])
271952  , -12773.9    , array([ 0.0643613  ,  0.0379293  ,  9.74778e-24,  1.16177e-13,  0.00933205 ])
271953  , -12773.9    , array([ 0.0643613  ,  0.0379293  ,  9.74778e-24,  1.16177e-13,  0.00933205 ])
271954  , -12758.9    , array([ 0.0644257  ,  0.0379293  ,  9.74778e-24,  1.16177e-13,  0.00933205 ])
271955  , -12782.8    , array([ 0.0643613  ,  0.0379672  ,  9.74778e-24,  1.16177e-13,  0.00933205 ])
271956  , -12773.9    , array([ 0.0643613  ,  0.0379293  ,  9.75754e-24,  1.16177e-13,  0.00933205 ])
271957  , -12773.9    , array([ 0.0643613  ,  0.0379293  ,  9.74778e-24,  1.16293e-13,  0.00933205 ])
271958  , -12778.8    , array([ 0.0643613  ,  0.0379293  ,  9.74778e-24,  1.16177e-13,  0.00934138 ])
271966  , -12773.4    , array([ 0.0643538  ,  0.0379228  ,  9.74778e-24,  1.16177e-13,  0.00933078 ])
271967  , -12773.4    , array([ 0.0643538  ,  0.0379228  ,  9.74778e-24,  1.16177e-13,  0.00933078 ])
271968  , -12758.4    , array([ 0.0644182  ,  0.0379228  ,  9.74778e-24,  1.16177e-13,  0.00933078 ])
271969  , -12782.4    , array([ 0.0643538  ,  0.0379608  ,  9.74778e-24,  1.16177e-13,  0.00933078 ])
271970  , -12773.4    , array([ 0.0643538  ,  0.0379228  ,  9.75754e-24,  1.16177e-13,  0.00933078 ])
271971  , -12773.4    , array([ 0.0643538  ,  0.0379228  ,  9.74778e-24,  1.16293e-13,  0.00933078 ])
271972  , -12778.3    , array([ 0.0643538  ,  0.0379228  ,  9.74778e-24,  1.16177e-13,  0.00934011 ])
271980  , -12773.2    , array([ 0.0643506  ,  0.03792    ,  9.74778e-24,  1.16177e-13,  0.00933022 ])
271981  , -12773.2    , array([ 0.0643506  ,  0.03792    ,  9.74778e-24,  1.16177e-13,  0.00933022 ])
271982  , -12758.2    , array([ 0.064415   ,  0.03792    ,  9.74778e-24,  1.16177e-13,  0.00933022 ])
271983  , -12782.2    , array([ 0.0643506  ,  0.0379579  ,  9.74778e-24,  1.16177e-13,  0.00933022 ])
271984  , -12773.2    , array([ 0.0643506  ,  0.03792    ,  9.75754e-24,  1.16177e-13,  0.00933022 ])
271985  , -12773.2    , array([ 0.0643506  ,  0.03792    ,  9.74778e-24,  1.16293e-13,  0.00933022 ])
271986  , -12778.1    , array([ 0.0643506  ,  0.03792    ,  9.74778e-24,  1.16177e-13,  0.00933956 ])
271987  , -8660.13    , array([ 0.0101149  ,  0.00250909 ,  9.74778e-24,  1.16177e-13,  0.00106797 ])
271988  , -8660.13    , array([ 0.0101149  ,  0.00250909 ,  9.74778e-24,  1.16177e-13,  0.00106797 ])
271989  , -8651.07    , array([ 0.0101251  ,  0.00250909 ,  9.74778e-24,  1.16177e-13,  0.00106797 ])
271990  , -8655.07    , array([ 0.0101149  ,  0.0025116  ,  9.74778e-24,  1.16177e-13,  0.00106797 ])
271991  , -8660.13    , array([ 0.0101149  ,  0.00250909 ,  9.75754e-24,  1.16177e-13,  0.00106797 ])
271992  , -8660.13    , array([ 0.0101149  ,  0.00250909 ,  9.74778e-24,  1.16293e-13,  0.00106797 ])
271993  , -8674.13    , array([ 0.0101149  ,  0.00250909 ,  9.74778e-24,  1.16177e-13,  0.00106904 ])
271994  , -4993.46    , array([ 0.00888101 ,  0.0016178  ,  9.74778e-24,  1.16177e-13,  0.0005815  ])
271995  , -4993.46    , array([ 0.00888101 ,  0.0016178  ,  9.74778e-24,  1.16177e-13,  0.0005815  ])
271996  , -4988.8     , array([ 0.00888989 ,  0.0016178  ,  9.74778e-24,  1.16177e-13,  0.0005815  ])
271997  , -4992.31    , array([ 0.00888101 ,  0.00161942 ,  9.74778e-24,  1.16177e-13,  0.0005815  ])
271998  , -4993.46    , array([ 0.00888101 ,  0.0016178  ,  9.75754e-24,  1.16177e-13,  0.0005815  ])
271999  , -4993.46    , array([ 0.00888101 ,  0.0016178  ,  9.74778e-24,  1.16293e-13,  0.0005815  ])
272000  , -4999.23    , array([ 0.00888101 ,  0.0016178  ,  9.74778e-24,  1.16177e-13,  0.000582082])
272008  , -4993.45    , array([ 0.00888098 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581498])
272009  , -4993.45    , array([ 0.00888098 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581498])
272010  , -4988.79    , array([ 0.00888987 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581498])
272011  , -4992.3     , array([ 0.00888098 ,  0.00161941 ,  9.74778e-24,  1.16177e-13,  0.000581498])
272012  , -4993.45    , array([ 0.00888098 ,  0.00161779 ,  9.75754e-24,  1.16177e-13,  0.000581498])
272013  , -4993.45    , array([ 0.00888098 ,  0.00161779 ,  9.74778e-24,  1.16293e-13,  0.000581498])
272014  , -4999.22    , array([ 0.00888098 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000582079])
272022  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272023  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272024  , -4988.79    , array([ 0.00888986 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272025  , -4992.29    , array([ 0.00888097 ,  0.00161941 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272026  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.75754e-24,  1.16177e-13,  0.000581496])
272027  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16293e-13,  0.000581496])
272028  , -4999.21    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000582078])
272036  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272037  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272038  , -4988.79    , array([ 0.00888985 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000581496])
272039  , -4992.29    , array([ 0.00888097 ,  0.0016194  ,  9.74778e-24,  1.16177e-13,  0.000581496])
272040  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.75754e-24,  1.16177e-13,  0.000581496])
272041  , -4993.44    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16293e-13,  0.000581496])
272042  , -4999.21    , array([ 0.00888097 ,  0.00161779 ,  9.74778e-24,  1.16177e-13,  0.000582078])
272043  , -4369.61    , array([ 0.00730125 ,  0.00115187 ,  9.74778e-24,  1.16177e-13,  0.000409881])
272044  , -4369.61    , array([ 0.00730125 ,  0.00115187 ,  9.74778e-24,  1.16177e-13,  0.000409881])
272045  , -4366       , array([ 0.00730855 ,  0.00115187 ,  9.74778e-24,  1.16177e-13,  0.000409881])
272046  , -4368.58    , array([ 0.00730125 ,  0.00115302 ,  9.74778e-24,  1.16177e-13,  0.000409881])
272047  , -4369.61    , array([ 0.00730125 ,  0.00115187 ,  9.75754e-24,  1.16177e-13,  0.000409881])
272048  , -4369.61    , array([ 0.00730125 ,  0.00115187 ,  9.74778e-24,  1.16293e-13,  0.000409881])
272049  , -4374.24    , array([ 0.00730125 ,  0.00115187 ,  9.74778e-24,  1.16177e-13,  0.000410291])
272057  , -4369.61    , array([ 0.00730124 ,  0.00115187 ,  9.74778e-24,  1.16177e-13,  0.000409881])
