286220  , -60398.1    , array([ 0.899917   ,  0.13801    ,  0.380448   ,  3.17413e-11,  0.00237916 ])
286221  , -60399.5    , array([ 0.900817   ,  0.13801    ,  0.380448   ,  3.17413e-11,  0.00237916 ])
286222  , -60412.3    , array([ 0.899917   ,  0.138148   ,  0.380448   ,  3.17413e-11,  0.00237916 ])
286223  , -60398.1    , array([ 0.899917   ,  0.13801    ,  0.380829   ,  3.17413e-11,  0.00237916 ])
286224  , -60398.1    , array([ 0.899917   ,  0.13801    ,  0.380448   ,  3.17731e-11,  0.00237916 ])
286225  , -60382.6    , array([ 0.899917   ,  0.13801    ,  0.380448   ,  3.17413e-11,  0.00238154 ])
286226  , -60398.1    , array([ 0.899917   ,  0.13801    ,  0.380448   ,  3.17413e-11,  0.00237916 ])
286227  , -29622.3    , array([ 0.84201    ,  0.0700513  ,  0.380258   ,  3.17413e-11,  0.00501436 ])
286228  , -29622.3    , array([ 0.84201    ,  0.0700513  ,  0.380258   ,  3.17413e-11,  0.00501436 ])
286229  , -29623.5    , array([ 0.842852   ,  0.0700513  ,  0.380258   ,  3.17413e-11,  0.00501436 ])
286230  , -29647.8    , array([ 0.84201    ,  0.0701214  ,  0.380258   ,  3.17413e-11,  0.00501436 ])
286231  , -29622.4    , array([ 0.84201    ,  0.0700513  ,  0.380638   ,  3.17413e-11,  0.00501436 ])
286232  , -29622.3    , array([ 0.84201    ,  0.0700513  ,  0.380258   ,  3.17731e-11,  0.00501436 ])
286233  , -29595.7    , array([ 0.84201    ,  0.0700513  ,  0.380258   ,  3.17413e-11,  0.00501938 ])
286234  , -561338     , array([ 0.645322   ,  0.00464988 ,  0.379497   ,  3.17413e-11,  0.0989435  ])
286235  , -561338     , array([ 0.645322   ,  0.00464988 ,  0.379497   ,  3.17413e-11,  0.0989435  ])
286236  , -561381     , array([ 0.645968   ,  0.00464988 ,  0.379497   ,  3.17413e-11,  0.0989435  ])
