289803  , -79089.4    , array([ 34.8641    ,  14.0597    ,  1.24231e-16,  4.21705    ,  1.22482e-07])
289804  , -79089.4    , array([ 34.8989    ,  14.0597    ,  1.24231e-16,  4.21705    ,  1.22482e-07])
289805  , -79089.4    , array([ 34.8641    ,  14.0737    ,  1.24231e-16,  4.21705    ,  1.22482e-07])
289806  , -79089.4    , array([ 34.8641    ,  14.0597    ,  1.24355e-16,  4.21705    ,  1.22482e-07])
289807  , -79089.4    , array([ 34.8641    ,  14.0597    ,  1.24231e-16,  4.22127    ,  1.22482e-07])
289808  , -79089.4    , array([ 34.8641    ,  14.0597    ,  1.24231e-16,  4.21705    ,  1.22604e-07])
289809  , -79089.4    , array([ 34.8641    ,  14.0597    ,  1.24231e-16,  4.21705    ,  1.22482e-07])
289810  , -79089.4    , array([ 34.7664    ,  13.9166    ,  1.24231e-16,  4.21355    ,  1.2424e-07 ])
289811  , -79089.4    , array([ 34.7664    ,  13.9166    ,  1.24231e-16,  4.21355    ,  1.2424e-07 ])
289812  , -79089.4    , array([ 34.8012    ,  13.9166    ,  1.24231e-16,  4.21355    ,  1.2424e-07 ])
289813  , -79089.4    , array([ 34.7664    ,  13.9305    ,  1.24231e-16,  4.21355    ,  1.2424e-07 ])
289814  , -79089.4    , array([ 34.7664    ,  13.9166    ,  1.24355e-16,  4.21355    ,  1.2424e-07 ])
289815  , -79089.4    , array([ 34.7664    ,  13.9166    ,  1.24231e-16,  4.21777    ,  1.2424e-07 ])
289816  , -79089.4    , array([ 34.7664    ,  13.9166    ,  1.24231e-16,  4.21355    ,  1.24364e-07])
289817  , -79089.4    , array([ 34.3786    ,  13.3586    ,  1.24231e-16,  4.1996     ,  1.31528e-07])
289818  , -79089.4    , array([ 34.3786    ,  13.3586    ,  1.24231e-16,  4.1996     ,  1.31528e-07])
289819  , -79089.4    , array([ 34.413     ,  13.3586    ,  1.24231e-16,  4.1996     ,  1.31528e-07])
289820  , -79089.4    , array([ 34.3786    ,  13.3719    ,  1.24231e-16,  4.1996     ,  1.31528e-07])
289821  , -79089.4    , array([ 34.3786    ,  13.3586    ,  1.24355e-16,  4.1996     ,  1.31528e-07])
289822  , -79089.4    , array([ 34.3786    ,  13.3586    ,  1.24231e-16,  4.2038     ,  1.31528e-07])
289823  , -79089.4    , array([ 34.3786    ,  13.3586    ,  1.24231e-16,  4.1996     ,  1.3166e-07 ])
289824  , -79089.4    , array([ 32.8702    ,  11.3415    ,  1.24231e-16,  4.14424    ,  1.65216e-07])
289825  , -79089.4    , array([ 32.8702    ,  11.3415    ,  1.24231e-16,  4.14424    ,  1.65216e-07])
289826  , -79089.4    , array([ 32.9031    ,  11.3415    ,  1.24231e-16,  4.14424    ,  1.65216e-07])
289827  , -79089.4    , array([ 32.8702    ,  11.3528    ,  1.24231e-16,  4.14424    ,  1.65216e-07])
289828  , -79089.4    , array([ 32.8702    ,  11.3415    ,  1.24355e-16,  4.14424    ,  1.65216e-07])
289829  , -79089.4    , array([ 32.8702    ,  11.3415    ,  1.24231e-16,  4.14839    ,  1.65216e-07])
289830  , -79089.4    , array([ 32.8702    ,  11.3415    ,  1.24231e-16,  4.14424    ,  1.65381e-07])
289831  , -79089.3    , array([ 27.47      ,  5.89262    ,  1.24231e-16,  3.93001    ,  4.11326e-07])
289832  , -79089.3    , array([ 27.47      ,  5.89262    ,  1.24231e-16,  3.93001    ,  4.11326e-07])
289833  , -79089.3    , array([ 27.4974    ,  5.89262    ,  1.24231e-16,  3.93001    ,  4.11326e-07])
289834  , -79089.3    , array([ 27.47      ,  5.89852    ,  1.24231e-16,  3.93001    ,  4.11326e-07])
289835  , -79089.3    , array([ 27.47      ,  5.89262    ,  1.24355e-16,  3.93001    ,  4.11326e-07])
289836  , -79089.3    , array([ 27.47      ,  5.89262    ,  1.24231e-16,  3.93394    ,  4.11326e-07])
289837  , -79089.3    , array([ 27.47      ,  5.89262    ,  1.24231e-16,  3.93001    ,  4.11738e-07])
289838  , -79045.1    , array([ 13.3993    ,  0.429402   ,  1.24231e-16,  3.17825    ,  1.58023e-05])
289839  , -79045.1    , array([ 13.3993    ,  0.429402   ,  1.24231e-16,  3.17825    ,  1.58023e-05])
289840  , -79045.1    , array([ 13.4127    ,  0.429402   ,  1.24231e-16,  3.17825    ,  1.58023e-05])
289841  , -79045.1    , array([ 13.3993    ,  0.429832   ,  1.24231e-16,  3.17825    ,  1.58023e-05])
289842  , -79045.1    , array([ 13.3993    ,  0.429402   ,  1.24355e-16,  3.17825    ,  1.58023e-05])
289843  , -79045.1    , array([ 13.3993    ,  0.429402   ,  1.24231e-16,  3.18143    ,  1.58023e-05])
289844  , -79045.1    , array([ 13.3993    ,  0.429402   ,  1.24231e-16,  3.17825    ,  1.58182e-05])
289852  , -79045.1    , array([ 13.3992    ,  0.429394   ,  1.24231e-16,  3.17824    ,  1.58028e-05])
289853  , -79045.1    , array([ 13.3992    ,  0.429394   ,  1.24231e-16,  3.17824    ,  1.58028e-05])
289854  , -79045.1    , array([ 13.4126    ,  0.429394   ,  1.24231e-16,  3.17824    ,  1.58028e-05])
289855  , -79045.1    , array([ 13.3992    ,  0.429824   ,  1.24231e-16,  3.17824    ,  1.58028e-05])
289856  , -79045.1    , array([ 13.3992    ,  0.429394   ,  1.24355e-16,  3.17824    ,  1.58028e-05])
289857  , -79045.1    , array([ 13.3992    ,  0.429394   ,  1.24231e-16,  3.18142    ,  1.58028e-05])
289858  , -79045.1    , array([ 13.3992    ,  0.429394   ,  1.24231e-16,  3.17824    ,  1.58186e-05])
289859  , -79045.1    , array([ 13.3991    ,  0.429386   ,  1.24231e-16,  3.17824    ,  1.58032e-05])
289860  , -79045.1    , array([ 13.3991    ,  0.429386   ,  1.24231e-16,  3.17824    ,  1.58032e-05])
289861  , -79045.1    , array([ 13.4125    ,  0.429386   ,  1.24231e-16,  3.17824    ,  1.58032e-05])
289862  , -79045.1    , array([ 13.3991    ,  0.429816   ,  1.24231e-16,  3.17824    ,  1.58032e-05])
289863  , -79045.1    , array([ 13.3991    ,  0.429386   ,  1.24355e-16,  3.17824    ,  1.58032e-05])
289864  , -79045.1    , array([ 13.3991    ,  0.429386   ,  1.24231e-16,  3.18142    ,  1.58032e-05])
289865  , -79045.1    , array([ 13.3991    ,  0.429386   ,  1.24231e-16,  3.17824    ,  1.5819e-05 ])
289866  , -151453     , array([ 3.18805    ,  0.00228017 ,  1.24231e-16,  2.07862    ,  0.023324   ])
289867  , -151453     , array([ 3.18805    ,  0.00228017 ,  1.24231e-16,  2.07862    ,  0.023324   ])
289868  , -151453     , array([ 3.19124    ,  0.00228017 ,  1.24231e-16,  2.07862    ,  0.023324   ])
289869  , -151412     , array([ 3.18805    ,  0.00228246 ,  1.24231e-16,  2.07862    ,  0.023324   ])
289870  , -151453     , array([ 3.18805    ,  0.00228017 ,  1.24355e-16,  2.07862    ,  0.023324   ])
289871  , -151418     , array([ 3.18805    ,  0.00228017 ,  1.24231e-16,  2.0807     ,  0.023324   ])
289872  , -151455     , array([ 3.18805    ,  0.00228017 ,  1.24231e-16,  2.07862    ,  0.0233474  ])
289873  , -78944.1    , array([ 11.6837    ,  0.26049    ,  1.24231e-16,  3.05204    ,  3.17044e-05])
289874  , -78944.1    , array([ 11.6837    ,  0.26049    ,  1.24231e-16,  3.05204    ,  3.17044e-05])
289875  , -78944.1    , array([ 11.6954    ,  0.26049    ,  1.24231e-16,  3.05204    ,  3.17044e-05])
289876  , -78944.2    , array([ 11.6837    ,  0.260751   ,  1.24231e-16,  3.05204    ,  3.17044e-05])
289877  , -78944.1    , array([ 11.6837    ,  0.26049    ,  1.24355e-16,  3.05204    ,  3.17044e-05])
289878  , -78944.1    , array([ 11.6837    ,  0.26049    ,  1.24231e-16,  3.0551     ,  3.17044e-05])
289879  , -78944      , array([ 11.6837    ,  0.26049    ,  1.24231e-16,  3.05204    ,  3.17361e-05])
289880  , -78697.6    , array([ 10.4207    ,  0.171608   ,  1.24231e-16,  2.95051    ,  5.67047e-05])
289881  , -78697.6    , array([ 10.4207    ,  0.171608   ,  1.24231e-16,  2.95051    ,  5.67047e-05])
289882  , -78697.6    , array([ 10.4312    ,  0.171608   ,  1.24231e-16,  2.95051    ,  5.67047e-05])
289883  , -78698      , array([ 10.4207    ,  0.171779   ,  1.24231e-16,  2.95051    ,  5.67047e-05])
289884  , -78697.6    , array([ 10.4207    ,  0.171608   ,  1.24355e-16,  2.95051    ,  5.67047e-05])
289885  , -78697.6    , array([ 10.4207    ,  0.171608   ,  1.24231e-16,  2.95346    ,  5.67047e-05])
289886  , -78697.2    , array([ 10.4207    ,  0.171608   ,  1.24231e-16,  2.95051    ,  5.67614e-05])
289887  , -36416.8    , array([ 5.76383    ,  0.0197812  ,  1.24231e-16,  2.47649    ,  0.00115004 ])
289888  , -36416.8    , array([ 5.76383    ,  0.0197812  ,  1.24231e-16,  2.47649    ,  0.00115004 ])
289889  , -36416.8    , array([ 5.7696     ,  0.0197812  ,  1.24231e-16,  2.47649    ,  0.00115004 ])
289890  , -36442.9    , array([ 5.76383    ,  0.019801   ,  1.24231e-16,  2.47649    ,  0.00115004 ])
289891  , -36416.8    , array([ 5.76383    ,  0.0197812  ,  1.24355e-16,  2.47649    ,  0.00115004 ])
289892  , -36416.8    , array([ 5.76383    ,  0.0197812  ,  1.24231e-16,  2.47897    ,  0.00115004 ])
289893  , -36390.7    , array([ 5.76383    ,  0.0197812  ,  1.24231e-16,  2.47649    ,  0.00115119 ])
289894  , -16497.1    , array([ 5.27971    ,  0.0143632  ,  1.24231e-16,  2.41306    ,  0.00179618 ])
289895  , -16497.1    , array([ 5.27971    ,  0.0143632  ,  1.24231e-16,  2.41306    ,  0.00179618 ])
289896  , -16497.1    , array([ 5.285      ,  0.0143632  ,  1.24231e-16,  2.41306    ,  0.00179618 ])
289897  , -16520.9    , array([ 5.27971    ,  0.0143775  ,  1.24231e-16,  2.41306    ,  0.00179618 ])
289898  , -16497.1    , array([ 5.27971    ,  0.0143632  ,  1.24355e-16,  2.41306    ,  0.00179618 ])
289899  , -16497.2    , array([ 5.27971    ,  0.0143632  ,  1.24231e-16,  2.41547    ,  0.00179618 ])
289900  , -16473.3    , array([ 5.27971    ,  0.0143632  ,  1.24231e-16,  2.41306    ,  0.00179798 ])
289901  , -2392.25    , array([ 4.68554    ,  0.0092915  ,  1.24231e-16,  2.32934    ,  0.0032951  ])
289902  , -2392.25    , array([ 4.68554    ,  0.0092915  ,  1.24231e-16,  2.32934    ,  0.0032951  ])
289903  , -2392.26    , array([ 4.69023    ,  0.0092915  ,  1.24231e-16,  2.32934    ,  0.0032951  ])
289904  , -2391.98    , array([ 4.68554    ,  0.0093008  ,  1.24231e-16,  2.32934    ,  0.0032951  ])
289905  , -2392.25    , array([ 4.68554    ,  0.0092915  ,  1.24355e-16,  2.32934    ,  0.0032951  ])
289906  , -2392.22    , array([ 4.68554    ,  0.0092915  ,  1.24231e-16,  2.33168    ,  0.0032951  ])
289907  , -2392.26    , array([ 4.68554    ,  0.0092915  ,  1.24231e-16,  2.32934    ,  0.0032984  ])
289908  , -2392.07    , array([ 4.68827    ,  0.00931127 ,  1.24231e-16,  2.32975    ,  0.00328536 ])
289909  , -2392.07    , array([ 4.68827    ,  0.00931127 ,  1.24231e-16,  2.32975    ,  0.00328536 ])
289910  , -2392.08    , array([ 4.69296    ,  0.00931127 ,  1.24231e-16,  2.32975    ,  0.00328536 ])
289911  , -2391.96    , array([ 4.68827    ,  0.00932058 ,  1.24231e-16,  2.32975    ,  0.00328536 ])
289912  , -2392.07    , array([ 4.68827    ,  0.00931127 ,  1.24355e-16,  2.32975    ,  0.00328536 ])
289913  , -2392.04    , array([ 4.68827    ,  0.00931127 ,  1.24231e-16,  2.33208    ,  0.00328536 ])
289914  , -2391.92    , array([ 4.68827    ,  0.00931127 ,  1.24231e-16,  2.32975    ,  0.00328865 ])
289915  , -2392.04    , array([ 4.68751    ,  0.00930574 ,  1.24231e-16,  2.32963    ,  0.00328808 ])
289916  , -2392.04    , array([ 4.68751    ,  0.00930574 ,  1.24231e-16,  2.32963    ,  0.00328808 ])
289917  , -2392.05    , array([ 4.6922     ,  0.00930574 ,  1.24231e-16,  2.32963    ,  0.00328808 ])
289918  , -2391.89    , array([ 4.68751    ,  0.00931505 ,  1.24231e-16,  2.32963    ,  0.00328808 ])
289919  , -2392.04    , array([ 4.68751    ,  0.00930574 ,  1.24355e-16,  2.32963    ,  0.00328808 ])
289920  , -2392.01    , array([ 4.68751    ,  0.00930574 ,  1.24231e-16,  2.33196    ,  0.00328808 ])
289921  , -2391.94    , array([ 4.68751    ,  0.00930574 ,  1.24231e-16,  2.32963    ,  0.00329137 ])
289922  , -2392.04    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
289923  , -2392.04    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
289924  , -2392.05    , array([ 4.69224    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
289925  , -2391.89    , array([ 4.68755    ,  0.00931538 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
289926  , -2392.04    , array([ 4.68755    ,  0.00930607 ,  1.24355e-16,  2.32964    ,  0.00328792 ])
289927  , -2392.01    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.33197    ,  0.00328792 ])
289928  , -2391.93    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00329121 ])
289943  , -2392.04    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
289944  , -2392.04    , array([ 4.68755    ,  0.00930607 ,  1.24231e-16,  2.32964    ,  0.00328792 ])
