306316  , -55474.5    , array([ 0.0820205  ,  0.846708   ,  1.23132e-44,  1.47985e-42,  0.00370964 ])
306317  , -55483.3    , array([ 0.0821025  ,  0.846708   ,  1.23132e-44,  1.47985e-42,  0.00370964 ])
306318  , -55477.5    , array([ 0.0820205  ,  0.847555   ,  1.23132e-44,  1.47985e-42,  0.00370964 ])
306319  , -55474.5    , array([ 0.0820205  ,  0.846708   ,  1.23255e-44,  1.47985e-42,  0.00370964 ])
306320  , -55474.5    , array([ 0.0820205  ,  0.846708   ,  1.23132e-44,  1.48133e-42,  0.00370964 ])
306321  , -55462.2    , array([ 0.0820205  ,  0.846708   ,  1.23132e-44,  1.47985e-42,  0.00371335 ])
306322  , -55474.5    , array([ 0.0820205  ,  0.846708   ,  1.23132e-44,  1.47985e-42,  0.00370964 ])
306323  , -52041.2    , array([ 0.0460679  ,  0.696487   ,  1.23132e-44,  1.47985e-42,  0.00830337 ])
306324  , -52041.2    , array([ 0.0460679  ,  0.696487   ,  1.23132e-44,  1.47985e-42,  0.00830337 ])
306325  , -52023.4    , array([ 0.046114   ,  0.696487   ,  1.23132e-44,  1.47985e-42,  0.00830337 ])
306326  , -52045.9    , array([ 0.0460679  ,  0.697184   ,  1.23132e-44,  1.47985e-42,  0.00830337 ])
306327  , -52041.2    , array([ 0.0460679  ,  0.696487   ,  1.23255e-44,  1.47985e-42,  0.00830337 ])
306328  , -52041.2    , array([ 0.0460679  ,  0.696487   ,  1.23132e-44,  1.48133e-42,  0.00830337 ])
306329  , -52051.3    , array([ 0.0460679  ,  0.696487   ,  1.23132e-44,  1.47985e-42,  0.00831167 ])
306330  , -49769.1    , array([ 0.0625382  ,  0.772427   ,  1.23132e-44,  1.47985e-42,  0.00541798 ])
306331  , -49769.1    , array([ 0.0625382  ,  0.772427   ,  1.23132e-44,  1.47985e-42,  0.00541798 ])
306332  , -49770.6    , array([ 0.0626008  ,  0.772427   ,  1.23132e-44,  1.47985e-42,  0.00541798 ])
306333  , -49772.8    , array([ 0.0625382  ,  0.7732     ,  1.23132e-44,  1.47985e-42,  0.00541798 ])
306334  , -49769.1    , array([ 0.0625382  ,  0.772427   ,  1.23255e-44,  1.47985e-42,  0.00541798 ])
306335  , -49769.1    , array([ 0.0625382  ,  0.772427   ,  1.23132e-44,  1.48133e-42,  0.00541798 ])
306336  , -49762.7    , array([ 0.0625382  ,  0.772427   ,  1.23132e-44,  1.47985e-42,  0.0054234  ])
306337  , -23112.1    , array([ 0.139616   ,  0.183701   ,  1.23132e-44,  1.47985e-42,  0.0173735  ])
306338  , -23112.1    , array([ 0.139616   ,  0.183701   ,  1.23132e-44,  1.47985e-42,  0.0173735  ])
306339  , -23101.7    , array([ 0.139756   ,  0.183701   ,  1.23132e-44,  1.47985e-42,  0.0173735  ])
306340  , -23128.2    , array([ 0.139616   ,  0.183884   ,  1.23132e-44,  1.47985e-42,  0.0173735  ])
306341  , -23112.1    , array([ 0.139616   ,  0.183701   ,  1.23255e-44,  1.47985e-42,  0.0173735  ])
306342  , -23112.1    , array([ 0.139616   ,  0.183701   ,  1.23132e-44,  1.48133e-42,  0.0173735  ])
306343  , -23104.6    , array([ 0.139616   ,  0.183701   ,  1.23132e-44,  1.47985e-42,  0.0173908  ])
306351  , -23068.9    , array([ 0.139736   ,  0.183418   ,  1.23132e-44,  1.47985e-42,  0.0173952  ])
306352  , -23068.9    , array([ 0.139736   ,  0.183418   ,  1.23132e-44,  1.47985e-42,  0.0173952  ])
306353  , -23058.5    , array([ 0.139876   ,  0.183418   ,  1.23132e-44,  1.47985e-42,  0.0173952  ])
306354  , -23085      , array([ 0.139736   ,  0.183601   ,  1.23132e-44,  1.47985e-42,  0.0173952  ])
306355  , -23068.9    , array([ 0.139736   ,  0.183418   ,  1.23255e-44,  1.47985e-42,  0.0173952  ])
306356  , -23068.9    , array([ 0.139736   ,  0.183418   ,  1.23132e-44,  1.48133e-42,  0.0173952  ])
306357  , -23061.4    , array([ 0.139736   ,  0.183418   ,  1.23132e-44,  1.47985e-42,  0.0174126  ])
306358  , -22318.4    , array([ 0.141847   ,  0.178566   ,  1.23132e-44,  1.47985e-42,  0.0177777  ])
306359  , -22318.4    , array([ 0.141847   ,  0.178566   ,  1.23132e-44,  1.47985e-42,  0.0177777  ])
306360  , -22307.7    , array([ 0.141989   ,  0.178566   ,  1.23132e-44,  1.47985e-42,  0.0177777  ])
306361  , -22334.5    , array([ 0.141847   ,  0.178744   ,  1.23132e-44,  1.47985e-42,  0.0177777  ])
306362  , -22318.4    , array([ 0.141847   ,  0.178566   ,  1.23255e-44,  1.47985e-42,  0.0177777  ])
306363  , -22318.4    , array([ 0.141847   ,  0.178566   ,  1.23132e-44,  1.48133e-42,  0.0177777  ])
306364  , -22311.2    , array([ 0.141847   ,  0.178566   ,  1.23132e-44,  1.47985e-42,  0.0177955  ])
306365  , -609171     , array([ 0.701387   ,  0.0102438  ,  1.23132e-44,  1.47985e-42,  0.180708   ])
306366  , -609171     , array([ 0.701387   ,  0.0102438  ,  1.23132e-44,  1.47985e-42,  0.180708   ])
