8443    , -47677.9    , array([ 0.711296   ,  0.552307   ,  6.75863e-10,  5.4149e-53 ,  0.0140434  ])
8444    , -47683.8    , array([ 0.712007   ,  0.552307   ,  6.75863e-10,  5.4149e-53 ,  0.0140434  ])
8445    , -47693.2    , array([ 0.711296   ,  0.55286    ,  6.75863e-10,  5.4149e-53 ,  0.0140434  ])
8446    , -47677.9    , array([ 0.711296   ,  0.552307   ,  6.76539e-10,  5.4149e-53 ,  0.0140434  ])
8447    , -47677.9    , array([ 0.711296   ,  0.552307   ,  6.75863e-10,  5.42032e-53,  0.0140434  ])
8448    , -47656.6    , array([ 0.711296   ,  0.552307   ,  6.75863e-10,  5.4149e-53 ,  0.0140575  ])
8449    , -47677.9    , array([ 0.711296   ,  0.552307   ,  6.75863e-10,  5.4149e-53 ,  0.0140434  ])
8450    , -18058.8    , array([ 0.568976   ,  0.311241   ,  6.75863e-10,  5.4149e-53 ,  0.0312798  ])
8451    , -18058.8    , array([ 0.568976   ,  0.311241   ,  6.75863e-10,  5.4149e-53 ,  0.0312798  ])
8452    , -18059.1    , array([ 0.569545   ,  0.311241   ,  6.75863e-10,  5.4149e-53 ,  0.0312798  ])
8453    , -18077.7    , array([ 0.568976   ,  0.311552   ,  6.75863e-10,  5.4149e-53 ,  0.0312798  ])
8454    , -18058.8    , array([ 0.568976   ,  0.311241   ,  6.76539e-10,  5.4149e-53 ,  0.0312798  ])
8455    , -18058.8    , array([ 0.568976   ,  0.311241   ,  6.75863e-10,  5.42032e-53,  0.0312798  ])
8456    , -18039.5    , array([ 0.568976   ,  0.311241   ,  6.75863e-10,  5.4149e-53 ,  0.0313111  ])
8457    , -934290     , array([ 0.232953   ,  0.0313876  ,  6.75863e-10,  5.4149e-53 ,  0.769896   ])
8458    , -934290     , array([ 0.232953   ,  0.0313876  ,  6.75863e-10,  5.4149e-53 ,  0.769896   ])
8459    , -934207     , array([ 0.233186   ,  0.0313876  ,  6.75863e-10,  5.4149e-53 ,  0.769896   ])
8460    , -933806     , array([ 0.232953   ,  0.031419   ,  6.75863e-10,  5.4149e-53 ,  0.769896   ])
8461    , -934273     , array([ 0.232953   ,  0.0313876  ,  6.76539e-10,  5.4149e-53 ,  0.769896   ])
8462    , -934290     , array([ 0.232953   ,  0.0313876  ,  6.75863e-10,  5.42032e-53,  0.769896   ])
8463    , -934827     , array([ 0.232953   ,  0.0313876  ,  6.75863e-10,  5.4149e-53 ,  0.770667   ])
8464    , -8954.51    , array([ 0.51473    ,  0.240606   ,  6.75863e-10,  5.4149e-53 ,  0.044808   ])
8465    , -8954.51    , array([ 0.51473    ,  0.240606   ,  6.75863e-10,  5.4149e-53 ,  0.044808   ])
8466    , -8949.66    , array([ 0.515245   ,  0.240606   ,  6.75863e-10,  5.4149e-53 ,  0.044808   ])
8467    , -8967.38    , array([ 0.51473    ,  0.240846   ,  6.75863e-10,  5.4149e-53 ,  0.044808   ])
8468    , -8954.51    , array([ 0.51473    ,  0.240606   ,  6.76539e-10,  5.4149e-53 ,  0.044808   ])
8469    , -8954.51    , array([ 0.51473    ,  0.240606   ,  6.75863e-10,  5.42032e-53,  0.044808   ])
