20107   , -79089.4    , array([ 0.0194944  ,  1.17736    ,  4.03046e-11,  1.57458e-32,  5.91634e-11])
20108   , -79089.4    , array([ 0.0195139  ,  1.17736    ,  4.03046e-11,  1.57458e-32,  5.91634e-11])
20109   , -79089.4    , array([ 0.0194944  ,  1.17854    ,  4.03046e-11,  1.57458e-32,  5.91634e-11])
20110   , -79089.4    , array([ 0.0194944  ,  1.17736    ,  4.0345e-11 ,  1.57458e-32,  5.91634e-11])
20111   , -79089.4    , array([ 0.0194944  ,  1.17736    ,  4.03046e-11,  1.57616e-32,  5.91634e-11])
20112   , -79089.4    , array([ 0.0194944  ,  1.17736    ,  4.03046e-11,  1.57458e-32,  5.92226e-11])
20113   , -79089.4    , array([ 0.0194944  ,  1.17736    ,  4.03046e-11,  1.57458e-32,  5.91634e-11])
20114   , -79089.4    , array([ 0.0194472  ,  1.17729    ,  4.03046e-11,  1.57458e-32,  5.93106e-11])
20115   , -79089.4    , array([ 0.0194472  ,  1.17729    ,  4.03046e-11,  1.57458e-32,  5.93106e-11])
20116   , -79089.4    , array([ 0.0194667  ,  1.17729    ,  4.03046e-11,  1.57458e-32,  5.93106e-11])
20117   , -79089.4    , array([ 0.0194472  ,  1.17847    ,  4.03046e-11,  1.57458e-32,  5.93106e-11])
20118   , -79089.4    , array([ 0.0194472  ,  1.17729    ,  4.0345e-11 ,  1.57458e-32,  5.93106e-11])
20119   , -79089.4    , array([ 0.0194472  ,  1.17729    ,  4.03046e-11,  1.57616e-32,  5.93106e-11])
20120   , -79089.4    , array([ 0.0194472  ,  1.17729    ,  4.03046e-11,  1.57458e-32,  5.937e-11  ])
20121   , -79089.4    , array([ 0.0192597  ,  1.17701    ,  4.03046e-11,  1.57458e-32,  5.99031e-11])
20122   , -79089.4    , array([ 0.0192597  ,  1.17701    ,  4.03046e-11,  1.57458e-32,  5.99031e-11])
20123   , -79089.4    , array([ 0.019279   ,  1.17701    ,  4.03046e-11,  1.57458e-32,  5.99031e-11])
20124   , -79089.4    , array([ 0.0192597  ,  1.17819    ,  4.03046e-11,  1.57458e-32,  5.99031e-11])
