34479   , -79081.6    , array([ 0.0142442  ,  1.34876    ,  1.42781e-22,  6.50804e-16,  1.3783e-07 ])
34480   , -79081.6    , array([ 0.0142585  ,  1.34876    ,  1.42781e-22,  6.50804e-16,  1.3783e-07 ])
34481   , -79081.6    , array([ 0.0142442  ,  1.35011    ,  1.42781e-22,  6.50804e-16,  1.3783e-07 ])
34482   , -79081.6    , array([ 0.0142442  ,  1.34876    ,  1.42923e-22,  6.50804e-16,  1.3783e-07 ])
34483   , -79081.6    , array([ 0.0142442  ,  1.34876    ,  1.42781e-22,  6.51456e-16,  1.3783e-07 ])
34484   , -79081.6    , array([ 0.0142442  ,  1.34876    ,  1.42781e-22,  6.50804e-16,  1.37968e-07])
34485   , -79081.6    , array([ 0.0142442  ,  1.34876    ,  1.42781e-22,  6.50804e-16,  1.3783e-07 ])
34486   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34487   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34488   , -79057      , array([ 0.00702313 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34489   , -79057      , array([ 0.00701611 ,  1.33533    ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34490   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42923e-22,  6.50804e-16,  2.83185e-07])
34491   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.51456e-16,  2.83185e-07])
34492   , -79056.9    , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83468e-07])
34500   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34501   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34502   , -79057      , array([ 0.00702313 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34503   , -79057      , array([ 0.00701611 ,  1.33533    ,  1.42781e-22,  6.50804e-16,  2.83185e-07])
34504   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42923e-22,  6.50804e-16,  2.83185e-07])
34505   , -79057      , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.51456e-16,  2.83185e-07])
34506   , -79056.9    , array([ 0.00701611 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83469e-07])
34507   , -79057      , array([ 0.0070161  ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83186e-07])
34508   , -79057      , array([ 0.0070161  ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83186e-07])
34509   , -79057      , array([ 0.00702312 ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83186e-07])
34510   , -79057      , array([ 0.0070161  ,  1.33533    ,  1.42781e-22,  6.50804e-16,  2.83186e-07])
34511   , -79057      , array([ 0.0070161  ,  1.334      ,  1.42923e-22,  6.50804e-16,  2.83186e-07])
34512   , -79057      , array([ 0.0070161  ,  1.334      ,  1.42781e-22,  6.51456e-16,  2.83186e-07])
34513   , -79056.9    , array([ 0.0070161  ,  1.334      ,  1.42781e-22,  6.50804e-16,  2.83469e-07])
34514   , -78533.4    , array([ 0.0017022  ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34515   , -78533.4    , array([ 0.0017022  ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34516   , -78534      , array([ 0.0017039  ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34517   , -78533.4    , array([ 0.0017022  ,  1.30626    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34518   , -78533.4    , array([ 0.0017022  ,  1.30496    ,  1.42923e-22,  6.50804e-16,  1.19543e-06])
34519   , -78533.4    , array([ 0.0017022  ,  1.30496    ,  1.42781e-22,  6.51456e-16,  1.19543e-06])
34520   , -78532.9    , array([ 0.0017022  ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19662e-06])
34521   , -78533.4    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34522   , -78533.4    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34523   , -78534      , array([ 0.0017039  ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34524   , -78533.4    , array([ 0.00170219 ,  1.30626    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
34525   , -78533.4    , array([ 0.00170219 ,  1.30496    ,  1.42923e-22,  6.50804e-16,  1.19543e-06])
34526   , -78533.4    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.51456e-16,  1.19543e-06])
34527   , -78532.9    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19663e-06])
34528   , -78533.4    , array([ 0.00170219 ,  1.30496    ,  1.42781e-22,  6.50804e-16,  1.19543e-06])
