37932   , -30719.6    , array([ 0.0478708  ,  0.0319718  ,  1.27629e-18,  3.59735e-28,  0.00183028 ])
37933   , -30722.1    , array([ 0.0479186  ,  0.0319718  ,  1.27629e-18,  3.59735e-28,  0.00183028 ])
37934   , -30739.3    , array([ 0.0478708  ,  0.0320038  ,  1.27629e-18,  3.59735e-28,  0.00183028 ])
37935   , -30719.6    , array([ 0.0478708  ,  0.0319718  ,  1.27756e-18,  3.59735e-28,  0.00183028 ])
37936   , -30719.6    , array([ 0.0478708  ,  0.0319718  ,  1.27629e-18,  3.60095e-28,  0.00183028 ])
37937   , -30697.3    , array([ 0.0478708  ,  0.0319718  ,  1.27629e-18,  3.59735e-28,  0.00183212 ])
37938   , -30719.6    , array([ 0.0478708  ,  0.0319718  ,  1.27629e-18,  3.59735e-28,  0.00183028 ])
37939   , -8261.48    , array([ 0.0440794  ,  0.0164175  ,  1.27629e-18,  3.59735e-28,  0.00389165 ])
37940   , -8261.48    , array([ 0.0440794  ,  0.0164175  ,  1.27629e-18,  3.59735e-28,  0.00389165 ])
37941   , -8253.76    , array([ 0.0441235  ,  0.0164175  ,  1.27629e-18,  3.59735e-28,  0.00389165 ])
37942   , -8270.68    , array([ 0.0440794  ,  0.0164339  ,  1.27629e-18,  3.59735e-28,  0.00389165 ])
37943   , -8261.48    , array([ 0.0440794  ,  0.0164175  ,  1.27756e-18,  3.59735e-28,  0.00389165 ])
37944   , -8261.48    , array([ 0.0440794  ,  0.0164175  ,  1.27629e-18,  3.60095e-28,  0.00389165 ])
37945   , -8259.59    , array([ 0.0440794  ,  0.0164175  ,  1.27629e-18,  3.59735e-28,  0.00389554 ])
37946   , -111547     , array([ 0.687037   ,  0.00118981 ,  1.27629e-18,  3.59735e-28,  0.00395407 ])
37947   , -111547     , array([ 0.687037   ,  0.00118981 ,  1.27629e-18,  3.59735e-28,  0.00395407 ])
37948   , -111547     , array([ 0.687724   ,  0.00118981 ,  1.27629e-18,  3.59735e-28,  0.00395407 ])
37949   , -111420     , array([ 0.687037   ,  0.001191   ,  1.27629e-18,  3.59735e-28,  0.00395407 ])
37950   , -111547     , array([ 0.687037   ,  0.00118981 ,  1.27756e-18,  3.59735e-28,  0.00395407 ])
37951   , -111547     , array([ 0.687037   ,  0.00118981 ,  1.27629e-18,  3.60095e-28,  0.00395407 ])
37952   , -111670     , array([ 0.687037   ,  0.00118981 ,  1.27629e-18,  3.59735e-28,  0.00395803 ])
37953   , -3985.2     , array([ 0.0752094  ,  0.0098529  ,  1.27629e-18,  3.59735e-28,  0.00390371 ])
37954   , -3985.2     , array([ 0.0752094  ,  0.0098529  ,  1.27629e-18,  3.59735e-28,  0.00390371 ])
37955   , -3982.21    , array([ 0.0752847  ,  0.0098529  ,  1.27629e-18,  3.59735e-28,  0.00390371 ])
37956   , -3981.15    , array([ 0.0752094  ,  0.00986276 ,  1.27629e-18,  3.59735e-28,  0.00390371 ])
37957   , -3985.2     , array([ 0.0752094  ,  0.0098529  ,  1.27756e-18,  3.59735e-28,  0.00390371 ])
37958   , -3985.2     , array([ 0.0752094  ,  0.0098529  ,  1.27629e-18,  3.60095e-28,  0.00390371 ])
37959   , -3991.88    , array([ 0.0752094  ,  0.0098529  ,  1.27629e-18,  3.59735e-28,  0.00390762 ])
37967   , -3985.07    , array([ 0.0752379  ,  0.00985668 ,  1.27629e-18,  3.59735e-28,  0.00390522 ])
37968   , -3985.07    , array([ 0.0752379  ,  0.00985668 ,  1.27629e-18,  3.59735e-28,  0.00390522 ])
37969   , -3982.07    , array([ 0.0753132  ,  0.00985668 ,  1.27629e-18,  3.59735e-28,  0.00390522 ])
37970   , -3981.01    , array([ 0.0752379  ,  0.00986655 ,  1.27629e-18,  3.59735e-28,  0.00390522 ])
37971   , -3985.07    , array([ 0.0752379  ,  0.00985668 ,  1.27756e-18,  3.59735e-28,  0.00390522 ])
37972   , -3985.07    , array([ 0.0752379  ,  0.00985668 ,  1.27629e-18,  3.60095e-28,  0.00390522 ])
37973   , -3991.74    , array([ 0.0752379  ,  0.00985668 ,  1.27629e-18,  3.59735e-28,  0.00390913 ])
37974   , -3984.93    , array([ 0.0752665  ,  0.00986047 ,  1.27629e-18,  3.59735e-28,  0.00390672 ])
37975   , -3984.93    , array([ 0.0752665  ,  0.00986047 ,  1.27629e-18,  3.59735e-28,  0.00390672 ])
37976   , -3981.94    , array([ 0.0753418  ,  0.00986047 ,  1.27629e-18,  3.59735e-28,  0.00390672 ])
37977   , -3980.87    , array([ 0.0752665  ,  0.00987034 ,  1.27629e-18,  3.59735e-28,  0.00390672 ])
37978   , -3984.93    , array([ 0.0752665  ,  0.00986047 ,  1.27756e-18,  3.59735e-28,  0.00390672 ])
37979   , -3984.93    , array([ 0.0752665  ,  0.00986047 ,  1.27629e-18,  3.60095e-28,  0.00390672 ])
37980   , -3991.6     , array([ 0.0752665  ,  0.00986047 ,  1.27629e-18,  3.59735e-28,  0.00391063 ])
37988   , -3984.89    , array([ 0.0752736  ,  0.00986142 ,  1.27629e-18,  3.59735e-28,  0.0039071  ])
37989   , -3984.89    , array([ 0.0752736  ,  0.00986142 ,  1.27629e-18,  3.59735e-28,  0.0039071  ])
37990   , -3981.9     , array([ 0.075349   ,  0.00986142 ,  1.27629e-18,  3.59735e-28,  0.0039071  ])
37991   , -3980.84    , array([ 0.0752736  ,  0.00987129 ,  1.27629e-18,  3.59735e-28,  0.0039071  ])
37992   , -3984.89    , array([ 0.0752736  ,  0.00986142 ,  1.27756e-18,  3.59735e-28,  0.0039071  ])
37993   , -3984.89    , array([ 0.0752736  ,  0.00986142 ,  1.27629e-18,  3.60095e-28,  0.0039071  ])
37994   , -3991.57    , array([ 0.0752736  ,  0.00986142 ,  1.27629e-18,  3.59735e-28,  0.00391101 ])
37995   , -3984.86    , array([ 0.0752808  ,  0.00986237 ,  1.27629e-18,  3.59735e-28,  0.00390748 ])
37996   , -3984.86    , array([ 0.0752808  ,  0.00986237 ,  1.27629e-18,  3.59735e-28,  0.00390748 ])
37997   , -3981.87    , array([ 0.0753561  ,  0.00986237 ,  1.27629e-18,  3.59735e-28,  0.00390748 ])
37998   , -3980.8     , array([ 0.0752808  ,  0.00987224 ,  1.27629e-18,  3.59735e-28,  0.00390748 ])
37999   , -3984.86    , array([ 0.0752808  ,  0.00986237 ,  1.27756e-18,  3.59735e-28,  0.00390748 ])
38000   , -3984.86    , array([ 0.0752808  ,  0.00986237 ,  1.27629e-18,  3.60095e-28,  0.00390748 ])
38001   , -3991.53    , array([ 0.0752808  ,  0.00986237 ,  1.27629e-18,  3.59735e-28,  0.00391139 ])
38002   , -84493      , array([ 54.6433    ,  7.78121    ,  1.27629e-18,  3.59735e-28,  3.13813    ])
38003   , -84493      , array([ 54.6433    ,  7.78121    ,  1.27629e-18,  3.59735e-28,  3.13813    ])
38004   , -84503.5    , array([ 54.698     ,  7.78121    ,  1.27629e-18,  3.59735e-28,  3.13813    ])
38005   , -84494      , array([ 54.6433    ,  7.78899    ,  1.27629e-18,  3.59735e-28,  3.13813    ])
38006   , -84493      , array([ 54.6433    ,  7.78121    ,  1.27756e-18,  3.59735e-28,  3.13813    ])
38007   , -84493      , array([ 54.6433    ,  7.78121    ,  1.27629e-18,  3.60095e-28,  3.13813    ])
38008   , -84519.3    , array([ 54.6433    ,  7.78121    ,  1.27629e-18,  3.59735e-28,  3.14126    ])
38009   , -3803.36    , array([ 0.114059   ,  0.0150214  ,  1.27629e-18,  3.59735e-28,  0.00595816 ])
38010   , -3803.36    , array([ 0.114059   ,  0.0150214  ,  1.27629e-18,  3.59735e-28,  0.00595816 ])
38011   , -3800.38    , array([ 0.114173   ,  0.0150214  ,  1.27629e-18,  3.59735e-28,  0.00595816 ])
38012   , -3799.4     , array([ 0.114059   ,  0.0150364  ,  1.27629e-18,  3.59735e-28,  0.00595816 ])
38013   , -3803.36    , array([ 0.114059   ,  0.0150214  ,  1.27756e-18,  3.59735e-28,  0.00595816 ])
38014   , -3803.36    , array([ 0.114059   ,  0.0150214  ,  1.27629e-18,  3.60095e-28,  0.00595816 ])
38015   , -3809.76    , array([ 0.114059   ,  0.0150214  ,  1.27629e-18,  3.59735e-28,  0.00596412 ])
38016   , -3533.21    , array([ 0.178687   ,  0.0236669  ,  1.27629e-18,  3.59735e-28,  0.00939871 ])
38017   , -3533.21    , array([ 0.178687   ,  0.0236669  ,  1.27629e-18,  3.59735e-28,  0.00939871 ])
38018   , -3530.29    , array([ 0.178866   ,  0.0236669  ,  1.27629e-18,  3.59735e-28,  0.00939871 ])
38019   , -3529.41    , array([ 0.178687   ,  0.0236906  ,  1.27629e-18,  3.59735e-28,  0.00939871 ])
38020   , -3533.21    , array([ 0.178687   ,  0.0236669  ,  1.27756e-18,  3.59735e-28,  0.00939871 ])
38021   , -3533.21    , array([ 0.178687   ,  0.0236669  ,  1.27629e-18,  3.60095e-28,  0.00939871 ])
38022   , -3539.24    , array([ 0.178687   ,  0.0236669  ,  1.27629e-18,  3.59735e-28,  0.00940811 ])
38023   , -8220.43    , array([ 3.12475    ,  0.429135   ,  1.27629e-18,  3.59735e-28,  0.171739   ])
38024   , -8220.43    , array([ 3.12475    ,  0.429135   ,  1.27629e-18,  3.59735e-28,  0.171739   ])
