104342  , -79089.4    , array([ 0.429787   ,  32.012     ,  1.20325e-15,  3.01468e-80,  9.65059e-11])
104343  , -79089.4    , array([ 0.430217   ,  32.012     ,  1.20325e-15,  3.01468e-80,  9.65059e-11])
104344  , -79089.4    , array([ 0.429787   ,  32.044     ,  1.20325e-15,  3.01468e-80,  9.65059e-11])
104345  , -79089.4    , array([ 0.429787   ,  32.012     ,  1.20445e-15,  3.01468e-80,  9.65059e-11])
104346  , -79089.4    , array([ 0.429787   ,  32.012     ,  1.20325e-15,  3.01769e-80,  9.65059e-11])
104347  , -79089.4    , array([ 0.429787   ,  32.012     ,  1.20325e-15,  3.01468e-80,  9.66024e-11])
104348  , -79089.4    , array([ 0.429787   ,  32.012     ,  1.20325e-15,  3.01468e-80,  9.65059e-11])
104349  , -79089.4    , array([ 0.42971    ,  32.0118    ,  1.20325e-15,  3.01468e-80,  9.65236e-11])
104350  , -79089.4    , array([ 0.42971    ,  32.0118    ,  1.20325e-15,  3.01468e-80,  9.65236e-11])
104351  , -79089.4    , array([ 0.43014    ,  32.0118    ,  1.20325e-15,  3.01468e-80,  9.65236e-11])
104352  , -79089.4    , array([ 0.42971    ,  32.0439    ,  1.20325e-15,  3.01468e-80,  9.65236e-11])
104353  , -79089.4    , array([ 0.42971    ,  32.0118    ,  1.20445e-15,  3.01468e-80,  9.65236e-11])
104354  , -79089.4    , array([ 0.42971    ,  32.0118    ,  1.20325e-15,  3.01769e-80,  9.65236e-11])
104355  , -79089.4    , array([ 0.42971    ,  32.0118    ,  1.20325e-15,  3.01468e-80,  9.66202e-11])
104356  , -79089.4    , array([ 0.429402   ,  32.0114    ,  1.20325e-15,  3.01468e-80,  9.65947e-11])
104357  , -79089.4    , array([ 0.429402   ,  32.0114    ,  1.20325e-15,  3.01468e-80,  9.65947e-11])
104358  , -79089.4    , array([ 0.429832   ,  32.0114    ,  1.20325e-15,  3.01468e-80,  9.65947e-11])
104359  , -79089.4    , array([ 0.429402   ,  32.0434    ,  1.20325e-15,  3.01468e-80,  9.65947e-11])
104360  , -79089.4    , array([ 0.429402   ,  32.0114    ,  1.20445e-15,  3.01468e-80,  9.65947e-11])
104361  , -79089.4    , array([ 0.429402   ,  32.0114    ,  1.20325e-15,  3.01769e-80,  9.65947e-11])
104362  , -79089.4    , array([ 0.429402   ,  32.0114    ,  1.20325e-15,  3.01468e-80,  9.66914e-11])
104363  , -79089.4    , array([ 0.428173   ,  32.0095    ,  1.20325e-15,  3.01468e-80,  9.68798e-11])
