142720  , -6068       , array([ 5.69369    ,  0.00217747 ,  8.55036e-43,  1.04359e-53,  0.000465803])
142721  , -6068       , array([ 5.69939    ,  0.00217747 ,  8.55036e-43,  1.04359e-53,  0.000465803])
142722  , -6081.73    , array([ 5.69369    ,  0.00217965 ,  8.55036e-43,  1.04359e-53,  0.000465803])
142723  , -6068       , array([ 5.69369    ,  0.00217747 ,  8.55891e-43,  1.04359e-53,  0.000465803])
142724  , -6068       , array([ 5.69369    ,  0.00217747 ,  8.55036e-43,  1.04464e-53,  0.000465803])
142725  , -6054.27    , array([ 5.69369    ,  0.00217747 ,  8.55036e-43,  1.04359e-53,  0.000466269])
142726  , -6068       , array([ 5.69369    ,  0.00217747 ,  8.55036e-43,  1.04359e-53,  0.000465803])
142727  , -18673.3    , array([ 5.69254    ,  0.00106615 ,  8.55036e-43,  1.04359e-53,  0.000951468])
142728  , -18673.3    , array([ 5.69254    ,  0.00106615 ,  8.55036e-43,  1.04359e-53,  0.000951468])
142729  , -18673.3    , array([ 5.69823    ,  0.00106615 ,  8.55036e-43,  1.04359e-53,  0.000951468])
142730  , -18638.3    , array([ 5.69254    ,  0.00106721 ,  8.55036e-43,  1.04359e-53,  0.000951468])
142731  , -18673.3    , array([ 5.69254    ,  0.00106615 ,  8.55891e-43,  1.04359e-53,  0.000951468])
142732  , -18673.3    , array([ 5.69254    ,  0.00106615 ,  8.55036e-43,  1.04464e-53,  0.000951468])
142733  , -18708.1    , array([ 5.69254    ,  0.00106615 ,  8.55036e-43,  1.04359e-53,  0.00095242 ])
142734  , -2667.28    , array([ 5.69332    ,  0.00173597 ,  8.55036e-43,  1.04359e-53,  0.000584291])
142735  , -2667.28    , array([ 5.69332    ,  0.00173597 ,  8.55036e-43,  1.04359e-53,  0.000584291])
142736  , -2667.28    , array([ 5.69902    ,  0.00173597 ,  8.55036e-43,  1.04359e-53,  0.000584291])
142737  , -2667.99    , array([ 5.69332    ,  0.00173771 ,  8.55036e-43,  1.04359e-53,  0.000584291])
