152462  , -79089.4    , array([ 5.07926    ,  0.685259   ,  0.000323591,  2.22543e-21,  1.234e-11  ])
152463  , -79089.4    , array([ 5.08435    ,  0.685259   ,  0.000323591,  2.22543e-21,  1.234e-11  ])
152464  , -79089.4    , array([ 5.07926    ,  0.685944   ,  0.000323591,  2.22543e-21,  1.234e-11  ])
152465  , -79089.4    , array([ 5.07926    ,  0.685259   ,  0.000323915,  2.22543e-21,  1.234e-11  ])
152466  , -79089.4    , array([ 5.07926    ,  0.685259   ,  0.000323591,  2.22766e-21,  1.234e-11  ])
152467  , -79089.4    , array([ 5.07926    ,  0.685259   ,  0.000323591,  2.22543e-21,  1.23523e-11])
152468  , -79089.4    , array([ 5.07926    ,  0.685259   ,  0.000323591,  2.22543e-21,  1.234e-11  ])
152469  , -79089.4    , array([ 5.07926    ,  0.685244   ,  0.000323591,  2.22543e-21,  1.23403e-11])
152470  , -79089.4    , array([ 5.07926    ,  0.685244   ,  0.000323591,  2.22543e-21,  1.23403e-11])
152471  , -79089.4    , array([ 5.08434    ,  0.685244   ,  0.000323591,  2.22543e-21,  1.23403e-11])
152472  , -79089.4    , array([ 5.07926    ,  0.68593    ,  0.000323591,  2.22543e-21,  1.23403e-11])
152473  , -79089.4    , array([ 5.07926    ,  0.685244   ,  0.000323915,  2.22543e-21,  1.23403e-11])
152474  , -79089.4    , array([ 5.07926    ,  0.685244   ,  0.000323591,  2.22766e-21,  1.23403e-11])
152475  , -79089.4    , array([ 5.07926    ,  0.685244   ,  0.000323591,  2.22543e-21,  1.23526e-11])
152476  , -79089.4    , array([ 5.07922    ,  0.685187   ,  0.000323591,  2.22543e-21,  1.23414e-11])
152477  , -79089.4    , array([ 5.07922    ,  0.685187   ,  0.000323591,  2.22543e-21,  1.23414e-11])
152478  , -79089.4    , array([ 5.0843     ,  0.685187   ,  0.000323591,  2.22543e-21,  1.23414e-11])
152479  , -79089.4    , array([ 5.07922    ,  0.685872   ,  0.000323591,  2.22543e-21,  1.23414e-11])
152480  , -79089.4    , array([ 5.07922    ,  0.685187   ,  0.000323915,  2.22543e-21,  1.23414e-11])
152481  , -79089.4    , array([ 5.07922    ,  0.685187   ,  0.000323591,  2.22766e-21,  1.23414e-11])
152482  , -79089.4    , array([ 5.07922    ,  0.685187   ,  0.000323591,  2.22543e-21,  1.23538e-11])
152483  , -79089.4    , array([ 5.07907    ,  0.684957   ,  0.000323591,  2.22543e-21,  1.23461e-11])
152484  , -79089.4    , array([ 5.07907    ,  0.684957   ,  0.000323591,  2.22543e-21,  1.23461e-11])
