159664  , -70197.1    , array([ 0.0737592  ,  10.0247    ,  0.45275    ,  5.98546e-58,  0.000975282])
159665  , -70204.2    , array([ 0.073833   ,  10.0247    ,  0.45275    ,  5.98546e-58,  0.000975282])
159666  , -70197.2    , array([ 0.0737592  ,  10.0348    ,  0.45275    ,  5.98546e-58,  0.000975282])
159667  , -70197.1    , array([ 0.0737592  ,  10.0247    ,  0.453203   ,  5.98546e-58,  0.000975282])
159668  , -70197.1    , array([ 0.0737592  ,  10.0247    ,  0.45275    ,  5.99145e-58,  0.000975282])
159669  , -70189.7    , array([ 0.0737592  ,  10.0247    ,  0.45275    ,  5.98546e-58,  0.000976258])
159670  , -70197.1    , array([ 0.0737592  ,  10.0247    ,  0.45275    ,  5.98546e-58,  0.000975282])
159671  , -56903.5    , array([ 0.0364002  ,  9.9311     ,  0.452644   ,  5.98546e-58,  0.00200761 ])
159672  , -56903.5    , array([ 0.0364002  ,  9.9311     ,  0.452644   ,  5.98546e-58,  0.00200761 ])
159673  , -56911.7    , array([ 0.0364366  ,  9.9311     ,  0.452644   ,  5.98546e-58,  0.00200761 ])
159674  , -56903.6    , array([ 0.0364002  ,  9.94104    ,  0.452644   ,  5.98546e-58,  0.00200761 ])
159675  , -56903.5    , array([ 0.0364002  ,  9.9311     ,  0.453097   ,  5.98546e-58,  0.00200761 ])
159676  , -56903.5    , array([ 0.0364002  ,  9.9311     ,  0.452644   ,  5.99145e-58,  0.00200761 ])
159677  , -56894.7    , array([ 0.0364002  ,  9.9311     ,  0.452644   ,  5.98546e-58,  0.00200962 ])
159678  , -416957     , array([ 0.002159   ,  9.56519    ,  0.452218   ,  5.98546e-58,  0.0360479  ])
159679  , -416957     , array([ 0.002159   ,  9.56519    ,  0.452218   ,  5.98546e-58,  0.0360479  ])
159680  , -416885     , array([ 0.00216116 ,  9.56519    ,  0.452218   ,  5.98546e-58,  0.0360479  ])
159681  , -416958     , array([ 0.002159   ,  9.57476    ,  0.452218   ,  5.98546e-58,  0.0360479  ])
159682  , -416917     , array([ 0.002159   ,  9.56519    ,  0.45267    ,  5.98546e-58,  0.0360479  ])
159683  , -416957     , array([ 0.002159   ,  9.56519    ,  0.452218   ,  5.99145e-58,  0.0360479  ])
159684  , -416962     , array([ 0.002159   ,  9.56519    ,  0.452218   ,  5.98546e-58,  0.036084   ])
159685  , -55748.2    , array([ 0.033838   ,  9.92148    ,  0.452633   ,  5.98546e-58,  0.00216315 ])
159686  , -55748.2    , array([ 0.033838   ,  9.92148    ,  0.452633   ,  5.98546e-58,  0.00216315 ])
159687  , -55755      , array([ 0.0338718  ,  9.92148    ,  0.452633   ,  5.98546e-58,  0.00216315 ])
159688  , -55748.3    , array([ 0.033838   ,  9.9314     ,  0.452633   ,  5.98546e-58,  0.00216315 ])
159689  , -55748.2    , array([ 0.033838   ,  9.92148    ,  0.453086   ,  5.98546e-58,  0.00216315 ])
159690  , -55748.2    , array([ 0.033838   ,  9.92148    ,  0.452633   ,  5.99145e-58,  0.00216315 ])
159691  , -55740.8    , array([ 0.033838   ,  9.92148    ,  0.452633   ,  5.98546e-58,  0.00216531 ])
159692  , -54063.5    , array([ 0.0272019  ,  9.89274    ,  0.4526     ,  5.98546e-58,  0.00270399 ])
159693  , -54063.5    , array([ 0.0272019  ,  9.89274    ,  0.4526     ,  5.98546e-58,  0.00270399 ])
159694  , -54062.8    , array([ 0.0272291  ,  9.89274    ,  0.4526     ,  5.98546e-58,  0.00270399 ])
159695  , -54063.6    , array([ 0.0272019  ,  9.90263    ,  0.4526     ,  5.98546e-58,  0.00270399 ])
159696  , -54063.5    , array([ 0.0272019  ,  9.89274    ,  0.453053   ,  5.98546e-58,  0.00270399 ])
159697  , -54063.5    , array([ 0.0272019  ,  9.89274    ,  0.4526     ,  5.99145e-58,  0.00270399 ])
159698  , -54063.3    , array([ 0.0272019  ,  9.89274    ,  0.4526     ,  5.98546e-58,  0.00270669 ])
159706  , -54061.7    , array([ 0.0272495  ,  9.88664    ,  0.45261    ,  5.98546e-58,  0.00270924 ])
159707  , -54061.7    , array([ 0.0272495  ,  9.88664    ,  0.45261    ,  5.98546e-58,  0.00270924 ])
159708  , -54061      , array([ 0.0272768  ,  9.88664    ,  0.45261    ,  5.98546e-58,  0.00270924 ])
159709  , -54061.8    , array([ 0.0272495  ,  9.89653    ,  0.45261    ,  5.98546e-58,  0.00270924 ])
159710  , -54061.7    , array([ 0.0272495  ,  9.88664    ,  0.453063   ,  5.98546e-58,  0.00270924 ])
159711  , -54061.7    , array([ 0.0272495  ,  9.88664    ,  0.45261    ,  5.99145e-58,  0.00270924 ])
159712  , -54061.5    , array([ 0.0272495  ,  9.88664    ,  0.45261    ,  5.98546e-58,  0.00271195 ])
159713  , -54059.9    , array([ 0.0272973  ,  9.88054    ,  0.452621   ,  5.98546e-58,  0.00271452 ])
159714  , -54059.9    , array([ 0.0272973  ,  9.88054    ,  0.452621   ,  5.98546e-58,  0.00271452 ])
159715  , -54059.1    , array([ 0.0273246  ,  9.88054    ,  0.452621   ,  5.98546e-58,  0.00271452 ])
159716  , -54060      , array([ 0.0272973  ,  9.89043    ,  0.452621   ,  5.98546e-58,  0.00271452 ])
159717  , -54059.9    , array([ 0.0272973  ,  9.88054    ,  0.453073   ,  5.98546e-58,  0.00271452 ])
159718  , -54059.9    , array([ 0.0272973  ,  9.88054    ,  0.452621   ,  5.99145e-58,  0.00271452 ])
159719  , -54059.6    , array([ 0.0272973  ,  9.88054    ,  0.452621   ,  5.98546e-58,  0.00271724 ])
159727  , -54059.4    , array([ 0.0273092  ,  9.87902    ,  0.452623   ,  5.98546e-58,  0.00271584 ])
159728  , -54059.4    , array([ 0.0273092  ,  9.87902    ,  0.452623   ,  5.98546e-58,  0.00271584 ])
159729  , -54058.7    , array([ 0.0273366  ,  9.87902    ,  0.452623   ,  5.98546e-58,  0.00271584 ])
159730  , -54059.6    , array([ 0.0273092  ,  9.8889     ,  0.452623   ,  5.98546e-58,  0.00271584 ])
159731  , -54059.4    , array([ 0.0273092  ,  9.87902    ,  0.453076   ,  5.98546e-58,  0.00271584 ])
159732  , -54059.4    , array([ 0.0273092  ,  9.87902    ,  0.452623   ,  5.99145e-58,  0.00271584 ])
159733  , -54059.2    , array([ 0.0273092  ,  9.87902    ,  0.452623   ,  5.98546e-58,  0.00271856 ])
159734  , -54058.9    , array([ 0.0273212  ,  9.87749    ,  0.452626   ,  5.98546e-58,  0.00271717 ])
159735  , -54058.9    , array([ 0.0273212  ,  9.87749    ,  0.452626   ,  5.98546e-58,  0.00271717 ])
159736  , -54058.2    , array([ 0.0273486  ,  9.87749    ,  0.452626   ,  5.98546e-58,  0.00271717 ])
159737  , -54059.1    , array([ 0.0273212  ,  9.88737    ,  0.452626   ,  5.98546e-58,  0.00271717 ])
159738  , -54058.9    , array([ 0.0273212  ,  9.87749    ,  0.453079   ,  5.98546e-58,  0.00271717 ])
159739  , -54058.9    , array([ 0.0273212  ,  9.87749    ,  0.452626   ,  5.99145e-58,  0.00271717 ])
159740  , -54058.7    , array([ 0.0273212  ,  9.87749    ,  0.452626   ,  5.98546e-58,  0.00271989 ])
159748  , -54058.8    , array([ 0.0273242  ,  9.87711    ,  0.452626   ,  5.98546e-58,  0.0027175  ])
159749  , -54058.8    , array([ 0.0273242  ,  9.87711    ,  0.452626   ,  5.98546e-58,  0.0027175  ])
159750  , -54058.1    , array([ 0.0273516  ,  9.87711    ,  0.452626   ,  5.98546e-58,  0.0027175  ])
159751  , -54059      , array([ 0.0273242  ,  9.88699    ,  0.452626   ,  5.98546e-58,  0.0027175  ])
159752  , -54058.8    , array([ 0.0273242  ,  9.87711    ,  0.453079   ,  5.98546e-58,  0.0027175  ])
159753  , -54058.8    , array([ 0.0273242  ,  9.87711    ,  0.452626   ,  5.99145e-58,  0.0027175  ])
159754  , -54058.6    , array([ 0.0273242  ,  9.87711    ,  0.452626   ,  5.98546e-58,  0.00272022 ])
159755  , -54058.7    , array([ 0.0273272  ,  9.87672    ,  0.452627   ,  5.98546e-58,  0.00271783 ])
159756  , -54058.7    , array([ 0.0273272  ,  9.87672    ,  0.452627   ,  5.98546e-58,  0.00271783 ])
159757  , -54058      , array([ 0.0273546  ,  9.87672    ,  0.452627   ,  5.98546e-58,  0.00271783 ])
159758  , -54058.9    , array([ 0.0273272  ,  9.88661    ,  0.452627   ,  5.98546e-58,  0.00271783 ])
