160558  , -79089.4    , array([ 0.0613435  ,  0.124517   ,  7.72763e-75,  4.4179e-50 ,  1.6346e-11 ])
160559  , -79089.4    , array([ 0.0614049  ,  0.124517   ,  7.72763e-75,  4.4179e-50 ,  1.6346e-11 ])
160560  , -79089.4    , array([ 0.0613435  ,  0.124642   ,  7.72763e-75,  4.4179e-50 ,  1.6346e-11 ])
160561  , -79089.4    , array([ 0.0613435  ,  0.124517   ,  7.73536e-75,  4.4179e-50 ,  1.6346e-11 ])
160562  , -79089.4    , array([ 0.0613435  ,  0.124517   ,  7.72763e-75,  4.42232e-50,  1.6346e-11 ])
160563  , -79089.4    , array([ 0.0613435  ,  0.124517   ,  7.72763e-75,  4.4179e-50 ,  1.63623e-11])
160564  , -79089.4    , array([ 0.0613435  ,  0.124517   ,  7.72763e-75,  4.4179e-50 ,  1.6346e-11 ])
160565  , -79089.4    , array([ 0.0613305  ,  0.124498   ,  7.72763e-75,  4.4179e-50 ,  1.6352e-11 ])
160566  , -79089.4    , array([ 0.0613305  ,  0.124498   ,  7.72763e-75,  4.4179e-50 ,  1.6352e-11 ])
160567  , -79089.4    , array([ 0.0613918  ,  0.124498   ,  7.72763e-75,  4.4179e-50 ,  1.6352e-11 ])
160568  , -79089.4    , array([ 0.0613305  ,  0.124623   ,  7.72763e-75,  4.4179e-50 ,  1.6352e-11 ])
160569  , -79089.4    , array([ 0.0613305  ,  0.124498   ,  7.73536e-75,  4.4179e-50 ,  1.6352e-11 ])
160570  , -79089.4    , array([ 0.0613305  ,  0.124498   ,  7.72763e-75,  4.42232e-50,  1.6352e-11 ])
160571  , -79089.4    , array([ 0.0613305  ,  0.124498   ,  7.72763e-75,  4.4179e-50 ,  1.63684e-11])
160572  , -79089.4    , array([ 0.0612783  ,  0.124421   ,  7.72763e-75,  4.4179e-50 ,  1.6376e-11 ])
160573  , -79089.4    , array([ 0.0612783  ,  0.124421   ,  7.72763e-75,  4.4179e-50 ,  1.6376e-11 ])
160574  , -79089.4    , array([ 0.0613396  ,  0.124421   ,  7.72763e-75,  4.4179e-50 ,  1.6376e-11 ])
160575  , -79089.4    , array([ 0.0612783  ,  0.124546   ,  7.72763e-75,  4.4179e-50 ,  1.6376e-11 ])
160576  , -79089.4    , array([ 0.0612783  ,  0.124421   ,  7.73536e-75,  4.4179e-50 ,  1.6376e-11 ])
