53983   , -296570     , array([ 35.3853    ,  0.0629225  ,  6.77816e-11,  3.61196e-14,  0.517238   ])
53984   , -296574     , array([ 35.4207    ,  0.0629225  ,  6.77816e-11,  3.61196e-14,  0.517238   ])
53985   , -296281     , array([ 35.3853    ,  0.0629854  ,  6.77816e-11,  3.61196e-14,  0.517238   ])
53986   , -296570     , array([ 35.3853    ,  0.0629225  ,  6.78495e-11,  3.61196e-14,  0.517238   ])
53987   , -296570     , array([ 35.3853    ,  0.0629225  ,  6.77816e-11,  3.61557e-14,  0.517238   ])
53988   , -296880     , array([ 35.3853    ,  0.0629225  ,  6.77816e-11,  3.61196e-14,  0.517755   ])
53989   , -296570     , array([ 35.3853    ,  0.0629225  ,  6.77816e-11,  3.61196e-14,  0.517238   ])
53990   , -63954.8    , array([ 35.089     ,  0.12538    ,  6.77816e-11,  3.61196e-14,  0.247266   ])
53991   , -63954.8    , array([ 35.089     ,  0.12538    ,  6.77816e-11,  3.61196e-14,  0.247266   ])
53992   , -63956.1    , array([ 35.1241    ,  0.12538    ,  6.77816e-11,  3.61196e-14,  0.247266   ])
53993   , -63886.2    , array([ 35.089     ,  0.125505   ,  6.77816e-11,  3.61196e-14,  0.247266   ])
53994   , -63954.8    , array([ 35.089     ,  0.12538    ,  6.78495e-11,  3.61196e-14,  0.247266   ])
53995   , -63954.8    , array([ 35.089     ,  0.12538    ,  6.77816e-11,  3.61557e-14,  0.247266   ])
53996   , -64037.5    , array([ 35.089     ,  0.12538    ,  6.77816e-11,  3.61196e-14,  0.247514   ])
54004   , -63595.3    , array([ 34.9991    ,  0.121561   ,  6.77816e-11,  3.61196e-14,  0.239946   ])
54005   , -63595.3    , array([ 34.9991    ,  0.121561   ,  6.77816e-11,  3.61196e-14,  0.239946   ])
54006   , -63596.5    , array([ 35.0341    ,  0.121561   ,  6.77816e-11,  3.61196e-14,  0.239946   ])
54007   , -63526.6    , array([ 34.9991    ,  0.121683   ,  6.77816e-11,  3.61196e-14,  0.239946   ])
54008   , -63595.3    , array([ 34.9991    ,  0.121561   ,  6.78495e-11,  3.61196e-14,  0.239946   ])
54009   , -63595.3    , array([ 34.9991    ,  0.121561   ,  6.77816e-11,  3.61557e-14,  0.239946   ])
54010   , -63677.7    , array([ 34.9991    ,  0.121561   ,  6.77816e-11,  3.61196e-14,  0.240187   ])
54011   , -57613.2    , array([ 32.2391    ,  0.0451423  ,  6.77816e-11,  3.61196e-14,  0.0916485  ])
54012   , -57613.2    , array([ 32.2391    ,  0.0451423  ,  6.77816e-11,  3.61196e-14,  0.0916485  ])
54013   , -57613.4    , array([ 32.2713    ,  0.0451423  ,  6.77816e-11,  3.61196e-14,  0.0916485  ])
54014   , -57540.8    , array([ 32.2391    ,  0.0451875  ,  6.77816e-11,  3.61196e-14,  0.0916485  ])
54015   , -57613.2    , array([ 32.2391    ,  0.0451423  ,  6.78494e-11,  3.61196e-14,  0.0916485  ])
54016   , -57613.2    , array([ 32.2391    ,  0.0451423  ,  6.77816e-11,  3.61557e-14,  0.0916485  ])
54017   , -57689      , array([ 32.2391    ,  0.0451423  ,  6.77816e-11,  3.61196e-14,  0.0917402  ])
54025   , -57612.9    , array([ 32.2521    ,  0.0451407  ,  6.77816e-11,  3.61196e-14,  0.0916449  ])
54026   , -57612.9    , array([ 32.2521    ,  0.0451407  ,  6.77816e-11,  3.61196e-14,  0.0916449  ])
54027   , -57613.2    , array([ 32.2844    ,  0.0451407  ,  6.77816e-11,  3.61196e-14,  0.0916449  ])
54028   , -57540.5    , array([ 32.2521    ,  0.0451859  ,  6.77816e-11,  3.61196e-14,  0.0916449  ])
54029   , -57612.9    , array([ 32.2521    ,  0.0451407  ,  6.78494e-11,  3.61196e-14,  0.0916449  ])
54030   , -57612.9    , array([ 32.2521    ,  0.0451407  ,  6.77816e-11,  3.61557e-14,  0.0916449  ])
54031   , -57688.8    , array([ 32.2521    ,  0.0451407  ,  6.77816e-11,  3.61196e-14,  0.0917366  ])
54032   , -57612.6    , array([ 32.2652    ,  0.0451391  ,  6.77816e-11,  3.61196e-14,  0.0916413  ])
54033   , -57612.6    , array([ 32.2652    ,  0.0451391  ,  6.77816e-11,  3.61196e-14,  0.0916413  ])
54034   , -57612.9    , array([ 32.2975    ,  0.0451391  ,  6.77816e-11,  3.61196e-14,  0.0916413  ])
54035   , -57540.2    , array([ 32.2652    ,  0.0451842  ,  6.77816e-11,  3.61196e-14,  0.0916413  ])
54036   , -57612.6    , array([ 32.2652    ,  0.0451391  ,  6.78494e-11,  3.61196e-14,  0.0916413  ])
54037   , -57612.6    , array([ 32.2652    ,  0.0451391  ,  6.77816e-11,  3.61557e-14,  0.0916413  ])
54038   , -57688.5    , array([ 32.2652    ,  0.0451391  ,  6.77816e-11,  3.61196e-14,  0.0917329  ])
54046   , -57612.6    , array([ 32.2685    ,  0.0451387  ,  6.77816e-11,  3.61196e-14,  0.0916403  ])
54047   , -57612.6    , array([ 32.2685    ,  0.0451387  ,  6.77816e-11,  3.61196e-14,  0.0916403  ])
54048   , -57612.8    , array([ 32.3007    ,  0.0451387  ,  6.77816e-11,  3.61196e-14,  0.0916403  ])
54049   , -57540.2    , array([ 32.2685    ,  0.0451838  ,  6.77816e-11,  3.61196e-14,  0.0916403  ])
54050   , -57612.6    , array([ 32.2685    ,  0.0451387  ,  6.78494e-11,  3.61196e-14,  0.0916403  ])
54051   , -57612.6    , array([ 32.2685    ,  0.0451387  ,  6.77816e-11,  3.61557e-14,  0.0916403  ])
54052   , -57688.4    , array([ 32.2685    ,  0.0451387  ,  6.77816e-11,  3.61196e-14,  0.091732   ])
54053   , -57612.5    , array([ 32.2717    ,  0.0451382  ,  6.77816e-11,  3.61196e-14,  0.0916394  ])
54054   , -57612.5    , array([ 32.2717    ,  0.0451382  ,  6.77816e-11,  3.61196e-14,  0.0916394  ])
54055   , -57612.8    , array([ 32.304     ,  0.0451382  ,  6.77816e-11,  3.61196e-14,  0.0916394  ])
54056   , -57540.1    , array([ 32.2717    ,  0.0451834  ,  6.77816e-11,  3.61196e-14,  0.0916394  ])
54057   , -57612.5    , array([ 32.2717    ,  0.0451382  ,  6.78494e-11,  3.61196e-14,  0.0916394  ])
54058   , -57612.5    , array([ 32.2717    ,  0.0451382  ,  6.77816e-11,  3.61557e-14,  0.0916394  ])
54059   , -57688.4    , array([ 32.2717    ,  0.0451382  ,  6.77816e-11,  3.61196e-14,  0.0917311  ])
54067   , -57612.5    , array([ 32.2725    ,  0.0451381  ,  6.77816e-11,  3.61196e-14,  0.0916392  ])
54068   , -57612.5    , array([ 32.2725    ,  0.0451381  ,  6.77816e-11,  3.61196e-14,  0.0916392  ])
54069   , -57612.7    , array([ 32.3048    ,  0.0451381  ,  6.77816e-11,  3.61196e-14,  0.0916392  ])
54070   , -57540.1    , array([ 32.2725    ,  0.0451833  ,  6.77816e-11,  3.61196e-14,  0.0916392  ])
54071   , -57612.5    , array([ 32.2725    ,  0.0451381  ,  6.78494e-11,  3.61196e-14,  0.0916392  ])
54072   , -57612.5    , array([ 32.2725    ,  0.0451381  ,  6.77816e-11,  3.61557e-14,  0.0916392  ])
54073   , -57688.3    , array([ 32.2725    ,  0.0451381  ,  6.77816e-11,  3.61196e-14,  0.0917309  ])
54074   , -57612.5    , array([ 32.2734    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.091639   ])
54075   , -57612.5    , array([ 32.2734    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.091639   ])
54076   , -57612.7    , array([ 32.3056    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.091639   ])
54077   , -57540.1    , array([ 32.2734    ,  0.0451832  ,  6.77816e-11,  3.61196e-14,  0.091639   ])
54078   , -57612.5    , array([ 32.2734    ,  0.045138   ,  6.78494e-11,  3.61196e-14,  0.091639   ])
54079   , -57612.5    , array([ 32.2734    ,  0.045138   ,  6.77816e-11,  3.61557e-14,  0.091639   ])
54080   , -57688.3    , array([ 32.2734    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0917307  ])
54088   , -57612.5    , array([ 32.2736    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54089   , -57612.5    , array([ 32.2736    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54090   , -57612.7    , array([ 32.3058    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54091   , -57540.1    , array([ 32.2736    ,  0.0451832  ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54092   , -57612.5    , array([ 32.2736    ,  0.045138   ,  6.78494e-11,  3.61196e-14,  0.0916389  ])
54093   , -57612.5    , array([ 32.2736    ,  0.045138   ,  6.77816e-11,  3.61557e-14,  0.0916389  ])
54094   , -57688.3    , array([ 32.2736    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0917306  ])
54095   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54096   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54097   , -57612.7    , array([ 32.3061    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54098   , -57540.1    , array([ 32.2738    ,  0.0451831  ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54099   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.78494e-11,  3.61196e-14,  0.0916389  ])
54100   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61557e-14,  0.0916389  ])
54101   , -57688.3    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0917306  ])
54109   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54110   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54111   , -57612.7    , array([ 32.3061    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54112   , -57540.1    , array([ 32.2738    ,  0.0451831  ,  6.77816e-11,  3.61196e-14,  0.0916389  ])
54113   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.78494e-11,  3.61196e-14,  0.0916389  ])
54114   , -57612.4    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61557e-14,  0.0916389  ])
54115   , -57688.3    , array([ 32.2738    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0917305  ])
54116   , -57612.4    , array([ 32.2739    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916388  ])
54117   , -57612.4    , array([ 32.2739    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916388  ])
54118   , -57612.7    , array([ 32.3062    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0916388  ])
54119   , -57540.1    , array([ 32.2739    ,  0.0451831  ,  6.77816e-11,  3.61196e-14,  0.0916388  ])
54120   , -57612.4    , array([ 32.2739    ,  0.045138   ,  6.78494e-11,  3.61196e-14,  0.0916388  ])
54121   , -57612.4    , array([ 32.2739    ,  0.045138   ,  6.77816e-11,  3.61557e-14,  0.0916388  ])
54122   , -57688.3    , array([ 32.2739    ,  0.045138   ,  6.77816e-11,  3.61196e-14,  0.0917305  ])
54123   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54124   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54125   , -57183.5    , array([ 58.4092    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54126   , -57111.3    , array([ 58.3508    ,  0.0428473  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54127   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.78494e-11,  3.61196e-14,  0.0864782  ])
54128   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61557e-14,  0.0864782  ])
54129   , -57258.8    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0865648  ])
54130   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54131   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54132   , -57183.5    , array([ 58.4092    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54133   , -57111.3    , array([ 58.3508    ,  0.0428473  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54134   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.78494e-11,  3.61196e-14,  0.0864782  ])
54135   , -57183.4    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61557e-14,  0.0864782  ])
54136   , -57258.8    , array([ 58.3508    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0865648  ])
54137   , -57183.4    , array([ 58.3509    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
54138   , -57183.4    , array([ 58.3509    ,  0.0428045  ,  6.77816e-11,  3.61196e-14,  0.0864782  ])
