55087   , -78922.2    , array([ 0.0345447  ,  3.885      ,  2.48073e-13,  1.82636e-51,  7.15667e-06])
55088   , -78922.4    , array([ 0.0345793  ,  3.885      ,  2.48073e-13,  1.82636e-51,  7.15667e-06])
55089   , -78922.2    , array([ 0.0345447  ,  3.88889    ,  2.48073e-13,  1.82636e-51,  7.15667e-06])
55090   , -78922.2    , array([ 0.0345447  ,  3.885      ,  2.48321e-13,  1.82636e-51,  7.15667e-06])
55091   , -78922.2    , array([ 0.0345447  ,  3.885      ,  2.48073e-13,  1.82819e-51,  7.15667e-06])
55092   , -78922.1    , array([ 0.0345447  ,  3.885      ,  2.48073e-13,  1.82636e-51,  7.16383e-06])
55093   , -78922.2    , array([ 0.0345447  ,  3.885      ,  2.48073e-13,  1.82636e-51,  7.15667e-06])
55094   , -78403.5    , array([ 0.0170032  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46942e-05])
55095   , -78403.5    , array([ 0.0170032  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46942e-05])
55096   , -78404.2    , array([ 0.0170203  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46942e-05])
55097   , -78403.5    , array([ 0.0170032  ,  3.85288    ,  2.48073e-13,  1.82636e-51,  1.46942e-05])
55098   , -78403.5    , array([ 0.0170032  ,  3.84903    ,  2.48321e-13,  1.82636e-51,  1.46942e-05])
55099   , -78403.5    , array([ 0.0170032  ,  3.84903    ,  2.48073e-13,  1.82819e-51,  1.46942e-05])
55100   , -78402.8    , array([ 0.0170032  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.47089e-05])
55108   , -78403.5    , array([ 0.0170029  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46944e-05])
55109   , -78403.5    , array([ 0.0170029  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46944e-05])
55110   , -78404.1    , array([ 0.01702    ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46944e-05])
55111   , -78403.5    , array([ 0.0170029  ,  3.85288    ,  2.48073e-13,  1.82636e-51,  1.46944e-05])
55112   , -78403.5    , array([ 0.0170029  ,  3.84903    ,  2.48321e-13,  1.82636e-51,  1.46944e-05])
55113   , -78403.5    , array([ 0.0170029  ,  3.84903    ,  2.48073e-13,  1.82819e-51,  1.46944e-05])
55114   , -78402.8    , array([ 0.0170029  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.47091e-05])
55115   , -78403.4    , array([ 0.0170026  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46947e-05])
55116   , -78403.4    , array([ 0.0170026  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46947e-05])
55117   , -78404.1    , array([ 0.0170196  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.46947e-05])
55118   , -78403.4    , array([ 0.0170026  ,  3.85288    ,  2.48073e-13,  1.82636e-51,  1.46947e-05])
55119   , -78403.4    , array([ 0.0170026  ,  3.84903    ,  2.48321e-13,  1.82636e-51,  1.46947e-05])
55120   , -78403.4    , array([ 0.0170026  ,  3.84903    ,  2.48073e-13,  1.82819e-51,  1.46947e-05])
55121   , -78402.8    , array([ 0.0170026  ,  3.84903    ,  2.48073e-13,  1.82636e-51,  1.47094e-05])
55122   , -69378.8    , array([ 0.00411931 ,  3.77809    ,  2.48073e-13,  1.82636e-51,  6.19472e-05])
55123   , -69378.8    , array([ 0.00411931 ,  3.77809    ,  2.48073e-13,  1.82636e-51,  6.19472e-05])
