234130  , -76571.4    , array([ 0.00231052 ,  0.189512   ,  1.9666e-05 ,  2.33687e-58,  0.000738282])
234131  , -76528.2    , array([ 0.00231283 ,  0.189512   ,  1.9666e-05 ,  2.33687e-58,  0.000738282])
234132  , -76573.1    , array([ 0.00231052 ,  0.189701   ,  1.9666e-05 ,  2.33687e-58,  0.000738282])
234133  , -76571.4    , array([ 0.00231052 ,  0.189512   ,  1.96856e-05,  2.33687e-58,  0.000738282])
234134  , -76571.4    , array([ 0.00231052 ,  0.189512   ,  1.9666e-05 ,  2.33921e-58,  0.000738282])
234135  , -76612.2    , array([ 0.00231052 ,  0.189512   ,  1.9666e-05 ,  2.33687e-58,  0.00073902 ])
234136  , -76571.4    , array([ 0.00231052 ,  0.189512   ,  1.9666e-05 ,  2.33687e-58,  0.000738282])
234137  , -54101.6    , array([ 0.00481097 ,  0.183915   ,  1.9666e-05 ,  2.33687e-58,  0.000368919])
234138  , -54101.6    , array([ 0.00481097 ,  0.183915   ,  1.9666e-05 ,  2.33687e-58,  0.000368919])
234139  , -54105.1    , array([ 0.00481579 ,  0.183915   ,  1.9666e-05 ,  2.33687e-58,  0.000368919])
234140  , -54102.8    , array([ 0.00481097 ,  0.184099   ,  1.9666e-05 ,  2.33687e-58,  0.000368919])
234141  , -54101.6    , array([ 0.00481097 ,  0.183915   ,  1.96856e-05,  2.33687e-58,  0.000368919])
234142  , -54101.6    , array([ 0.00481097 ,  0.183915   ,  1.9666e-05 ,  2.33921e-58,  0.000368919])
234143  , -54096.8    , array([ 0.00481097 ,  0.183915   ,  1.9666e-05 ,  2.33687e-58,  0.000369288])
234151  , -54098.2    , array([ 0.00481538 ,  0.183602   ,  1.9666e-05 ,  2.33687e-58,  0.000369273])
234152  , -54098.2    , array([ 0.00481538 ,  0.183602   ,  1.9666e-05 ,  2.33687e-58,  0.000369273])
234153  , -54101.7    , array([ 0.0048202  ,  0.183602   ,  1.9666e-05 ,  2.33687e-58,  0.000369273])
234154  , -54099.4    , array([ 0.00481538 ,  0.183786   ,  1.9666e-05 ,  2.33687e-58,  0.000369273])
234155  , -54098.2    , array([ 0.00481538 ,  0.183602   ,  1.96856e-05,  2.33687e-58,  0.000369273])
234156  , -54098.2    , array([ 0.00481538 ,  0.183602   ,  1.9666e-05 ,  2.33921e-58,  0.000369273])
234157  , -54093.4    , array([ 0.00481538 ,  0.183602   ,  1.9666e-05 ,  2.33687e-58,  0.000369642])
234158  , -54094.7    , array([ 0.00481981 ,  0.183288   ,  1.9666e-05 ,  2.33687e-58,  0.000369628])
234159  , -54094.7    , array([ 0.00481981 ,  0.183288   ,  1.9666e-05 ,  2.33687e-58,  0.000369628])
234160  , -54098.2    , array([ 0.00482463 ,  0.183288   ,  1.9666e-05 ,  2.33687e-58,  0.000369628])
234161  , -54095.9    , array([ 0.00481981 ,  0.183472   ,  1.9666e-05 ,  2.33687e-58,  0.000369628])
234162  , -54094.7    , array([ 0.00481981 ,  0.183288   ,  1.96856e-05,  2.33687e-58,  0.000369628])
234163  , -54094.7    , array([ 0.00481981 ,  0.183288   ,  1.9666e-05 ,  2.33921e-58,  0.000369628])
234164  , -54089.9    , array([ 0.00481981 ,  0.183288   ,  1.9666e-05 ,  2.33687e-58,  0.000369997])
234172  , -54093.8    , array([ 0.00482092 ,  0.18321    ,  1.9666e-05 ,  2.33687e-58,  0.000369717])
234173  , -54093.8    , array([ 0.00482092 ,  0.18321    ,  1.9666e-05 ,  2.33687e-58,  0.000369717])
234174  , -54097.3    , array([ 0.00482574 ,  0.18321    ,  1.9666e-05 ,  2.33687e-58,  0.000369717])
234175  , -54095      , array([ 0.00482092 ,  0.183393   ,  1.9666e-05 ,  2.33687e-58,  0.000369717])
234176  , -54093.8    , array([ 0.00482092 ,  0.18321    ,  1.96856e-05,  2.33687e-58,  0.000369717])
234177  , -54093.8    , array([ 0.00482092 ,  0.18321    ,  1.9666e-05 ,  2.33921e-58,  0.000369717])
234178  , -54089      , array([ 0.00482092 ,  0.18321    ,  1.9666e-05 ,  2.33687e-58,  0.000370086])
234179  , -54092.9    , array([ 0.00482203 ,  0.183132   ,  1.9666e-05 ,  2.33687e-58,  0.000369806])
234180  , -54092.9    , array([ 0.00482203 ,  0.183132   ,  1.9666e-05 ,  2.33687e-58,  0.000369806])
