239953  , -79088.8    , array([ 1.74425    ,  0.0141073  ,  8.57999e-11,  5.02254e-79,  7.5211e-09 ])
239954  , -79088.8    , array([ 1.746      ,  0.0141073  ,  8.57999e-11,  5.02254e-79,  7.5211e-09 ])
239955  , -79088.8    , array([ 1.74425    ,  0.0141214  ,  8.57999e-11,  5.02254e-79,  7.5211e-09 ])
239956  , -79088.8    , array([ 1.74425    ,  0.0141073  ,  8.58858e-11,  5.02254e-79,  7.5211e-09 ])
239957  , -79088.8    , array([ 1.74425    ,  0.0141073  ,  8.57999e-11,  5.02756e-79,  7.5211e-09 ])
239958  , -79088.8    , array([ 1.74425    ,  0.0141073  ,  8.57999e-11,  5.02254e-79,  7.52862e-09])
239959  , -79088.8    , array([ 1.74425    ,  0.0141073  ,  8.57999e-11,  5.02254e-79,  7.5211e-09 ])
239960  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239961  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239962  , -79087.2    , array([ 1.74       ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239963  , -79087.2    , array([ 1.73826    ,  0.00755039 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239964  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.58858e-11,  5.02254e-79,  1.41258e-08])
239965  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02756e-79,  1.41258e-08])
239966  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41399e-08])
239974  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239975  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239976  , -79087.2    , array([ 1.74       ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239977  , -79087.2    , array([ 1.73826    ,  0.00755039 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239978  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.58858e-11,  5.02254e-79,  1.41258e-08])
239979  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02756e-79,  1.41258e-08])
239980  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41399e-08])
239981  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239982  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239983  , -79087.2    , array([ 1.74       ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239984  , -79087.2    , array([ 1.73826    ,  0.00755039 ,  8.57999e-11,  5.02254e-79,  1.41258e-08])
239985  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.58858e-11,  5.02254e-79,  1.41258e-08])
239986  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02756e-79,  1.41258e-08])
239987  , -79087.2    , array([ 1.73826    ,  0.00754285 ,  8.57999e-11,  5.02254e-79,  1.41399e-08])
239988  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239989  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239990  , -79062.3    , array([ 1.72806    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239991  , -79062.3    , array([ 1.72633    ,  0.00215849 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239992  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.58858e-11,  5.02254e-79,  4.98285e-08])
239993  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02756e-79,  4.98285e-08])
239994  , -79062.2    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98783e-08])
239995  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239996  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239997  , -79062.3    , array([ 1.72806    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239998  , -79062.3    , array([ 1.72633    ,  0.00215849 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
239999  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.58858e-11,  5.02254e-79,  4.98285e-08])
240000  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02756e-79,  4.98285e-08])
240001  , -79062.2    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98783e-08])
240002  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
240003  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
240004  , -79062.3    , array([ 1.72806    ,  0.00215633 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
240005  , -79062.3    , array([ 1.72633    ,  0.00215849 ,  8.57999e-11,  5.02254e-79,  4.98285e-08])
240006  , -79062.3    , array([ 1.72633    ,  0.00215633 ,  8.58858e-11,  5.02254e-79,  4.98285e-08])
