251512  , -152257     , array([ 0.0339332  ,  18.9417    ,  4.59476e-26,  1.19942e-57,  0.0512937  ])
251513  , -152163     , array([ 0.0339672  ,  18.9417    ,  4.59476e-26,  1.19942e-57,  0.0512937  ])
251514  , -152258     , array([ 0.0339332  ,  18.9607    ,  4.59476e-26,  1.19942e-57,  0.0512937  ])
251515  , -152257     , array([ 0.0339332  ,  18.9417    ,  4.59935e-26,  1.19942e-57,  0.0512937  ])
251516  , -152257     , array([ 0.0339332  ,  18.9417    ,  4.59476e-26,  1.20062e-57,  0.0512937  ])
251517  , -152333     , array([ 0.0339332  ,  18.9417    ,  4.59476e-26,  1.19942e-57,  0.051345   ])
251518  , -152257     , array([ 0.0339332  ,  18.9417    ,  4.59476e-26,  1.19942e-57,  0.0512937  ])
251519  , -69357.5    , array([ 0.0742876  ,  18.8143    ,  4.59476e-26,  1.19942e-57,  0.0271209  ])
251520  , -69357.5    , array([ 0.0742876  ,  18.8143    ,  4.59476e-26,  1.19942e-57,  0.0271209  ])
251521  , -69319.1    , array([ 0.0743619  ,  18.8143    ,  4.59476e-26,  1.19942e-57,  0.0271209  ])
251522  , -69358      , array([ 0.0742876  ,  18.8331    ,  4.59476e-26,  1.19942e-57,  0.0271209  ])
251523  , -69357.5    , array([ 0.0742876  ,  18.8143    ,  4.59935e-26,  1.19942e-57,  0.0271209  ])
251524  , -69357.5    , array([ 0.0742876  ,  18.8143    ,  4.59476e-26,  1.20062e-57,  0.0271209  ])
251525  , -69386.7    , array([ 0.0742876  ,  18.8143    ,  4.59476e-26,  1.19942e-57,  0.027148   ])
251533  , -69310.1    , array([ 0.0751279  ,  18.7717    ,  4.59476e-26,  1.19942e-57,  0.0274823  ])
251534  , -69310.1    , array([ 0.0751279  ,  18.7717    ,  4.59476e-26,  1.19942e-57,  0.0274823  ])
251535  , -69271.7    , array([ 0.0752031  ,  18.7717    ,  4.59476e-26,  1.19942e-57,  0.0274823  ])
251536  , -69310.7    , array([ 0.0751279  ,  18.7905    ,  4.59476e-26,  1.19942e-57,  0.0274823  ])
251537  , -69310.1    , array([ 0.0751279  ,  18.7717    ,  4.59935e-26,  1.19942e-57,  0.0274823  ])
251538  , -69310.1    , array([ 0.0751279  ,  18.7717    ,  4.59476e-26,  1.20062e-57,  0.0274823  ])
251539  , -69339.3    , array([ 0.0751279  ,  18.7717    ,  4.59476e-26,  1.19942e-57,  0.0275098  ])
251540  , -69261.9    , array([ 0.0759857  ,  18.7288    ,  4.59476e-26,  1.19942e-57,  0.027852   ])
251541  , -69261.9    , array([ 0.0759857  ,  18.7288    ,  4.59476e-26,  1.19942e-57,  0.027852   ])
251542  , -69223.5    , array([ 0.0760617  ,  18.7288    ,  4.59476e-26,  1.19942e-57,  0.027852   ])
251543  , -69262.5    , array([ 0.0759857  ,  18.7476    ,  4.59476e-26,  1.19942e-57,  0.027852   ])
251544  , -69261.9    , array([ 0.0759857  ,  18.7288    ,  4.59935e-26,  1.19942e-57,  0.027852   ])
251545  , -69261.9    , array([ 0.0759857  ,  18.7288    ,  4.59476e-26,  1.20062e-57,  0.027852   ])
251546  , -69291.1    , array([ 0.0759857  ,  18.7288    ,  4.59476e-26,  1.19942e-57,  0.0278798  ])
251554  , -69249.7    , array([ 0.0762036  ,  18.718     ,  4.59476e-26,  1.19942e-57,  0.027946   ])
251555  , -69249.7    , array([ 0.0762036  ,  18.718     ,  4.59476e-26,  1.19942e-57,  0.027946   ])
251556  , -69211.2    , array([ 0.0762799  ,  18.718     ,  4.59476e-26,  1.19942e-57,  0.027946   ])
251557  , -69250.2    , array([ 0.0762036  ,  18.7368    ,  4.59476e-26,  1.19942e-57,  0.027946   ])
251558  , -69249.7    , array([ 0.0762036  ,  18.718     ,  4.59935e-26,  1.19942e-57,  0.027946   ])
251559  , -69249.7    , array([ 0.0762036  ,  18.718     ,  4.59476e-26,  1.20062e-57,  0.027946   ])
251560  , -69278.8    , array([ 0.0762036  ,  18.718     ,  4.59476e-26,  1.19942e-57,  0.027974   ])
251561  , -69237.4    , array([ 0.0764227  ,  18.7072    ,  4.59476e-26,  1.19942e-57,  0.0280406  ])
251562  , -69237.4    , array([ 0.0764227  ,  18.7072    ,  4.59476e-26,  1.19942e-57,  0.0280406  ])
251563  , -69198.9    , array([ 0.0764992  ,  18.7072    ,  4.59476e-26,  1.19942e-57,  0.0280406  ])
251564  , -69237.9    , array([ 0.0764227  ,  18.7259    ,  4.59476e-26,  1.19942e-57,  0.0280406  ])
251565  , -69237.4    , array([ 0.0764227  ,  18.7072    ,  4.59935e-26,  1.19942e-57,  0.0280406  ])
251566  , -69237.4    , array([ 0.0764227  ,  18.7072    ,  4.59476e-26,  1.20062e-57,  0.0280406  ])
251567  , -69266.5    , array([ 0.0764227  ,  18.7072    ,  4.59476e-26,  1.19942e-57,  0.0280687  ])
251575  , -69234.3    , array([ 0.0764777  ,  18.7045    ,  4.59476e-26,  1.19942e-57,  0.0280644  ])
251576  , -69234.3    , array([ 0.0764777  ,  18.7045    ,  4.59476e-26,  1.19942e-57,  0.0280644  ])
251577  , -69195.9    , array([ 0.0765542  ,  18.7045    ,  4.59476e-26,  1.19942e-57,  0.0280644  ])
251578  , -69234.8    , array([ 0.0764777  ,  18.7232    ,  4.59476e-26,  1.19942e-57,  0.0280644  ])
251579  , -69234.3    , array([ 0.0764777  ,  18.7045    ,  4.59935e-26,  1.19942e-57,  0.0280644  ])
251580  , -69234.3    , array([ 0.0764777  ,  18.7045    ,  4.59476e-26,  1.20062e-57,  0.0280644  ])
251581  , -69263.4    , array([ 0.0764777  ,  18.7045    ,  4.59476e-26,  1.19942e-57,  0.0280924  ])
251582  , -69231.2    , array([ 0.0765328  ,  18.7018    ,  4.59476e-26,  1.19942e-57,  0.0280881  ])
251583  , -69231.2    , array([ 0.0765328  ,  18.7018    ,  4.59476e-26,  1.19942e-57,  0.0280881  ])
251584  , -69192.8    , array([ 0.0766093  ,  18.7018    ,  4.59476e-26,  1.19942e-57,  0.0280881  ])
251585  , -69231.7    , array([ 0.0765328  ,  18.7205    ,  4.59476e-26,  1.19942e-57,  0.0280881  ])
251586  , -69231.2    , array([ 0.0765328  ,  18.7018    ,  4.59935e-26,  1.19942e-57,  0.0280881  ])
251587  , -69231.2    , array([ 0.0765328  ,  18.7018    ,  4.59476e-26,  1.20062e-57,  0.0280881  ])
251588  , -69260.3    , array([ 0.0765328  ,  18.7018    ,  4.59476e-26,  1.19942e-57,  0.0281162  ])
251596  , -69230.4    , array([ 0.0765465  ,  18.7011    ,  4.59476e-26,  1.19942e-57,  0.0280941  ])
251597  , -69230.4    , array([ 0.0765465  ,  18.7011    ,  4.59476e-26,  1.19942e-57,  0.0280941  ])
251598  , -69192      , array([ 0.0766231  ,  18.7011    ,  4.59476e-26,  1.19942e-57,  0.0280941  ])
251599  , -69231      , array([ 0.0765465  ,  18.7198    ,  4.59476e-26,  1.19942e-57,  0.0280941  ])
251600  , -69230.4    , array([ 0.0765465  ,  18.7011    ,  4.59935e-26,  1.19942e-57,  0.0280941  ])
251601  , -69230.4    , array([ 0.0765465  ,  18.7011    ,  4.59476e-26,  1.20062e-57,  0.0280941  ])
251602  , -69259.6    , array([ 0.0765465  ,  18.7011    ,  4.59476e-26,  1.19942e-57,  0.0281222  ])
251603  , -69229.7    , array([ 0.0765603  ,  18.7004    ,  4.59476e-26,  1.19942e-57,  0.0281     ])
251604  , -69229.7    , array([ 0.0765603  ,  18.7004    ,  4.59476e-26,  1.19942e-57,  0.0281     ])
251605  , -69191.2    , array([ 0.0766369  ,  18.7004    ,  4.59476e-26,  1.19942e-57,  0.0281     ])
251606  , -69230.2    , array([ 0.0765603  ,  18.7192    ,  4.59476e-26,  1.19942e-57,  0.0281     ])
251607  , -69229.7    , array([ 0.0765603  ,  18.7004    ,  4.59935e-26,  1.19942e-57,  0.0281     ])
251608  , -69229.7    , array([ 0.0765603  ,  18.7004    ,  4.59476e-26,  1.20062e-57,  0.0281     ])
251609  , -69258.8    , array([ 0.0765603  ,  18.7004    ,  4.59476e-26,  1.19942e-57,  0.0281282  ])
251610  , -72991.9    , array([ 0.948482   ,  11.2648    ,  4.59476e-26,  1.19942e-57,  0.543427   ])
251611  , -72991.9    , array([ 0.948482   ,  11.2648    ,  4.59476e-26,  1.19942e-57,  0.543427   ])
251612  , -72951.8    , array([ 0.949431   ,  11.2648    ,  4.59476e-26,  1.19942e-57,  0.543427   ])
251613  , -73001.6    , array([ 0.948482   ,  11.2761    ,  4.59476e-26,  1.19942e-57,  0.543427   ])
251614  , -72991.9    , array([ 0.948482   ,  11.2648    ,  4.59935e-26,  1.19942e-57,  0.543427   ])
251615  , -72991.9    , array([ 0.948482   ,  11.2648    ,  4.59476e-26,  1.20062e-57,  0.543427   ])
251616  , -73039.2    , array([ 0.948482   ,  11.2648    ,  4.59476e-26,  1.19942e-57,  0.543971   ])
251617  , -64542.2    , array([ 0.23005    ,  14.9838    ,  4.59476e-26,  1.19942e-57,  0.102583   ])
251618  , -64542.2    , array([ 0.23005    ,  14.9838    ,  4.59476e-26,  1.19942e-57,  0.102583   ])
251619  , -64504      , array([ 0.230281   ,  14.9838    ,  4.59476e-26,  1.19942e-57,  0.102583   ])
251620  , -64544.3    , array([ 0.23005    ,  14.9988    ,  4.59476e-26,  1.19942e-57,  0.102583   ])
251621  , -64542.2    , array([ 0.23005    ,  14.9838    ,  4.59935e-26,  1.19942e-57,  0.102583   ])
251622  , -64542.2    , array([ 0.23005    ,  14.9838    ,  4.59476e-26,  1.20062e-57,  0.102583   ])
251623  , -64573.4    , array([ 0.23005    ,  14.9838    ,  4.59476e-26,  1.19942e-57,  0.102686   ])
251624  , -122517     , array([ 1.8151     ,  0.43183    ,  4.59476e-26,  1.19942e-57,  1.18695    ])
251625  , -122517     , array([ 1.8151     ,  0.43183    ,  4.59476e-26,  1.19942e-57,  1.18695    ])
251626  , -122494     , array([ 1.81691    ,  0.43183    ,  4.59476e-26,  1.19942e-57,  1.18695    ])
251627  , -122429     , array([ 1.8151     ,  0.432262   ,  4.59476e-26,  1.19942e-57,  1.18695    ])
251628  , -122517     , array([ 1.8151     ,  0.43183    ,  4.59935e-26,  1.19942e-57,  1.18695    ])
251629  , -122517     , array([ 1.8151     ,  0.43183    ,  4.59476e-26,  1.20062e-57,  1.18695    ])
251630  , -122651     , array([ 1.8151     ,  0.43183    ,  4.59476e-26,  1.19942e-57,  1.18814    ])
251631  , -58921.6    , array([ 0.451929   ,  4.70011    ,  4.59476e-26,  1.19942e-57,  0.228391   ])
251632  , -58921.6    , array([ 0.451929   ,  4.70011    ,  4.59476e-26,  1.19942e-57,  0.228391   ])
251633  , -58882.4    , array([ 0.452381   ,  4.70011    ,  4.59476e-26,  1.19942e-57,  0.228391   ])
251634  , -58930.8    , array([ 0.451929   ,  4.70481    ,  4.59476e-26,  1.19942e-57,  0.228391   ])
251635  , -58921.6    , array([ 0.451929   ,  4.70011    ,  4.59935e-26,  1.19942e-57,  0.228391   ])
251636  , -58921.6    , array([ 0.451929   ,  4.70011    ,  4.59476e-26,  1.20062e-57,  0.228391   ])
251637  , -58955.6    , array([ 0.451929   ,  4.70011    ,  4.59476e-26,  1.19942e-57,  0.228619   ])
251638  , -48748.8    , array([ 0.903326   ,  1.43109    ,  4.59476e-26,  1.19942e-57,  0.519043   ])
251639  , -48748.8    , array([ 0.903326   ,  1.43109    ,  4.59476e-26,  1.19942e-57,  0.519043   ])
251640  , -48712.9    , array([ 0.90423    ,  1.43109    ,  4.59476e-26,  1.19942e-57,  0.519043   ])
251641  , -48755.5    , array([ 0.903326   ,  1.43253    ,  4.59476e-26,  1.19942e-57,  0.519043   ])
251642  , -48748.8    , array([ 0.903326   ,  1.43109    ,  4.59935e-26,  1.19942e-57,  0.519043   ])
251643  , -48748.8    , array([ 0.903326   ,  1.43109    ,  4.59476e-26,  1.20062e-57,  0.519043   ])
251644  , -48792.7    , array([ 0.903326   ,  1.43109    ,  4.59476e-26,  1.19942e-57,  0.519563   ])
251645  , -49569.2    , array([ 0.765737   ,  1.9006     ,  4.59476e-26,  1.19942e-57,  0.426714   ])
251646  , -49569.2    , array([ 0.765737   ,  1.9006     ,  4.59476e-26,  1.19942e-57,  0.426714   ])
251647  , -49531.4    , array([ 0.766504   ,  1.9006     ,  4.59476e-26,  1.19942e-57,  0.426714   ])
251648  , -49581      , array([ 0.765737   ,  1.9025     ,  4.59476e-26,  1.19942e-57,  0.426714   ])
251649  , -49569.2    , array([ 0.765737   ,  1.9006     ,  4.59935e-26,  1.19942e-57,  0.426714   ])
251650  , -49569.2    , array([ 0.765737   ,  1.9006     ,  4.59476e-26,  1.20062e-57,  0.426714   ])
251651  , -49607.6    , array([ 0.765737   ,  1.9006     ,  4.59476e-26,  1.19942e-57,  0.427141   ])
251652  , -48671      , array([ 0.872475   ,  1.51908    ,  4.59476e-26,  1.19942e-57,  0.498098   ])
251653  , -48671      , array([ 0.872475   ,  1.51908    ,  4.59476e-26,  1.19942e-57,  0.498098   ])
251654  , -48634.6    , array([ 0.873348   ,  1.51908    ,  4.59476e-26,  1.19942e-57,  0.498098   ])
251655  , -48679.1    , array([ 0.872475   ,  1.5206     ,  4.59476e-26,  1.19942e-57,  0.498098   ])
251656  , -48671      , array([ 0.872475   ,  1.51908    ,  4.59935e-26,  1.19942e-57,  0.498098   ])
251657  , -48671      , array([ 0.872475   ,  1.51908    ,  4.59476e-26,  1.20062e-57,  0.498098   ])
251658  , -48713.4    , array([ 0.872475   ,  1.51908    ,  4.59476e-26,  1.19942e-57,  0.498597   ])
251666  , -48669.3    , array([ 0.87265    ,  1.51837    ,  4.59476e-26,  1.19942e-57,  0.498208   ])
251667  , -48669.3    , array([ 0.87265    ,  1.51837    ,  4.59476e-26,  1.19942e-57,  0.498208   ])
251668  , -48632.8    , array([ 0.873523   ,  1.51837    ,  4.59476e-26,  1.19942e-57,  0.498208   ])
251669  , -48677.3    , array([ 0.87265    ,  1.51989    ,  4.59476e-26,  1.19942e-57,  0.498208   ])
251670  , -48669.3    , array([ 0.87265    ,  1.51837    ,  4.59935e-26,  1.19942e-57,  0.498208   ])
251671  , -48669.3    , array([ 0.87265    ,  1.51837    ,  4.59476e-26,  1.20062e-57,  0.498208   ])
251672  , -48711.7    , array([ 0.87265    ,  1.51837    ,  4.59476e-26,  1.19942e-57,  0.498706   ])
251673  , -48657.4    , array([ 0.873877   ,  1.51338    ,  4.59476e-26,  1.19942e-57,  0.49898    ])
251674  , -48657.4    , array([ 0.873877   ,  1.51338    ,  4.59476e-26,  1.19942e-57,  0.49898    ])
251675  , -48621      , array([ 0.874751   ,  1.51338    ,  4.59476e-26,  1.19942e-57,  0.49898    ])
251676  , -48665.4    , array([ 0.873877   ,  1.5149     ,  4.59476e-26,  1.19942e-57,  0.49898    ])
