254689  , -79089.3    , array([ 0.079345   ,  0.488549   ,  2.85485e-55,  0.164141   ,  1.11626e-08])
254690  , -79089.3    , array([ 0.0794244  ,  0.488549   ,  2.85485e-55,  0.164141   ,  1.11626e-08])
254691  , -79089.3    , array([ 0.079345   ,  0.489037   ,  2.85485e-55,  0.164141   ,  1.11626e-08])
254692  , -79089.3    , array([ 0.079345   ,  0.488549   ,  2.85771e-55,  0.164141   ,  1.11626e-08])
254693  , -79089.3    , array([ 0.079345   ,  0.488549   ,  2.85485e-55,  0.164305   ,  1.11626e-08])
254694  , -79089.3    , array([ 0.079345   ,  0.488549   ,  2.85485e-55,  0.164141   ,  1.11738e-08])
254695  , -79089.3    , array([ 0.079345   ,  0.488549   ,  2.85485e-55,  0.164141   ,  1.11626e-08])
254696  , -79089.3    , array([ 0.0709169  ,  0.475614   ,  2.85485e-55,  0.16414    ,  1.2833e-08 ])
254697  , -79089.3    , array([ 0.0709169  ,  0.475614   ,  2.85485e-55,  0.16414    ,  1.2833e-08 ])
254698  , -79089.3    , array([ 0.0709879  ,  0.475614   ,  2.85485e-55,  0.16414    ,  1.2833e-08 ])
254699  , -79089.3    , array([ 0.0709169  ,  0.47609    ,  2.85485e-55,  0.16414    ,  1.2833e-08 ])
254700  , -79089.3    , array([ 0.0709169  ,  0.475614   ,  2.85771e-55,  0.16414    ,  1.2833e-08 ])
254701  , -79089.3    , array([ 0.0709169  ,  0.475614   ,  2.85485e-55,  0.164305   ,  1.2833e-08 ])
254702  , -79089.3    , array([ 0.0709169  ,  0.475614   ,  2.85485e-55,  0.16414    ,  1.28459e-08])
254703  , -79089      , array([ 0.0452553  ,  0.42721    ,  2.85485e-55,  0.164138   ,  2.24172e-08])
254704  , -79089      , array([ 0.0452553  ,  0.42721    ,  2.85485e-55,  0.164138   ,  2.24172e-08])
254705  , -79089      , array([ 0.0453006  ,  0.42721    ,  2.85485e-55,  0.164138   ,  2.24172e-08])
254706  , -79089      , array([ 0.0452553  ,  0.427637   ,  2.85485e-55,  0.164138   ,  2.24172e-08])
254707  , -79089      , array([ 0.0452553  ,  0.42721    ,  2.85771e-55,  0.164138   ,  2.24172e-08])
254708  , -79089      , array([ 0.0452553  ,  0.42721    ,  2.85485e-55,  0.164303   ,  2.24172e-08])
254709  , -79089      , array([ 0.0452553  ,  0.42721    ,  2.85485e-55,  0.164138   ,  2.24396e-08])
254710  , -79066.4    , array([ 0.007505   ,  0.278092   ,  2.85485e-55,  0.164131   ,  2.08732e-07])
254711  , -79066.4    , array([ 0.007505   ,  0.278092   ,  2.85485e-55,  0.164131   ,  2.08732e-07])
254712  , -79066.4    , array([ 0.0075125  ,  0.278092   ,  2.85485e-55,  0.164131   ,  2.08732e-07])
254713  , -79066.4    , array([ 0.007505   ,  0.27837    ,  2.85485e-55,  0.164131   ,  2.08732e-07])
254714  , -79066.4    , array([ 0.007505   ,  0.278092   ,  2.85771e-55,  0.164131   ,  2.08732e-07])
254715  , -79066.4    , array([ 0.007505   ,  0.278092   ,  2.85485e-55,  0.164295   ,  2.08732e-07])
254716  , -79066.3    , array([ 0.007505   ,  0.278092   ,  2.85485e-55,  0.164131   ,  2.0894e-07 ])
254724  , -79066.4    , array([ 0.00750496 ,  0.278091   ,  2.85485e-55,  0.164131   ,  2.08733e-07])
254725  , -79066.4    , array([ 0.00750496 ,  0.278091   ,  2.85485e-55,  0.164131   ,  2.08733e-07])
254726  , -79066.4    , array([ 0.00751247 ,  0.278091   ,  2.85485e-55,  0.164131   ,  2.08733e-07])
