6260    , -79089.4    , array([ 5.32519    ,  0.650179   ,  0.327894   ,  1.10226e-05,  1.30664e-09])
6261    , -79089.4    , array([ 5.33052    ,  0.650179   ,  0.327894   ,  1.10226e-05,  1.30664e-09])
6262    , -79089.4    , array([ 5.32519    ,  0.650829   ,  0.327894   ,  1.10226e-05,  1.30664e-09])
6263    , -79089.4    , array([ 5.32519    ,  0.650179   ,  0.328222   ,  1.10226e-05,  1.30664e-09])
6264    , -79089.4    , array([ 5.32519    ,  0.650179   ,  0.327894   ,  1.10336e-05,  1.30664e-09])
6265    , -79089.4    , array([ 5.32519    ,  0.650179   ,  0.327894   ,  1.10226e-05,  1.30795e-09])
6266    , -79089.4    , array([ 5.32519    ,  0.650179   ,  0.327894   ,  1.10226e-05,  1.30664e-09])
6267    , -79089.4    , array([ 5.32415    ,  0.648646   ,  0.327895   ,  1.10226e-05,  1.31002e-09])
6268    , -79089.4    , array([ 5.32415    ,  0.648646   ,  0.327895   ,  1.10226e-05,  1.31002e-09])
6269    , -79089.4    , array([ 5.32948    ,  0.648646   ,  0.327895   ,  1.10226e-05,  1.31002e-09])
6270    , -79089.4    , array([ 5.32415    ,  0.649295   ,  0.327895   ,  1.10226e-05,  1.31002e-09])
6271    , -79089.4    , array([ 5.32415    ,  0.648646   ,  0.328223   ,  1.10226e-05,  1.31002e-09])
6272    , -79089.4    , array([ 5.32415    ,  0.648646   ,  0.327895   ,  1.10336e-05,  1.31002e-09])
6273    , -79089.4    , array([ 5.32415    ,  0.648646   ,  0.327895   ,  1.10226e-05,  1.31133e-09])
6274    , -79089.4    , array([ 5.31998    ,  0.642551   ,  0.327896   ,  1.10226e-05,  1.32361e-09])
6275    , -79089.4    , array([ 5.31998    ,  0.642551   ,  0.327896   ,  1.10226e-05,  1.32361e-09])
6276    , -79089.4    , array([ 5.3253     ,  0.642551   ,  0.327896   ,  1.10226e-05,  1.32361e-09])
6277    , -79089.4    , array([ 5.31998    ,  0.643194   ,  0.327896   ,  1.10226e-05,  1.32361e-09])
6278    , -79089.4    , array([ 5.31998    ,  0.642551   ,  0.328224   ,  1.10226e-05,  1.32361e-09])
6279    , -79089.4    , array([ 5.31998    ,  0.642551   ,  0.327896   ,  1.10336e-05,  1.32361e-09])
6280    , -79089.4    , array([ 5.31998    ,  0.642551   ,  0.327896   ,  1.10226e-05,  1.32494e-09])
6281    , -79089.4    , array([ 5.30333    ,  0.618741   ,  0.327903   ,  1.10226e-05,  1.37943e-09])
6282    , -79089.4    , array([ 5.30333    ,  0.618741   ,  0.327903   ,  1.10226e-05,  1.37943e-09])
6283    , -79089.4    , array([ 5.30863    ,  0.618741   ,  0.327903   ,  1.10226e-05,  1.37943e-09])
6284    , -79089.4    , array([ 5.30333    ,  0.61936    ,  0.327903   ,  1.10226e-05,  1.37943e-09])
6285    , -79089.4    , array([ 5.30333    ,  0.618741   ,  0.328231   ,  1.10226e-05,  1.37943e-09])
6286    , -79089.4    , array([ 5.30333    ,  0.618741   ,  0.327903   ,  1.10336e-05,  1.37943e-09])
6287    , -79089.4    , array([ 5.30333    ,  0.618741   ,  0.327903   ,  1.10226e-05,  1.38081e-09])
6288    , -79089.4    , array([ 5.23724    ,  0.532001   ,  0.32793    ,  1.10226e-05,  1.62725e-09])
6289    , -79089.4    , array([ 5.23724    ,  0.532001   ,  0.32793    ,  1.10226e-05,  1.62725e-09])
6290    , -79089.4    , array([ 5.24248    ,  0.532001   ,  0.32793    ,  1.10226e-05,  1.62725e-09])
6291    , -79089.4    , array([ 5.23724    ,  0.532533   ,  0.32793    ,  1.10226e-05,  1.62725e-09])
6292    , -79089.4    , array([ 5.23724    ,  0.532001   ,  0.328258   ,  1.10226e-05,  1.62725e-09])
6293    , -79089.4    , array([ 5.23724    ,  0.532001   ,  0.32793    ,  1.10336e-05,  1.62725e-09])
6294    , -79089.4    , array([ 5.23724    ,  0.532001   ,  0.32793    ,  1.10226e-05,  1.62888e-09])
6295    , -79089.4    , array([ 4.98104    ,  0.290754   ,  0.328037   ,  1.10226e-05,  3.15118e-09])
6296    , -79089.4    , array([ 4.98104    ,  0.290754   ,  0.328037   ,  1.10226e-05,  3.15118e-09])
6297    , -79089.4    , array([ 4.98602    ,  0.290754   ,  0.328037   ,  1.10226e-05,  3.15118e-09])
6298    , -79089.4    , array([ 4.98104    ,  0.291045   ,  0.328037   ,  1.10226e-05,  3.15118e-09])
6299    , -79089.4    , array([ 4.98104    ,  0.290754   ,  0.328366   ,  1.10226e-05,  3.15118e-09])
6300    , -79089.4    , array([ 4.98104    ,  0.290754   ,  0.328037   ,  1.10336e-05,  3.15118e-09])
6301    , -79089.4    , array([ 4.98104    ,  0.290754   ,  0.328037   ,  1.10226e-05,  3.15433e-09])
6302    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6303    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6304    , -79087.4    , array([ 4.07964    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6305    , -79087.4    , array([ 4.07556    ,  0.0259665  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6306    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328796   ,  1.10228e-05,  4.43148e-08])
6307    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10338e-05,  4.43148e-08])
6308    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43591e-08])
6316    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6317    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6318    , -79087.4    , array([ 4.07964    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6319    , -79087.4    , array([ 4.07556    ,  0.0259665  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6320    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328796   ,  1.10228e-05,  4.43148e-08])
6321    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10338e-05,  4.43148e-08])
6322    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43591e-08])
6323    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6324    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6325    , -79087.4    , array([ 4.07964    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6326    , -79087.4    , array([ 4.07556    ,  0.0259665  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6327    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328796   ,  1.10228e-05,  4.43148e-08])
6328    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10338e-05,  4.43148e-08])
6329    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43592e-08])
6337    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6338    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6339    , -79087.4    , array([ 4.07964    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6340    , -79087.4    , array([ 4.07556    ,  0.0259664  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6341    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328796   ,  1.10228e-05,  4.43148e-08])
6342    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10338e-05,  4.43148e-08])
6343    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43592e-08])
6344    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6345    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6346    , -79087.4    , array([ 4.07964    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6347    , -79087.4    , array([ 4.07556    ,  0.0259664  ,  0.328468   ,  1.10228e-05,  4.43148e-08])
6348    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328796   ,  1.10228e-05,  4.43148e-08])
6349    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10338e-05,  4.43148e-08])
6350    , -79087.4    , array([ 4.07556    ,  0.0259405  ,  0.328468   ,  1.10228e-05,  4.43592e-08])
6351    , -78773.8    , array([ 3.33469    ,  0.00231436 ,  0.328899   ,  1.10229e-05,  6.23195e-07])
6352    , -78773.8    , array([ 3.33469    ,  0.00231436 ,  0.328899   ,  1.10229e-05,  6.23195e-07])
6353    , -78773.8    , array([ 3.33803    ,  0.00231436 ,  0.328899   ,  1.10229e-05,  6.23195e-07])
6354    , -78774.1    , array([ 3.33469    ,  0.00231668 ,  0.328899   ,  1.10229e-05,  6.23195e-07])
6355    , -78773.8    , array([ 3.33469    ,  0.00231436 ,  0.329228   ,  1.10229e-05,  6.23195e-07])
6356    , -78773.8    , array([ 3.33469    ,  0.00231436 ,  0.328899   ,  1.1034e-05 ,  6.23195e-07])
6357    , -78773.4    , array([ 3.33469    ,  0.00231436 ,  0.328899   ,  1.10229e-05,  6.23819e-07])
6358    , -78773.8    , array([ 3.33469    ,  0.00231435 ,  0.328899   ,  1.10229e-05,  6.232e-07  ])
6359    , -78773.8    , array([ 3.33469    ,  0.00231435 ,  0.328899   ,  1.10229e-05,  6.232e-07  ])
6360    , -78773.8    , array([ 3.33802    ,  0.00231435 ,  0.328899   ,  1.10229e-05,  6.232e-07  ])
