134     , -78915.3    , array([ 5.53899    ,  0.164091   ,  1.08971e-21,  6.93898e-25,  2.38197e-05])
135     , -78915.3    , array([ 5.54453    ,  0.164091   ,  1.08971e-21,  6.93898e-25,  2.38197e-05])
136     , -78915.5    , array([ 5.53899    ,  0.164255   ,  1.08971e-21,  6.93898e-25,  2.38197e-05])
137     , -78915.3    , array([ 5.53899    ,  0.164091   ,  1.09081e-21,  6.93898e-25,  2.38197e-05])
138     , -78915.3    , array([ 5.53899    ,  0.164091   ,  1.08971e-21,  6.94592e-25,  2.38197e-05])
139     , -78915.1    , array([ 5.53899    ,  0.164091   ,  1.08971e-21,  6.93898e-25,  2.38436e-05])
140     , -78915.3    , array([ 5.53899    ,  0.164091   ,  1.08971e-21,  6.93898e-25,  2.38197e-05])
141     , -78374.5    , array([ 5.46085    ,  0.081015   ,  1.08971e-21,  6.93898e-25,  4.90504e-05])
142     , -78374.5    , array([ 5.46085    ,  0.081015   ,  1.08971e-21,  6.93898e-25,  4.90504e-05])
143     , -78374.5    , array([ 5.46631    ,  0.081015   ,  1.08971e-21,  6.93898e-25,  4.90504e-05])
144     , -78375.2    , array([ 5.46085    ,  0.0810961  ,  1.08971e-21,  6.93898e-25,  4.90504e-05])
145     , -78374.5    , array([ 5.46085    ,  0.081015   ,  1.09081e-21,  6.93898e-25,  4.90504e-05])
146     , -78374.5    , array([ 5.46085    ,  0.081015   ,  1.08971e-21,  6.94592e-25,  4.90504e-05])
147     , -78373.8    , array([ 5.46085    ,  0.081015   ,  1.08971e-21,  6.93898e-25,  4.90995e-05])
148     , -8455.63    , array([ 5.15914    ,  0.00481385 ,  1.08971e-21,  6.93898e-25,  0.000881995])
149     , -8455.63    , array([ 5.15914    ,  0.00481385 ,  1.08971e-21,  6.93898e-25,  0.000881995])
150     , -8455.64    , array([ 5.1643     ,  0.00481385 ,  1.08971e-21,  6.93898e-25,  0.000881995])
151     , -8472.96    , array([ 5.15914    ,  0.00481867 ,  1.08971e-21,  6.93898e-25,  0.000881995])
152     , -8455.63    , array([ 5.15914    ,  0.00481385 ,  1.09081e-21,  6.93898e-25,  0.000881995])
153     , -8455.63    , array([ 5.15914    ,  0.00481385 ,  1.08971e-21,  6.94592e-25,  0.000881995])
154     , -8438.28    , array([ 5.15914    ,  0.00481385 ,  1.08971e-21,  6.93898e-25,  0.000882877])
162     , -8196.94    , array([ 5.15837    ,  0.00477816 ,  1.08971e-21,  6.93898e-25,  0.000888739])
163     , -8196.94    , array([ 5.15837    ,  0.00477816 ,  1.08971e-21,  6.93898e-25,  0.000888739])
164     , -8196.95    , array([ 5.16353    ,  0.00477816 ,  1.08971e-21,  6.93898e-25,  0.000888739])
165     , -8213.95    , array([ 5.15837    ,  0.00478294 ,  1.08971e-21,  6.93898e-25,  0.000888739])
166     , -8196.94    , array([ 5.15837    ,  0.00477816 ,  1.09081e-21,  6.93898e-25,  0.000888739])
167     , -8196.94    , array([ 5.15837    ,  0.00477816 ,  1.08971e-21,  6.94592e-25,  0.000888739])
168     , -8179.92    , array([ 5.15837    ,  0.00477816 ,  1.08971e-21,  6.93898e-25,  0.000889628])
169     , -2629.34    , array([ 5.12899    ,  0.00359784 ,  1.08971e-21,  6.93898e-25,  0.00118818 ])
170     , -2629.34    , array([ 5.12899    ,  0.00359784 ,  1.08971e-21,  6.93898e-25,  0.00118818 ])
171     , -2629.35    , array([ 5.13412    ,  0.00359784 ,  1.08971e-21,  6.93898e-25,  0.00118818 ])
172     , -2630.73    , array([ 5.12899    ,  0.00360144 ,  1.08971e-21,  6.93898e-25,  0.00118818 ])
173     , -2629.34    , array([ 5.12899    ,  0.00359784 ,  1.09081e-21,  6.93898e-25,  0.00118818 ])
174     , -2629.34    , array([ 5.12899    ,  0.00359784 ,  1.08971e-21,  6.94592e-25,  0.00118818 ])
175     , -2627.88    , array([ 5.12899    ,  0.00359784 ,  1.08971e-21,  6.93898e-25,  0.00118937 ])
183     , -2628.92    , array([ 5.12897    ,  0.00359731 ,  1.08971e-21,  6.93898e-25,  0.00118836 ])
184     , -2628.92    , array([ 5.12897    ,  0.00359731 ,  1.08971e-21,  6.93898e-25,  0.00118836 ])
185     , -2628.93    , array([ 5.13411    ,  0.00359731 ,  1.08971e-21,  6.93898e-25,  0.00118836 ])
186     , -2630.3     , array([ 5.12897    ,  0.00360091 ,  1.08971e-21,  6.93898e-25,  0.00118836 ])
187     , -2628.92    , array([ 5.12897    ,  0.00359731 ,  1.09081e-21,  6.93898e-25,  0.00118836 ])
