51977   , -44168.1    , array([ 3.39148    ,  7.15637    ,  6.69324e-12,  6.25519e-34,  0.271275   ])
51978   , -44178.1    , array([ 3.39487    ,  7.15637    ,  6.69324e-12,  6.25519e-34,  0.271275   ])
51979   , -44180.7    , array([ 3.39148    ,  7.16353    ,  6.69324e-12,  6.25519e-34,  0.271275   ])
51980   , -44168.1    , array([ 3.39148    ,  7.15637    ,  6.69994e-12,  6.25519e-34,  0.271275   ])
51981   , -44168.1    , array([ 3.39148    ,  7.15637    ,  6.69324e-12,  6.26145e-34,  0.271275   ])
51982   , -44161.2    , array([ 3.39148    ,  7.15637    ,  6.69324e-12,  6.25519e-34,  0.271547   ])
51983   , -44168.1    , array([ 3.39148    ,  7.15637    ,  6.69324e-12,  6.25519e-34,  0.271275   ])
51984   , -34359.8    , array([ 1.90776    ,  3.45732    ,  6.69324e-12,  6.25519e-34,  0.404604   ])
51985   , -34359.8    , array([ 1.90776    ,  3.45732    ,  6.69324e-12,  6.25519e-34,  0.404604   ])
51986   , -34350.1    , array([ 1.90967    ,  3.45732    ,  6.69324e-12,  6.25519e-34,  0.404604   ])
51987   , -34373.1    , array([ 1.90776    ,  3.46078    ,  6.69324e-12,  6.25519e-34,  0.404604   ])
51988   , -34359.8    , array([ 1.90776    ,  3.45732    ,  6.69994e-12,  6.25519e-34,  0.404604   ])
51989   , -34359.8    , array([ 1.90776    ,  3.45732    ,  6.69324e-12,  6.26145e-34,  0.404604   ])
51990   , -34372.5    , array([ 1.90776    ,  3.45732    ,  6.69324e-12,  6.25519e-34,  0.405009   ])
51991   , -21623.2    , array([ 1.56647    ,  0.775164   ,  6.69324e-12,  6.25519e-34,  0.348686   ])
51992   , -21623.2    , array([ 1.56647    ,  0.775164   ,  6.69324e-12,  6.25519e-34,  0.348686   ])
51993   , -21612.1    , array([ 1.56804    ,  0.775164   ,  6.69324e-12,  6.25519e-34,  0.348686   ])
51994   , -21621      , array([ 1.56647    ,  0.77594    ,  6.69324e-12,  6.25519e-34,  0.348686   ])
51995   , -21623.2    , array([ 1.56647    ,  0.775164   ,  6.69994e-12,  6.25519e-34,  0.348686   ])
51996   , -21623.2    , array([ 1.56647    ,  0.775164   ,  6.69324e-12,  6.26145e-34,  0.348686   ])
51997   , -21649.8    , array([ 1.56647    ,  0.775164   ,  6.69324e-12,  6.25519e-34,  0.349035   ])
51998   , -16092.5    , array([ 0.222002   ,  0.165189   ,  6.69324e-12,  6.25519e-34,  0.0512479  ])
51999   , -16092.5    , array([ 0.222002   ,  0.165189   ,  6.69324e-12,  6.25519e-34,  0.0512479  ])
52000   , -16071.5    , array([ 0.222225   ,  0.165189   ,  6.69324e-12,  6.25519e-34,  0.0512479  ])
52001   , -16097.9    , array([ 0.222002   ,  0.165354   ,  6.69324e-12,  6.25519e-34,  0.0512479  ])
52002   , -16092.5    , array([ 0.222002   ,  0.165189   ,  6.69994e-12,  6.25519e-34,  0.0512479  ])
52003   , -16092.5    , array([ 0.222002   ,  0.165189   ,  6.69324e-12,  6.26145e-34,  0.0512479  ])
52004   , -16105.9    , array([ 0.222002   ,  0.165189   ,  6.69324e-12,  6.25519e-34,  0.0512992  ])
52005   , -7948.79    , array([ 0.319978   ,  0.121588   ,  6.69324e-12,  6.25519e-34,  0.0446273  ])
52006   , -7948.79    , array([ 0.319978   ,  0.121588   ,  6.69324e-12,  6.25519e-34,  0.0446273  ])
52007   , -7937.73    , array([ 0.320299   ,  0.121588   ,  6.69324e-12,  6.25519e-34,  0.0446273  ])
52008   , -7949.07    , array([ 0.319978   ,  0.12171    ,  6.69324e-12,  6.25519e-34,  0.0446273  ])
52009   , -7948.79    , array([ 0.319978   ,  0.121588   ,  6.69994e-12,  6.25519e-34,  0.0446273  ])
52010   , -7948.79    , array([ 0.319978   ,  0.121588   ,  6.69324e-12,  6.26145e-34,  0.0446273  ])
52011   , -7958.36    , array([ 0.319978   ,  0.121588   ,  6.69324e-12,  6.25519e-34,  0.044672   ])
52012   , -3715.51    , array([ 0.538805   ,  0.127443   ,  6.69324e-12,  6.25519e-34,  0.0391626  ])
52013   , -3715.51    , array([ 0.538805   ,  0.127443   ,  6.69324e-12,  6.25519e-34,  0.0391626  ])
52014   , -3711.49    , array([ 0.539344   ,  0.127443   ,  6.69324e-12,  6.25519e-34,  0.0391626  ])
52015   , -3719.42    , array([ 0.538805   ,  0.12757    ,  6.69324e-12,  6.25519e-34,  0.0391626  ])
52016   , -3715.51    , array([ 0.538805   ,  0.127443   ,  6.69994e-12,  6.25519e-34,  0.0391626  ])
52017   , -3715.51    , array([ 0.538805   ,  0.127443   ,  6.69324e-12,  6.26145e-34,  0.0391626  ])
52018   , -3715.42    , array([ 0.538805   ,  0.127443   ,  6.69324e-12,  6.25519e-34,  0.0392018  ])
52019   , -2361.95    , array([ 0.675453   ,  0.0842364  ,  6.69324e-12,  6.25519e-34,  0.0324676  ])
52020   , -2361.95    , array([ 0.675453   ,  0.0842364  ,  6.69324e-12,  6.25519e-34,  0.0324676  ])
52021   , -2360.09    , array([ 0.676129   ,  0.0842364  ,  6.69324e-12,  6.25519e-34,  0.0324676  ])
52022   , -2359.79    , array([ 0.675453   ,  0.0843207  ,  6.69324e-12,  6.25519e-34,  0.0324676  ])
52023   , -2361.95    , array([ 0.675453   ,  0.0842364  ,  6.69994e-12,  6.25519e-34,  0.0324676  ])
52024   , -2361.95    , array([ 0.675453   ,  0.0842364  ,  6.69324e-12,  6.26145e-34,  0.0324676  ])
52025   , -2365.75    , array([ 0.675453   ,  0.0842364  ,  6.69324e-12,  6.25519e-34,  0.0325001  ])
52026   , -1891.29    , array([ 0.83358    ,  0.0826729  ,  6.69324e-12,  6.25519e-34,  0.029861   ])
52027   , -1891.29    , array([ 0.83358    ,  0.0826729  ,  6.69324e-12,  6.25519e-34,  0.029861   ])
