55177   , -56437.3    , array([ 0.00241213 ,  11.0278    ,  1.14362e-37,  2.472e-13  ,  0.00032045 ])
55178   , -56428      , array([ 0.00241455 ,  11.0278    ,  1.14362e-37,  2.472e-13  ,  0.00032045 ])
55179   , -56437.3    , array([ 0.00241213 ,  11.0389    ,  1.14362e-37,  2.472e-13  ,  0.00032045 ])
55180   , -56437.3    , array([ 0.00241213 ,  11.0278    ,  1.14476e-37,  2.472e-13  ,  0.00032045 ])
55181   , -56437.3    , array([ 0.00241213 ,  11.0278    ,  1.14362e-37,  2.47448e-13,  0.00032045 ])
55182   , -56446.4    , array([ 0.00241213 ,  11.0278    ,  1.14362e-37,  2.472e-13  ,  0.000320771])
55183   , -56437.3    , array([ 0.00241213 ,  11.0278    ,  1.14362e-37,  2.472e-13  ,  0.00032045 ])
55184   , -62550.7    , array([ 0.00494955 ,  11.0146    ,  1.14362e-37,  2.472e-13  ,  0.00015762 ])
55185   , -62550.7    , array([ 0.00494955 ,  11.0146    ,  1.14362e-37,  2.472e-13  ,  0.00015762 ])
55186   , -62560.7    , array([ 0.00495451 ,  11.0146    ,  1.14362e-37,  2.472e-13  ,  0.00015762 ])
55187   , -62550.7    , array([ 0.00494955 ,  11.0257    ,  1.14362e-37,  2.472e-13  ,  0.00015762 ])
55188   , -62550.7    , array([ 0.00494955 ,  11.0146    ,  1.14476e-37,  2.472e-13  ,  0.00015762 ])
55189   , -62550.7    , array([ 0.00494955 ,  11.0146    ,  1.14362e-37,  2.47448e-13,  0.00015762 ])
55190   , -62540.7    , array([ 0.00494955 ,  11.0146    ,  1.14362e-37,  2.472e-13  ,  0.000157778])
55191   , -54934      , array([ 0.00288908 ,  11.0245    ,  1.14362e-37,  2.472e-13  ,  0.00026817 ])
55192   , -54934      , array([ 0.00288908 ,  11.0245    ,  1.14362e-37,  2.472e-13  ,  0.00026817 ])
55193   , -54934.2    , array([ 0.00289197 ,  11.0245    ,  1.14362e-37,  2.472e-13  ,  0.00026817 ])
55194   , -54934      , array([ 0.00288908 ,  11.0356    ,  1.14362e-37,  2.472e-13  ,  0.00026817 ])
55195   , -54934      , array([ 0.00288908 ,  11.0245    ,  1.14476e-37,  2.472e-13  ,  0.00026817 ])
55196   , -54934      , array([ 0.00288908 ,  11.0245    ,  1.14362e-37,  2.47448e-13,  0.00026817 ])
55197   , -54933.7    , array([ 0.00288908 ,  11.0245    ,  1.14362e-37,  2.472e-13  ,  0.000268438])
55205   , -54934      , array([ 0.00288961 ,  11.0238    ,  1.14362e-37,  2.472e-13  ,  0.00026822 ])
55206   , -54934      , array([ 0.00288961 ,  11.0238    ,  1.14362e-37,  2.472e-13  ,  0.00026822 ])
55207   , -54934.2    , array([ 0.0028925  ,  11.0238    ,  1.14362e-37,  2.472e-13  ,  0.00026822 ])
55208   , -54934      , array([ 0.00288961 ,  11.0348    ,  1.14362e-37,  2.472e-13  ,  0.00026822 ])
55209   , -54934      , array([ 0.00288961 ,  11.0238    ,  1.14476e-37,  2.472e-13  ,  0.00026822 ])
55210   , -54934      , array([ 0.00288961 ,  11.0238    ,  1.14362e-37,  2.47448e-13,  0.00026822 ])
55211   , -54933.7    , array([ 0.00288961 ,  11.0238    ,  1.14362e-37,  2.472e-13  ,  0.000268488])
55212   , -54934      , array([ 0.00289015 ,  11.023     ,  1.14362e-37,  2.472e-13  ,  0.00026827 ])
