66029   , -63296.4    , array([ 0.040921   ,  0.137729   ,  7.68699e-59,  7.28358e-40,  0.0254725  ])
66030   , -63238.1    , array([ 0.0409619  ,  0.137729   ,  7.68699e-59,  7.28358e-40,  0.0254725  ])
66031   , -63312.5    , array([ 0.040921   ,  0.137867   ,  7.68699e-59,  7.28358e-40,  0.0254725  ])
66032   , -63296.4    , array([ 0.040921   ,  0.137729   ,  7.69468e-59,  7.28358e-40,  0.0254725  ])
66033   , -63296.4    , array([ 0.040921   ,  0.137729   ,  7.68699e-59,  7.29087e-40,  0.0254725  ])
66034   , -63331.3    , array([ 0.040921   ,  0.137729   ,  7.68699e-59,  7.28358e-40,  0.025498   ])
66035   , -63296.4    , array([ 0.040921   ,  0.137729   ,  7.68699e-59,  7.28358e-40,  0.0254725  ])
66036   , -20729.6    , array([ 0.0950773  ,  0.109048   ,  7.68699e-59,  7.28358e-40,  0.0153755  ])
66037   , -20729.6    , array([ 0.0950773  ,  0.109048   ,  7.68699e-59,  7.28358e-40,  0.0153755  ])
66038   , -20712.5    , array([ 0.0951724  ,  0.109048   ,  7.68699e-59,  7.28358e-40,  0.0153755  ])
66039   , -20744.5    , array([ 0.0950773  ,  0.109157   ,  7.68699e-59,  7.28358e-40,  0.0153755  ])
66040   , -20729.6    , array([ 0.0950773  ,  0.109048   ,  7.69468e-59,  7.28358e-40,  0.0153755  ])
66041   , -20729.6    , array([ 0.0950773  ,  0.109048   ,  7.68699e-59,  7.29087e-40,  0.0153755  ])
66042   , -20729.7    , array([ 0.0950773  ,  0.109048   ,  7.68699e-59,  7.28358e-40,  0.0153909  ])
66043   , -1.41982e+06, array([ 0.550394   ,  0.00251222 ,  7.68699e-59,  7.28358e-40,  0.140321   ])
66044   , -1.41982e+06, array([ 0.550394   ,  0.00251222 ,  7.68699e-59,  7.28358e-40,  0.140321   ])
66045   , -1.41981e+06, array([ 0.550944   ,  0.00251222 ,  7.68699e-59,  7.28358e-40,  0.140321   ])
66046   , -1.34066e+06, array([ 0.550394   ,  0.00251473 ,  7.68699e-59,  7.28358e-40,  0.140321   ])
66047   , -1.41982e+06, array([ 0.550394   ,  0.00251222 ,  7.69468e-59,  7.28358e-40,  0.140321   ])
66048   , -1.41982e+06, array([ 0.550394   ,  0.00251222 ,  7.68699e-59,  7.29087e-40,  0.140321   ])
66049   , -1.38931e+06, array([ 0.550394   ,  0.00251222 ,  7.68699e-59,  7.28358e-40,  0.140461   ])
66050   , -30235.5    , array([ 0.174474   ,  0.0296114  ,  7.68699e-59,  7.28358e-40,  0.0330243  ])
66051   , -30235.5    , array([ 0.174474   ,  0.0296114  ,  7.68699e-59,  7.28358e-40,  0.0330243  ])
66052   , -30223.9    , array([ 0.174649   ,  0.0296114  ,  7.68699e-59,  7.28358e-40,  0.0330243  ])
66053   , -30198.8    , array([ 0.174474   ,  0.029641   ,  7.68699e-59,  7.28358e-40,  0.0330243  ])
66054   , -30235.5    , array([ 0.174474   ,  0.0296114  ,  7.69468e-59,  7.28358e-40,  0.0330243  ])
66055   , -30235.5    , array([ 0.174474   ,  0.0296114  ,  7.68699e-59,  7.29087e-40,  0.0330243  ])
66056   , -30281      , array([ 0.174474   ,  0.0296114  ,  7.68699e-59,  7.28358e-40,  0.0330573  ])
66057   , -12322.6    , array([ 0.123131   ,  0.0625877  ,  7.68699e-59,  7.28358e-40,  0.0212927  ])
66058   , -12322.6    , array([ 0.123131   ,  0.0625877  ,  7.68699e-59,  7.28358e-40,  0.0212927  ])
66059   , -12306.1    , array([ 0.123254   ,  0.0625877  ,  7.68699e-59,  7.28358e-40,  0.0212927  ])
66060   , -12325.3    , array([ 0.123131   ,  0.0626503  ,  7.68699e-59,  7.28358e-40,  0.0212927  ])
66061   , -12322.6    , array([ 0.123131   ,  0.0625877  ,  7.69468e-59,  7.28358e-40,  0.0212927  ])
66062   , -12322.6    , array([ 0.123131   ,  0.0625877  ,  7.68699e-59,  7.29087e-40,  0.0212927  ])
66063   , -12334.5    , array([ 0.123131   ,  0.0625877  ,  7.68699e-59,  7.28358e-40,  0.021314   ])
66071   , -12322.2    , array([ 0.122978   ,  0.0624973  ,  7.68699e-59,  7.28358e-40,  0.0212621  ])
66072   , -12322.2    , array([ 0.122978   ,  0.0624973  ,  7.68699e-59,  7.28358e-40,  0.0212621  ])
66073   , -12305.7    , array([ 0.123101   ,  0.0624973  ,  7.68699e-59,  7.28358e-40,  0.0212621  ])
66074   , -12324.9    , array([ 0.122978   ,  0.0625598  ,  7.68699e-59,  7.28358e-40,  0.0212621  ])
66075   , -12322.2    , array([ 0.122978   ,  0.0624973  ,  7.69468e-59,  7.28358e-40,  0.0212621  ])
66076   , -12322.2    , array([ 0.122978   ,  0.0624973  ,  7.68699e-59,  7.29087e-40,  0.0212621  ])
66077   , -12334.1    , array([ 0.122978   ,  0.0624973  ,  7.68699e-59,  7.28358e-40,  0.0212834  ])
66078   , -12321.8    , array([ 0.122825   ,  0.0624068  ,  7.68699e-59,  7.28358e-40,  0.0212315  ])
66079   , -12321.8    , array([ 0.122825   ,  0.0624068  ,  7.68699e-59,  7.28358e-40,  0.0212315  ])
66080   , -12305.3    , array([ 0.122948   ,  0.0624068  ,  7.68699e-59,  7.28358e-40,  0.0212315  ])
66081   , -12324.5    , array([ 0.122825   ,  0.0624692  ,  7.68699e-59,  7.28358e-40,  0.0212315  ])
66082   , -12321.8    , array([ 0.122825   ,  0.0624068  ,  7.69468e-59,  7.28358e-40,  0.0212315  ])
66083   , -12321.8    , array([ 0.122825   ,  0.0624068  ,  7.68699e-59,  7.29087e-40,  0.0212315  ])
66084   , -12333.7    , array([ 0.122825   ,  0.0624068  ,  7.68699e-59,  7.28358e-40,  0.0212528  ])
66092   , -12321.7    , array([ 0.122787   ,  0.0623841  ,  7.68699e-59,  7.28358e-40,  0.0212239  ])
66093   , -12321.7    , array([ 0.122787   ,  0.0623841  ,  7.68699e-59,  7.28358e-40,  0.0212239  ])
66094   , -12305.2    , array([ 0.12291    ,  0.0623841  ,  7.68699e-59,  7.28358e-40,  0.0212239  ])
66095   , -12324.4    , array([ 0.122787   ,  0.0624465  ,  7.68699e-59,  7.28358e-40,  0.0212239  ])
66096   , -12321.7    , array([ 0.122787   ,  0.0623841  ,  7.69468e-59,  7.28358e-40,  0.0212239  ])
66097   , -12321.7    , array([ 0.122787   ,  0.0623841  ,  7.68699e-59,  7.29087e-40,  0.0212239  ])
66098   , -12333.6    , array([ 0.122787   ,  0.0623841  ,  7.68699e-59,  7.28358e-40,  0.0212451  ])
66099   , -12321.6    , array([ 0.122749   ,  0.0623615  ,  7.68699e-59,  7.28358e-40,  0.0212162  ])
66100   , -12321.6    , array([ 0.122749   ,  0.0623615  ,  7.68699e-59,  7.28358e-40,  0.0212162  ])
66101   , -12305.1    , array([ 0.122871   ,  0.0623615  ,  7.68699e-59,  7.28358e-40,  0.0212162  ])
66102   , -12324.3    , array([ 0.122749   ,  0.0624238  ,  7.68699e-59,  7.28358e-40,  0.0212162  ])
66103   , -12321.6    , array([ 0.122749   ,  0.0623615  ,  7.69468e-59,  7.28358e-40,  0.0212162  ])
66104   , -12321.6    , array([ 0.122749   ,  0.0623615  ,  7.68699e-59,  7.29087e-40,  0.0212162  ])
66105   , -12333.5    , array([ 0.122749   ,  0.0623615  ,  7.68699e-59,  7.28358e-40,  0.0212374  ])
66113   , -12321.6    , array([ 0.122739   ,  0.0623558  ,  7.68699e-59,  7.28358e-40,  0.0212143  ])
66114   , -12321.6    , array([ 0.122739   ,  0.0623558  ,  7.68699e-59,  7.28358e-40,  0.0212143  ])
66115   , -12305      , array([ 0.122862   ,  0.0623558  ,  7.68699e-59,  7.28358e-40,  0.0212143  ])
66116   , -12324.3    , array([ 0.122739   ,  0.0624182  ,  7.68699e-59,  7.28358e-40,  0.0212143  ])
66117   , -12321.6    , array([ 0.122739   ,  0.0623558  ,  7.69468e-59,  7.28358e-40,  0.0212143  ])
66118   , -12321.6    , array([ 0.122739   ,  0.0623558  ,  7.68699e-59,  7.29087e-40,  0.0212143  ])
66119   , -12333.4    , array([ 0.122739   ,  0.0623558  ,  7.68699e-59,  7.28358e-40,  0.0212355  ])
66120   , -12321.5    , array([ 0.122729   ,  0.0623501  ,  7.68699e-59,  7.28358e-40,  0.0212124  ])
66121   , -12321.5    , array([ 0.122729   ,  0.0623501  ,  7.68699e-59,  7.28358e-40,  0.0212124  ])
66122   , -12305      , array([ 0.122852   ,  0.0623501  ,  7.68699e-59,  7.28358e-40,  0.0212124  ])
66123   , -12324.3    , array([ 0.122729   ,  0.0624125  ,  7.68699e-59,  7.28358e-40,  0.0212124  ])
66124   , -12321.5    , array([ 0.122729   ,  0.0623501  ,  7.69468e-59,  7.28358e-40,  0.0212124  ])
66125   , -12321.5    , array([ 0.122729   ,  0.0623501  ,  7.68699e-59,  7.29087e-40,  0.0212124  ])
66126   , -12333.4    , array([ 0.122729   ,  0.0623501  ,  7.68699e-59,  7.28358e-40,  0.0212336  ])
66134   , -12321.5    , array([ 0.122727   ,  0.0623487  ,  7.68699e-59,  7.28358e-40,  0.0212119  ])
66135   , -12321.5    , array([ 0.122727   ,  0.0623487  ,  7.68699e-59,  7.28358e-40,  0.0212119  ])
66136   , -12305      , array([ 0.12285    ,  0.0623487  ,  7.68699e-59,  7.28358e-40,  0.0212119  ])
66137   , -12324.3    , array([ 0.122727   ,  0.0624111  ,  7.68699e-59,  7.28358e-40,  0.0212119  ])
66138   , -12321.5    , array([ 0.122727   ,  0.0623487  ,  7.69468e-59,  7.28358e-40,  0.0212119  ])
66139   , -12321.5    , array([ 0.122727   ,  0.0623487  ,  7.68699e-59,  7.29087e-40,  0.0212119  ])
66140   , -12333.4    , array([ 0.122727   ,  0.0623487  ,  7.68699e-59,  7.28358e-40,  0.0212331  ])
66141   , -12321.5    , array([ 0.122725   ,  0.0623473  ,  7.68699e-59,  7.28358e-40,  0.0212114  ])
66142   , -12321.5    , array([ 0.122725   ,  0.0623473  ,  7.68699e-59,  7.28358e-40,  0.0212114  ])
66143   , -12305      , array([ 0.122847   ,  0.0623473  ,  7.68699e-59,  7.28358e-40,  0.0212114  ])
66144   , -12324.3    , array([ 0.122725   ,  0.0624096  ,  7.68699e-59,  7.28358e-40,  0.0212114  ])
66145   , -12321.5    , array([ 0.122725   ,  0.0623473  ,  7.69468e-59,  7.28358e-40,  0.0212114  ])
66146   , -12321.5    , array([ 0.122725   ,  0.0623473  ,  7.68699e-59,  7.29087e-40,  0.0212114  ])
66147   , -12333.4    , array([ 0.122725   ,  0.0623473  ,  7.68699e-59,  7.28358e-40,  0.0212326  ])
