81767   , -79089.4    , array([ 0.0321947  ,  0.04496    ,  1.33062e-37,  0.000169791,  2.53659e-12])
81768   , -79089.4    , array([ 0.0322269  ,  0.04496    ,  1.33062e-37,  0.000169791,  2.53659e-12])
81769   , -79089.4    , array([ 0.0321947  ,  0.045005   ,  1.33062e-37,  0.000169791,  2.53659e-12])
81770   , -79089.4    , array([ 0.0321947  ,  0.04496    ,  1.33195e-37,  0.000169791,  2.53659e-12])
81771   , -79089.4    , array([ 0.0321947  ,  0.04496    ,  1.33062e-37,  0.000169961,  2.53659e-12])
81772   , -79089.4    , array([ 0.0321947  ,  0.04496    ,  1.33062e-37,  0.000169791,  2.53913e-12])
81773   , -79089.4    , array([ 0.0321947  ,  0.04496    ,  1.33062e-37,  0.000169791,  2.53659e-12])
81774   , -79089.4    , array([ 0.0321927  ,  0.044957   ,  1.33062e-37,  0.000169791,  2.53692e-12])
81775   , -79089.4    , array([ 0.0321927  ,  0.044957   ,  1.33062e-37,  0.000169791,  2.53692e-12])
81776   , -79089.4    , array([ 0.0322249  ,  0.044957   ,  1.33062e-37,  0.000169791,  2.53692e-12])
81777   , -79089.4    , array([ 0.0321927  ,  0.045002   ,  1.33062e-37,  0.000169791,  2.53692e-12])
81778   , -79089.4    , array([ 0.0321927  ,  0.044957   ,  1.33195e-37,  0.000169791,  2.53692e-12])
81779   , -79089.4    , array([ 0.0321927  ,  0.044957   ,  1.33062e-37,  0.000169961,  2.53692e-12])
81780   , -79089.4    , array([ 0.0321927  ,  0.044957   ,  1.33062e-37,  0.000169791,  2.53946e-12])
81781   , -79089.4    , array([ 0.0321846  ,  0.0449451  ,  1.33062e-37,  0.000169791,  2.53823e-12])
81782   , -79089.4    , array([ 0.0321846  ,  0.0449451  ,  1.33062e-37,  0.000169791,  2.53823e-12])
81783   , -79089.4    , array([ 0.0322168  ,  0.0449451  ,  1.33062e-37,  0.000169791,  2.53823e-12])
81784   , -79089.4    , array([ 0.0321846  ,  0.0449901  ,  1.33062e-37,  0.000169791,  2.53823e-12])
81785   , -79089.4    , array([ 0.0321846  ,  0.0449451  ,  1.33195e-37,  0.000169791,  2.53823e-12])
81786   , -79089.4    , array([ 0.0321846  ,  0.0449451  ,  1.33062e-37,  0.000169961,  2.53823e-12])
81787   , -79089.4    , array([ 0.0321846  ,  0.0449451  ,  1.33062e-37,  0.000169791,  2.54077e-12])
81788   , -79089.4    , array([ 0.0321522  ,  0.0448975  ,  1.33062e-37,  0.000169791,  2.54349e-12])
81789   , -79089.4    , array([ 0.0321522  ,  0.0448975  ,  1.33062e-37,  0.000169791,  2.54349e-12])
81790   , -79089.4    , array([ 0.0321843  ,  0.0448975  ,  1.33062e-37,  0.000169791,  2.54349e-12])
81791   , -79089.4    , array([ 0.0321522  ,  0.0449424  ,  1.33062e-37,  0.000169791,  2.54349e-12])
81792   , -79089.4    , array([ 0.0321522  ,  0.0448975  ,  1.33195e-37,  0.000169791,  2.54349e-12])
81793   , -79089.4    , array([ 0.0321522  ,  0.0448975  ,  1.33062e-37,  0.000169961,  2.54349e-12])
81794   , -79089.4    , array([ 0.0321522  ,  0.0448975  ,  1.33062e-37,  0.000169791,  2.54603e-12])
81795   , -79089.4    , array([ 0.0320228  ,  0.0447075  ,  1.33062e-37,  0.000169791,  2.56463e-12])
81796   , -79089.4    , array([ 0.0320228  ,  0.0447075  ,  1.33062e-37,  0.000169791,  2.56463e-12])
81797   , -79089.4    , array([ 0.0320549  ,  0.0447075  ,  1.33062e-37,  0.000169791,  2.56463e-12])
81798   , -79089.4    , array([ 0.0320228  ,  0.0447523  ,  1.33062e-37,  0.000169791,  2.56463e-12])
81799   , -79089.4    , array([ 0.0320228  ,  0.0447075  ,  1.33195e-37,  0.000169791,  2.56463e-12])
81800   , -79089.4    , array([ 0.0320228  ,  0.0447075  ,  1.33062e-37,  0.000169961,  2.56463e-12])
81801   , -79089.4    , array([ 0.0320228  ,  0.0447075  ,  1.33062e-37,  0.000169791,  2.56719e-12])
81802   , -79089.4    , array([ 0.0315108  ,  0.0439556  ,  1.33062e-37,  0.000169791,  2.65095e-12])
81803   , -79089.4    , array([ 0.0315108  ,  0.0439556  ,  1.33062e-37,  0.000169791,  2.65095e-12])
81804   , -79089.4    , array([ 0.0315423  ,  0.0439556  ,  1.33062e-37,  0.000169791,  2.65095e-12])
81805   , -79089.4    , array([ 0.0315108  ,  0.0439996  ,  1.33062e-37,  0.000169791,  2.65095e-12])
81806   , -79089.4    , array([ 0.0315108  ,  0.0439556  ,  1.33195e-37,  0.000169791,  2.65095e-12])
81807   , -79089.4    , array([ 0.0315108  ,  0.0439556  ,  1.33062e-37,  0.000169961,  2.65095e-12])
81808   , -79089.4    , array([ 0.0315108  ,  0.0439556  ,  1.33062e-37,  0.000169791,  2.65361e-12])
81809   , -79089.4    , array([ 0.0295432  ,  0.0410724  ,  1.33062e-37,  0.000169791,  3.02632e-12])
81810   , -79089.4    , array([ 0.0295432  ,  0.0410724  ,  1.33062e-37,  0.000169791,  3.02632e-12])
81811   , -79089.4    , array([ 0.0295727  ,  0.0410724  ,  1.33062e-37,  0.000169791,  3.02632e-12])
81812   , -79089.4    , array([ 0.0295432  ,  0.0411135  ,  1.33062e-37,  0.000169791,  3.02632e-12])
81813   , -79089.4    , array([ 0.0295432  ,  0.0410724  ,  1.33195e-37,  0.000169791,  3.02632e-12])
81814   , -79089.4    , array([ 0.0295432  ,  0.0410724  ,  1.33062e-37,  0.000169961,  3.02632e-12])
81815   , -79089.4    , array([ 0.0295432  ,  0.0410724  ,  1.33062e-37,  0.000169791,  3.02934e-12])
81816   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33062e-37,  0.000169791,  5.14e-12   ])
81817   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33062e-37,  0.000169791,  5.14e-12   ])
81818   , -79089.4    , array([ 0.0228498  ,  0.0313106  ,  1.33062e-37,  0.000169791,  5.14e-12   ])
81819   , -79089.4    , array([ 0.022827   ,  0.0313419  ,  1.33062e-37,  0.000169791,  5.14e-12   ])
81820   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33195e-37,  0.000169791,  5.14e-12   ])
81821   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33062e-37,  0.000169961,  5.14e-12   ])
81822   , -79089.4    , array([ 0.022827   ,  0.0313106  ,  1.33062e-37,  0.000169791,  5.14514e-12])
81823   , -79089.4    , array([ 0.00813606 ,  0.0105744  ,  1.33062e-37,  0.000169791,  4.27718e-11])
