87263   , -79089.4    , array([ 0.0512002  ,  0.0436795  ,  0.000485143,  1.41965e-41,  3.54568e-11])
87264   , -79089.4    , array([ 0.0512514  ,  0.0436795  ,  0.000485143,  1.41965e-41,  3.54568e-11])
87265   , -79089.4    , array([ 0.0512002  ,  0.0437232  ,  0.000485143,  1.41965e-41,  3.54568e-11])
87266   , -79089.4    , array([ 0.0512002  ,  0.0436795  ,  0.000485628,  1.41965e-41,  3.54568e-11])
87267   , -79089.4    , array([ 0.0512002  ,  0.0436795  ,  0.000485143,  1.42107e-41,  3.54568e-11])
87268   , -79089.4    , array([ 0.0512002  ,  0.0436795  ,  0.000485143,  1.41965e-41,  3.54923e-11])
87269   , -79089.4    , array([ 0.0512002  ,  0.0436795  ,  0.000485143,  1.41965e-41,  3.54568e-11])
87270   , -79089.4    , array([ 0.0511719  ,  0.0436379  ,  0.000485143,  1.41965e-41,  3.55103e-11])
87271   , -79089.4    , array([ 0.0511719  ,  0.0436379  ,  0.000485143,  1.41965e-41,  3.55103e-11])
87272   , -79089.4    , array([ 0.0512231  ,  0.0436379  ,  0.000485143,  1.41965e-41,  3.55103e-11])
87273   , -79089.4    , array([ 0.0511719  ,  0.0436816  ,  0.000485143,  1.41965e-41,  3.55103e-11])
87274   , -79089.4    , array([ 0.0511719  ,  0.0436379  ,  0.000485628,  1.41965e-41,  3.55103e-11])
87275   , -79089.4    , array([ 0.0511719  ,  0.0436379  ,  0.000485143,  1.42107e-41,  3.55103e-11])
87276   , -79089.4    , array([ 0.0511719  ,  0.0436379  ,  0.000485143,  1.41965e-41,  3.55458e-11])
87277   , -79089.4    , array([ 0.0510589  ,  0.0434719  ,  0.000485143,  1.41965e-41,  3.57252e-11])
87278   , -79089.4    , array([ 0.0510589  ,  0.0434719  ,  0.000485143,  1.41965e-41,  3.57252e-11])
87279   , -79089.4    , array([ 0.05111    ,  0.0434719  ,  0.000485143,  1.41965e-41,  3.57252e-11])
87280   , -79089.4    , array([ 0.0510589  ,  0.0435154  ,  0.000485143,  1.41965e-41,  3.57252e-11])
87281   , -79089.4    , array([ 0.0510589  ,  0.0434719  ,  0.000485628,  1.41965e-41,  3.57252e-11])
87282   , -79089.4    , array([ 0.0510589  ,  0.0434719  ,  0.000485143,  1.42107e-41,  3.57252e-11])
87283   , -79089.4    , array([ 0.0510589  ,  0.0434719  ,  0.000485143,  1.41965e-41,  3.57609e-11])
87284   , -79089.4    , array([ 0.0506093  ,  0.042814   ,  0.000485143,  1.41965e-41,  3.65978e-11])
87285   , -79089.4    , array([ 0.0506093  ,  0.042814   ,  0.000485143,  1.41965e-41,  3.65978e-11])
87286   , -79089.4    , array([ 0.05066    ,  0.042814   ,  0.000485143,  1.41965e-41,  3.65978e-11])
87287   , -79089.4    , array([ 0.0506093  ,  0.0428568  ,  0.000485143,  1.41965e-41,  3.65978e-11])
87288   , -79089.4    , array([ 0.0506093  ,  0.042814   ,  0.000485628,  1.41965e-41,  3.65978e-11])
87289   , -79089.4    , array([ 0.0506093  ,  0.042814   ,  0.000485143,  1.42107e-41,  3.65978e-11])
87290   , -79089.4    , array([ 0.0506093  ,  0.042814   ,  0.000485143,  1.41965e-41,  3.66344e-11])
87291   , -79089.4    , array([ 0.0488504  ,  0.0402805  ,  0.000485143,  1.41965e-41,  4.03068e-11])
87292   , -79089.4    , array([ 0.0488504  ,  0.0402805  ,  0.000485143,  1.41965e-41,  4.03068e-11])
87293   , -79089.4    , array([ 0.0488992  ,  0.0402805  ,  0.000485143,  1.41965e-41,  4.03068e-11])
87294   , -79089.4    , array([ 0.0488504  ,  0.0403208  ,  0.000485143,  1.41965e-41,  4.03068e-11])
87295   , -79089.4    , array([ 0.0488504  ,  0.0402805  ,  0.000485628,  1.41965e-41,  4.03068e-11])
87296   , -79089.4    , array([ 0.0488504  ,  0.0402805  ,  0.000485143,  1.42107e-41,  4.03068e-11])
87297   , -79089.4    , array([ 0.0488504  ,  0.0402805  ,  0.000485143,  1.41965e-41,  4.03471e-11])
87298   , -79089.4    , array([ 0.0424049  ,  0.0315597  ,  0.000485143,  1.41965e-41,  5.93022e-11])
87299   , -79089.4    , array([ 0.0424049  ,  0.0315597  ,  0.000485143,  1.41965e-41,  5.93022e-11])
87300   , -79089.4    , array([ 0.0424473  ,  0.0315597  ,  0.000485143,  1.41965e-41,  5.93022e-11])
87301   , -79089.4    , array([ 0.0424049  ,  0.0315913  ,  0.000485143,  1.41965e-41,  5.93022e-11])
87302   , -79089.4    , array([ 0.0424049  ,  0.0315597  ,  0.000485628,  1.41965e-41,  5.93022e-11])
87303   , -79089.4    , array([ 0.0424049  ,  0.0315597  ,  0.000485143,  1.42107e-41,  5.93022e-11])
87304   , -79089.4    , array([ 0.0424049  ,  0.0315597  ,  0.000485143,  1.41965e-41,  5.93616e-11])
87305   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87306   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87307   , -79089.4    , array([ 0.0241015  ,  0.0118927  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87308   , -79089.4    , array([ 0.0240774  ,  0.0119046  ,  0.000485143,  1.41965e-41,  2.7787e-10 ])
87309   , -79089.4    , array([ 0.0240774  ,  0.0118927  ,  0.000485628,  1.41965e-41,  2.7787e-10 ])
