114630  , -78809.5    , array([ 1.56207    ,  0.0850919  ,  0.00175805 ,  3.47143e-36,  1.95762e-05])
114631  , -78809.5    , array([ 1.56364    ,  0.0850919  ,  0.00175805 ,  3.47143e-36,  1.95762e-05])
114632  , -78809.7    , array([ 1.56207    ,  0.085177   ,  0.00175805 ,  3.47143e-36,  1.95762e-05])
114633  , -78809.5    , array([ 1.56207    ,  0.0850919  ,  0.00175981 ,  3.47143e-36,  1.95762e-05])
114634  , -78809.5    , array([ 1.56207    ,  0.0850919  ,  0.00175805 ,  3.47491e-36,  1.95762e-05])
114635  , -78809.2    , array([ 1.56207    ,  0.0850919  ,  0.00175805 ,  3.47143e-36,  1.95958e-05])
114636  , -78809.5    , array([ 1.56207    ,  0.0850919  ,  0.00175805 ,  3.47143e-36,  1.95762e-05])
114637  , -77951.9    , array([ 1.52213    ,  0.0422521  ,  0.00175805 ,  3.47143e-36,  4.05225e-05])
114638  , -77951.9    , array([ 1.52213    ,  0.0422521  ,  0.00175805 ,  3.47143e-36,  4.05225e-05])
114639  , -77951.9    , array([ 1.52365    ,  0.0422521  ,  0.00175805 ,  3.47143e-36,  4.05225e-05])
114640  , -77953      , array([ 1.52213    ,  0.0422944  ,  0.00175805 ,  3.47143e-36,  4.05225e-05])
114641  , -77951.9    , array([ 1.52213    ,  0.0422521  ,  0.00175981 ,  3.47143e-36,  4.05225e-05])
114642  , -77951.9    , array([ 1.52213    ,  0.0422521  ,  0.00175805 ,  3.47491e-36,  4.05225e-05])
114643  , -77950.8    , array([ 1.52213    ,  0.0422521  ,  0.00175805 ,  3.47143e-36,  4.0563e-05 ])
114644  , -3101.81    , array([ 1.37229    ,  0.00256857 ,  0.00175805 ,  3.47143e-36,  0.000743996])
114645  , -3101.81    , array([ 1.37229    ,  0.00256857 ,  0.00175805 ,  3.47143e-36,  0.000743996])
114646  , -3101.83    , array([ 1.37366    ,  0.00256857 ,  0.00175805 ,  3.47143e-36,  0.000743996])
114647  , -3107.2     , array([ 1.37229    ,  0.00257114 ,  0.00175805 ,  3.47143e-36,  0.000743996])
114648  , -3101.81    , array([ 1.37229    ,  0.00256857 ,  0.00175981 ,  3.47143e-36,  0.000743996])
114649  , -3101.81    , array([ 1.37229    ,  0.00256857 ,  0.00175805 ,  3.47491e-36,  0.000743996])
