148946  , -288670     , array([ 25.8753    ,  0.0173792  ,  5.29545e-39,  0.00534415 ,  0.207002   ])
148947  , -288672     , array([ 25.9012    ,  0.0173792  ,  5.29545e-39,  0.00534415 ,  0.207002   ])
148948  , -288619     , array([ 25.8753    ,  0.0173966  ,  5.29545e-39,  0.00534415 ,  0.207002   ])
148949  , -288670     , array([ 25.8753    ,  0.0173792  ,  5.30075e-39,  0.00534415 ,  0.207002   ])
148950  , -288637     , array([ 25.8753    ,  0.0173792  ,  5.29545e-39,  0.00534949 ,  0.207002   ])
148951  , -288697     , array([ 25.8753    ,  0.0173792  ,  5.29545e-39,  0.00534415 ,  0.207209   ])
148952  , -288670     , array([ 25.8753    ,  0.0173792  ,  5.29545e-39,  0.00534415 ,  0.207002   ])
148953  , -115953     , array([ 25.1978    ,  0.0378736  ,  5.29545e-39,  0.00880735 ,  0.13824    ])
148954  , -115953     , array([ 25.1978    ,  0.0378736  ,  5.29545e-39,  0.00880735 ,  0.13824    ])
148955  , -115953     , array([ 25.223     ,  0.0378736  ,  5.29545e-39,  0.00880735 ,  0.13824    ])
148956  , -115826     , array([ 25.1978    ,  0.0379115  ,  5.29545e-39,  0.00880735 ,  0.13824    ])
148957  , -115953     , array([ 25.1978    ,  0.0378736  ,  5.30075e-39,  0.00880735 ,  0.13824    ])
148958  , -115952     , array([ 25.1978    ,  0.0378736  ,  5.29545e-39,  0.00881616 ,  0.13824    ])
148959  , -116084     , array([ 25.1978    ,  0.0378736  ,  5.29545e-39,  0.00880735 ,  0.138379   ])
148960  , -51125.1    , array([ 22.6606    ,  0.854212   ,  5.29545e-39,  0.06497    ,  0.0274967  ])
148961  , -51125.1    , array([ 22.6606    ,  0.854212   ,  5.29545e-39,  0.06497    ,  0.0274967  ])
148962  , -51125.7    , array([ 22.6832    ,  0.854212   ,  5.29545e-39,  0.06497    ,  0.0274967  ])
148963  , -51146.2    , array([ 22.6606    ,  0.855067   ,  5.29545e-39,  0.06497    ,  0.0274967  ])
148964  , -51125.1    , array([ 22.6606    ,  0.854212   ,  5.30075e-39,  0.06497    ,  0.0274967  ])
148965  , -51125.2    , array([ 22.6606    ,  0.854212   ,  5.29545e-39,  0.065035   ,  0.0274967  ])
148966  , -51105.4    , array([ 22.6606    ,  0.854212   ,  5.29545e-39,  0.06497    ,  0.0275242  ])
148974  , -50740.8    , array([ 22.5995    ,  0.853618   ,  5.29545e-39,  0.0667805  ,  0.028014   ])
148975  , -50740.8    , array([ 22.5995    ,  0.853618   ,  5.29545e-39,  0.0667805  ,  0.028014   ])
148976  , -50741.4    , array([ 22.6221    ,  0.853618   ,  5.29545e-39,  0.0667805  ,  0.028014   ])
148977  , -50762      , array([ 22.5995    ,  0.854472   ,  5.29545e-39,  0.0667805  ,  0.028014   ])
148978  , -50740.8    , array([ 22.5995    ,  0.853618   ,  5.30075e-39,  0.0667805  ,  0.028014   ])
148979  , -50740.8    , array([ 22.5995    ,  0.853618   ,  5.29545e-39,  0.0668473  ,  0.028014   ])
148980  , -50720.9    , array([ 22.5995    ,  0.853618   ,  5.29545e-39,  0.0667805  ,  0.028042   ])
148981  , -50351.3    , array([ 22.5383    ,  0.85302    ,  5.29545e-39,  0.0686524  ,  0.0285441  ])
148982  , -50351.3    , array([ 22.5383    ,  0.85302    ,  5.29545e-39,  0.0686524  ,  0.0285441  ])
148983  , -50351.9    , array([ 22.5608    ,  0.85302    ,  5.29545e-39,  0.0686524  ,  0.0285441  ])
148984  , -50372.8    , array([ 22.5383    ,  0.853874   ,  5.29545e-39,  0.0686524  ,  0.0285441  ])
148985  , -50351.3    , array([ 22.5383    ,  0.85302    ,  5.30075e-39,  0.0686524  ,  0.0285441  ])
148986  , -50351.4    , array([ 22.5383    ,  0.85302    ,  5.29545e-39,  0.0687211  ,  0.0285441  ])
148987  , -50331.3    , array([ 22.5383    ,  0.85302    ,  5.29545e-39,  0.0686524  ,  0.0285727  ])
148995  , -50252.8    , array([ 22.5229    ,  0.85287    ,  5.29545e-39,  0.0691318  ,  0.0286791  ])
148996  , -50252.8    , array([ 22.5229    ,  0.85287    ,  5.29545e-39,  0.0691318  ,  0.0286791  ])
148997  , -50253.5    , array([ 22.5454    ,  0.85287    ,  5.29545e-39,  0.0691318  ,  0.0286791  ])
148998  , -50274.4    , array([ 22.5229    ,  0.853723   ,  5.29545e-39,  0.0691318  ,  0.0286791  ])
148999  , -50252.8    , array([ 22.5229    ,  0.85287    ,  5.30075e-39,  0.0691318  ,  0.0286791  ])
149000  , -50252.9    , array([ 22.5229    ,  0.85287    ,  5.29545e-39,  0.0692009  ,  0.0286791  ])
149001  , -50232.8    , array([ 22.5229    ,  0.85287    ,  5.29545e-39,  0.0691318  ,  0.0287078  ])
149002  , -50154.1    , array([ 22.5075    ,  0.852719   ,  5.29545e-39,  0.069615   ,  0.0288149  ])
149003  , -50154.1    , array([ 22.5075    ,  0.852719   ,  5.29545e-39,  0.069615   ,  0.0288149  ])
149004  , -50154.7    , array([ 22.53      ,  0.852719   ,  5.29545e-39,  0.069615   ,  0.0288149  ])
149005  , -50175.7    , array([ 22.5075    ,  0.853572   ,  5.29545e-39,  0.069615   ,  0.0288149  ])
149006  , -50154.1    , array([ 22.5075    ,  0.852719   ,  5.30075e-39,  0.069615   ,  0.0288149  ])
149007  , -50154.1    , array([ 22.5075    ,  0.852719   ,  5.29545e-39,  0.0696846  ,  0.0288149  ])
149008  , -50134      , array([ 22.5075    ,  0.852719   ,  5.29545e-39,  0.069615   ,  0.0288437  ])
149016  , -50129.3    , array([ 22.5037    ,  0.852682   ,  5.29545e-39,  0.0697365  ,  0.028849   ])
149017  , -50129.3    , array([ 22.5037    ,  0.852682   ,  5.29545e-39,  0.0697365  ,  0.028849   ])
149018  , -50130      , array([ 22.5262    ,  0.852682   ,  5.29545e-39,  0.0697365  ,  0.028849   ])
149019  , -50150.9    , array([ 22.5037    ,  0.853535   ,  5.29545e-39,  0.0697365  ,  0.028849   ])
149020  , -50129.3    , array([ 22.5037    ,  0.852682   ,  5.30075e-39,  0.0697365  ,  0.028849   ])
149021  , -50129.4    , array([ 22.5037    ,  0.852682   ,  5.29545e-39,  0.0698063  ,  0.028849   ])
149022  , -50109.2    , array([ 22.5037    ,  0.852682   ,  5.29545e-39,  0.0697365  ,  0.0288778  ])
149023  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149024  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149025  , -50105.2    , array([ 22.5223    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149026  , -50126.2    , array([ 22.4998    ,  0.853497   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149027  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.30075e-39,  0.0698582  ,  0.0288831  ])
149028  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0699281  ,  0.0288831  ])
149029  , -50084.5    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.028912   ])
149030  , -42254.2    , array([ 14.7655    ,  0.764822   ,  5.29545e-39,  5.1077     ,  0.530449   ])
