152962  , -79089.4    , array([ 0.721481   ,  0.498739   ,  6.80461e-31,  1.82271e-16,  2.31431e-09])
152963  , -79089.4    , array([ 0.722203   ,  0.498739   ,  6.80461e-31,  1.82271e-16,  2.31431e-09])
152964  , -79089.4    , array([ 0.721481   ,  0.499238   ,  6.80461e-31,  1.82271e-16,  2.31431e-09])
152965  , -79089.4    , array([ 0.721481   ,  0.498739   ,  6.81142e-31,  1.82271e-16,  2.31431e-09])
152966  , -79089.4    , array([ 0.721481   ,  0.498739   ,  6.80461e-31,  1.82453e-16,  2.31431e-09])
152967  , -79089.4    , array([ 0.721481   ,  0.498739   ,  6.80461e-31,  1.82271e-16,  2.31663e-09])
152968  , -79089.4    , array([ 0.721481   ,  0.498739   ,  6.80461e-31,  1.82271e-16,  2.31431e-09])
152969  , -79089.4    , array([ 0.719636   ,  0.496028   ,  6.80461e-31,  1.82271e-16,  2.33303e-09])
152970  , -79089.4    , array([ 0.719636   ,  0.496028   ,  6.80461e-31,  1.82271e-16,  2.33303e-09])
152971  , -79089.4    , array([ 0.720356   ,  0.496028   ,  6.80461e-31,  1.82271e-16,  2.33303e-09])
152972  , -79089.4    , array([ 0.719636   ,  0.496525   ,  6.80461e-31,  1.82271e-16,  2.33303e-09])
152973  , -79089.4    , array([ 0.719636   ,  0.496028   ,  6.81142e-31,  1.82271e-16,  2.33303e-09])
152974  , -79089.4    , array([ 0.719636   ,  0.496028   ,  6.80461e-31,  1.82453e-16,  2.33303e-09])
152975  , -79089.4    , array([ 0.719636   ,  0.496028   ,  6.80461e-31,  1.82271e-16,  2.33537e-09])
152976  , -79089.4    , array([ 0.712303   ,  0.485333   ,  6.80461e-31,  1.82271e-16,  2.40944e-09])
152977  , -79089.4    , array([ 0.712303   ,  0.485333   ,  6.80461e-31,  1.82271e-16,  2.40944e-09])
152978  , -79089.4    , array([ 0.713016   ,  0.485333   ,  6.80461e-31,  1.82271e-16,  2.40944e-09])
152979  , -79089.4    , array([ 0.712303   ,  0.485819   ,  6.80461e-31,  1.82271e-16,  2.40944e-09])
152980  , -79089.4    , array([ 0.712303   ,  0.485333   ,  6.81142e-31,  1.82271e-16,  2.40944e-09])
152981  , -79089.4    , array([ 0.712303   ,  0.485333   ,  6.80461e-31,  1.82453e-16,  2.40944e-09])
152982  , -79089.4    , array([ 0.712303   ,  0.485333   ,  6.80461e-31,  1.82271e-16,  2.41185e-09])
152983  , -79089.4    , array([ 0.68371    ,  0.444809   ,  6.80461e-31,  1.82271e-16,  2.74093e-09])
152984  , -79089.4    , array([ 0.68371    ,  0.444809   ,  6.80461e-31,  1.82271e-16,  2.74093e-09])
152985  , -79089.4    , array([ 0.684394   ,  0.444809   ,  6.80461e-31,  1.82271e-16,  2.74093e-09])
152986  , -79089.4    , array([ 0.68371    ,  0.445254   ,  6.80461e-31,  1.82271e-16,  2.74093e-09])
152987  , -79089.4    , array([ 0.68371    ,  0.444809   ,  6.81142e-31,  1.82271e-16,  2.74093e-09])
152988  , -79089.4    , array([ 0.68371    ,  0.444809   ,  6.80461e-31,  1.82453e-16,  2.74093e-09])
152989  , -79089.4    , array([ 0.68371    ,  0.444809   ,  6.80461e-31,  1.82271e-16,  2.74367e-09])
152990  , -79089.4    , array([ 0.580364   ,  0.313839   ,  6.80461e-31,  1.82271e-16,  4.59013e-09])
152991  , -79089.4    , array([ 0.580364   ,  0.313839   ,  6.80461e-31,  1.82271e-16,  4.59013e-09])
