89792   , -147140     , array([ 16.2938    ,  0.187834   ,  2.51643e-30,  3.68435e-13,  0.730453   ])
89793   , -147146     , array([ 16.3101    ,  0.187834   ,  2.51643e-30,  3.68435e-13,  0.730453   ])
89794   , -147004     , array([ 16.2938    ,  0.188022   ,  2.51643e-30,  3.68435e-13,  0.730453   ])
89795   , -147140     , array([ 16.2938    ,  0.187834   ,  2.51895e-30,  3.68435e-13,  0.730453   ])
89796   , -147140     , array([ 16.2938    ,  0.187834   ,  2.51643e-30,  3.68803e-13,  0.730453   ])
89797   , -147295     , array([ 16.2938    ,  0.187834   ,  2.51643e-30,  3.68435e-13,  0.731184   ])
89798   , -147140     , array([ 16.2938    ,  0.187834   ,  2.51643e-30,  3.68435e-13,  0.730453   ])
89799   , -32337.7    , array([ 15.7946    ,  0.364987   ,  2.51643e-30,  3.68435e-13,  0.341556   ])
89800   , -32337.7    , array([ 15.7946    ,  0.364987   ,  2.51643e-30,  3.68435e-13,  0.341556   ])
89801   , -32340.6    , array([ 15.8104    ,  0.364987   ,  2.51643e-30,  3.68435e-13,  0.341556   ])
89802   , -32308.8    , array([ 15.7946    ,  0.365352   ,  2.51643e-30,  3.68435e-13,  0.341556   ])
89803   , -32337.7    , array([ 15.7946    ,  0.364987   ,  2.51895e-30,  3.68435e-13,  0.341556   ])
89804   , -32337.7    , array([ 15.7946    ,  0.364987   ,  2.51643e-30,  3.68803e-13,  0.341556   ])
89805   , -32383.3    , array([ 15.7946    ,  0.364987   ,  2.51643e-30,  3.68435e-13,  0.341898   ])
89813   , -32248.5    , array([ 15.7748    ,  0.362934   ,  2.51643e-30,  3.68435e-13,  0.339699   ])
89814   , -32248.5    , array([ 15.7748    ,  0.362934   ,  2.51643e-30,  3.68435e-13,  0.339699   ])
89815   , -32251.4    , array([ 15.7906    ,  0.362934   ,  2.51643e-30,  3.68435e-13,  0.339699   ])
89816   , -32219.6    , array([ 15.7748    ,  0.363297   ,  2.51643e-30,  3.68435e-13,  0.339699   ])
89817   , -32248.5    , array([ 15.7748    ,  0.362934   ,  2.51895e-30,  3.68435e-13,  0.339699   ])
89818   , -32248.5    , array([ 15.7748    ,  0.362934   ,  2.51643e-30,  3.68803e-13,  0.339699   ])
89819   , -32294.1    , array([ 15.7748    ,  0.362934   ,  2.51643e-30,  3.68435e-13,  0.340039   ])
89820   , -19415.9    , array([ 11.0078    ,  0.0716985  ,  2.51643e-30,  3.68435e-13,  0.0708009  ])
89821   , -19415.9    , array([ 11.0078    ,  0.0716985  ,  2.51643e-30,  3.68435e-13,  0.0708009  ])
89822   , -19416.3    , array([ 11.0188    ,  0.0716985  ,  2.51643e-30,  3.68435e-13,  0.0708009  ])
89823   , -19381.7    , array([ 11.0078    ,  0.0717703  ,  2.51643e-30,  3.68435e-13,  0.0708009  ])
89824   , -19415.9    , array([ 11.0078    ,  0.0716985  ,  2.51895e-30,  3.68435e-13,  0.0708009  ])
89825   , -19415.9    , array([ 11.0078    ,  0.0716985  ,  2.51643e-30,  3.68803e-13,  0.0708009  ])
89826   , -19452.6    , array([ 11.0078    ,  0.0716985  ,  2.51643e-30,  3.68435e-13,  0.0708717  ])
89834   , -19414.8    , array([ 11.0202    ,  0.0716854  ,  2.51643e-30,  3.68435e-13,  0.0707858  ])
89835   , -19414.8    , array([ 11.0202    ,  0.0716854  ,  2.51643e-30,  3.68435e-13,  0.0707858  ])
89836   , -19415.2    , array([ 11.0312    ,  0.0716854  ,  2.51643e-30,  3.68435e-13,  0.0707858  ])
89837   , -19380.5    , array([ 11.0202    ,  0.0717572  ,  2.51643e-30,  3.68435e-13,  0.0707858  ])
89838   , -19414.8    , array([ 11.0202    ,  0.0716854  ,  2.51895e-30,  3.68435e-13,  0.0707858  ])
89839   , -19414.8    , array([ 11.0202    ,  0.0716854  ,  2.51643e-30,  3.68803e-13,  0.0707858  ])
89840   , -19451.5    , array([ 11.0202    ,  0.0716854  ,  2.51643e-30,  3.68435e-13,  0.0708566  ])
89841   , -19413.7    , array([ 11.0326    ,  0.0716724  ,  2.51643e-30,  3.68435e-13,  0.0707707  ])
89842   , -19413.7    , array([ 11.0326    ,  0.0716724  ,  2.51643e-30,  3.68435e-13,  0.0707707  ])
89843   , -19414.1    , array([ 11.0436    ,  0.0716724  ,  2.51643e-30,  3.68435e-13,  0.0707707  ])
89844   , -19379.4    , array([ 11.0326    ,  0.0717441  ,  2.51643e-30,  3.68435e-13,  0.0707707  ])
89845   , -19413.7    , array([ 11.0326    ,  0.0716724  ,  2.51895e-30,  3.68435e-13,  0.0707707  ])
89846   , -19413.7    , array([ 11.0326    ,  0.0716724  ,  2.51643e-30,  3.68803e-13,  0.0707707  ])
89847   , -19450.3    , array([ 11.0326    ,  0.0716724  ,  2.51643e-30,  3.68435e-13,  0.0708415  ])
89855   , -19413.4    , array([ 11.0357    ,  0.0716691  ,  2.51643e-30,  3.68435e-13,  0.070767   ])
89856   , -19413.4    , array([ 11.0357    ,  0.0716691  ,  2.51643e-30,  3.68435e-13,  0.070767   ])
89857   , -19413.8    , array([ 11.0467    ,  0.0716691  ,  2.51643e-30,  3.68435e-13,  0.070767   ])
89858   , -19379.1    , array([ 11.0357    ,  0.0717408  ,  2.51643e-30,  3.68435e-13,  0.070767   ])
89859   , -19413.4    , array([ 11.0357    ,  0.0716691  ,  2.51895e-30,  3.68435e-13,  0.070767   ])
89860   , -19413.4    , array([ 11.0357    ,  0.0716691  ,  2.51643e-30,  3.68803e-13,  0.070767   ])
89861   , -19450.1    , array([ 11.0357    ,  0.0716691  ,  2.51643e-30,  3.68435e-13,  0.0708378  ])
89862   , -19413.1    , array([ 11.0388    ,  0.0716658  ,  2.51643e-30,  3.68435e-13,  0.0707632  ])
89863   , -19413.1    , array([ 11.0388    ,  0.0716658  ,  2.51643e-30,  3.68435e-13,  0.0707632  ])
89864   , -19413.5    , array([ 11.0498    ,  0.0716658  ,  2.51643e-30,  3.68435e-13,  0.0707632  ])
89865   , -19378.9    , array([ 11.0388    ,  0.0717375  ,  2.51643e-30,  3.68435e-13,  0.0707632  ])
89866   , -19413.1    , array([ 11.0388    ,  0.0716658  ,  2.51895e-30,  3.68435e-13,  0.0707632  ])
89867   , -19413.1    , array([ 11.0388    ,  0.0716658  ,  2.51643e-30,  3.68803e-13,  0.0707632  ])
89868   , -19449.8    , array([ 11.0388    ,  0.0716658  ,  2.51643e-30,  3.68435e-13,  0.070834   ])
89876   , -19413.1    , array([ 11.0395    ,  0.071665   ,  2.51643e-30,  3.68435e-13,  0.0707623  ])
89877   , -19413.1    , array([ 11.0395    ,  0.071665   ,  2.51643e-30,  3.68435e-13,  0.0707623  ])
89878   , -19413.4    , array([ 11.0506    ,  0.071665   ,  2.51643e-30,  3.68435e-13,  0.0707623  ])
89879   , -19378.8    , array([ 11.0395    ,  0.0717367  ,  2.51643e-30,  3.68435e-13,  0.0707623  ])
89880   , -19413.1    , array([ 11.0395    ,  0.071665   ,  2.51895e-30,  3.68435e-13,  0.0707623  ])
89881   , -19413.1    , array([ 11.0395    ,  0.071665   ,  2.51643e-30,  3.68803e-13,  0.0707623  ])
89882   , -19449.7    , array([ 11.0395    ,  0.071665   ,  2.51643e-30,  3.68435e-13,  0.0708331  ])
89883   , -19413      , array([ 11.0403    ,  0.0716642  ,  2.51643e-30,  3.68435e-13,  0.0707613  ])
89884   , -19413      , array([ 11.0403    ,  0.0716642  ,  2.51643e-30,  3.68435e-13,  0.0707613  ])
89885   , -19413.4    , array([ 11.0513    ,  0.0716642  ,  2.51643e-30,  3.68435e-13,  0.0707613  ])
89886   , -19378.7    , array([ 11.0403    ,  0.0717359  ,  2.51643e-30,  3.68435e-13,  0.0707613  ])
89887   , -19413      , array([ 11.0403    ,  0.0716642  ,  2.51895e-30,  3.68435e-13,  0.0707613  ])
89888   , -19413      , array([ 11.0403    ,  0.0716642  ,  2.51643e-30,  3.68803e-13,  0.0707613  ])
89889   , -19449.6    , array([ 11.0403    ,  0.0716642  ,  2.51643e-30,  3.68435e-13,  0.0708321  ])
89897   , -19413      , array([ 11.0405    ,  0.071664   ,  2.51643e-30,  3.68435e-13,  0.0707611  ])
89898   , -19413      , array([ 11.0405    ,  0.071664   ,  2.51643e-30,  3.68435e-13,  0.0707611  ])
89899   , -19413.3    , array([ 11.0515    ,  0.071664   ,  2.51643e-30,  3.68435e-13,  0.0707611  ])
89900   , -19378.7    , array([ 11.0405    ,  0.0717357  ,  2.51643e-30,  3.68435e-13,  0.0707611  ])
89901   , -19413      , array([ 11.0405    ,  0.071664   ,  2.51895e-30,  3.68435e-13,  0.0707611  ])
89902   , -19413      , array([ 11.0405    ,  0.071664   ,  2.51643e-30,  3.68803e-13,  0.0707611  ])
89903   , -19449.6    , array([ 11.0405    ,  0.071664   ,  2.51643e-30,  3.68435e-13,  0.0708319  ])
89904   , -19412.9    , array([ 11.0407    ,  0.0716638  ,  2.51643e-30,  3.68435e-13,  0.0707608  ])
89905   , -19412.9    , array([ 11.0407    ,  0.0716638  ,  2.51643e-30,  3.68435e-13,  0.0707608  ])
89906   , -19413.3    , array([ 11.0517    ,  0.0716638  ,  2.51643e-30,  3.68435e-13,  0.0707608  ])
89907   , -19378.7    , array([ 11.0407    ,  0.0717355  ,  2.51643e-30,  3.68435e-13,  0.0707608  ])
89908   , -19412.9    , array([ 11.0407    ,  0.0716638  ,  2.51895e-30,  3.68435e-13,  0.0707608  ])
89909   , -19412.9    , array([ 11.0407    ,  0.0716638  ,  2.51643e-30,  3.68803e-13,  0.0707608  ])
89910   , -19449.6    , array([ 11.0407    ,  0.0716638  ,  2.51643e-30,  3.68435e-13,  0.0708316  ])
89911   , -17650.5    , array([ 55.3036    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521044  ])
89912   , -17650.5    , array([ 55.3036    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521044  ])
89913   , -17650.6    , array([ 55.3589    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521044  ])
89914   , -17617.5    , array([ 55.3036    ,  0.055197   ,  2.51643e-30,  3.68435e-13,  0.0521044  ])
89915   , -17650.5    , array([ 55.3036    ,  0.0551418  ,  2.51895e-30,  3.68435e-13,  0.0521044  ])
89916   , -17650.5    , array([ 55.3036    ,  0.0551418  ,  2.51643e-30,  3.68803e-13,  0.0521044  ])
89917   , -17684.8    , array([ 55.3036    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521565  ])
89918   , -17650.5    , array([ 55.3038    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89919   , -17650.5    , array([ 55.3038    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89920   , -17650.6    , array([ 55.3592    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89921   , -17617.5    , array([ 55.3038    ,  0.0551969  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89922   , -17650.5    , array([ 55.3038    ,  0.0551418  ,  2.51895e-30,  3.68435e-13,  0.0521043  ])
89923   , -17650.5    , array([ 55.3038    ,  0.0551418  ,  2.51643e-30,  3.68803e-13,  0.0521043  ])
89924   , -17684.8    , array([ 55.3038    ,  0.0551418  ,  2.51643e-30,  3.68435e-13,  0.0521565  ])
89932   , -17650.5    , array([ 55.3039    ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89933   , -17650.5    , array([ 55.3039    ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89934   , -17650.6    , array([ 55.3593    ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89935   , -17617.5    , array([ 55.3039    ,  0.0551969  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89936   , -17650.5    , array([ 55.3039    ,  0.0551417  ,  2.51895e-30,  3.68435e-13,  0.0521043  ])
89937   , -17650.5    , array([ 55.3039    ,  0.0551417  ,  2.51643e-30,  3.68803e-13,  0.0521043  ])
89938   , -17684.8    , array([ 55.3039    ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521564  ])
89946   , -17650.5    , array([ 55.304     ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89947   , -17650.5    , array([ 55.304     ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89948   , -17650.6    , array([ 55.3593    ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89949   , -17617.5    , array([ 55.304     ,  0.0551969  ,  2.51643e-30,  3.68435e-13,  0.0521043  ])
89950   , -17650.5    , array([ 55.304     ,  0.0551417  ,  2.51895e-30,  3.68435e-13,  0.0521043  ])
89951   , -17650.5    , array([ 55.304     ,  0.0551417  ,  2.51643e-30,  3.68803e-13,  0.0521043  ])
89952   , -17684.8    , array([ 55.304     ,  0.0551417  ,  2.51643e-30,  3.68435e-13,  0.0521564  ])
89953   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89954   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89955   , -17160.9    , array([ 87.9766    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89956   , -17128.2    , array([ 87.8886    ,  0.0511909  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89957   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51895e-30,  3.68435e-13,  0.0477156  ])
89958   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68803e-13,  0.0477156  ])
89959   , -17194.5    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477633  ])
89967   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89968   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89969   , -17160.9    , array([ 87.9766    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89970   , -17128.2    , array([ 87.8886    ,  0.0511909  ,  2.51643e-30,  3.68435e-13,  0.0477156  ])
89971   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51895e-30,  3.68435e-13,  0.0477156  ])
89972   , -17160.9    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68803e-13,  0.0477156  ])
89973   , -17194.5    , array([ 87.8886    ,  0.0511397  ,  2.51643e-30,  3.68435e-13,  0.0477633  ])
89974   , -17054.5    , array([ 97.5162    ,  0.0502823  ,  2.51643e-30,  3.68435e-13,  0.0467827  ])
89975   , -17054.5    , array([ 97.5162    ,  0.0502823  ,  2.51643e-30,  3.68435e-13,  0.0467827  ])
