233193  , -79088.9    , array([ 1.2399     ,  13.909     ,  1.2643e-52 ,  4.55199e-33,  7.25351e-07])
233194  , -79088.9    , array([ 1.24114    ,  13.909     ,  1.2643e-52 ,  4.55199e-33,  7.25351e-07])
233195  , -79088.9    , array([ 1.2399     ,  13.9229    ,  1.2643e-52 ,  4.55199e-33,  7.25351e-07])
233196  , -79088.9    , array([ 1.2399     ,  13.909     ,  1.26557e-52,  4.55199e-33,  7.25351e-07])
233197  , -79088.9    , array([ 1.2399     ,  13.909     ,  1.2643e-52 ,  4.55655e-33,  7.25351e-07])
233198  , -79088.9    , array([ 1.2399     ,  13.909     ,  1.2643e-52 ,  4.55199e-33,  7.26077e-07])
233199  , -79088.9    , array([ 1.2399     ,  13.909     ,  1.2643e-52 ,  4.55199e-33,  7.25351e-07])
233200  , -79088      , array([ 0.777305   ,  13.0827    ,  1.2643e-52 ,  4.55199e-33,  1.24567e-06])
233201  , -79088      , array([ 0.777305   ,  13.0827    ,  1.2643e-52 ,  4.55199e-33,  1.24567e-06])
233202  , -79088      , array([ 0.778082   ,  13.0827    ,  1.2643e-52 ,  4.55199e-33,  1.24567e-06])
233203  , -79088      , array([ 0.777305   ,  13.0958    ,  1.2643e-52 ,  4.55199e-33,  1.24567e-06])
233204  , -79088      , array([ 0.777305   ,  13.0827    ,  1.26557e-52,  4.55199e-33,  1.24567e-06])
233205  , -79088      , array([ 0.777305   ,  13.0827    ,  1.2643e-52 ,  4.55655e-33,  1.24567e-06])
233206  , -79088      , array([ 0.777305   ,  13.0827    ,  1.2643e-52 ,  4.55199e-33,  1.24691e-06])
233207  , -79016      , array([ 0.120061   ,  10.2402    ,  1.2643e-52 ,  4.55199e-33,  1.08347e-05])
233208  , -79016      , array([ 0.120061   ,  10.2402    ,  1.2643e-52 ,  4.55199e-33,  1.08347e-05])
233209  , -79016.1    , array([ 0.120182   ,  10.2402    ,  1.2643e-52 ,  4.55199e-33,  1.08347e-05])
233210  , -79016      , array([ 0.120061   ,  10.2504    ,  1.2643e-52 ,  4.55199e-33,  1.08347e-05])
233211  , -79016      , array([ 0.120061   ,  10.2402    ,  1.26557e-52,  4.55199e-33,  1.08347e-05])
233212  , -79016      , array([ 0.120061   ,  10.2402    ,  1.2643e-52 ,  4.55655e-33,  1.08347e-05])
