97363   , -70165.9    , array([ 0.0293547  ,  3.69268    ,  3.27023e-37,  1.05592e-31,  0.00904767 ])
97364   , -70128.7    , array([ 0.029384   ,  3.69268    ,  3.27023e-37,  1.05592e-31,  0.00904767 ])
97365   , -70166.9    , array([ 0.0293547  ,  3.69637    ,  3.27023e-37,  1.05592e-31,  0.00904767 ])
97366   , -70165.9    , array([ 0.0293547  ,  3.69268    ,  3.2735e-37 ,  1.05592e-31,  0.00904767 ])
97367   , -70165.9    , array([ 0.0293547  ,  3.69268    ,  3.27023e-37,  1.05697e-31,  0.00904767 ])
97368   , -70197.1    , array([ 0.0293547  ,  3.69268    ,  3.27023e-37,  1.05592e-31,  0.00905673 ])
97369   , -70165.9    , array([ 0.0293547  ,  3.69268    ,  3.27023e-37,  1.05592e-31,  0.00904767 ])
97370   , -53636.1    , array([ 0.063595   ,  3.61511    ,  3.27023e-37,  1.05592e-31,  0.00472515 ])
97371   , -53636.1    , array([ 0.063595   ,  3.61511    ,  3.27023e-37,  1.05592e-31,  0.00472515 ])
97372   , -53641.1    , array([ 0.0636587  ,  3.61511    ,  3.27023e-37,  1.05592e-31,  0.00472515 ])
97373   , -53636.9    , array([ 0.063595   ,  3.61872    ,  3.27023e-37,  1.05592e-31,  0.00472515 ])
97374   , -53636.1    , array([ 0.063595   ,  3.61511    ,  3.2735e-37 ,  1.05592e-31,  0.00472515 ])
97375   , -53636.1    , array([ 0.063595   ,  3.61511    ,  3.27023e-37,  1.05697e-31,  0.00472515 ])
97376   , -53629.4    , array([ 0.063595   ,  3.61511    ,  3.27023e-37,  1.05592e-31,  0.00472988 ])
97384   , -53634.3    , array([ 0.063633   ,  3.61352    ,  3.27023e-37,  1.05592e-31,  0.0047283  ])
97385   , -53634.3    , array([ 0.063633   ,  3.61352    ,  3.27023e-37,  1.05592e-31,  0.0047283  ])
97386   , -53639.2    , array([ 0.0636967  ,  3.61352    ,  3.27023e-37,  1.05592e-31,  0.0047283  ])
97387   , -53635      , array([ 0.063633   ,  3.61714    ,  3.27023e-37,  1.05592e-31,  0.0047283  ])
97388   , -53634.3    , array([ 0.063633   ,  3.61352    ,  3.2735e-37 ,  1.05592e-31,  0.0047283  ])
97389   , -53634.3    , array([ 0.063633   ,  3.61352    ,  3.27023e-37,  1.05697e-31,  0.0047283  ])
97390   , -53627.5    , array([ 0.063633   ,  3.61352    ,  3.27023e-37,  1.05592e-31,  0.00473303 ])
97391   , -53632.4    , array([ 0.0636711  ,  3.61194    ,  3.27023e-37,  1.05592e-31,  0.00473145 ])
97392   , -53632.4    , array([ 0.0636711  ,  3.61194    ,  3.27023e-37,  1.05592e-31,  0.00473145 ])
97393   , -53637.4    , array([ 0.0637348  ,  3.61194    ,  3.27023e-37,  1.05592e-31,  0.00473145 ])
97394   , -53633.2    , array([ 0.0636711  ,  3.61555    ,  3.27023e-37,  1.05592e-31,  0.00473145 ])
97395   , -53632.4    , array([ 0.0636711  ,  3.61194    ,  3.2735e-37 ,  1.05592e-31,  0.00473145 ])
97396   , -53632.4    , array([ 0.0636711  ,  3.61194    ,  3.27023e-37,  1.05697e-31,  0.00473145 ])
97397   , -53625.6    , array([ 0.0636711  ,  3.61194    ,  3.27023e-37,  1.05592e-31,  0.00473618 ])
97398   , -954560     , array([ 13.587     ,  0.0704144  ,  3.27023e-37,  1.05592e-31,  1.8674     ])
97399   , -954560     , array([ 13.587     ,  0.0704144  ,  3.27023e-37,  1.05592e-31,  1.8674     ])
97400   , -954568     , array([ 13.6006    ,  0.0704144  ,  3.27023e-37,  1.05592e-31,  1.8674     ])
97401   , -953639     , array([ 13.587     ,  0.0704849  ,  3.27023e-37,  1.05592e-31,  1.8674     ])
97402   , -954560     , array([ 13.587     ,  0.0704144  ,  3.2735e-37 ,  1.05592e-31,  1.8674     ])
97403   , -954560     , array([ 13.587     ,  0.0704144  ,  3.27023e-37,  1.05697e-31,  1.8674     ])
97404   , -955504     , array([ 13.587     ,  0.0704144  ,  3.27023e-37,  1.05592e-31,  1.86927    ])
97405   , -38601.2    , array([ 0.314325   ,  1.11846    ,  3.27023e-37,  1.05592e-31,  0.0280505  ])
97406   , -38601.2    , array([ 0.314325   ,  1.11846    ,  3.27023e-37,  1.05592e-31,  0.0280505  ])
97407   , -38602.5    , array([ 0.314639   ,  1.11846    ,  3.27023e-37,  1.05592e-31,  0.0280505  ])
97408   , -38610.9    , array([ 0.314325   ,  1.11958    ,  3.27023e-37,  1.05592e-31,  0.0280505  ])
97409   , -38601.2    , array([ 0.314325   ,  1.11846    ,  3.2735e-37 ,  1.05592e-31,  0.0280505  ])
97410   , -38601.2    , array([ 0.314325   ,  1.11846    ,  3.27023e-37,  1.05697e-31,  0.0280505  ])
97411   , -38588.1    , array([ 0.314325   ,  1.11846    ,  3.27023e-37,  1.05592e-31,  0.0280785  ])
97412   , -27911.4    , array([ 2.35031    ,  0.25534    ,  3.27023e-37,  1.05592e-31,  0.264161   ])
97413   , -27911.4    , array([ 2.35031    ,  0.25534    ,  3.27023e-37,  1.05592e-31,  0.264161   ])
97414   , -27910.4    , array([ 2.35266    ,  0.25534    ,  3.27023e-37,  1.05592e-31,  0.264161   ])
97415   , -27879.3    , array([ 2.35031    ,  0.255596   ,  3.27023e-37,  1.05592e-31,  0.264161   ])
