294877  , -79074.8    , array([ 1.41345    ,  4.04104    ,  8.3921e-32 ,  3.99779e-43,  1.67562e-05])
294878  , -79074.8    , array([ 1.41487    ,  4.04104    ,  8.3921e-32 ,  3.99779e-43,  1.67562e-05])
294879  , -79074.8    , array([ 1.41345    ,  4.04508    ,  8.3921e-32 ,  3.99779e-43,  1.67562e-05])
294880  , -79074.8    , array([ 1.41345    ,  4.04104    ,  8.40049e-32,  3.99779e-43,  1.67562e-05])
294881  , -79074.8    , array([ 1.41345    ,  4.04104    ,  8.3921e-32 ,  4.00179e-43,  1.67562e-05])
294882  , -79074.8    , array([ 1.41345    ,  4.04104    ,  8.3921e-32 ,  3.99779e-43,  1.67729e-05])
294883  , -79074.8    , array([ 1.41345    ,  4.04104    ,  8.3921e-32 ,  3.99779e-43,  1.67562e-05])
294884  , -79038      , array([ 0.833286   ,  3.07885    ,  8.3921e-32 ,  3.99779e-43,  3.79178e-05])
294885  , -79038      , array([ 0.833286   ,  3.07885    ,  8.3921e-32 ,  3.99779e-43,  3.79178e-05])
294886  , -79038.1    , array([ 0.83412    ,  3.07885    ,  8.3921e-32 ,  3.99779e-43,  3.79178e-05])
294887  , -79038.1    , array([ 0.833286   ,  3.08193    ,  8.3921e-32 ,  3.99779e-43,  3.79178e-05])
294888  , -79038      , array([ 0.833286   ,  3.07885    ,  8.40049e-32,  3.99779e-43,  3.79178e-05])
294889  , -79038      , array([ 0.833286   ,  3.07885    ,  8.3921e-32 ,  4.00179e-43,  3.79178e-05])
294890  , -79038      , array([ 0.833286   ,  3.07885    ,  8.3921e-32 ,  3.99779e-43,  3.79557e-05])
294891  , -71228.2    , array([ 0.100658   ,  1.03746    ,  8.3921e-32 ,  3.99779e-43,  0.000994302])
294892  , -71228.2    , array([ 0.100658   ,  1.03746    ,  8.3921e-32 ,  3.99779e-43,  0.000994302])
294893  , -71234      , array([ 0.100759   ,  1.03746    ,  8.3921e-32 ,  3.99779e-43,  0.000994302])
294894  , -71229.2    , array([ 0.100658   ,  1.03849    ,  8.3921e-32 ,  3.99779e-43,  0.000994302])
294895  , -71228.2    , array([ 0.100658   ,  1.03746    ,  8.40049e-32,  3.99779e-43,  0.000994302])
294896  , -71228.2    , array([ 0.100658   ,  1.03746    ,  8.3921e-32 ,  4.00179e-43,  0.000994302])
294897  , -71221.4    , array([ 0.100658   ,  1.03746    ,  8.3921e-32 ,  3.99779e-43,  0.000995296])
294905  , -71194.4    , array([ 0.100456   ,  1.03638    ,  8.3921e-32 ,  3.99779e-43,  0.00099739 ])
294906  , -71194.4    , array([ 0.100456   ,  1.03638    ,  8.3921e-32 ,  3.99779e-43,  0.00099739 ])
294907  , -71200.2    , array([ 0.100557   ,  1.03638    ,  8.3921e-32 ,  3.99779e-43,  0.00099739 ])
294908  , -71195.3    , array([ 0.100456   ,  1.03742    ,  8.3921e-32 ,  3.99779e-43,  0.00099739 ])
294909  , -71194.4    , array([ 0.100456   ,  1.03638    ,  8.40049e-32,  3.99779e-43,  0.00099739 ])
294910  , -71194.4    , array([ 0.100456   ,  1.03638    ,  8.3921e-32 ,  4.00179e-43,  0.00099739 ])
294911  , -71187.5    , array([ 0.100456   ,  1.03638    ,  8.3921e-32 ,  3.99779e-43,  0.000998388])
294912  , -71160.3    , array([ 0.100254   ,  1.03531    ,  8.3921e-32 ,  3.99779e-43,  0.0010005  ])
294913  , -71160.3    , array([ 0.100254   ,  1.03531    ,  8.3921e-32 ,  3.99779e-43,  0.0010005  ])
294914  , -71166.1    , array([ 0.100354   ,  1.03531    ,  8.3921e-32 ,  3.99779e-43,  0.0010005  ])
294915  , -71161.3    , array([ 0.100254   ,  1.03635    ,  8.3921e-32 ,  3.99779e-43,  0.0010005  ])
294916  , -71160.3    , array([ 0.100254   ,  1.03531    ,  8.40049e-32,  3.99779e-43,  0.0010005  ])
294917  , -71160.3    , array([ 0.100254   ,  1.03531    ,  8.3921e-32 ,  4.00179e-43,  0.0010005  ])
294918  , -71153.4    , array([ 0.100254   ,  1.03531    ,  8.3921e-32 ,  3.99779e-43,  0.0010015  ])
294919  , -3.15908e+06, array([ 0.00146582 ,  0.117674   ,  8.3921e-32 ,  3.99779e-43,  0.685831   ])
294920  , -3.15908e+06, array([ 0.00146582 ,  0.117674   ,  8.3921e-32 ,  3.99779e-43,  0.685831   ])
