8825    , -79089.4    , array([ 1.04441    ,  0.165237   ,  6.70292e-05,  2.75465e-36,  3.41196e-11])
8826    , -79089.4    , array([ 1.04546    ,  0.165237   ,  6.70292e-05,  2.75465e-36,  3.41196e-11])
8827    , -79089.4    , array([ 1.04441    ,  0.165402   ,  6.70292e-05,  2.75465e-36,  3.41196e-11])
8828    , -79089.4    , array([ 1.04441    ,  0.165237   ,  6.70963e-05,  2.75465e-36,  3.41196e-11])
8829    , -79089.4    , array([ 1.04441    ,  0.165237   ,  6.70292e-05,  2.75741e-36,  3.41196e-11])
8830    , -79089.4    , array([ 1.04441    ,  0.165237   ,  6.70292e-05,  2.75465e-36,  3.41537e-11])
8831    , -79089.4    , array([ 1.04441    ,  0.165237   ,  6.70292e-05,  2.75465e-36,  3.41196e-11])
8832    , -79089.4    , array([ 1.04438    ,  0.165197   ,  6.70292e-05,  2.75465e-36,  3.41288e-11])
8833    , -79089.4    , array([ 1.04438    ,  0.165197   ,  6.70292e-05,  2.75465e-36,  3.41288e-11])
8834    , -79089.4    , array([ 1.04543    ,  0.165197   ,  6.70292e-05,  2.75465e-36,  3.41288e-11])
8835    , -79089.4    , array([ 1.04438    ,  0.165362   ,  6.70292e-05,  2.75465e-36,  3.41288e-11])
8836    , -79089.4    , array([ 1.04438    ,  0.165197   ,  6.70963e-05,  2.75465e-36,  3.41288e-11])
8837    , -79089.4    , array([ 1.04438    ,  0.165197   ,  6.70292e-05,  2.75741e-36,  3.41288e-11])
8838    , -79089.4    , array([ 1.04438    ,  0.165197   ,  6.70292e-05,  2.75465e-36,  3.41629e-11])
8839    , -79089.4    , array([ 1.04428    ,  0.165036   ,  6.70292e-05,  2.75465e-36,  3.41656e-11])
8840    , -79089.4    , array([ 1.04428    ,  0.165036   ,  6.70292e-05,  2.75465e-36,  3.41656e-11])
8841    , -79089.4    , array([ 1.04532    ,  0.165036   ,  6.70292e-05,  2.75465e-36,  3.41656e-11])
8842    , -79089.4    , array([ 1.04428    ,  0.165202   ,  6.70292e-05,  2.75465e-36,  3.41656e-11])
