19363   , -496562     , array([ 0.0148858  ,  1.73941    ,  7.31626e-95,  7.86208e-06,  0.144604   ])
19364   , -496155     , array([ 0.0149007  ,  1.73941    ,  7.31626e-95,  7.86208e-06,  0.144604   ])
19365   , -496574     , array([ 0.0148858  ,  1.74115    ,  7.31626e-95,  7.86208e-06,  0.144604   ])
19366   , -496562     , array([ 0.0148858  ,  1.73941    ,  7.32358e-95,  7.86208e-06,  0.144604   ])
19367   , -496562     , array([ 0.0148858  ,  1.73941    ,  7.31626e-95,  7.86995e-06,  0.144604   ])
19368   , -496943     , array([ 0.0148858  ,  1.73941    ,  7.31626e-95,  7.86208e-06,  0.144749   ])
19369   , -496562     , array([ 0.0148858  ,  1.73941    ,  7.31626e-95,  7.86208e-06,  0.144604   ])
19370   , -183433     , array([ 0.0310956  ,  1.70141    ,  7.31626e-95,  7.8622e-06 ,  0.0724855  ])
19371   , -183433     , array([ 0.0310956  ,  1.70141    ,  7.31626e-95,  7.8622e-06 ,  0.0724855  ])
19372   , -183309     , array([ 0.0311267  ,  1.70141    ,  7.31626e-95,  7.8622e-06 ,  0.0724855  ])
19373   , -183442     , array([ 0.0310956  ,  1.70311    ,  7.31626e-95,  7.8622e-06 ,  0.0724855  ])
19374   , -183433     , array([ 0.0310956  ,  1.70141    ,  7.32358e-95,  7.8622e-06 ,  0.0724855  ])
19375   , -183433     , array([ 0.0310956  ,  1.70141    ,  7.31626e-95,  7.87007e-06,  0.0724855  ])
19376   , -183532     , array([ 0.0310956  ,  1.70141    ,  7.31626e-95,  7.8622e-06 ,  0.072558   ])
19384   , -182764     , array([ 0.0318114  ,  1.67967    ,  7.31626e-95,  7.86215e-06,  0.0741674  ])
19385   , -182764     , array([ 0.0318114  ,  1.67967    ,  7.31626e-95,  7.86215e-06,  0.0741674  ])
19386   , -182640     , array([ 0.0318433  ,  1.67967    ,  7.31626e-95,  7.86215e-06,  0.0741674  ])
19387   , -182772     , array([ 0.0318114  ,  1.68135    ,  7.31626e-95,  7.86215e-06,  0.0741674  ])
19388   , -182764     , array([ 0.0318114  ,  1.67967    ,  7.32358e-95,  7.86215e-06,  0.0741674  ])
