53670   , -79089.3    , array([ 0.00201525 ,  1.66122    ,  7.73424e-05,  9.62876e-50,  4.34791e-10])
53671   , -79089.3    , array([ 0.00201727 ,  1.66122    ,  7.73424e-05,  9.62876e-50,  4.34791e-10])
53672   , -79089.3    , array([ 0.00201525 ,  1.66288    ,  7.73424e-05,  9.62876e-50,  4.34791e-10])
53673   , -79089.3    , array([ 0.00201525 ,  1.66122    ,  7.74198e-05,  9.62876e-50,  4.34791e-10])
53674   , -79089.3    , array([ 0.00201525 ,  1.66122    ,  7.73424e-05,  9.63839e-50,  4.34791e-10])
53675   , -79089.3    , array([ 0.00201525 ,  1.66122    ,  7.73424e-05,  9.62876e-50,  4.35226e-10])
53676   , -79089.3    , array([ 0.00201525 ,  1.66122    ,  7.73424e-05,  9.62876e-50,  4.34791e-10])
53677   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53678   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53679   , -79089.2    , array([ 0.00169813 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53680   , -79089.2    , array([ 0.00169644 ,  1.66237    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53681   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.74198e-05,  9.62876e-50,  5.16755e-10])
53682   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.63839e-50,  5.16755e-10])
53683   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.17272e-10])
53691   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53692   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53693   , -79089.2    , array([ 0.00169813 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53694   , -79089.2    , array([ 0.00169644 ,  1.66237    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53695   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.74198e-05,  9.62876e-50,  5.16755e-10])
53696   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.63839e-50,  5.16755e-10])
53697   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.17272e-10])
53698   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53699   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53700   , -79089.2    , array([ 0.00169813 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53701   , -79089.2    , array([ 0.00169644 ,  1.66237    ,  7.73424e-05,  9.62876e-50,  5.16755e-10])
53702   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.74198e-05,  9.62876e-50,  5.16755e-10])
53703   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.63839e-50,  5.16755e-10])
53704   , -79089.2    , array([ 0.00169644 ,  1.66071    ,  7.73424e-05,  9.62876e-50,  5.17272e-10])
53705   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53706   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53707   , -79089      , array([ 0.00120334 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53708   , -79089      , array([ 0.00120214 ,  1.66135    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53709   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.74198e-05,  9.62876e-50,  7.29948e-10])
53710   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.63839e-50,  7.29948e-10])
53711   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.30678e-10])
53712   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53713   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53714   , -79089      , array([ 0.00120334 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53715   , -79089      , array([ 0.00120214 ,  1.66135    ,  7.73424e-05,  9.62876e-50,  7.29948e-10])
53716   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.74198e-05,  9.62876e-50,  7.29948e-10])
53717   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.63839e-50,  7.29948e-10])
53718   , -79089      , array([ 0.00120214 ,  1.65969    ,  7.73424e-05,  9.62876e-50,  7.30678e-10])
53719   , -79089      , array([ 0.00119441 ,  1.65967    ,  7.73424e-05,  9.62876e-50,  7.34681e-10])
53720   , -79089      , array([ 0.00119441 ,  1.65967    ,  7.73424e-05,  9.62876e-50,  7.34681e-10])
53721   , -79089      , array([ 0.00119561 ,  1.65967    ,  7.73424e-05,  9.62876e-50,  7.34681e-10])
